Гадаад худалдааны үндсэн үзүүлэлт,Он,value
Тэнцэл,1967,-30.0
Тэнцэл,1966,-26.9
Тэнцэл,1965,-17.4
Тэнцэл,1964,-51.7
Тэнцэл,1963,-33.3
Тэнцэл,1962,-51.6
Тэнцэл,1961,-61.7
Тэнцэл,1960,-5.5
Тэнцэл,1959,-4.7
Тэнцэл,1958,-4.8
Тэнцэл,1957,-4.1
Тэнцэл,1956,-2.3
Тэнцэл,1955,0.4
Тэнцэл,1954,1.4
Тэнцэл,1953,1.6
Тэнцэл,1952,0.8
Тэнцэл,1951,1.1
Тэнцэл,1950,0.5
Тэнцэл,1949,0.5
Тэнцэл,1948,0.6
Тэнцэл,1947,2.2
Тэнцэл,1946,-0.4
Тэнцэл,1945,0.5
Тэнцэл,1944,1.6
Тэнцэл,1943,2.2
Тэнцэл,1942,2.6
Тэнцэл,1941,0.8
Тэнцэл,1940,-1.5
Тэнцэл,1939,-0.3
Тэнцэл,1938,-1.0
Тэнцэл,1937,-1.0
Тэнцэл,1936,-0.8
Тэнцэл,1935,-2.5
Тэнцэл,1934,-16.3
Тэнцэл,1933,-10.4
Тэнцэл,1932,-8.9
Тэнцэл,1931,-3.4
Тэнцэл,1930,0.8
Тэнцэл,1929,2.1
Тэнцэл,1928,1.0
Тэнцэл,1927,1.8
Тэнцэл,1926,1.2
Тэнцэл,1925,0.0
Тэнцэл,1924,0.3
