Байршил,Орлогын төрөл,Он,value
Улсын дундаж,    Бусад,2006,14893.0
Улсын дундаж,    Бусад,2005,13341.0
Улсын дундаж,    Бусад,2004,16143.0
Улсын дундаж,    Бусад,2003,33144.0
Улсын дундаж,    Бусад,2002,19617.0
Улсын дундаж,    Бусад,2001,28970.0
Улсын дундаж,    Бусад,2000,30185.0
Улсын дундаж,    Бусад,1999,18414.0
Улсын дундаж,    Бусад,1998,18905.0
Улсын дундаж,    Бусад,1997,15532.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2024,61399.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2023,52796.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2022,58817.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2021,41603.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2020,52142.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2019,61345.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2018,55949.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2017,54724.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2016,43022.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2015,50508.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2014,46083.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2013,37285.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2012,31967.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2011,22626.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2010,19356.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2009,14743.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2008,10451.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2007,8134.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2006,4282.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2005,6672.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2004,7306.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2003,7790.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2002,6428.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2001,1987.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2000,1120.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,1999,
Улсын дундаж,2. Бусдаас үнэгүй авсан,1998,
Улсын дундаж,2. Бусдаас үнэгүй авсан,1997,
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2024,96654.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2023,87594.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2022,72848.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2021,78856.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2020,62559.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2019,51783.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2018,42746.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2017,44595.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2016,37872.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2015,51629.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2014,59670.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2013,59451.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2012,46112.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2011,46979.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2010,41572.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2009,32815.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2008,27873.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2007,16368.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2006,22420.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2005,15541.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2004,34556.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2003,26722.0
