Малын төрөл,Бүс,Он,value
Бүгд,            Өвөрхангай,2023,4734.7
Бүгд,            Өвөрхангай,2022,4590.4
Бүгд,            Өвөрхангай,2021,4022.7
Бүгд,            Өвөрхангай,2020,4479.1
Бүгд,            Өвөрхангай,2019,5625.5
Бүгд,            Өвөрхангай,2018,5461.3
Бүгд,            Өвөрхангай,2017,5743.5
Бүгд,            Өвөрхангай,2016,5208.6
Бүгд,            Өвөрхангай,2015,4511.0
Бүгд,            Өвөрхангай,2014,4111.5
Бүгд,            Өвөрхангай,2013,3486.0
Бүгд,            Өвөрхангай,2012,2970.7
Бүгд,            Өвөрхангай,2011,2425.7
Бүгд,            Өвөрхангай,2010,2010.6
Бүгд,            Өвөрхангай,2009,3620.2
Бүгд,            Өвөрхангай,2008,3449.8
Бүгд,            Өвөрхангай,2007,3190.2
Бүгд,            Өвөрхангай,2006,2623.3
Бүгд,            Өвөрхангай,2005,2301.2
Бүгд,            Өвөрхангай,2004,2155.5
Бүгд,            Өвөрхангай,2003,1918.8
Бүгд,            Өвөрхангай,2002,1665.4
Бүгд,            Өвөрхангай,2001,1869.1
Бүгд,            Өвөрхангай,2000,2159.0
Бүгд,            Өвөрхангай,1999,2956.6
Бүгд,            Өвөрхангай,1998,2921.5
Бүгд,            Өвөрхангай,1997,2718.2
Бүгд,            Өвөрхангай,1996,2550.1
Бүгд,            Өвөрхангай,1995,2595.0
Бүгд,            Өвөрхангай,1994,2346.2
Бүгд,            Өвөрхангай,1993,2106.0
Бүгд,            Өвөрхангай,1992,2046.0
Бүгд,            Өвөрхангай,1991,2022.3
Бүгд,            Өвөрхангай,1990,2061.6
Бүгд,            Өвөрхангай,1989,1937.6
Бүгд,            Өвөрхангай,1988,1777.6
Бүгд,            Өвөрхангай,1987,1749.3
Бүгд,            Өвөрхангай,1986,1726.1
Бүгд,            Өвөрхангай,1985,1675.7
Бүгд,            Өвөрхангай,1984,1736.0
Бүгд,            Өвөрхангай,1983,1739.8
Бүгд,            Өвөрхангай,1982,2010.0
Бүгд,            Өвөрхангай,1981,1928.9
Бүгд,            Өвөрхангай,1980,1933.9
Бүгд,            Өвөрхангай,1979,2023.2
Бүгд,            Өвөрхангай,1978,2016.8
Бүгд,            Өвөрхангай,1977,1953.3
Бүгд,            Өвөрхангай,1976,1914.5
Бүгд,            Өвөрхангай,1975,1875.2
Бүгд,            Өвөрхангай,1974,1820.1
Бүгд,            Өвөрхангай,1973,1733.1
Бүгд,            Өвөрхангай,1972,1713.8
Бүгд,            Өвөрхангай,1971,1652.1
Бүгд,            Өвөрхангай,1970,1707.8
Бүгд,      Баруун бүс,2024,14655.3
Бүгд,      Баруун бүс,2023,14316.2
Бүгд,      Баруун бүс,2022,16131.0
Бүгд,      Баруун бүс,2021,16448.0
Бүгд,      Баруун бүс,2020,15845.2
Бүгд,      Баруун бүс,2019,16004.3
Бүгд,      Баруун бүс,2018,15557.4
Бүгд,      Баруун бүс,2017,16201.6
Бүгд,      Баруун бүс,2016,15135.8
Бүгд,      Баруун бүс,2015,13711.2
Бүгд,      Баруун бүс,2014,12544.5
Бүгд,      Баруун бүс,2013,10832.7
Бүгд,      Баруун бүс,2012,9670.8
Бүгд,      Баруун бүс,2011,8525.4
Бүгд,      Баруун бүс,2010,7418.5
Бүгд,      Баруун бүс,2009,10888.4
Бүгд,      Баруун бүс,2008,12157.4
Бүгд,      Баруун бүс,2007,12301.9
Бүгд,      Баруун бүс,2006,10914.9
Бүгд,      Баруун бүс,2005,9241.9
Бүгд,      Баруун бүс,2004,8524.7
Бүгд,      Баруун бүс,2003,7410.8
Бүгд,      Баруун бүс,2002,6482.2
Бүгд,      Баруун бүс,2001,7587.3
Бүгд,      Баруун бүс,2000,8702.4
Бүгд,      Баруун бүс,1999,9665.4
Бүгд,      Баруун бүс,1998,9798.7
Бүгд,      Баруун бүс,1997,9971.2
Бүгд,      Баруун бүс,1996,9687.4
Бүгд,      Баруун бүс,1995,9683.0
Бүгд,      Баруун бүс,1994,8989.7
Бүгд,      Баруун бүс,1993,8227.6
Бүгд,      Баруун бүс,1992,8178.9
Бүгд,      Баруун бүс,1991,8158.2
Бүгд,      Баруун бүс,1990,8499.7
Бүгд,      Баруун бүс,1989,8159.2
Бүгд,      Баруун бүс,1988,7801.2
Бүгд,      Баруун бүс,1987,7659.1
Бүгд,      Баруун бүс,1986,7448.7
Бүгд,      Баруун бүс,1985,7319.6
Бүгд,      Баруун бүс,1984,6946.0
Бүгд,      Баруун бүс,1983,7350.6
Бүгд,      Баруун бүс,1982,7657.0
Бүгд,      Баруун бүс,1981,7571.3
Бүгд,      Баруун бүс,1980,7584.6
Бүгд,      Баруун бүс,1979,7546.6
Бүгд,      Баруун бүс,1978,7413.0
Бүгд,      Баруун бүс,1977,7169.7
Бүгд,      Баруун бүс,1976,7510.5
Бүгд,      Баруун бүс,1975,7630.7
Бүгд,      Баруун бүс,1974,7760.0
Бүгд,      Баруун бүс,1973,7856.8
Бүгд,      Баруун бүс,1972,7600.5
