date,session,scheduled_start,actual_start,timing_status,data_status,source_article_url,source_attachment_url,metric,value,unit
2024-11-15,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63350/,,Agenda items,0,count
2024-11-15,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63350/,,Sitting start delay,,minutes
2024-11-15,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63350/,,Officially on time,71,count
2024-11-15,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63350/,,Officially late,34,count
2024-11-15,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63350/,,General leave,1,count
2024-11-15,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63350/,,Medical leave,4,count
2024-11-15,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63350/,,Domestic official assignments,1,count
2024-11-15,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63350/,,Foreign official assignments,7,count
2024-11-15,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63350/,,Unexplained absences,8,count
2024-11-15,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63350/,,Physically attended,105,count
2024-11-15,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63350/,,Physical attendance rate,83.3,percent
2024-11-15,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63350/,,Official on-time rate among appearances,67.6,percent
2024-11-21,Autumn regular session,10:00,10:02,Complete,Final,https://www.parliament.mn/nn/63402/,,Agenda items,0,count
2024-11-21,Autumn regular session,10:00,10:02,Complete,Final,https://www.parliament.mn/nn/63402/,,Sitting start delay,2,minutes
2024-11-21,Autumn regular session,10:00,10:02,Complete,Final,https://www.parliament.mn/nn/63402/,,Officially on time,69,count
2024-11-21,Autumn regular session,10:00,10:02,Complete,Final,https://www.parliament.mn/nn/63402/,,Officially late,25,count
2024-11-21,Autumn regular session,10:00,10:02,Complete,Final,https://www.parliament.mn/nn/63402/,,General leave,3,count
2024-11-21,Autumn regular session,10:00,10:02,Complete,Final,https://www.parliament.mn/nn/63402/,,Medical leave,3,count
2024-11-21,Autumn regular session,10:00,10:02,Complete,Final,https://www.parliament.mn/nn/63402/,,Domestic official assignments,0,count
2024-11-21,Autumn regular session,10:00,10:02,Complete,Final,https://www.parliament.mn/nn/63402/,,Foreign official assignments,22,count
2024-11-21,Autumn regular session,10:00,10:02,Complete,Final,https://www.parliament.mn/nn/63402/,,Unexplained absences,4,count
2024-11-21,Autumn regular session,10:00,10:02,Complete,Final,https://www.parliament.mn/nn/63402/,,Physically attended,94,count
2024-11-21,Autumn regular session,10:00,10:02,Complete,Final,https://www.parliament.mn/nn/63402/,,Physical attendance rate,74.6,percent
2024-11-21,Autumn regular session,10:00,10:02,Complete,Final,https://www.parliament.mn/nn/63402/,,Official on-time rate among appearances,73.4,percent
2024-11-22,Autumn regular session,15:00,15:06,Complete,Final,https://www.parliament.mn/nn/63410/,,Agenda items,1,count
2024-11-22,Autumn regular session,15:00,15:06,Complete,Final,https://www.parliament.mn/nn/63410/,,Sitting start delay,6,minutes
2024-11-22,Autumn regular session,15:00,15:06,Complete,Final,https://www.parliament.mn/nn/63410/,,Officially on time,70,count
2024-11-22,Autumn regular session,15:00,15:06,Complete,Final,https://www.parliament.mn/nn/63410/,,Officially late,20,count
2024-11-22,Autumn regular session,15:00,15:06,Complete,Final,https://www.parliament.mn/nn/63410/,,General leave,4,count
2024-11-22,Autumn regular session,15:00,15:06,Complete,Final,https://www.parliament.mn/nn/63410/,,Medical leave,3,count
2024-11-22,Autumn regular session,15:00,15:06,Complete,Final,https://www.parliament.mn/nn/63410/,,Domestic official assignments,2,count
2024-11-22,Autumn regular session,15:00,15:06,Complete,Final,https://www.parliament.mn/nn/63410/,,Foreign official assignments,17,count
2024-11-22,Autumn regular session,15:00,15:06,Complete,Final,https://www.parliament.mn/nn/63410/,,Unexplained absences,10,count
2024-11-22,Autumn regular session,15:00,15:06,Complete,Final,https://www.parliament.mn/nn/63410/,,Physically attended,90,count
2024-11-22,Autumn regular session,15:00,15:06,Complete,Final,https://www.parliament.mn/nn/63410/,,Physical attendance rate,71.4,percent
2024-11-22,Autumn regular session,15:00,15:06,Complete,Final,https://www.parliament.mn/nn/63410/,,Official on-time rate among appearances,77.8,percent
2024-11-28,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63471/,,Agenda items,0,count
2024-11-28,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63471/,,Sitting start delay,,minutes
2024-11-28,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63471/,,Officially on time,49,count
