огноо,он,үе,төлөв,тоо,товлосон_цаг,эхэлсэн_цаг,эхлэлтийн_хоцролт_минут
2024-12-27,2024,period-1,Хоцорсон,34,10:00,10:03,3
2024-12-27,2024,period-1,Зөвшөөрөгдсөн чөлөө,11,10:00,10:03,3
2024-12-27,2024,period-1,Албан томилолт,4,10:00,10:03,3
2024-12-27,2024,period-1,Тайлбаргүй тасалсан,4,10:00,10:03,3
2025-01-09,2025,period-1,Цагтаа ирсэн,75,10:00,10:02,2
2025-01-09,2025,period-1,Хоцорсон,19,10:00,10:02,2
2025-01-09,2025,period-1,Зөвшөөрөгдсөн чөлөө,21,10:00,10:02,2
2025-01-09,2025,period-1,Албан томилолт,8,10:00,10:02,2
2025-01-09,2025,period-1,Тайлбаргүй тасалсан,3,10:00,10:02,2
2025-01-10,2025,period-1,Цагтаа ирсэн,74,14:00,16:29,149
2025-01-10,2025,period-1,Хоцорсон,23,14:00,16:29,149
2025-01-10,2025,period-1,Зөвшөөрөгдсөн чөлөө,21,14:00,16:29,149
2025-01-10,2025,period-1,Албан томилолт,6,14:00,16:29,149
2025-01-10,2025,period-1,Тайлбаргүй тасалсан,2,14:00,16:29,149
2025-01-16,2025,period-1,Цагтаа ирсэн,65,10:00,10:04,4
2025-01-16,2025,period-1,Хоцорсон,28,10:00,10:04,4
2025-01-16,2025,period-1,Зөвшөөрөгдсөн чөлөө,16,10:00,10:04,4
2025-01-16,2025,period-1,Албан томилолт,15,10:00,10:04,4
2025-01-16,2025,period-1,Тайлбаргүй тасалсан,2,10:00,10:04,4
2025-01-17,2025,period-1,Цагтаа ирсэн,53,,10:00,
2025-01-17,2025,period-1,Хоцорсон,38,,10:00,
2025-01-17,2025,period-1,Зөвшөөрөгдсөн чөлөө,18,,10:00,
2025-01-17,2025,period-1,Албан томилолт,16,,10:00,
2025-01-17,2025,period-1,Тайлбаргүй тасалсан,1,,10:00,
2025-01-23,2025,period-1,Цагтаа ирсэн,88,10:00,10:09,9
2025-01-23,2025,period-1,Хоцорсон,12,10:00,10:09,9
2025-01-23,2025,period-1,Зөвшөөрөгдсөн чөлөө,19,10:00,10:09,9
2025-01-23,2025,period-1,Албан томилолт,5,10:00,10:09,9
2025-01-23,2025,period-1,Тайлбаргүй тасалсан,2,10:00,10:09,9
2025-01-24,2025,period-1,Цагтаа ирсэн,50,,10:00,
2025-01-24,2025,period-1,Хоцорсон,50,,10:00,
2025-01-24,2025,period-1,Зөвшөөрөгдсөн чөлөө,19,,10:00,
2025-01-24,2025,period-1,Албан томилолт,6,,10:00,
2025-01-24,2025,period-1,Тайлбаргүй тасалсан,1,,10:00,
2025-03-17,2025,period-2,Цагтаа ирсэн,83,,10:00,
2025-03-17,2025,period-2,Хоцорсон,32,,10:00,
2025-03-17,2025,period-2,Зөвшөөрөгдсөн чөлөө,3,,10:00,
2025-03-17,2025,period-2,Албан томилолт,7,,10:00,
2025-03-17,2025,period-2,Тайлбаргүй тасалсан,1,,10:00,
2025-03-27,2025,period-2,Цагтаа ирсэн,86,,10:00,
2025-03-27,2025,period-2,Хоцорсон,24,,10:00,
2025-03-27,2025,period-2,Зөвшөөрөгдсөн чөлөө,3,,10:00,
2025-03-27,2025,period-2,Албан томилолт,11,,10:00,
2025-03-27,2025,period-2,Тайлбаргүй тасалсан,2,,10:00,
2025-03-28,2025,period-2,Цагтаа ирсэн,73,,10:00,
2025-03-28,2025,period-2,Хоцорсон,31,,10:00,
2025-03-28,2025,period-2,Зөвшөөрөгдсөн чөлөө,5,,10:00,
2025-03-28,2025,period-2,Албан томилолт,15,,10:00,
2025-03-28,2025,period-2,Тайлбаргүй тасалсан,2,,10:00,
2025-03-31,2025,period-2,Цагтаа ирсэн,78,,10:00,
2025-03-31,2025,period-2,Хоцорсон,31,,10:00,
2025-03-31,2025,period-2,Зөвшөөрөгдсөн чөлөө,7,,10:00,
2025-03-31,2025,period-2,Албан томилолт,7,,10:00,
2025-03-31,2025,period-2,Тайлбаргүй тасалсан,3,,10:00,
2025-04-03,2025,period-2,Цагтаа ирсэн,81,,10:00,
2025-04-03,2025,period-2,Хоцорсон,32,,10:00,
2025-04-03,2025,period-2,Зөвшөөрөгдсөн чөлөө,4,,10:00,
2025-04-03,2025,period-2,Албан томилолт,8,,10:00,
2025-04-03,2025,period-2,Тайлбаргүй тасалсан,1,,10:00,
2025-04-04,2025,period-2,Цагтаа ирсэн,78,,10:00,
2025-04-04,2025,period-2,Хоцорсон,31,,10:00,
2025-04-04,2025,period-2,Зөвшөөрөгдсөн чөлөө,7,,10:00,
2025-04-04,2025,period-2,Албан томилолт,9,,10:00,
2025-04-04,2025,period-2,Тайлбаргүй тасалсан,1,,10:00,
2025-04-10,2025,period-2,Цагтаа ирсэн,69,,10:00,
2025-04-10,2025,period-2,Хоцорсон,30,,10:00,
2025-04-10,2025,period-2,Зөвшөөрөгдсөн чөлөө,11,,10:00,
2025-04-10,2025,period-2,Албан томилолт,14,,10:00,
2025-04-10,2025,period-2,Тайлбаргүй тасалсан,2,,10:00,
2025-04-11,2025,period-2,Цагтаа ирсэн,66,,10:00,
2025-04-11,2025,period-2,Хоцорсон,23,,10:00,
2025-04-11,2025,period-2,Зөвшөөрөгдсөн чөлөө,15,,10:00,
2025-04-11,2025,period-2,Албан томилолт,13,,10:00,
2025-04-11,2025,period-2,Тайлбаргүй тасалсан,9,,10:00,
2025-04-17,2025,period-2,Цагтаа ирсэн,83,,10:00,
2025-04-17,2025,period-2,Хоцорсон,26,,10:00,
2025-04-17,2025,period-2,Зөвшөөрөгдсөн чөлөө,11,,10:00,
2025-04-17,2025,period-2,Албан томилолт,5,,10:00,
