member,party,physical_attendance_rate,official_on_time_rate,scheduled_on_time_rate,unexplained_absence_rate,median_late_minutes
Р.Эрдэнэбүрэн,Democratic Party,64.4,28.7,14.5,15.8,33.5
Г.Ганбаатар,Democratic Party,84.2,62.6,44.3,5.5,19.0
Ж.Чинбүрэн,Mongolian People’s Party,82.2,61.7,48.7,1.4,8.5
Б.Энхбаяр,Mongolian People’s Party,82.2,70.0,57.3,9.6,18
П.Наранбаяр,HUN Party,87.7,72.7,54.2,2.7,7.0
Э.Бат-Амгалан,Mongolian People’s Party,82.2,81.7,56.1,6.2,11.5
Х.Булгантуяа,Mongolian People’s Party,71.2,52.9,45.2,3.4,8.0
Ж.Золжаргал,HUN Party,91.8,66.4,52.7,0.7,7
Х.Ганхуяг,Mongolian People’s Party,78.8,80.0,63.5,4.1,20.0
Ж.Ганбаатар,Mongolian People’s Party,56.8,98.8,94.0,6.8,3
Н.Учрал,Mongolian People’s Party,80.8,37.3,19.5,6.2,18
О.Батнайрамдал,Mongolian People’s Party,87.7,89.8,74.4,4.1,31.5
Ц.Баатархүү,Democratic Party,86.3,63.5,42.5,3.4,15
Н.Батсүмбэрэл,Mongolian People’s Party,85.6,77.6,69.1,0.7,16.5
Д.Цогтбаатар,Mongolian People’s Party,72.6,28.3,20.0,6.2,34.0
Х.Болормаа,Democratic Party,61.6,67.8,48.2,7.5,3.0
Э.Батшугар,Mongolian People’s Party,90.4,70.5,51.7,2.7,10.0
Н.Алтанхуяг,Democratic Party,68.5,75.0,80.0,13.7,5
Н.Алтаншагай,Mongolian People’s Party,91.1,69.2,56.3,6.8,21.0
П.Сайнзориг,Mongolian People’s Party,89.7,87.8,78.3,1.4,13
Ч.Номин,Mongolian People’s Party,72.6,69.8,48.5,2.7,7
Т.Мөнхсайхан,Mongolian People’s Party,80.8,74.6,58.4,2.7,5
Ч.Лодойсамбуу,Democratic Party,79.5,71.6,48.7,8.2,6.5
Ж.Алдаржавхлан,Mongolian People’s Party,81.5,56.3,37.7,5.5,15
С.Амарсайхан,Mongolian People’s Party,58.2,16.5,10.3,8.9,64.0
Ц.Сандаг-Очир,Mongolian People’s Party,91.1,79.7,59.1,0.0,6.0
Ч.Анар,Mongolian People’s Party,77.4,69.0,50.0,4.8,23.0
А.Ариунзаяа,Mongolian People’s Party,97.9,100.0,96.8,1.4,
Х.Баасанжаргал,Mongolian People’s Party,84.2,77.2,58.5,2.7,10.5
Б.Батбаатар,Civil Will–Green Party,79.5,60.3,40.0,10.3,9
Р.Батболд,Civil Will–Green Party,93.2,89.7,83.0,0.0,8.5
Ж.Батсуурь,Democratic Party,83.6,71.3,50.0,14.4,7.0
П.Батчимэг,Democratic Party,69.2,74.3,62.9,4.8,27.0
Б.Баярбаатар,Mongolian People’s Party,80.8,87.3,75.3,0.7,15.0
Ж.Баярмаа,Democratic Party,79.5,69.8,53.8,5.5,12
Ж.Баясгалан,Democratic Party,56.8,77.1,73.2,1.4,5
Д.Бум-Очир,Mongolian People’s Party,77.4,95.6,91.5,2.7,16.0
Ж.Галбадрах,Mongolian People’s Party,88.4,68.2,44.2,0.0,7
А.Ганбаатар,Democratic Party,63.0,67.4,50.0,11.0,10
П.Ганзориг,HUN Party,90.4,80.3,64.0,0.7,6
Д.Ганмаа,Mongolian People’s Party,87.0,83.5,62.7,1.4,8.0
Л.Гантөмөр,Democratic Party,49.3,33.3,32.6,14.4,23.5
Т.Доржханд,HUN Party,72.6,31.1,29.0,7.5,26.5
Б.Жаргалан,Democratic Party,87.0,36.2,30.0,7.5,13
С.Замира,Civil Will–Green Party,87.0,96.9,91.6,2.7,9
С.Зулпхар,Mongolian People’s Party,91.1,94.7,86.2,1.4,3.0
Г.Лувсанжамц,Mongolian People’s Party,86.3,79.4,65.1,0.0,9
М.Мандхай,Mongolian People’s Party,84.9,83.9,64.2,2.7,6.0
Б.Мөнхсоёл,HUN Party,79.5,93.1,90.8,0.0,2.5
Ц.Мөнхтуяа,Democratic Party,86.3,56.3,39.2,6.2,13.5
Б.Найдалаа,HUN Party,85.6,80.0,59.0,2.1,6.5
М.Нарантуяа-Нара,Civil Will–Green Party,69.9,76.5,71.2,0.0,4
О.Номинчимэг,Mongolian People’s Party,84.9,76.6,62.7,2.1,24.0
Н.Номтойбаяр,National Coalition,73.3,58.9,43.3,6.8,8
Э.Одбаяр,Democratic Party,79.5,74.1,60.3,7.5,24
С.Одонтуяа,Democratic Party,68.5,51.0,35.9,11.0,13
Г.Очирбат,Democratic Party,84.9,92.7,85.9,3.4,5
Б.Пунсалмаа,Democratic Party,81.5,40.3,22.8,6.8,15.0
Д.Пүрэвдаваа,National Coalition,75.3,84.5,70.8,8.9,14
Д.Рэгдэл,Mongolian People’s Party,93.2,94.1,84.1,0.0,4
О.Саранчулуун,Mongolian People’s Party,82.9,59.5,32.9,2.7,15
М.Сарнай,National Coalition,87.0,96.9,91.5,2.1,2.0
Х.Тэмүүжин,Democratic Party,83.6,90.2,78.2,7.5,5
А.Ундраа,National Coalition,69.2,44.6,43.3,6.2,16.5
Б.Уянга,Mongolian People’s Party,89.7,93.1,87.1,0.0,8.0
Г.Уянгахишиг,HUN Party,84.9,51.6,43.6,3.4,13
Б.Хэрлэн,Mongolian People’s Party,92.5,84.4,67.8,0.0,8
С.Цэнгүүн,Democratic Party,74.0,94.4,82.9,3.4,10.0
Ө.Шижир,Democratic Party,84.2,93.5,88.6,4.1,7
Л.Энхнасан,HUN Party,85.6,94.4,82.4,0.0,3
Д.Энхтүвшин,Mongolian People’s Party,75.3,90.9,76.7,0.7,3
Д.Энхтуяа,Democratic Party,81.5,78.2,51.4,3.4,13.0
М.Энхцэцэг,Mongolian People’s Party,81.5,86.6,54.5,2.1,6
С.Эрдэнэбат,Mongolian People’s Party,85.6,76.8,68.6,2.7,13.0
