Бүс нутаг,Аяллын зорилго,Он,value
Бүгд,Дамжин өнгөрөх,2013,2438
Бүгд,Дамжин өнгөрөх,2012,3012
Бүгд,Дамжин өнгөрөх,2011,4287
Бүгд,Дамжин өнгөрөх,2010,5974
Бүгд,Дамжин өнгөрөх,2009,9366
Бүгд,Дамжин өнгөрөх,2008,6103
Бүгд,Дамжин өнгөрөх,2007,9604
Бүгд,Дамжин өнгөрөх,2006,14895
Бүгд,Суралцах,2025,10837
Бүгд,Суралцах,2024,11295
Бүгд,Суралцах,2023,9274
Бүгд,Суралцах,2022,1677
Бүгд,Суралцах,2021,509
Бүгд,Суралцах,2020,542
Бүгд,Суралцах,2019,6503
Бүгд,Суралцах,2018,4757
Бүгд,Суралцах,2017,3540
Бүгд,Суралцах,2016,2981
Бүгд,Суралцах,2015,2369
Бүгд,Суралцах,2014,2388
Бүгд,Суралцах,2013,2167
Бүгд,Суралцах,2012,1798
Бүгд,Суралцах,2011,1615
Бүгд,Суралцах,2010,1623
Бүгд,Суралцах,2009,2464
Бүгд,Суралцах,2008,1742
Бүгд,Суралцах,2007,1663
Бүгд,Суралцах,2006,2141
Бүгд,БОС,2025,20392
Бүгд,БОС,2024,59535
Бүгд,БОС,2023,14903
Бүгд,БОС,2022,5890
Бүгд,БОС,2021,1136
Бүгд,БОС,2020,1983
Бүгд,БОС,2019,11765
Бүгд,БОС,2018,9905
Бүгд,БОС,2017,8723
Бүгд,БОС,2016,6608
Бүгд,БОС,2015,4092
Бүгд,БОС,2014,2294
Бүгд,БОС,2013,1633
Бүгд,БОС,2012,4353
Бүгд,БОС,2011,1603
Бүгд,БОС,2010,2083
Бүгд,БОС,2009,2462
Бүгд,БОС,2008,1651
Бүгд,БОС,2007,1311
Бүгд,БОС,2006,1869
Бүгд,Бусад,2025,293980
Бүгд,Бусад,2024,140264
Бүгд,Бусад,2023,16884
Бүгд,Бусад,2022,8374
Бүгд,Бусад,2021,2760
Бүгд,Бусад,2020,3010
Бүгд,Бусад,2019,47934
Бүгд,Бусад,2018,44409
Бүгд,Бусад,2017,35654
Бүгд,Бусад,2016,26076
Бүгд,Бусад,2015,20403
Бүгд,Бусад,2014,5749
Бүгд,Бусад,2013,4028
Бүгд,Бусад,2012,6293
Бүгд,Бусад,2011,12961
Бүгд,Бусад,2010,26874
Бүгд,Бусад,2009,31642
Бүгд,Бусад,2008,22998
Бүгд,Бусад,2007,18523
Бүгд,Бусад,2006,17881
Америк,Бүгд,2025,25390
Америк,Бүгд,2024,21498
Америк,Бүгд,2023,17786
Америк,Бүгд,2022,11086
Америк,Бүгд,2021,2054
Америк,Бүгд,2020,1862
Америк,Бүгд,2019,27174
Америк,Бүгд,2018,25767
Америк,Бүгд,2017,24096
Америк,Бүгд,2016,21949
Америк,Бүгд,2015,19607
Америк,Бүгд,2014,19131
Америк,Бүгд,2013,21323
Америк,Бүгд,2012,22884
Америк,Бүгд,2011,21498
Америк,Бүгд,2010,16708
Америк,Бүгд,2009,14368
Америк,Бүгд,2008,16044
Америк,Бүгд,2007,15564
Америк,Бүгд,2006,15022
Америк,Албан ажлаар,2025,2262
Америк,Албан ажлаар,2024,1726
Америк,Албан ажлаар,2023,1677
Америк,Албан ажлаар,2022,1353
Америк,Албан ажлаар,2021,601
Америк,Албан ажлаар,2020,366
Америк,Албан ажлаар,2019,2431
Америк,Албан ажлаар,2018,1927
Америк,Албан ажлаар,2017,2463
Америк,Албан ажлаар,2016,2592
Америк,Албан ажлаар,2015,2437
Америк,Албан ажлаар,2014,3295
Америк,Албан ажлаар,2013,5028
Америк,Албан ажлаар,2012,5318
Америк,Албан ажлаар,2011,5816
Америк,Албан ажлаар,2010,3757
Америк,Албан ажлаар,2009,2380
Америк,Албан ажлаар,2008,1555
Америк,Албан ажлаар,2007,2041
Америк,Албан ажлаар,2006,2458
Америк,Хувийн журмаар,2025,103
Америк,Хувийн журмаар,2024,903
Америк,Хувийн журмаар,2023,2993
Америк,Хувийн журмаар,2022,3027
Америк,Хувийн журмаар,2021,883
Америк,Хувийн журмаар,2020,610
Америк,Хувийн журмаар,2019,6699
Америк,Хувийн журмаар,2018,6490
Америк,Хувийн журмаар,2017,6378
Америк,Хувийн журмаар,2016,6741
Америк,Хувийн журмаар,2015,7151
Америк,Хувийн журмаар,2014,6229
Америк,Хувийн журмаар,2013,5580
Америк,Хувийн журмаар,2012,4581
Америк,Хувийн журмаар,2011,4160
Америк,Хувийн журмаар,2010,3661
Америк,Хувийн журмаар,2009,4183
Америк,Хувийн журмаар,2008,4709
Америк,Хувийн журмаар,2007,3003
Америк,Хувийн журмаар,2006,1635
Америк,Жуулчлал,2025,18869
Америк,Жуулчлал,2024,14008
Америк,Жуулчлал,2023,11289
Америк,Жуулчлал,2022,5200
Америк,Жуулчлал,2021,155
Америк,Жуулчлал,2020,296
Америк,Жуулчлал,2019,14103
Америк,Жуулчлал,2018,13865
Америк,Жуулчлал,2017,12692
Америк,Жуулчлал,2016,10481
Америк,Жуулчлал,2015,7645
Америк,Жуулчлал,2014,7750
Америк,Жуулчлал,2013,7819
Америк,Жуулчлал,2012,9479
Америк,Жуулчлал,2011,9160
Америк,Жуулчлал,2010,7855
Америк,Жуулчлал,2009,6827
Америк,Жуулчлал,2008,8468
Америк,Жуулчлал,2007,9047
Америк,Жуулчлал,2006,8670
Америк,Ажиллах,2025,462
Америк,Ажиллах,2024,518
Америк,Ажиллах,2023,466
Америк,Ажиллах,2022,411
Америк,Ажиллах,2021,192
Америк,Ажиллах,2020,248
Америк,Ажиллах,2019,1342
Америк,Ажиллах,2018,1241
Америк,Ажиллах,2017,1092
Америк,Ажиллах,2016,910
Америк,Ажиллах,2015,788
Америк,Ажиллах,2014,1268
Америк,Ажиллах,2013,2205
Америк,Ажиллах,2012,2674
Америк,Ажиллах,2011,1404
Америк,Ажиллах,2010,0
Америк,Ажиллах,2009,14
Америк,Ажиллах,2008,0
Америк,Ажиллах,2007,0
Америк,Ажиллах,2006,0
Америк,Дамжин өнгөрөх,2025,581
Америк,Дамжин өнгөрөх,2024,308
Америк,Дамжин өнгөрөх,2023,281
Америк,Дамжин өнгөрөх,2022,45
Америк,Дамжин өнгөрөх,2021,4
Америк,Дамжин өнгөрөх,2020,5
Америк,Дамжин өнгөрөх,2019,167
Америк,Дамжин өнгөрөх,2018,90
Америк,Дамжин өнгөрөх,2017,66
Америк,Дамжин өнгөрөх,2016,167
Америк,Дамжин өнгөрөх,2015,45
Америк,Дамжин өнгөрөх,2014,47
Америк,Дамжин өнгөрөх,2013,59
Америк,Дамжин өнгөрөх,2012,104
Америк,Дамжин өнгөрөх,2011,167
Америк,Дамжин өнгөрөх,2010,125
Америк,Дамжин өнгөрөх,2009,136
Америк,Дамжин өнгөрөх,2008,150
Америк,Дамжин өнгөрөх,2007,192
Америк,Дамжин өнгөрөх,2006,425
Америк,Суралцах,2025,75
Америк,Суралцах,2024,93
Америк,Суралцах,2023,73
Америк,Суралцах,2022,86
Америк,Суралцах,2021,18
Америк,Суралцах,2020,17
Америк,Суралцах,2019,83
Америк,Суралцах,2018,92
Америк,Суралцах,2017,78
Америк,Суралцах,2016,116
Америк,Суралцах,2015,82
Америк,Суралцах,2014,130
Америк,Суралцах,2013,106
Америк,Суралцах,2012,139
Америк,Суралцах,2011,132
Америк,Суралцах,2010,106
Америк,Суралцах,2009,75
Америк,Суралцах,2008,121
Америк,Суралцах,2007,92
Америк,Суралцах,2006,122
Америк,БОС,2025,873
Америк,БОС,2024,2668
Америк,БОС,2023,838
Америк,БОС,2022,463
Америк,БОС,2021,96
Америк,БОС,2020,193
Америк,БОС,2019,804
Америк,БОС,2018,794
Америк,БОС,2017,726
Америк,БОС,2016,462
Америк,БОС,2015,151
Америк,БОС,2014,98
Америк,БОС,2013,65
Америк,БОС,2012,87
Америк,БОС,2011,77
Америк,БОС,2010,94
Америк,БОС,2009,110
Америк,БОС,2008,111
Америк,БОС,2007,55
Америк,БОС,2006,110
Америк,Бусад,2025,2165
Америк,Бусад,2024,1274
Америк,Бусад,2023,169
Америк,Бусад,2022,501
Америк,Бусад,2021,105
Америк,Бусад,2020,127
Америк,Бусад,2019,1545
Америк,Бусад,2018,1268
Америк,Бусад,2017,601
Америк,Бусад,2016,480
Америк,Бусад,2015,1308
Америк,Бусад,2014,314
Америк,Бусад,2013,461
Америк,Бусад,2012,502
Америк,Бусад,2011,582
Америк,Бусад,2010,1110
Америк,Бусад,2009,643
Америк,Бусад,2008,930
Америк,Бусад,2007,1134
Америк,Бусад,2006,1602
Африк,Бүгд,2025,1699
Африк,Бүгд,2024,1796
Африк,Бүгд,2023,1835
Африк,Бүгд,2022,1391
Африк,Бүгд,2021,401
Африк,Бүгд,2020,422
Африк,Бүгд,2019,2444
Африк,Бүгд,2018,1848
Африк,Бүгд,2017,1520
Африк,Бүгд,2016,1165
Африк,Бүгд,2015,982
Африк,Бүгд,2014,1126
Африк,Бүгд,2013,1600
Африк,Бүгд,2012,1457
Африк,Бүгд,2011,12336
Африк,Бүгд,2010,606
Африк,Бүгд,2009,503
Африк,Бүгд,2008,626
Африк,Бүгд,2007,814
Африк,Бүгд,2006,1083
Африк,Албан ажлаар,2025,318
Африк,Албан ажлаар,2024,290
Африк,Албан ажлаар,2023,270
Африк,Албан ажлаар,2022,205
