Бүс,Үзүүлэлт,Он,value
Улсын дүн,Хөнгөвчлөхийн,2024,118.0
Улсын дүн,Хөнгөвчлөхийн,2023,118.0
Улсын дүн,Хөнгөвчлөхийн,2022,94.0
Улсын дүн,Хөнгөвчлөхийн,2021,87.0
Улсын дүн,Хөнгөвчлөхийн,2020,89.0
Улсын дүн,Хөнгөвчлөхийн,2019,96.0
Улсын дүн,Хөнгөвчлөхийн,2018,73.0
Улсын дүн,Хөнгөвчлөхийн,2017,55.0
Улсын дүн,Хөнгөвчлөхийн,2016,41.0
Улсын дүн,Хөнгөвчлөхийн,2015,39.0
Улсын дүн,Настны,2025,
Улсын дүн,Настны,2024,
Улсын дүн,Настны,2023,0.0
Улсын дүн,Настны,2022,0.0
Улсын дүн,Настны,2021,0.0
Улсын дүн,Настны,2020,0.0
Улсын дүн,Настны,2019,0.0
Улсын дүн,Настны,2018,33.0
Улсын дүн,Настны,2017,29.0
Улсын дүн,Настны,2016,20.0
Улсын дүн,Настны,2015,31.0
Улсын дүн,Уламжлалт анагаахын,2025,382.0
Улсын дүн,Уламжлалт анагаахын,2024,455.0
Улсын дүн,Уламжлалт анагаахын,2023,490.0
Улсын дүн,Уламжлалт анагаахын,2022,457.0
Улсын дүн,Уламжлалт анагаахын,2021,411.0
Улсын дүн,Уламжлалт анагаахын,2020,409.0
Улсын дүн,Уламжлалт анагаахын,2019,451.0
Улсын дүн,Уламжлалт анагаахын,2018,415.0
Улсын дүн,Уламжлалт анагаахын,2017,455.0
Улсын дүн,Уламжлалт анагаахын,2016,437.0
Улсын дүн,Уламжлалт анагаахын,2015,425.0
Улсын дүн,Нүүр амны,2025,372.0
Улсын дүн,Нүүр амны,2024,384.0
Улсын дүн,Нүүр амны,2023,383.0
Улсын дүн,Нүүр амны,2022,372.0
Улсын дүн,Нүүр амны,2021,417.0
Улсын дүн,Нүүр амны,2020,435.0
Улсын дүн,Нүүр амны,2019,514.0
Улсын дүн,Нүүр амны,2018,434.0
Улсын дүн,Нүүр амны,2017,549.0
Улсын дүн,Нүүр амны,2016,461.0
Улсын дүн,Нүүр амны,2015,476.0
Улсын дүн,Бусад,2025,2610.0
Улсын дүн,Бусад,2024,2586.0
Улсын дүн,Бусад,2023,2315.0
Улсын дүн,Бусад,2022,2121.0
Улсын дүн,Бусад,2021,1894.0
Улсын дүн,Бусад,2020,1694.0
Улсын дүн,Бусад,2019,1176.0
Улсын дүн,Бусад,2018,780.0
Улсын дүн,Бусад,2017,581.0
Улсын дүн,Бусад,2016,561.0
Улсын дүн,Бусад,2015,544.0
    Баруун бүс,Сувилагч-Бүгд,2025,1747.0
    Баруун бүс,Сувилагч-Бүгд,2024,1764.0
    Баруун бүс,Сувилагч-Бүгд,2023,1734.0
    Баруун бүс,Сувилагч-Бүгд,2022,1649.0
    Баруун бүс,Сувилагч-Бүгд,2021,1585.0
    Баруун бүс,Сувилагч-Бүгд,2020,1544.0
    Баруун бүс,Сувилагч-Бүгд,2019,1521.0
    Баруун бүс,Сувилагч-Бүгд,2018,1449.0
    Баруун бүс,Сувилагч-Бүгд,2017,1400.0
    Баруун бүс,Сувилагч-Бүгд,2016,1404.0
    Баруун бүс,Сувилагч-Бүгд,2015,1362.0
    Баруун бүс,Ерөнхий мэргэжлийн,2025,672.0
    Баруун бүс,Ерөнхий мэргэжлийн,2024,703.0
    Баруун бүс,Ерөнхий мэргэжлийн,2023,742.0
    Баруун бүс,Ерөнхий мэргэжлийн,2022,754.0
    Баруун бүс,Ерөнхий мэргэжлийн,2021,755.0
    Баруун бүс,Ерөнхий мэргэжлийн,2020,759.0
    Баруун бүс,Ерөнхий мэргэжлийн,2019,815.0
    Баруун бүс,Ерөнхий мэргэжлийн,2018,763.0
    Баруун бүс,Ерөнхий мэргэжлийн,2017,770.0
    Баруун бүс,Ерөнхий мэргэжлийн,2016,795.0
    Баруун бүс,Ерөнхий мэргэжлийн,2015,786.0
    Баруун бүс,Үндсэн ба төрөлжсөн мэргэжлийн,2025,971.0
    Баруун бүс,Үндсэн ба төрөлжсөн мэргэжлийн,2024,963.0
    Баруун бүс,Үндсэн ба төрөлжсөн мэргэжлийн,2023,887.0
    Баруун бүс,Үндсэн ба төрөлжсөн мэргэжлийн,2022,803.0
