Region,Indicator,Year,value
Total, Obstetrics & gynecologists,2020,101.0
Total, Obstetrics & gynecologists,2019,179.0
Total, Obstetrics & gynecologists,2018,296.0
Total, Obstetrics & gynecologists,2017,436.0
Total, Obstetrics & gynecologists,2016,419.0
Total, Obstetrics & gynecologists,2015,414.0
Total, Oncologists,2025,163.0
Total, Oncologists,2024,178.0
Total, Oncologists,2023,147.0
Total, Oncologists,2022,155.0
Total, Oncologists,2021,151.0
Total, Oncologists,2020,153.0
Total, Oncologists,2019,133.0
Total, Oncologists,2018,97.0
Total, Oncologists,2017,85.0
Total, Oncologists,2016,90.0
Total, Oncologists,2015,92.0
Total, Psychiatrists,2025,213.0
Total, Psychiatrists,2024,198.0
Total, Psychiatrists,2023,182.0
Total, Psychiatrists,2022,183.0
Total, Psychiatrists,2021,182.0
Total, Psychiatrists,2020,176.0
Total, Psychiatrists,2019,172.0
Total, Psychiatrists,2018,176.0
Total, Psychiatrists,2017,192.0
Total, Psychiatrists,2016,195.0
Total, Psychiatrists,2015,176.0
Total, Ophtalmologists,2025,111.0
Total, Ophtalmologists,2024,110.0
Total, Ophtalmologists,2023,112.0
Total, Ophtalmologists,2022,115.0
Total, Ophtalmologists,2021,106.0
Total, Ophtalmologists,2020,98.0
Total, Ophtalmologists,2019,98.0
Total, Ophtalmologists,2018,97.0
Total, Ophtalmologists,2017,99.0
Total, Ophtalmologists,2016,94.0
Total, Ophtalmologists,2015,87.0
Total, Otorhinolaryngologists,2025,121.0
Total, Otorhinolaryngologists,2024,128.0
Total, Otorhinolaryngologists,2023,130.0
Total, Otorhinolaryngologists,2022,117.0
Total, Otorhinolaryngologists,2021,116.0
Total, Otorhinolaryngologists,2020,110.0
Total, Otorhinolaryngologists,2019,102.0
Total, Otorhinolaryngologists,2018,117.0
Total, Otorhinolaryngologists,2017,101.0
Total, Otorhinolaryngologists,2016,97.0
Total, Otorhinolaryngologists,2015,98.0
Total, Dermatologists,2025,116.0
Total, Dermatologists,2024,101.0
Total, Dermatologists,2023,98.0
Total, Dermatologists,2022,93.0
Total, Dermatologists,2021,74.0
Total, Dermatologists,2020,74.0
Total, Dermatologists,2019,85.0
Total, Dermatologists,2018,80.0
Total, Dermatologists,2017,89.0
Total, Dermatologists,2016,72.0
Total, Dermatologists,2015,73.0
Total, Infections,2025,908.0
Total, Infections,2024,757.0
Total, Infections,2023,729.0
Total, Infections,2022,737.0
Total, Infections,2021,672.0
Total, Infections,2020,546.0
Total, Infections,2019,496.0
Total, Infections,2018,387.0
Total, Infections,2017,405.0
Total, Infections,2016,385.0
Total, Infections,2015,376.0
Total, Tuberculosis,2025,
Total, Tuberculosis,2024,0.0
Total, Tuberculosis,2023,0.0
Total, Tuberculosis,2022,0.0
Total, Tuberculosis,2021,0.0
Total, Tuberculosis,2020,0.0
Total, Tuberculosis,2019,0.0
Total, Tuberculosis,2018,136.0
Total, Tuberculosis,2017,137.0
Total, Tuberculosis,2016,140.0
Total, Tuberculosis,2015,147.0
Total, HIV/Venerology,2025,
Total, HIV/Venerology,2024,0.0
Total, HIV/Venerology,2023,0.0
Total, HIV/Venerology,2022,0.0
Total, HIV/Venerology,2021,0.0
Total, HIV/Venerology,2020,0.0
Total, HIV/Venerology,2019,0.0
Total, HIV/Venerology,2018,48.0
Total, HIV/Venerology,2017,51.0
Total, HIV/Venerology,2016,52.0
Total, HIV/Venerology,2015,49.0
Total, Physiotherapists,2025,565.0
Total, Physiotherapists,2024,580.0
Total, Physiotherapists,2023,492.0
Total, Physiotherapists,2022,447.0
Total, Physiotherapists,2021,414.0
Total, Physiotherapists,2020,384.0
Total, Physiotherapists,2019,419.0
Total, Physiotherapists,2018,422.0
Total, Physiotherapists,2017,393.0
Total, Physiotherapists,2016,390.0
Total, Physiotherapists,2015,369.0
Total, Palliative care,2025,135.0
Total, Palliative care,2024,118.0
Total, Palliative care,2023,118.0
Total, Palliative care,2022,94.0
Total, Palliative care,2021,87.0
Total, Palliative care,2020,89.0
Total, Palliative care,2019,96.0
Total, Palliative care,2018,73.0
Total, Palliative care,2017,55.0
Total, Palliative care,2016,41.0
Total, Palliative care,2015,39.0
Total, Elderly,2025,
Total, Elderly,2024,
Total, Elderly,2023,0.0
Total, Elderly,2022,0.0
Total, Elderly,2021,0.0
Total, Elderly,2020,0.0
Total, Elderly,2019,0.0
Total, Elderly,2018,33.0
Total, Elderly,2017,29.0
Total, Elderly,2016,20.0
Total, Elderly,2015,31.0
Total, Traditional medicine doctor,2025,382.0
Total, Traditional medicine doctor,2024,455.0
Total, Traditional medicine doctor,2023,490.0
Total, Traditional medicine doctor,2022,457.0
Total, Traditional medicine doctor,2021,411.0
Total, Traditional medicine doctor,2020,409.0
Total, Traditional medicine doctor,2019,451.0
Total, Traditional medicine doctor,2018,415.0
Total, Traditional medicine doctor,2017,455.0
Total, Traditional medicine doctor,2016,437.0
Total, Traditional medicine doctor,2015,425.0
Total, Dentist & stamatologist,2025,372.0
Total, Dentist & stamatologist,2024,384.0
Total, Dentist & stamatologist,2023,383.0
Total, Dentist & stamatologist,2022,372.0
Total, Dentist & stamatologist,2021,417.0
Total, Dentist & stamatologist,2020,435.0
Total, Dentist & stamatologist,2019,514.0
Total, Dentist & stamatologist,2018,434.0
Total, Dentist & stamatologist,2017,549.0
Total, Dentist & stamatologist,2016,461.0
Total, Dentist & stamatologist,2015,476.0
Total, Other,2025,2610.0
Total, Other,2024,2586.0
Total, Other,2023,2315.0
Total, Other,2022,2121.0
Total, Other,2021,1894.0
Total, Other,2020,1694.0
Total, Other,2019,1176.0
Total, Other,2018,780.0
Total, Other,2017,581.0
Total, Other,2016,561.0
Total, Other,2015,544.0
 Western region,Nurses-Total,2025,1747.0
 Western region,Nurses-Total,2024,1764.0
 Western region,Nurses-Total,2023,1734.0
 Western region,Nurses-Total,2022,1649.0
 Western region,Nurses-Total,2021,1585.0
 Western region,Nurses-Total,2020,1544.0
 Western region,Nurses-Total,2019,1521.0
 Western region,Nurses-Total,2018,1449.0
 Western region,Nurses-Total,2017,1400.0
 Western region,Nurses-Total,2016,1404.0
 Western region,Nurses-Total,2015,1362.0
 Western region, General practitioners,2025,672.0
 Western region, General practitioners,2024,703.0
 Western region, General practitioners,2023,742.0
 Western region, General practitioners,2022,754.0
 Western region, General practitioners,2021,755.0
 Western region, General practitioners,2020,759.0
 Western region, General practitioners,2019,815.0
 Western region, General practitioners,2018,763.0
 Western region, General practitioners,2017,770.0
 Western region, General practitioners,2016,795.0
 Western region, General practitioners,2015,786.0
 Western region, Basic and specialized,2025,971.0
 Western region, Basic and specialized,2024,963.0
 Western region, Basic and specialized,2023,887.0
 Western region, Basic and specialized,2022,803.0
 Western region, Basic and specialized,2021,747.0
 Western region, Basic and specialized,2020,710.0
 Western region, Basic and specialized,2019,630.0
 Western region, Basic and specialized,2018,615.0
 Western region, Basic and specialized,2017,564.0
 Western region, Basic and specialized,2016,546.0
 Western region, Basic and specialized,2015,516.0
 Western region, Internists,2025,9.0
 Western region, Internists,2024,12.0
 Western region, Internists,2023,9.0
 Western region, Internists,2022,6.0
 Western region, Internists,2021,9.0
 Western region, Internists,2020,6.0
 Western region, Internists,2019,8.0
 Western region, Internists,2018,17.0
 Western region, Internists,2017,25.0
 Western region, Internists,2016,13.0
 Western region, Internists,2015,16.0
 Western region, Pediatrics,2025,183.0
 Western region, Pediatrics,2024,189.0
 Western region, Pediatrics,2023,170.0
 Western region, Pediatrics,2022,160.0
 Western region, Pediatrics,2021,164.0
 Western region, Pediatrics,2020,157.0
 Western region, Pediatrics,2019,151.0
 Western region, Pediatrics,2018,158.0
 Western region, Pediatrics,2017,116.0
 Western region, Pediatrics,2016,132.0
 Western region, Pediatrics,2015,142.0
 Western region, Surgical,2025,82.0
 Western region, Surgical,2024,95.0
 Western region, Surgical,2023,104.0
 Western region, Surgical,2022,91.0
 Western region, Surgical,2021,108.0
 Western region, Surgical,2020,105.0
 Western region, Surgical,2019,105.0
 Western region, Surgical,2018,90.0
 Western region, Surgical,2017,89.0
 Western region, Surgical,2016,89.0
 Western region, Surgical,2015,85.0
 Western region, Traumotologists,2025,29.0
 Western region, Traumotologists,2024,31.0
 Western region, Traumotologists,2023,30.0
 Western region, Traumotologists,2022,29.0
 Western region, Traumotologists,2021,20.0
 Western region, Traumotologists,2020,21.0
 Western region, Traumotologists,2019,15.0
 Western region, Traumotologists,2018,17.0
 Western region, Traumotologists,2017,18.0
 Western region, Traumotologists,2016,10.0
 Western region, Traumotologists,2015,10.0
 Western region, Сэхээн амьдруулахын,2025,0.0
 Western region, Сэхээн амьдруулахын,2024,0.0
 Western region, Сэхээн амьдруулахын,2023,40.0
 Western region, Сэхээн амьдруулахын,2022,35.0
 Western region, Сэхээн амьдруулахын,2021,0.0
 Western region, Сэхээн амьдруулахын,2020,23.0
 Western region, Сэхээн амьдруулахын,2019,0.0
 Western region, Сэхээн амьдруулахын,2018,23.0
 Western region, Сэхээн амьдруулахын,2017,27.0
 Western region, Сэхээн амьдруулахын,2016,28.0
 Western region, Сэхээн амьдруулахын,2015,25.0
 Western region, Anaesthesiologists,2025,101.0
 Western region, Anaesthesiologists,2024,100.0
 Western region, Anaesthesiologists,2023,52.0
 Western region, Anaesthesiologists,2022,50.0
 Western region, Anaesthesiologists,2021,73.0
 Western region, Anaesthesiologists,2020,44.0
 Western region, Anaesthesiologists,2019,71.0
 Western region, Anaesthesiologists,2018,44.0
 Western region, Anaesthesiologists,2017,37.0
 Western region, Anaesthesiologists,2016,38.0
 Western region, Anaesthesiologists,2015,45.0
 Western region, Neurologists,2025,29.0
 Western region, Neurologists,2024,29.0
 Western region, Neurologists,2023,22.0
 Western region, Neurologists,2022,17.0
 Western region, Neurologists,2021,73.0
 Western region, Neurologists,2020,17.0
 Western region, Neurologists,2019,14.0
 Western region, Neurologists,2018,16.0
 Western region, Neurologists,2017,13.0
 Western region, Neurologists,2016,11.0
 Western region, Neurologists,2015,11.0
 Western region, Obstetrics & gynecologists,2025,3.0
 Western region, Obstetrics & gynecologists,2024,21.0
 Western region, Obstetrics & gynecologists,2023,7.0
 Western region, Obstetrics & gynecologists,2022,7.0
 Western region, Obstetrics & gynecologists,2021,15.0
 Western region, Obstetrics & gynecologists,2020,5.0
 Western region, Obstetrics & gynecologists,2019,7.0
 Western region, Obstetrics & gynecologists,2018,31.0
 Western region, Obstetrics & gynecologists,2017,38.0
 Western region, Obstetrics & gynecologists,2016,36.0
 Western region, Obstetrics & gynecologists,2015,30.0
 Western region, Oncologists,2025,12.0
 Western region, Oncologists,2024,13.0
 Western region, Oncologists,2023,9.0
 Western region, Oncologists,2022,9.0
 Western region, Oncologists,2021,9.0
 Western region, Oncologists,2020,10.0
 Western region, Oncologists,2019,9.0
 Western region, Oncologists,2018,10.0
 Western region, Oncologists,2017,10.0
 Western region, Oncologists,2016,7.0
 Western region, Oncologists,2015,5.0
 Western region, Psychiatrists,2025,25.0
 Western region, Psychiatrists,2024,22.0
 Western region, Psychiatrists,2023,18.0
 Western region, Psychiatrists,2022,14.0
 Western region, Psychiatrists,2021,15.0
 Western region, Psychiatrists,2020,14.0
 Western region, Psychiatrists,2019,15.0
 Western region, Psychiatrists,2018,17.0
 Western region, Psychiatrists,2017,18.0
 Western region, Psychiatrists,2016,17.0
 Western region, Psychiatrists,2015,16.0
 Western region, Ophtalmologists,2025,7.0
 Western region, Ophtalmologists,2024,7.0
 Western region, Ophtalmologists,2023,8.0
 Western region, Ophtalmologists,2022,9.0
 Western region, Ophtalmologists,2021,8.0
 Western region, Ophtalmologists,2020,7.0
 Western region, Ophtalmologists,2019,7.0
 Western region, Ophtalmologists,2018,8.0
 Western region, Ophtalmologists,2017,6.0
 Western region, Ophtalmologists,2016,6.0
 Western region, Ophtalmologists,2015,7.0
 Western region, Otorhinolaryngologists,2025,8.0
 Western region, Otorhinolaryngologists,2024,11.0
 Western region, Otorhinolaryngologists,2023,11.0
 Western region, Otorhinolaryngologists,2022,12.0
 Western region, Otorhinolaryngologists,2021,10.0
 Western region, Otorhinolaryngologists,2020,10.0
 Western region, Otorhinolaryngologists,2019,9.0
 Western region, Otorhinolaryngologists,2018,8.0
 Western region, Otorhinolaryngologists,2017,7.0
 Western region, Otorhinolaryngologists,2016,8.0
 Western region, Otorhinolaryngologists,2015,9.0
 Western region, Dermatologists,2025,17.0
 Western region, Dermatologists,2024,19.0
 Western region, Dermatologists,2023,17.0
 Western region, Dermatologists,2022,12.0
 Western region, Dermatologists,2021,11.0
 Western region, Dermatologists,2020,11.0
 Western region, Dermatologists,2019,22.0
 Western region, Dermatologists,2018,7.0
 Western region, Dermatologists,2017,8.0
 Western region, Dermatologists,2016,4.0
 Western region, Dermatologists,2015,5.0
 Western region, Infections,2025,155.0
 Western region, Infections,2024,144.0
 Western region, Infections,2023,143.0
 Western region, Infections,2022,143.0
 Western region, Infections,2021,124.0
 Western region, Infections,2020,120.0
 Western region, Infections,2019,76.0
 Western region, Infections,2018,36.0
 Western region, Infections,2017,40.0
 Western region, Infections,2016,40.0
 Western region, Infections,2015,26.0
 Western region, Tuberculosis,2025,0.0
 Western region, Tuberculosis,2024,0.0
 Western region, Tuberculosis,2023,0.0
 Western region, Tuberculosis,2022,0.0
 Western region, Tuberculosis,2021,0.0
 Western region, Tuberculosis,2020,0.0
 Western region, Tuberculosis,2019,0.0
 Western region, Tuberculosis,2018,14.0
 Western region, Tuberculosis,2017,13.0
 Western region, Tuberculosis,2016,13.0
 Western region, Tuberculosis,2015,14.0
 Western region, HIV/Venerology,2025,0.0
 Western region, HIV/Venerology,2024,0.0
 Western region, HIV/Venerology,2023,0.0
 Western region, HIV/Venerology,2022,0.0
 Western region, HIV/Venerology,2021,0.0
 Western region, HIV/Venerology,2020,0.0
 Western region, HIV/Venerology,2019,0.0
 Western region, HIV/Venerology,2018,8.0
 Western region, HIV/Venerology,2017,8.0
 Western region, HIV/Venerology,2016,8.0
 Western region, HIV/Venerology,2015,5.0
 Western region, Physiotherapists,2025,60.0
 Western region, Physiotherapists,2024,58.0
 Western region, Physiotherapists,2023,50.0
 Western region, Physiotherapists,2022,39.0
 Western region, Physiotherapists,2021,28.0
 Western region, Physiotherapists,2020,32.0
 Western region, Physiotherapists,2019,26.0
 Western region, Physiotherapists,2018,28.0
 Western region, Physiotherapists,2017,20.0
 Western region, Physiotherapists,2016,24.0
 Western region, Physiotherapists,2015,20.0
 Western region, Palliative care,2025,31.0
 Western region, Palliative care,2024,21.0
 Western region, Palliative care,2023,23.0
 Western region, Palliative care,2022,19.0
 Western region, Palliative care,2021,14.0
 Western region, Palliative care,2020,19.0
 Western region, Palliative care,2019,16.0
 Western region, Palliative care,2018,12.0
 Western region, Palliative care,2017,8.0
 Western region, Palliative care,2016,10.0
 Western region, Palliative care,2015,8.0
 Western region, Elderly,2025,0.0
 Western region, Elderly,2024,0.0
 Western region, Elderly,2023,0.0
 Western region, Elderly,2022,0.0
 Western region, Elderly,2021,0.0
 Western region, Elderly,2020,0.0
 Western region, Elderly,2019,0.0
 Western region, Elderly,2018,6.0
 Western region, Elderly,2017,4.0
 Western region, Elderly,2016,5.0
 Western region, Elderly,2015,5.0
 Western region, Traditional medicine doctor,2025,74.0
 Western region, Traditional medicine doctor,2024,72.0
 Western region, Traditional medicine doctor,2023,78.0
 Western region, Traditional medicine doctor,2022,75.0
 Western region, Traditional medicine doctor,2021,67.0
 Western region, Traditional medicine doctor,2020,61.0
 Western region, Traditional medicine doctor,2019,61.0
 Western region, Traditional medicine doctor,2018,60.0
 Western region, Traditional medicine doctor,2017,52.0
 Western region, Traditional medicine doctor,2016,49.0
 Western region, Traditional medicine doctor,2015,46.0
 Western region, Dentist & stamatologist,2025,30.0
 Western region, Dentist & stamatologist,2024,26.0
 Western region, Dentist & stamatologist,2023,27.0
 Western region, Dentist & stamatologist,2022,17.0
 Western region, Dentist & stamatologist,2021,16.0
 Western region, Dentist & stamatologist,2020,14.0
 Western region, Dentist & stamatologist,2019,15.0
 Western region, Dentist & stamatologist,2018,11.0
 Western region, Dentist & stamatologist,2017,14.0
 Western region, Dentist & stamatologist,2016,14.0
 Western region, Dentist & stamatologist,2015,14.0
 Western region, Other,2025,220.0
 Western region, Other,2024,191.0
 Western region, Other,2023,174.0
 Western region, Other,2022,151.0
 Western region, Other,2021,133.0
 Western region, Other,2020,109.0
 Western region, Other,2019,79.0
 Western region, Other,2018,87.0
 Western region, Other,2017,80.0
 Western region, Other,2016,68.0
 Western region, Other,2015,51.0
 Bayan-Ulgii,Nurses-Total,2025,433.0
 Bayan-Ulgii,Nurses-Total,2024,459.0
 Bayan-Ulgii,Nurses-Total,2023,442.0
 Bayan-Ulgii,Nurses-Total,2022,404.0
 Bayan-Ulgii,Nurses-Total,2021,391.0
 Bayan-Ulgii,Nurses-Total,2020,377.0
 Bayan-Ulgii,Nurses-Total,2019,361.0
 Bayan-Ulgii,Nurses-Total,2018,328.0
 Bayan-Ulgii,Nurses-Total,2017,316.0
 Bayan-Ulgii,Nurses-Total,2016,308.0
 Bayan-Ulgii,Nurses-Total,2015,297.0
 Bayan-Ulgii, General practitioners,2025,231.0
 Bayan-Ulgii, General practitioners,2024,278.0
 Bayan-Ulgii, General practitioners,2023,272.0
 Bayan-Ulgii, General practitioners,2022,265.0
 Bayan-Ulgii, General practitioners,2021,265.0
 Bayan-Ulgii, General practitioners,2020,255.0
 Bayan-Ulgii, General practitioners,2019,252.0
 Bayan-Ulgii, General practitioners,2018,207.0
 Bayan-Ulgii, General practitioners,2017,207.0
 Bayan-Ulgii, General practitioners,2016,206.0
 Bayan-Ulgii, General practitioners,2015,208.0
 Bayan-Ulgii, Basic and specialized,2025,179.0
 Bayan-Ulgii, Basic and specialized,2024,162.0
 Bayan-Ulgii, Basic and specialized,2023,150.0
 Bayan-Ulgii, Basic and specialized,2022,126.0
 Bayan-Ulgii, Basic and specialized,2021,109.0
 Bayan-Ulgii, Basic and specialized,2020,108.0
 Bayan-Ulgii, Basic and specialized,2019,94.0
 Bayan-Ulgii, Basic and specialized,2018,110.0
 Bayan-Ulgii, Basic and specialized,2017,98.0
 Bayan-Ulgii, Basic and specialized,2016,93.0
 Bayan-Ulgii, Basic and specialized,2015,79.0
 Bayan-Ulgii, Internists,2025,2.0
 Bayan-Ulgii, Internists,2024,2.0
 Bayan-Ulgii, Internists,2023,2.0
 Bayan-Ulgii, Internists,2022,2.0
 Bayan-Ulgii, Internists,2021,1.0
 Bayan-Ulgii, Internists,2020,1.0
 Bayan-Ulgii, Internists,2019,2.0
 Bayan-Ulgii, Internists,2018,0.0
 Bayan-Ulgii, Internists,2017,0.0
 Bayan-Ulgii, Internists,2016,0.0
 Bayan-Ulgii, Internists,2015,0.0
 Bayan-Ulgii, Pediatrics,2025,34.0
 Bayan-Ulgii, Pediatrics,2024,34.0
 Bayan-Ulgii, Pediatrics,2023,30.0
 Bayan-Ulgii, Pediatrics,2022,26.0
 Bayan-Ulgii, Pediatrics,2021,24.0
 Bayan-Ulgii, Pediatrics,2020,26.0
 Bayan-Ulgii, Pediatrics,2019,24.0
 Bayan-Ulgii, Pediatrics,2018,26.0
 Bayan-Ulgii, Pediatrics,2017,22.0
 Bayan-Ulgii, Pediatrics,2016,20.0
 Bayan-Ulgii, Pediatrics,2015,16.0
 Bayan-Ulgii, Surgical,2025,18.0
 Bayan-Ulgii, Surgical,2024,17.0
 Bayan-Ulgii, Surgical,2023,17.0
 Bayan-Ulgii, Surgical,2022,16.0
 Bayan-Ulgii, Surgical,2021,17.0
 Bayan-Ulgii, Surgical,2020,17.0
 Bayan-Ulgii, Surgical,2019,16.0
 Bayan-Ulgii, Surgical,2018,19.0
 Bayan-Ulgii, Surgical,2017,18.0
 Bayan-Ulgii, Surgical,2016,18.0
 Bayan-Ulgii, Surgical,2015,17.0
 Bayan-Ulgii, Traumotologists,2025,1.0
 Bayan-Ulgii, Traumotologists,2024,1.0
 Bayan-Ulgii, Traumotologists,2023,1.0
 Bayan-Ulgii, Traumotologists,2022,1.0
 Bayan-Ulgii, Traumotologists,2021,1.0
 Bayan-Ulgii, Traumotologists,2020,1.0
 Bayan-Ulgii, Traumotologists,2019,1.0
 Bayan-Ulgii, Traumotologists,2018,1.0
 Bayan-Ulgii, Traumotologists,2017,1.0
 Bayan-Ulgii, Traumotologists,2016,1.0
 Bayan-Ulgii, Traumotologists,2015,1.0
 Bayan-Ulgii, Сэхээн амьдруулахын,2025,
 Bayan-Ulgii, Сэхээн амьдруулахын,2024,0.0
 Bayan-Ulgii, Сэхээн амьдруулахын,2023,7.0
 Bayan-Ulgii, Сэхээн амьдруулахын,2022,6.0
 Bayan-Ulgii, Сэхээн амьдруулахын,2021,0.0
 Bayan-Ulgii, Сэхээн амьдруулахын,2020,4.0
 Bayan-Ulgii, Сэхээн амьдруулахын,2019,0.0
 Bayan-Ulgii, Сэхээн амьдруулахын,2018,4.0
 Bayan-Ulgii, Сэхээн амьдруулахын,2017,3.0
 Bayan-Ulgii, Сэхээн амьдруулахын,2016,3.0
 Bayan-Ulgii, Сэхээн амьдруулахын,2015,3.0
 Bayan-Ulgii, Anaesthesiologists,2025,16.0
 Bayan-Ulgii, Anaesthesiologists,2024,17.0
 Bayan-Ulgii, Anaesthesiologists,2023,10.0
 Bayan-Ulgii, Anaesthesiologists,2022,9.0
 Bayan-Ulgii, Anaesthesiologists,2021,11.0
 Bayan-Ulgii, Anaesthesiologists,2020,7.0
 Bayan-Ulgii, Anaesthesiologists,2019,14.0
 Bayan-Ulgii, Anaesthesiologists,2018,7.0
 Bayan-Ulgii, Anaesthesiologists,2017,6.0
 Bayan-Ulgii, Anaesthesiologists,2016,6.0
 Bayan-Ulgii, Anaesthesiologists,2015,7.0
 Bayan-Ulgii, Neurologists,2025,10.0
 Bayan-Ulgii, Neurologists,2024,10.0
 Bayan-Ulgii, Neurologists,2023,7.0
 Bayan-Ulgii, Neurologists,2022,4.0
 Bayan-Ulgii, Neurologists,2021,11.0
 Bayan-Ulgii, Neurologists,2020,4.0
 Bayan-Ulgii, Neurologists,2019,3.0
 Bayan-Ulgii, Neurologists,2018,3.0
 Bayan-Ulgii, Neurologists,2017,2.0
 Bayan-Ulgii, Neurologists,2016,2.0
 Bayan-Ulgii, Neurologists,2015,1.0
 Bayan-Ulgii, Obstetrics & gynecologists,2025,2.0
 Bayan-Ulgii, Obstetrics & gynecologists,2024,2.0
 Bayan-Ulgii, Obstetrics & gynecologists,2023,2.0
 Bayan-Ulgii, Obstetrics & gynecologists,2022,2.0
 Bayan-Ulgii, Obstetrics & gynecologists,2021,4.0
 Bayan-Ulgii, Obstetrics & gynecologists,2020,3.0
 Bayan-Ulgii, Obstetrics & gynecologists,2019,2.0
 Bayan-Ulgii, Obstetrics & gynecologists,2018,1.0
 Bayan-Ulgii, Obstetrics & gynecologists,2017,1.0
 Bayan-Ulgii, Obstetrics & gynecologists,2016,0.0
 Bayan-Ulgii, Obstetrics & gynecologists,2015,0.0
 Bayan-Ulgii, Oncologists,2025,1.0
 Bayan-Ulgii, Oncologists,2024,2.0
 Bayan-Ulgii, Oncologists,2023,2.0
 Bayan-Ulgii, Oncologists,2022,2.0
 Bayan-Ulgii, Oncologists,2021,2.0
 Bayan-Ulgii, Oncologists,2020,2.0
 Bayan-Ulgii, Oncologists,2019,2.0
 Bayan-Ulgii, Oncologists,2018,0.0
 Bayan-Ulgii, Oncologists,2017,0.0
 Bayan-Ulgii, Oncologists,2016,0.0
 Bayan-Ulgii, Oncologists,2015,0.0
 Bayan-Ulgii, Psychiatrists,2025,4.0
