Гол нэр төрлийн бүтээгдэхүүн,Он,value
Дулааны эрчим хүч /мян.Гкал/,2002,6867.6
Дулааны эрчим хүч /мян.Гкал/,2001,6597.2
Дулааны эрчим хүч /мян.Гкал/,2000,6885.4
Дулааны эрчим хүч /мян.Гкал/,1999,6420.9
Дулааны эрчим хүч /мян.Гкал/,1998,6521.8
Дулааны эрчим хүч /мян.Гкал/,1997,6456.8
Дулааны эрчим хүч /мян.Гкал/,1996,6403.6
Дулааны эрчим хүч /мян.Гкал/,1995,6816.8
Дулааны эрчим хүч /мян.Гкал/,1994,6696.8
Дулааны эрчим хүч /мян.Гкал/,1993,6264.7
Дулааны эрчим хүч /мян.Гкал/,1992,7977.4
Дулааны эрчим хүч /мян.Гкал/,1991,8054.0
Дулааны эрчим хүч /мян.Гкал/,1990,7311.4
Дулааны эрчим хүч /мян.Гкал/,1989,6803.9
Түгээсэн ус /мян. м3/,2025,74271.4
Түгээсэн ус /мян. м3/,2024,70547.7
Түгээсэн ус /мян. м3/,2023,68162.8
Түгээсэн ус /мян. м3/,2022,65362.7
Түгээсэн ус /мян. м3/,2021,64001.5
Түгээсэн ус /мян. м3/,2020,61877.4
Түгээсэн ус /мян. м3/,2019,63366.7
Түгээсэн ус /мян. м3/,2018,63095.5
Түгээсэн ус /мян. м3/,2017,62735.8
Түгээсэн ус /мян. м3/,2016,61029.5
Түгээсэн ус /мян. м3/,2015,62581.8
Түгээсэн ус /мян. м3/,2014,65513.3
Түгээсэн ус /мян. м3/,2013,64597.7
Түгээсэн ус /мян. м3/,2012,62821.1
Түгээсэн ус /мян. м3/,2011,61998.2
Түгээсэн ус /мян. м3/,2010,61742.0
Түгээсэн ус /мян. м3/,2009,63282.3
Түгээсэн ус /мян. м3/,2008,65391.4
Түгээсэн ус /мян. м3/,2007,64743.0
Түгээсэн ус /мян. м3/,2006,60137.7
Түгээсэн ус /мян. м3/,2005,62253.5
Түгээсэн ус /мян. м3/,2004,63594.8
Түгээсэн ус /мян. м3/,2003,60499.7
Түгээсэн ус /мян. м3/,2002,59533.6
Түгээсэн ус /мян. м3/,2001,62148.0
Түгээсэн ус /мян. м3/,2000,53518.8
Түгээсэн ус /мян. м3/,1999,44800.0
Түгээсэн ус /мян. м3/,1998,25700.0
Түгээсэн ус /мян. м3/,1997,28300.0
Түгээсэн ус /мян. м3/,1996,28300.0
Түгээсэн ус /мян. м3/,1995,29700.0
Түгээсэн ус /мян. м3/,1994,35600.0
Түгээсэн ус /мян. м3/,1993,34900.0
Түгээсэн ус /мян. м3/,1992,34900.0
Түгээсэн ус /мян. м3/,1991,33600.0
Түгээсэн ус /мян. м3/,1990,43100.0
Түгээсэн ус /мян. м3/,1989,47500.0
Нүүрс (мян.т),2025,95540.0
Нүүрс (мян.т),2024,95055.8
Нүүрс (мян.т),2023,74283.7
Нүүрс (мян.т),2022,34708.1
Нүүрс (мян.т),2021,28645.0
Нүүрс (мян.т),2020,42863.6
Нүүрс (мян.т),2019,55799.4
Нүүрс (мян.т),2018,51401.3
Нүүрс (мян.т),2017,48145.1
Нүүрс (мян.т),2016,35522.3
Нүүрс (мян.т),2015,24205.9
Нүүрс (мян.т),2014,25287.8
Нүүрс (мян.т),2013,30123.3
Нүүрс (мян.т),2012,29926.1
Нүүрс (мян.т),2011,32029.7
Нүүрс (мян.т),2010,25161.9
Нүүрс (мян.т),2009,14442.1
Нүүрс (мян.т),2008,10071.9
Нүүрс (мян.т),2007,9237.6
Нүүрс (мян.т),2006,8074.1
Нүүрс (мян.т),2005,7517.1
Нүүрс (мян.т),2004,6865.0
Нүүрс (мян.т),2003,5666.1
Нүүрс (мян.т),2002,5544.4
Нүүрс (мян.т),2001,5141.0
Нүүрс (мян.т),2000,5185.0
Нүүрс (мян.т),1999,4964.0
Нүүрс (мян.т),1998,5057.0
Нүүрс (мян.т),1997,4924.0
Нүүрс (мян.т),1996,5110.6
Нүүрс (мян.т),1995,5019.0
Нүүрс (мян.т),1994,5158.0
Нүүрс (мян.т),1993,5617.0
Нүүрс (мян.т),1992,6247.3
Нүүрс (мян.т),1991,7037.0
Нүүрс (мян.т),1990,7157.0
Нүүрс (мян.т),1989,8044.5
Газрын тос /мян.баррель/,2025,3775.1
Газрын тос /мян.баррель/,2024,4188.3
Газрын тос /мян.баррель/,2023,4888.9
Газрын тос /мян.баррель/,2022,2565.4
Газрын тос /мян.баррель/,2021,4667.1
Газрын тос /мян.баррель/,2020,4105.9
Газрын тос /мян.баррель/,2019,6876.1
Газрын тос /мян.баррель/,2018,6388.6
Газрын тос /мян.баррель/,2017,7624.1
Газрын тос /мян.баррель/,2016,8249.8
Газрын тос /мян.баррель/,2015,8769.3
Газрын тос /мян.баррель/,2014,7405.3
Газрын тос /мян.баррель/,2013,5128.9
Газрын тос /мян.баррель/,2012,3636.0
Газрын тос /мян.баррель/,2011,2548.9
Газрын тос /мян.баррель/,2010,2181.4
Газрын тос /мян.баррель/,2009,1870.0
Газрын тос /мян.баррель/,2008,1174.2
Газрын тос /мян.баррель/,2007,833.2
Газрын тос /мян.баррель/,2006,366.8
Газрын тос /мян.баррель/,2005,200.7
Газрын тос /мян.баррель/,2004,215.7
Газрын тос /мян.баррель/,2003,183.0
Газрын тос /мян.баррель/,2002,139.2
Газрын тос /мян.баррель/,2001,73.7
Газрын тос /мян.баррель/,2000,65.5
Газрын тос /мян.баррель/,1999,71.9
Газрын тос /мян.баррель/,1998,44.8
Газрын тос /мян.баррель/,1997,
Газрын тос /мян.баррель/,1996,
Газрын тос /мян.баррель/,1995,
Газрын тос /мян.баррель/,1994,
Газрын тос /мян.баррель/,1993,
Газрын тос /мян.баррель/,1992,
Газрын тос /мян.баррель/,1991,
Газрын тос /мян.баррель/,1990,
Газрын тос /мян.баррель/,1989,
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",2025,0.0
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",2024,0.0
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",2023,0.0
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",2022,0.0
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",2021,0.0
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",2020,0.0
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",2019,377.0
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",2018,388.4
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",2017,397.2
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",2016,400.4
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",2015,890.7
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",2014,712.0
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",2013,533.3
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",2012,347.6
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",2011,347.4
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",2010,357.1
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",2009,370.9
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",2008,362.3
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",2007,371.9
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",2006,370.5
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",2005,361.6
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",2004,371.4
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",2003,372.2
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",2002,376.3
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",2001,381.4
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",2000,357.8
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",1999,361.9
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",1998,358.4
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",1997,357.9
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",1996,351.5
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",1995,346.4
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",1994,343.3
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",1993,334.3
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",1992,300.2
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",1991,257.4
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",1990,354.1
"Зэсийн баяжмал, 35%-ийн агуулгад шилжүүлснээр /мян.т/",1989,352.9
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",2025,2126.6
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",2024,1562.2
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",2023,1395.3
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",2022,1189.8
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",2021,1326.3
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",2020,1276.7
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",2019,1262.6
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",2018,1310.8
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",2017,1317.6
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",2016,1445.1
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",2015,1334.7
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",2014,1080.4
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",2013,803.0
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",2012,517.9
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",2011,513.7
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",2010,522.0
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",2009,533.1
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",2008,525.3
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",2007,543.1
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",2006,537.7
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",2005,515.8
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",2004,2893.2
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",2003,1852.4
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",2002,4889.0
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",2001,
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",2000,
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",1999,
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",1998,
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",1997,
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",1996,
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",1995,
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",1994,
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",1993,
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",1992,
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",1991,
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",1990,
"    Зэсийн баяжмал, металл агуулгаараа /мян.т/",1989,
Молибдений  баяжмал 47%-ийн агуулгад  /т/,2025,0.0
Молибдений  баяжмал 47%-ийн агуулгад  /т/,2024,0.0
Молибдений  баяжмал 47%-ийн агуулгад  /т/,2023,0.0
Молибдений  баяжмал 47%-ийн агуулгад  /т/,2022,0.0
Молибдений  баяжмал 47%-ийн агуулгад  /т/,2021,0.0
Молибдений  баяжмал 47%-ийн агуулгад  /т/,2020,0.0
Молибдений  баяжмал 47%-ийн агуулгад  /т/,2019,5722.3
Молибдений  баяжмал 47%-ийн агуулгад  /т/,2018,5836.4
Молибдений  баяжмал 47%-ийн агуулгад  /т/,2017,6220.4
Молибдений  баяжмал 47%-ийн агуулгад  /т/,2016,5718.1
Молибдений  баяжмал 47%-ийн агуулгад  /т/,2015,5441.0
Молибдений  баяжмал 47%-ийн агуулгад  /т/,2014,4254.0
Молибдений  баяжмал 47%-ийн агуулгад  /т/,2013,3869.2
Молибдений  баяжмал 47%-ийн агуулгад  /т/,2012,4050.2
Молибдений  баяжмал 47%-ийн агуулгад  /т/,2011,4163.1
Молибдений  баяжмал 47%-ийн агуулгад  /т/,2010,4677.0
Молибдений  баяжмал 47%-ийн агуулгад  /т/,2009,5125.0
Молибдений  баяжмал 47%-ийн агуулгад  /т/,2008,4042.0
Молибдений  баяжмал 47%-ийн агуулгад  /т/,2007,4209.1
Молибдений  баяжмал 47%-ийн агуулгад  /т/,2006,2987.0
Молибдений  баяжмал 47%-ийн агуулгад  /т/,2005,2528.0
Молибдений  баяжмал 47%-ийн агуулгад  /т/,2004,2428.0
Молибдений  баяжмал 47%-ийн агуулгад  /т/,2003,3836.6
Молибдений  баяжмал 47%-ийн агуулгад  /т/,2002,3384.0
Молибдений  баяжмал 47%-ийн агуулгад  /т/,2001,3028.0
Молибдений  баяжмал 47%-ийн агуулгад  /т/,2000,2843.0
Молибдений  баяжмал 47%-ийн агуулгад  /т/,1999,4157.0
Молибдений  баяжмал 47%-ийн агуулгад  /т/,1998,4240.0
Молибдений  баяжмал 47%-ийн агуулгад  /т/,1997,4238.3
Молибдений  баяжмал 47%-ийн агуулгад  /т/,1996,4684.0
Молибдений  баяжмал 47%-ийн агуулгад  /т/,1995,3906.0
Молибдений  баяжмал 47%-ийн агуулгад  /т/,1994,4396.0
Молибдений  баяжмал 47%-ийн агуулгад  /т/,1993,4367.0
Молибдений  баяжмал 47%-ийн агуулгад  /т/,1992,3500.0
Молибдений  баяжмал 47%-ийн агуулгад  /т/,1991,3718.0
Молибдений  баяжмал 47%-ийн агуулгад  /т/,1990,4208.0
Молибдений  баяжмал 47%-ийн агуулгад  /т/,1989,3361.0
"    Молибдений баяжмал, металл агуулгаараа /т/",2025,5508.0
"    Молибдений баяжмал, металл агуулгаараа /т/",2024,5498.2
"    Молибдений баяжмал, металл агуулгаараа /т/",2023,5643.7
"    Молибдений баяжмал, металл агуулгаараа /т/",2022,5914.2
"    Молибдений баяжмал, металл агуулгаараа /т/",2021,6326.1
"    Молибдений баяжмал, металл агуулгаараа /т/",2020,6147.7
"    Молибдений баяжмал, металл агуулгаараа /т/",2019,5302.8
"    Молибдений баяжмал, металл агуулгаараа /т/",2018,5486.1
"    Молибдений баяжмал, металл агуулгаараа /т/",2017,5759.6
"    Молибдений баяжмал, металл агуулгаараа /т/",2016,5174.4
"    Молибдений баяжмал, металл агуулгаараа /т/",2015,5207.0
"    Молибдений баяжмал, металл агуулгаараа /т/",2014,4054.0
"    Молибдений баяжмал, металл агуулгаараа /т/",2013,3732.1
"    Молибдений баяжмал, металл агуулгаараа /т/",2012,3933.9
"    Молибдений баяжмал, металл агуулгаараа /т/",2011,3977.0
"    Молибдений баяжмал, металл агуулгаараа /т/",2010,4448.0
"    Молибдений баяжмал, металл агуулгаараа /т/",2009,5263.6
"    Молибдений баяжмал, металл агуулгаараа /т/",2008,3795.0
"    Молибдений баяжмал, металл агуулгаараа /т/",2007,4002.0
"    Молибдений баяжмал, металл агуулгаараа /т/",2006,3022.0
"    Молибдений баяжмал, металл агуулгаараа /т/",2005,2469.0
"    Молибдений баяжмал, металл агуулгаараа /т/",2004,2334.0
"    Молибдений баяжмал, металл агуулгаараа /т/",2003,3519.0
"    Молибдений баяжмал, металл агуулгаараа /т/",2002,3069.0
"    Молибдений баяжмал, металл агуулгаараа /т/",2001,2310.0
"    Молибдений баяжмал, металл агуулгаараа /т/",2000,
"    Молибдений баяжмал, металл агуулгаараа /т/",1999,
"    Молибдений баяжмал, металл агуулгаараа /т/",1998,
"    Молибдений баяжмал, металл агуулгаараа /т/",1997,
"    Молибдений баяжмал, металл агуулгаараа /т/",1996,
"    Молибдений баяжмал, металл агуулгаараа /т/",1995,
"    Молибдений баяжмал, металл агуулгаараа /т/",1994,
"    Молибдений баяжмал, металл агуулгаараа /т/",1993,
"    Молибдений баяжмал, металл агуулгаараа /т/",1992,
"    Молибдений баяжмал, металл агуулгаараа /т/",1991,
"    Молибдений баяжмал, металл агуулгаараа /т/",1990,
"    Молибдений баяжмал, металл агуулгаараа /т/",1989,
Алт /кг/,2025,13028.2
Алт /кг/,2024,12594.9
Алт /кг/,2023,14854.8
Алт /кг/,2022,19382.7
Алт /кг/,2021,19054.4
Алт /кг/,2020,20225.5
Алт /кг/,2019,16234.9
Алт /кг/,2018,20655.2
Алт /кг/,2017,19849.0
Алт /кг/,2016,18435.7
Алт /кг/,2015,14532.8
Алт /кг/,2014,11503.8
Алт /кг/,2013,8900.9
Алт /кг/,2012,5977.1
Алт /кг/,2011,5457.0
Алт /кг/,2010,5998.6
Алт /кг/,2009,9341.2
Алт /кг/,2008,14494.1
Алт /кг/,2007,17138.8
Алт /кг/,2006,22561.3
Алт /кг/,2005,24121.9
Алт /кг/,2004,19417.6
Алт /кг/,2003,11111.3
Алт /кг/,2002,12097.1
Алт /кг/,2001,13674.6
Алт /кг/,2000,11808.1
Алт /кг/,1999,10246.2
Алт /кг/,1998,9531.4
Алт /кг/,1997,8451.0
Алт /кг/,1996,6976.4
Алт /кг/,1995,4504.0
Алт /кг/,1994,1789.5
Алт /кг/,1993,1117.0
Алт /кг/,1992,776.0
Алт /кг/,1991,722.6
Алт /кг/,1990,
Алт /кг/,1989,
Хайлуур жонш /мян.т/,2025,1505.4
Хайлуур жонш /мян.т/,2024,1145.8
Хайлуур жонш /мян.т/,2023,875.3
Хайлуур жонш /мян.т/,2022,322.7
Хайлуур жонш /мян.т/,2021,571.4
Хайлуур жонш /мян.т/,2020,127.3
Хайлуур жонш /мян.т/,2019,156.1
Хайлуур жонш /мян.т/,2018,101.2
Хайлуур жонш /мян.т/,2017,108.9
Хайлуур жонш /мян.т/,2016,167.7
Хайлуур жонш /мян.т/,2015,183.5
Хайлуур жонш /мян.т/,2014,303.0
Хайлуур жонш /мян.т/,2013,161.7
Хайлуур жонш /мян.т/,2012,484.4
Хайлуур жонш /мян.т/,2011,658.7
Хайлуур жонш /мян.т/,2010,727.0
Хайлуур жонш /мян.т/,2009,628.8
Хайлуур жонш /мян.т/,2008,545.8
Хайлуур жонш /мян.т/,2007,637.9
Хайлуур жонш /мян.т/,2006,521.9
Хайлуур жонш /мян.т/,2005,507.9
Хайлуур жонш /мян.т/,2004,468.2
Хайлуур жонш /мян.т/,2003,488.2
Хайлуур жонш /мян.т/,2002,513.9
Хайлуур жонш /мян.т/,2001,584.7
Хайлуур жонш /мян.т/,2000,733.5
Хайлуур жонш /мян.т/,1999,597.1
Хайлуур жонш /мян.т/,1998,612.0
Хайлуур жонш /мян.т/,1997,567.1
Хайлуур жонш /мян.т/,1996,565.1
Хайлуур жонш /мян.т/,1995,526.9
Хайлуур жонш /мян.т/,1994,383.2
Хайлуур жонш /мян.т/,1993,536.8
Хайлуур жонш /мян.т/,1992,622.1
Хайлуур жонш /мян.т/,1991,755.2
Хайлуур жонш /мян.т/,1990,455.9
Хайлуур жонш /мян.т/,1989,578.2
Хайлуур жоншны баяжмал /мян.т/,2025,408.5
Хайлуур жоншны баяжмал /мян.т/,2024,261.1
Хайлуур жоншны баяжмал /мян.т/,2023,349.0
Хайлуур жоншны баяжмал /мян.т/,2022,107.4
Хайлуур жоншны баяжмал /мян.т/,2021,165.1
Хайлуур жоншны баяжмал /мян.т/,2020,85.0
Хайлуур жоншны баяжмал /мян.т/,2019,47.5
Хайлуур жоншны баяжмал /мян.т/,2018,80.7
Хайлуур жоншны баяжмал /мян.т/,2017,55.2
Хайлуур жоншны баяжмал /мян.т/,2016,34.1
Хайлуур жоншны баяжмал /мян.т/,2015,47.3
Хайлуур жоншны баяжмал /мян.т/,2014,71.9
Хайлуур жоншны баяжмал /мян.т/,2013,76.4
Хайлуур жоншны баяжмал /мян.т/,2012,157.2
Хайлуур жоншны баяжмал /мян.т/,2011,116.4
Хайлуур жоншны баяжмал /мян.т/,2010,140.7
Хайлуур жоншны баяжмал /мян.т/,2009,115.3
Хайлуур жоншны баяжмал /мян.т/,2008,142.9
Хайлуур жоншны баяжмал /мян.т/,2007,131.8
Хайлуур жоншны баяжмал /мян.т/,2006,137.6
Хайлуур жоншны баяжмал /мян.т/,2005,134.1
Хайлуур жоншны баяжмал /мян.т/,2004,148.2
Хайлуур жоншны баяжмал /мян.т/,2003,198.4
Хайлуур жоншны баяжмал /мян.т/,2002,159.8
Хайлуур жоншны баяжмал /мян.т/,2001,209.0
Хайлуур жоншны баяжмал /мян.т/,2000,210.0
Хайлуур жоншны баяжмал /мян.т/,1999,184.2
Хайлуур жоншны баяжмал /мян.т/,1998,157.7
Хайлуур жоншны баяжмал /мян.т/,1997,135.1
Хайлуур жоншны баяжмал /мян.т/,1996,130.0
Хайлуур жоншны баяжмал /мян.т/,1995,130.0
Хайлуур жоншны баяжмал /мян.т/,1994,98.4
Хайлуур жоншны баяжмал /мян.т/,1993,148.1
Хайлуур жоншны баяжмал /мян.т/,1992,175.6
Хайлуур жоншны баяжмал /мян.т/,1991,218.7
Хайлуур жоншны баяжмал /мян.т/,1990,121.9
Хайлуур жоншны баяжмал /мян.т/,1989,161.5
    Төмрийн хүдэр /мян.т/,2025,8751.9
    Төмрийн хүдэр /мян.т/,2024,6642.2
    Төмрийн хүдэр /мян.т/,2023,5334.8
    Төмрийн хүдэр /мян.т/,2022,7659.9
    Төмрийн хүдэр /мян.т/,2021,9171.9
    Төмрийн хүдэр /мян.т/,2020,9224.4
    Төмрийн хүдэр /мян.т/,2019,8572.2
    Төмрийн хүдэр /мян.т/,2018,6225.4
    Төмрийн хүдэр /мян.т/,2017,7694.7
    Төмрийн хүдэр /мян.т/,2016,4936.2
    Төмрийн хүдэр /мян.т/,2015,4273.6
    Төмрийн хүдэр /мян.т/,2014,6293.1
    Төмрийн хүдэр /мян.т/,2013,5011.9
    Төмрийн хүдэр /мян.т/,2012,6898.0
    Төмрийн хүдэр /мян.т/,2011,5193.9
    Төмрийн хүдэр /мян.т/,2010,3076.6
    Төмрийн хүдэр /мян.т/,2009,1379.0
    Төмрийн хүдэр /мян.т/,2008,1387.4
    Төмрийн хүдэр /мян.т/,2007,265.1
    Төмрийн хүдэр /мян.т/,2006,180.0
    Төмрийн хүдэр /мян.т/,2005,167.7
    Төмрийн хүдэр /мян.т/,2004,33.5
    Төмрийн хүдэр /мян.т/,2003,
    Төмрийн хүдэр /мян.т/,2002,
    Төмрийн хүдэр /мян.т/,2001,
    Төмрийн хүдэр /мян.т/,2000,
    Төмрийн хүдэр /мян.т/,1999,
    Төмрийн хүдэр /мян.т/,1998,
    Төмрийн хүдэр /мян.т/,1997,
    Төмрийн хүдэр /мян.т/,1996,
    Төмрийн хүдэр /мян.т/,1995,
    Төмрийн хүдэр /мян.т/,1994,
    Төмрийн хүдэр /мян.т/,1993,
    Төмрийн хүдэр /мян.т/,1992,
    Төмрийн хүдэр /мян.т/,1991,
    Төмрийн хүдэр /мян.т/,1990,
    Төмрийн хүдэр /мян.т/,1989,
