сар,станц,температур
2006-02,Ховд,-12.9
2006-02,Чойбалсан,-18.1
2006-03,Даланзадгад,-0.3
2006-03,Дархан,-4.6
2006-03,Улаанбаатар,-6.3
2006-03,Ховд,-3.4
2006-03,Чойбалсан,-6.1
2006-04,Даланзадгад,6.8
2006-04,Дархан,1.6
2006-04,Улаанбаатар,-0.5
2006-04,Ховд,5.7
2006-04,Чойбалсан,1.0
2006-05,Даланзадгад,14.1
2006-05,Дархан,10.2
2006-05,Улаанбаатар,8.0
2006-05,Ховд,10.8
2006-05,Чойбалсан,11.8
2006-06,Даланзадгад,19.9
2006-06,Дархан,18.2
2006-06,Улаанбаатар,15.2
2006-06,Ховд,17.7
2006-06,Чойбалсан,17.8
2006-07,Даланзадгад,22.1
2006-07,Дархан,21.3
2006-07,Улаанбаатар,18.0
2006-07,Ховд,19.7
2006-07,Чойбалсан,20.4
2006-08,Даланзадгад,23.2
2006-08,Дархан,18.2
2006-08,Улаанбаатар,17.6
2006-08,Ховд,18.3
2006-08,Чойбалсан,20.2
2006-09,Даланзадгад,15.4
2006-09,Дархан,11.0
2006-09,Улаанбаатар,11.1
2006-09,Ховд,11.8
2006-09,Чойбалсан,13.9
2006-10,Даланзадгад,9.1
2006-10,Дархан,3.8
2006-10,Улаанбаатар,2.6
2006-10,Ховд,4.5
2006-10,Чойбалсан,3.8
2006-11,Даланзадгад,-2.2
2006-11,Дархан,-7.6
2006-11,Улаанбаатар,-8.4
2006-11,Ховд,-6.2
2006-11,Чойбалсан,-8.9
2006-12,Даланзадгад,-12.4
2006-12,Дархан,-22.5
2006-12,Улаанбаатар,-16.1
2006-12,Ховд,-16.8
2006-12,Чойбалсан,-15.2
2007-01,Даланзадгад,-11.8
2007-01,Дархан,-20.0
2007-01,Улаанбаатар,-18.7
2007-01,Ховд,-21.5
2007-01,Чойбалсан,-19.1
2007-02,Даланзадгад,-2.7
2007-02,Дархан,-10.4
2007-02,Улаанбаатар,-10.4
2007-02,Ховд,-12.8
2007-02,Чойбалсан,-11.4
2007-03,Даланзадгад,-2.2
2007-03,Дархан,-5.9
2007-03,Улаанбаатар,-9.0
2007-03,Ховд,-4.6
2007-03,Чойбалсан,-8.1
2007-04,Даланзадгад,6.8
2007-04,Дархан,6.7
2007-04,Улаанбаатар,3.6
2007-04,Ховд,6.9
2007-04,Чойбалсан,4.6
2007-05,Даланзадгад,16.5
2007-05,Дархан,14.1
2007-05,Улаанбаатар,11.8
2007-05,Ховд,14.5
2007-05,Чойбалсан,14.0
2007-06,Даланзадгад,23.1
2007-06,Дархан,18.5
2007-06,Улаанбаатар,18.7
2007-06,Ховд,19.5
2007-06,Чойбалсан,22.1
2007-07,Даланзадгад,22.6
2007-07,Дархан,23.6
2007-07,Улаанбаатар,21.9
2007-07,Ховд,22.5
2007-07,Чойбалсан,24.1
2007-08,Даланзадгад,20.9
2007-08,Дархан,18.0
2007-08,Улаанбаатар,18.3
2007-08,Ховд,18.9
2007-08,Чойбалсан,21.9
2007-09,Даланзадгад,15.9
2007-09,Дархан,13.0
2007-09,Улаанбаатар,13.2
2007-09,Ховд,12.9
2007-09,Чойбалсан,16.5
2007-10,Даланзадгад,4.2
2007-10,Дархан,1.7
2007-10,Улаанбаатар,0.2
2007-10,Ховд,2.0
2007-10,Чойбалсан,2.1
2007-11,Даланзадгад,-3.2
2007-11,Дархан,-7.1
2007-11,Улаанбаатар,-9.1
2007-11,Ховд,-8.0
2007-11,Чойбалсан,-7.7
2007-12,Даланзадгад,-12.5
2007-12,Дархан,-15.0
2007-12,Улаанбаатар,-16.8
2007-12,Ховд,-19.2
2007-12,Чойбалсан,-16.2
2008-01,Даланзадгад,-17.3
2008-01,Дархан,-25.0
2008-01,Улаанбаатар,-23.6
2008-01,Ховд,-26.8
2008-01,Чойбалсан,-23.5
2008-02,Даланзадгад,-12.4
2008-02,Дархан,-19.5
2008-02,Улаанбаатар,-17.7
2008-02,Ховд,-21.6
2008-02,Чойбалсан,-16.5
2008-03,Даланзадгад,1.6
2008-03,Дархан,-0.3
2008-03,Улаанбаатар,-2.4
2008-03,Ховд,-1.6
2008-03,Чойбалсан,-1.0
2008-04,Даланзадгад,8.9
2008-04,Дархан,5.8
2008-04,Улаанбаатар,5.2
2008-04,Ховд,6.6
2008-04,Чойбалсан,6.8
2008-05,Даланзадгад,13.7
2008-05,Дархан,10.6
2008-05,Улаанбаатар,8.2
2008-05,Ховд,14.0
2008-05,Чойбалсан,9.9
2008-06,Даланзадгад,19.7
2008-06,Дархан,19.3
2008-06,Улаанбаатар,17.4
2008-06,Ховд,19.0
2008-06,Чойбалсан,19.0
2008-07,Даланзадгад,23.7
2008-07,Дархан,21.0
2008-07,Улаанбаатар,20.2
2008-07,Ховд,20.6
2008-07,Чойбалсан,22.0
2008-08,Даланзадгад,21.1
2008-08,Дархан,18.0
2008-08,Улаанбаатар,17.3
2008-08,Ховд,19.3
2008-08,Чойбалсан,20.6
2008-09,Даланзадгад,15.9
2008-09,Дархан,12.0
2008-09,Улаанбаатар,10.9
2008-09,Ховд,12.0
2008-09,Чойбалсан,12.3
2008-10,Даланзадгад,6.5
2008-10,Дархан,3.0
2008-10,Улаанбаатар,1.5
2008-10,Ховд,3.9
2008-10,Чойбалсан,3.4
2008-11,Даланзадгад,-1.9
2008-11,Дархан,-5.0
2008-11,Улаанбаатар,-7.1
2008-11,Ховд,-6.7
2008-11,Чойбалсан,-6.3
2008-12,Даланзадгад,-12.2
2008-12,Дархан,-18.2
2008-12,Улаанбаатар,-19.1
2008-12,Ховд,-18.0
2008-12,Чойбалсан,-16.2
2009-01,Даланзадгад,-13.4
2009-01,Дархан,-22.9
2009-01,Улаанбаатар,-20.5
2009-01,Ховд,-24.2
2009-01,Чойбалсан,-20.4
2009-02,Даланзадгад,-7.1
2009-02,Дархан,-17.3
2009-02,Улаанбаатар,-17.3
2009-02,Ховд,-14.9
2009-02,Чойбалсан,-17.7
2009-03,Даланзадгад,-0.6
2009-03,Дархан,-5.7
2009-03,Улаанбаатар,-7.5
2009-03,Ховд,-3.2
2009-03,Чойбалсан,-7.6
2009-04,Даланзадгад,10.5
2009-04,Дархан,8.3
2009-04,Улаанбаатар,7.2
2009-04,Ховд,8.6
2009-04,Чойбалсан,6.8
2009-05,Даланзадгад,15.8
2009-05,Дархан,14.2
2009-05,Улаанбаатар,12.3
2009-05,Ховд,13.6
2009-05,Чойбалсан,14.7
2009-06,Даланзадгад,19.9
2009-06,Дархан,17.5
2009-06,Улаанбаатар,16.5
2009-06,Ховд,17.2
2009-06,Чойбалсан,17.3
2009-07,Даланзадгад,23.6
2009-07,Дархан,20.6
2009-07,Улаанбаатар,25.1
2009-07,Ховд,19.9
2009-07,Чойбалсан,21.4
2009-08,Даланзадгад,21.8
2009-08,Дархан,17.9
2009-08,Улаанбаатар,16.7
2009-08,Ховд,17.6
2009-08,Чойбалсан,19.5
2009-09,Даланзадгад,14.6
2009-09,Дархан,10.1
2009-09,Улаанбаатар,10.1
2009-09,Ховд,10.5
2009-09,Чойбалсан,11.0
2009-10,Даланзадгад,6.9
2009-10,Дархан,2.7
2009-10,Улаанбаатар,1.2
2009-10,Ховд,4.3
2009-10,Чойбалсан,1.5
2009-11,Даланзадгад,-6.7
2009-11,Дархан,-11.1
2009-11,Улаанбаатар,-13.5
2009-11,Ховд,-13.8
2009-11,Чойбалсан,-13.2
2009-12,Даланзадгад,-12.2
2009-12,Дархан,-21.3
2009-12,Улаанбаатар,-20.9
2009-12,Ховд,-22.8
2009-12,Чойбалсан,-20.9
2010-01,Даланзадгад,-15.8
2010-01,Дархан,-26.3
2010-01,Улаанбаатар,-23.6
2010-01,Ховд,-24.1
2010-01,Чойбалсан,-24.0
2010-02,Даланзадгад,-11.2
2010-02,Дархан,-24.9
2010-02,Улаанбаатар,-20.8
2010-02,Ховд,-24.3
2010-02,Чойбалсан,-20.9
2010-03,Даланзадгад,-3.8
2010-03,Дархан,-10.1
2010-03,Улаанбаатар,-11.5
2010-03,Ховд,-8.9
2010-03,Чойбалсан,-12.7
2010-04,Даланзадгад,2.7
2010-04,Дархан,0.2
2010-04,Улаанбаатар,-2.2
2010-04,Ховд,1.3
2010-04,Чойбалсан,-3.9
2010-05,Даланзадгад,14.4
2010-05,Дархан,12.7
2010-05,Улаанбаатар,12.1
2010-05,Ховд,11.4
2010-05,Чойбалсан,13.1
2010-06,Даланзадгад,22.7
2010-06,Дархан,19.5
2010-06,Улаанбаатар,19.4
2010-06,Ховд,19.2
2010-06,Чойбалсан,21.8
2010-07,Даланзадгад,25.7
2010-07,Дархан,22.2
2010-07,Улаанбаатар,21.7
2010-07,Ховд,20.9
2010-07,Чойбалсан,22.7
2010-08,Даланзадгад,20.9
2010-08,Дархан,17.0
2010-08,Улаанбаатар,15.6
2010-08,Ховд,16.4
2010-08,Чойбалсан,22.1
2010-09,Даланзадгад,15.6
2010-09,Дархан,12.3
2010-09,Улаанбаатар,12.2
2010-09,Ховд,11.7
2010-09,Чойбалсан,13.6
2010-10,Даланзадгад,6.6
2010-10,Дархан,3.5
2010-10,Улаанбаатар,1.6
2010-10,Ховд,3.0
2010-10,Чойбалсан,1.9
2010-11,Даланзадгад,-1.9
2010-11,Дархан,-7.1
2010-11,Улаанбаатар,-8.9
2010-11,Ховд,-5.0
2010-11,Чойбалсан,-8.1
2010-12,Даланзадгад,-10.0
2010-12,Дархан,-21.0
2010-12,Улаанбаатар,-19.0
2010-12,Ховд,-15.0
2010-12,Чойбалсан,-20.0
2011-01,Даланзадгад,-20.6
2011-01,Дархан,-27.4
2011-01,Улаанбаатар,-23.8
2011-01,Ховд,-30.9
2011-01,Чойбалсан,-23.4
2011-02,Даланзадгад,-9.4
2011-02,Дархан,-16.3
2011-02,Улаанбаатар,-15.6
2011-02,Ховд,-19.9
2011-02,Чойбалсан,-14.9
2011-03,Даланзадгад,-4.4
2011-03,Дархан,-6.7
2011-03,Улаанбаатар,-9.6
2011-03,Ховд,-0.9
2011-03,Чойбалсан,-6.7
2011-04,Даланзадгад,8.1
2011-04,Дархан,7.0
2011-04,Улаанбаатар,4.2
2011-04,Ховд,7.7
2011-04,Чойбалсан,6.4
2011-05,Даланзадгад,13.4
2011-05,Дархан,9.9
2011-05,Улаанбаатар,8.2
2011-05,Ховд,11.4
2011-05,Чойбалсан,11.6
2011-06,Даланзадгад,21.4
2011-06,Дархан,19.8
2011-06,Улаанбаатар,17.3
2011-06,Ховд,18.8
2011-06,Чойбалсан,20.7
2011-07,Даланзадгад,23.0
2011-07,Дархан,19.8
2011-07,Улаанбаатар,17.4
2011-07,Ховд,19.5
2011-07,Чойбалсан,22.9
2011-08,Даланзадгад,22.9
2011-08,Дархан,19.2
2011-08,Улаанбаатар,18.4
2011-08,Ховд,19.3
2011-08,Чойбалсан,21.7
2011-09,Даланзадгад,11.8
2011-09,Дархан,9.9
2011-09,Улаанбаатар,8.0
2011-09,Ховд,10.2
2011-09,Чойбалсан,10.8
2011-10,Даланзадгад,7.6
2011-10,Дархан,4.8
2011-10,Улаанбаатар,3.7
2011-10,Ховд,3.9
2011-10,Чойбалсан,5.1
2011-11,Даланзадгад,-2.9
2011-11,Дархан,-9.5
2011-11,Улаанбаатар,-10.4
2011-11,Ховд,-8.1
2011-11,Чойбалсан,-13.1
2011-12,Даланзадгад,-14.1
2011-12,Дархан,-21.8
2011-12,Улаанбаатар,-22.1
2011-12,Ховд,-20.7
2011-12,Чойбалсан,-20.5
2012-01,Даланзадгад,-17.9
2012-01,Дархан,-26.4
2012-01,Улаанбаатар,-25.5
2012-01,Ховд,-28.4
2012-01,Чойбалсан,-24.5
2012-02,Даланзадгад,-13.3
2012-02,Дархан,-20.1
2012-02,Улаанбаатар,-20.2
2012-02,Ховд,-23.4
2012-02,Чойбалсан,-19.9
2012-03,Даланзадгад,-3.3
2012-03,Дархан,-6.1
2012-03,Улаанбаатар,-8.0
2012-03,Ховд,-7.1
2012-03,Чойбалсан,-9.9
2012-04,Даланзадгад,8.9
2012-04,Дархан,4.4
2012-04,Улаанбаатар,2.7
2012-04,Ховд,6.3
2012-04,Чойбалсан,4.1
2012-05,Даланзадгад,16.2
2012-05,Дархан,12.6
2012-05,Улаанбаатар,11.5
2012-05,Ховд,12.7
2012-05,Чойбалсан,13.0
2012-06,Даланзадгад,20.6
2012-06,Дархан,17.2
2012-06,Улаанбаатар,15.2
2012-06,Ховд,20.5
2012-06,Чойбалсан,17.9
2012-07,Даланзадгад,22.1
2012-07,Дархан,19.5
2012-07,Улаанбаатар,18.0
2012-07,Ховд,20.8
2012-07,Чойбалсан,21.1
2012-08,Даланзадгад,21.5
2012-08,Дархан,17.2
2012-08,Улаанбаатар,15.9
2012-08,Ховд,17.5
2012-08,Чойбалсан,18.8
2012-09,Даланзадгад,14.1
2012-09,Дархан,13.1
2012-09,Улаанбаатар,11.6
2012-09,Ховд,12.4
2012-09,Чойбалсан,13.2
2012-10,Даланзадгад,5.1
2012-10,Дархан,2.4
2012-10,Улаанбаатар,0.2
2012-10,Ховд,2.6
2012-10,Чойбалсан,2.5
2012-11,Даланзадгад,-6.4
2012-11,Дархан,-10.4
2012-11,Улаанбаатар,-12.3
2012-11,Ховд,-8.1
2012-11,Чойбалсан,-10.6
2012-12,Даланзадгад,-14.2
2012-12,Дархан,-26.7
2012-12,Улаанбаатар,-22.4
2012-12,Ховд,-18.6
2012-12,Чойбалсан,-23.2
2013-01,Даланзадгад,-12.5
2013-01,Дархан,-24.0
2013-01,Улаанбаатар,-20.8
2013-01,Ховд,-20.2
2013-01,Чойбалсан,-22.6
2013-02,Даланзадгад,-10.2
2013-02,Дархан,-21.4
2013-02,Улаанбаатар,-19.4
2013-02,Ховд,-16.2
2013-02,Чойбалсан,-20.2
2013-03,Даланзадгад,2.6
2013-03,Дархан,-6.5
2013-03,Улаанбаатар,-6.3
2013-03,Ховд,2.2
2013-03,Чойбалсан,-9.3
2013-04,Даланзадгад,6.9
2013-04,Дархан,3.5
2013-04,Улаанбаатар,0.2
2013-04,Ховд,7.0
2013-04,Чойбалсан,1.6
2013-05,Даланзадгад,16.9
2013-05,Дархан,12.9
2013-05,Улаанбаатар,11.6
2013-05,Ховд,12.2
2013-05,Чойбалсан,13.9
2013-06,Даланзадгад,20.3
2013-06,Дархан,17.5
2013-06,Улаанбаатар,15.8
2013-06,Ховд,17.2
2013-06,Чойбалсан,17.7
2013-07,Даланзадгад,22.5
2013-07,Дархан,19.8
2013-07,Улаанбаатар,17.9
2013-07,Ховд,20.0
2013-07,Чойбалсан,20.2
2013-08,Даланзадгад,21.7
2013-08,Дархан,17.8
2013-08,Улаанбаатар,15.5
2013-08,Ховд,18.6
2013-08,Чойбалсан,17.7
2013-09,Даланзадгад,15.6
2013-09,Дархан,9.9
2013-09,Улаанбаатар,9.3
2013-09,Ховд,11.2
2013-09,Чойбалсан,11.4
2013-10,Даланзадгад,6.5
2013-10,Дархан,2.5
2013-10,Улаанбаатар,1.0
2013-10,Ховд,3.3
2013-10,Чойбалсан,2.8
2013-11,Даланзадгад,-3.3
2013-11,Дархан,-4.7
2013-11,Улаанбаатар,-8.0
2013-11,Ховд,-9.6
2013-11,Чойбалсан,-4.9
2013-12,Даланзадгад,-9.2
2013-12,Дархан,-18.6
2013-12,Улаанбаатар,-15.9
2013-12,Ховд,-19.8
2013-12,Чойбалсан,-13.3
2014-01,Даланзадгад,-9.3
2014-01,Дархан,-19.1
2014-01,Улаанбаатар,-18.5
2014-01,Ховд,-20.4
2014-01,Чойбалсан,-16.0
2014-02,Даланзадгад,-11.0
2014-02,Дархан,-20.3
2014-02,Улаанбаатар,-18.4
2014-02,Ховд,-21.5
2014-02,Чойбалсан,-15.9
2014-03,Даланзадгад,0.4
2014-03,Дархан,-3.5
2014-03,Улаанбаатар,-4.7
2014-03,Ховд,-4.6
2014-03,Чойбалсан,-3.2
2014-04,Даланзадгад,10.5
2014-04,Дархан,8.5
2014-04,Улаанбаатар,6.9
2014-04,Ховд,7.4
2014-04,Чойбалсан,8.2
2014-05,Даланзадгад,13.8
2014-05,Дархан,10.0
2014-05,Улаанбаатар,8.2
2014-05,Ховд,11.6
2014-05,Чойбалсан,11.5
2014-06,Даланзадгад,18.9
2014-06,Дархан,17.4
2014-06,Улаанбаатар,15.4
2014-06,Ховд,17.7
2014-06,Чойбалсан,18.2
2014-07,Даланзадгад,23.9
2014-07,Дархан,20.4
2014-07,Улаанбаатар,17.9
2014-07,Ховд,20.8
2014-07,Чойбалсан,19.8
2014-08,Даланзадгад,21.0
2014-08,Дархан,18.1
2014-08,Улаанбаатар,16.3
2014-08,Ховд,18.4
2014-08,Чойбалсан,18.1
2014-09,Даланзадгад,14.7
2014-09,Дархан,10.6
2014-09,Улаанбаатар,9.9
2014-09,Ховд,10.9
2014-09,Чойбалсан,12.2
2014-10,Даланзадгад,8.6
2014-10,Дархан,3.2
2014-10,Улаанбаатар,3.7
2014-10,Ховд,5.9
2014-10,Чойбалсан,3.2
2014-11,Даланзадгад,-3.2
2014-11,Дархан,-7.6
2014-11,Улаанбаатар,-8.2
2014-11,Ховд,-8.0
2014-11,Чойбалсан,-7.1
2014-12,Даланзадгад,-12.1
2014-12,Дархан,-18.9
2014-12,Улаанбаатар,-16.6
2014-12,Ховд,-19.4
2014-12,Чойбалсан,-16.0
2015-01,Даланзадгад,-9.9
2015-01,Дархан,-20.7
2015-01,Улаанбаатар,-15.6
2015-01,Ховд,-15.9
2015-01,Чойбалсан,-15.8
2015-02,Даланзадгад,-7.5
2015-02,Дархан,-18.7
2015-02,Улаанбаатар,-12.9
2015-02,Ховд,-13.6
2015-02,Чойбалсан,-11.5
2015-03,Даланзадгад,0.8
2015-03,Дархан,-6.9
2015-03,Улаанбаатар,-6.2
2015-03,Ховд,-4.3
2015-03,Чойбалсан,-4.4
2015-04,Даланзадгад,8.6
2015-04,Дархан,6.7
2015-04,Улаанбаатар,4.1
2015-04,Ховд,7.2
2015-04,Чойбалсан,5.3
2015-05,Даланзадгад,14.3
2015-05,Дархан,12.1
2015-05,Улаанбаатар,9.0
2015-05,Ховд,13.1
2015-05,Чойбалсан,11.2
2015-06,Даланзадгад,18.1
2015-06,Дархан,19.4
2015-06,Улаанбаатар,16.7
2015-06,Ховд,17.3
2015-06,Чойбалсан,18.3
2015-07,Даланзадгад,22.1
2015-07,Дархан,24.3
2015-07,Улаанбаатар,20.3
2015-07,Ховд,21.7
2015-07,Чойбалсан,23.0
2015-08,Даланзадгад,21.8
2015-08,Дархан,20.8
2015-08,Улаанбаатар,18.8
2015-08,Ховд,19.8
2015-08,Чойбалсан,19.7
2015-09,Даланзадгад,14.2
2015-09,Дархан,11.7
2015-09,Улаанбаатар,10.7
2015-09,Ховд,10.5
2015-09,Чойбалсан,12.1
2015-10,Даланзадгад,7.0
2015-10,Дархан,3.7
2015-10,Улаанбаатар,2.9
2015-10,Ховд,3.6
2015-10,Чойбалсан,4.1
2015-11,Даланзадгад,-4.5
2015-11,Дархан,-11.9
2015-11,Улаанбаатар,-10.9
2015-11,Ховд,-7.6
2015-11,Чойбалсан,-11.2
2015-12,Даланзадгад,-10.0
2015-12,Дархан,-17.8
2015-12,Улаанбаатар,-15.7
2015-12,Ховд,-14.7
2015-12,Чойбалсан,-17.7
2016-01,Даланзадгад,-17.2
2016-01,Дархан,-24.0
2016-01,Улаанбаатар,-23.9
2016-01,Ховд,-25.1
2016-01,Чойбалсан,-22.7
2016-02,Даланзадгад,-9.9
2016-02,Дархан,-15.8
2016-02,Улаанбаатар,-16.2
2016-02,Ховд,-22.8
2016-02,Чойбалсан,-15.4
2016-03,Даланзадгад,0.6
2016-03,Дархан,-2.8
2016-03,Улаанбаатар,-4.7
2016-03,Ховд,3.0
2016-03,Чойбалсан,-4.2
2016-04,Даланзадгад,10.1
2016-04,Дархан,5.2
2016-04,Улаанбаатар,3.5
2016-04,Ховд,7.9
2016-04,Чойбалсан,3.7
2016-05,Даланзадгад,13.5
2016-05,Дархан,11.7
2016-05,Улаанбаатар,9.1
2016-05,Ховд,10.4
2016-05,Чойбалсан,12.4
2016-06,Даланзадгад,17.8
2016-06,Дархан,18.3
2016-06,Улаанбаатар,15.6
2016-06,Ховд,18.9
2016-06,Чойбалсан,19.1
2016-07,Даланзадгад,24.1
2016-07,Дархан,21.9
2016-07,Улаанбаатар,20.7
2016-07,Ховд,21.6
2016-07,Чойбалсан,24.2
2016-08,Даланзадгад,23.2
2016-08,Дархан,18.5
2016-08,Улаанбаатар,17.6
2016-08,Ховд,18.3
2016-08,Чойбалсан,21.5
2016-09,Даланзадгад,15.4
2016-09,Дархан,12.7
2016-09,Улаанбаатар,10.6
2016-09,Ховд,13.9
2016-09,Чойбалсан,13.1
2016-10,Даланзадгад,5.6
2016-10,Дархан,-2.7
2016-10,Улаанбаатар,-1.7
2016-10,Ховд,1.0
2016-10,Чойбалсан,-1.7
2016-11,Даланзадгад,-3.5
2016-11,Дархан,-15.3
2016-11,Улаанбаатар,-13.7
2016-11,Ховд,-7.9
2016-11,Чойбалсан,-15.1
2016-12,Даланзадгад,-8.2
2016-12,Дархан,-17.9
2016-12,Улаанбаатар,-16.5
2016-12,Ховд,-12.9
2016-12,Чойбалсан,-16.5
2017-01,Даланзадгад,-12.2
2017-01,Дархан,-24.2
2017-01,Улаанбаатар,-20.0
2017-01,Ховд,-18.4
2017-01,Чойбалсан,-21.3
2017-02,Даланзадгад,-6.9
2017-02,Дархан,-17.9
2017-02,Улаанбаатар,-13.7
2017-02,Ховд,-11.7
2017-02,Чойбалсан,-14.9
2017-03,Даланзадгад,-1.3
2017-03,Дархан,-6.1
2017-03,Улаанбаатар,-4.2
2017-03,Ховд,-2.9
2017-03,Чойбалсан,-5.8
2017-04,Даланзадгад,9.4
2017-04,Дархан,7.1
2017-04,Улаанбаатар,5.0
2017-04,Ховд,8.6
2017-04,Чойбалсан,6.2
2017-05,Даланзадгад,17.1
2017-05,Дархан,14.0
2017-05,Улаанбаатар,12.7
2017-05,Ховд,15.3
2017-05,Чойбалсан,14.3
2017-06,Даланзадгад,22.0
2017-06,Дархан,20.6
2017-06,Улаанбаатар,19.3
2017-06,Ховд,20.9
2017-06,Чойбалсан,20.9
2017-07,Даланзадгад,25.0
2017-07,Дархан,22.1
2017-07,Улаанбаатар,21.0
2017-07,Ховд,22.9
2017-07,Чойбалсан,23.2
2017-08,Даланзадгад,20.4
2017-08,Дархан,17.8
2017-08,Улаанбаатар,15.8
2017-08,Ховд,17.9
2017-08,Чойбалсан,18.1
2017-09,Даланзадгад,16.1
2017-09,Дархан,10.9
2017-09,Улаанбаатар,9.7
2017-09,Ховд,12.4
2017-09,Чойбалсан,11.8
2017-10,Даланзадгад,5.6
2017-10,Дархан,1.5
2017-10,Улаанбаатар,0.7
2017-10,Ховд,1.9
2017-10,Чойбалсан,2.4
2017-11,Даланзадгад,-4.3
2017-11,Дархан,-9.2
2017-11,Улаанбаатар,-12.2
2017-11,Ховд,-7.2
2017-11,Чойбалсан,-10.2
2017-12,Даланзадгад,-9.6
2017-12,Дархан,-15.9
2017-12,Улаанбаатар,-16.7
2017-12,Ховд,-18.7
2017-12,Чойбалсан,-15.4
2018-01,Даланзадгад,-17.9
2018-01,Дархан,-22.8
2018-01,Улаанбаатар,-22.4
2018-01,Ховд,-28.2
2018-01,Чойбалсан,-19.4
2018-02,Даланзадгад,-9.7
2018-02,Дархан,-16.8
2018-02,Улаанбаатар,-17.7
2018-02,Ховд,-21.8
2018-02,Чойбалсан,-16.4
2018-03,Даланзадгад,4.8
2018-03,Дархан,-3.8
2018-03,Улаанбаатар,-2.0
2018-03,Ховд,1.7
2018-03,Чойбалсан,-3.8
2018-04,Даланзадгад,9.7
2018-04,Дархан,6.4
2018-04,Улаанбаатар,4.5
2018-04,Ховд,7.1
2018-04,Чойбалсан,6.1
2018-05,Даланзадгад,17.5
2018-05,Дархан,14.2
2018-05,Улаанбаатар,13.5
2018-05,Ховд,13.2
2018-05,Чойбалсан,15.1
2018-06,Даланзадгад,22.1
2018-06,Дархан,20.6
2018-06,Улаанбаатар,17.9
2018-06,Ховд,20.6
2018-06,Чойбалсан,20.0
2018-07,Даланзадгад,22.2
2018-07,Дархан,19.9
2018-07,Улаанбаатар,17.8
2018-07,Ховд,19.1
2018-07,Чойбалсан,21.8
2018-08,Даланзадгад,20.7
2018-08,Дархан,19.3
2018-08,Улаанбаатар,17.5
2018-08,Ховд,19.6
2018-08,Чойбалсан,19.9
2018-09,Даланзадгад,12.3
2018-09,Дархан,10.4
2018-09,Улаанбаатар,8.3
2018-09,Ховд,10.2
2018-09,Чойбалсан,11.9
2018-10,Даланзадгад,5.1
2018-10,Дархан,4.7
2018-10,Улаанбаатар,2.8
2018-10,Ховд,4.9
2018-10,Чойбалсан,3.7
2018-11,Даланзадгад,-4.2
2018-11,Дархан,-7.8
2018-11,Улаанбаатар,-8.8
2018-11,Ховд,-7.6
2018-11,Чойбалсан,-7.7
2018-12,Даланзадгад,-15.3
2018-12,Дархан,-20.8
2018-12,Улаанбаатар,-20.3
2018-12,Ховд,-22.4
2018-12,Чойбалсан,-17.9
2019-01,Даланзадгад,-13.0
2019-01,Дархан,-20.4
2019-01,Улаанбаатар,-17.9
2019-01,Ховд,-25.1
2019-01,Чойбалсан,-15.6
2019-02,Даланзадгад,-14.9
2019-02,Дархан,-18.0
2019-02,Улаанбаатар,-16.7
2019-02,Ховд,-23.8
2019-02,Чойбалсан,-14.8
2019-03,Даланзадгад,-0.3
