code,zone,district_code,district,area_km2,lon,lat
12630,Naran-ND,11,Nalaikh,1.195,107.279433,47.762374
12640,Nisekh,11,Nalaikh,1.208,107.276278,47.777836
12650,Ulgii,11,Nalaikh,0.251,107.276515,47.768727
12660,Altai,11,Nalaikh,0.484,107.268737,47.772483
12670,Bayanzurkh,11,Nalaikh,1.495,107.265204,47.782593
12680,Zamchin-ND,11,Nalaikh,0.544,107.265215,47.761771
12690,Tuul-ND,11,Nalaikh,0.242,107.264687,47.770396
12700,Denj,11,Nalaikh,0.327,107.264486,47.767278
12710,Terelj,11,Nalaikh,12.712,107.457239,47.959176
12712,Shiljree,11,Nalaikh,28.679,107.412972,47.973985
12720,Enger shand,11,Nalaikh,3.148,107.27281,47.797444
12724,Uguumuriin am,11,Nalaikh,8.828,107.46763,47.889144
12728,Ongotsotyn am,11,Nalaikh,2.383,107.423371,47.891796
12735,Suurishilgui bus,11,Nalaikh,124.692,107.536205,47.912885
12739,Antyn am,11,Nalaikh,27.881,107.432237,47.915976
12740,Tsergiin angi,11,Nalaikh,2.152,107.257252,47.801771
12750,Uurkhaichin,11,Nalaikh,0.847,107.253988,47.781492
12760,Taij,11,Nalaikh,0.888,107.254032,47.764661
12770,Gorkhi ereenii am,11,Nalaikh,15.838,107.429628,47.856514
12771,Gorkhiin baruun salaa,11,Nalaikh,21.552,107.389465,47.881169
12780,Tsaizyn kheseg,11,Nalaikh,4.449,107.241067,47.800403
12790,Jargalant-1,11,Nalaikh,0.286,107.256174,47.771318
12791,Jargalant-2,11,Nalaikh,0.577,107.247478,47.770396
12800,Badral,11,Nalaikh,0.909,107.241189,47.774444
12810,Uvur shand,11,Nalaikh,1.77,107.23982,47.782911
12820,Narlag,11,Nalaikh,0.887,107.237296,47.766308
13009,Suurishilgui bus,13,Bayanzurkh,35.643,107.35756,47.912397
13010,Dendiin am,13,Bayanzurkh,96.722,107.29841,47.905112
13011,Khuandai,13,Bayanzurkh,55.154,107.290585,47.993421
13012,Artsat,13,Bayanzurkh,31.793,107.23034,47.94121
13013,Baga khuandai,13,Bayanzurkh,7.104,107.242558,47.916063
13020,Shar khooloi,13,Bayanzurkh,122.136,107.228179,48.036892
13050,Mogoin denj,13,Bayanzurkh,3.651,107.195985,47.901592
13051,Suurishilgui bus,13,Bayanzurkh,54.426,107.20097,47.867634
