Бүс,Он,value
            Ховд,1999,453.0
            Ховд,1998,518.0
            Ховд,1997,547.0
            Ховд,1996,456.0
            Ховд,1995,367.0
            Ховд,1994,318.0
            Ховд,1993,355.0
            Ховд,1992,232.0
            Ховд,1991,201.0
            Ховд,1990,160.0
            Ховд,1989,172.0
Хойд бүс,2025,2228.0
Хойд бүс,2024,2088.0
Хойд бүс,2023,1753.0
Хойд бүс,2022,2041.0
Хойд бүс,2021,1608.0
Хойд бүс,2020,1417.0
Хойд бүс,2019,1949.0
Хойд бүс,2018,1925.0
Хойд бүс,2017,1992.0
Хойд бүс,2016,1500.0
Хойд бүс,2015,1617.0
Хойд бүс,2014,1653.0
Хойд бүс,2013,1525.0
Хойд бүс,2012,1349.0
Хойд бүс,2011,1215.0
Хойд бүс,2010,1178.0
Хойд бүс,2009,1167.0
Хойд бүс,2008,1223.0
Хойд бүс,2007,1352.0
Хойд бүс,2006,1345.0
Хойд бүс,2005,1414.0
Хойд бүс,2004,1607.0
Хойд бүс,2003,1670.0
Хойд бүс,2002,1722.0
Хойд бүс,2001,1703.0
Хойд бүс,2000,1959.0
Хойд бүс,1999,1879.0
Хойд бүс,1998,1915.0
Хойд бүс,1997,1843.0
Хойд бүс,1996,1735.0
Хойд бүс,1995,1529.0
Хойд бүс,1994,1495.0
Хойд бүс,1993,1273.0
Хойд бүс,1992,1061.0
Хойд бүс,1991,736.0
Хойд бүс,1990,742.0
Хойд бүс,1989,490.0
            Булган,2025,437.0
            Булган,2024,411.0
            Булган,2023,392.0
            Булган,2022,467.0
            Булган,2021,388.0
            Булган,2020,349.0
            Булган,2019,459.0
            Булган,2018,344.0
            Булган,2017,362.0
            Булган,2016,265.0
            Булган,2015,295.0
            Булган,2014,352.0
            Булган,2013,387.0
            Булган,2012,300.0
            Булган,2011,249.0
            Булган,2010,243.0
            Булган,2009,289.0
            Булган,2008,280.0
            Булган,2007,288.0
            Булган,2006,263.0
            Булган,2005,281.0
            Булган,2004,325.0
            Булган,2003,386.0
            Булган,2002,452.0
            Булган,2001,530.0
            Булган,2000,413.0
            Булган,1999,429.0
            Булган,1998,449.0
            Булган,1997,421.0
            Булган,1996,273.0
            Булган,1995,220.0
            Булган,1994,301.0
            Булган,1993,259.0
            Булган,1992,199.0
            Булган,1991,147.0
            Булган,1990,120.0
            Булган,1989,120.0
            Орхон,2025,1079.0
            Орхон,2024,984.0
            Орхон,2023,761.0
            Орхон,2022,731.0
            Орхон,2021,504.0
            Орхон,2020,533.0
            Орхон,2019,747.0
            Орхон,2018,794.0
            Орхон,2017,881.0
            Орхон,2016,528.0
            Орхон,2015,566.0
            Орхон,2014,571.0
            Орхон,2013,583.0
            Орхон,2012,545.0
            Орхон,2011,481.0
            Орхон,2010,516.0
            Орхон,2009,368.0
            Орхон,2008,457.0
            Орхон,2007,490.0
            Орхон,2006,453.0
            Орхон,2005,445.0
            Орхон,2004,449.0
            Орхон,2003,415.0
            Орхон,2002,510.0
            Орхон,2001,515.0
            Орхон,2000,587.0
            Орхон,1999,659.0
            Орхон,1998,541.0
            Орхон,1997,549.0
            Орхон,1996,599.0
            Орхон,1995,543.0
            Орхон,1994,451.0
            Орхон,1993,487.0
            Орхон,1992,454.0
            Орхон,1991,321.0
            Орхон,1990,281.0
            Орхон,1989,155.0
            Хөвсгөл,2025,712.0
            Хөвсгөл,2024,693.0
            Хөвсгөл,2023,600.0
            Хөвсгөл,2022,843.0
            Хөвсгөл,2021,716.0
            Хөвсгөл,2020,535.0
            Хөвсгөл,2019,743.0
            Хөвсгөл,2018,787.0
            Хөвсгөл,2017,749.0
            Хөвсгөл,2016,707.0
            Хөвсгөл,2015,756.0
            Хөвсгөл,2014,730.0
            Хөвсгөл,2013,555.0
            Хөвсгөл,2012,504.0
            Хөвсгөл,2011,485.0
            Хөвсгөл,2010,419.0
            Хөвсгөл,2009,510.0
            Хөвсгөл,2008,486.0
            Хөвсгөл,2007,574.0
            Хөвсгөл,2006,629.0
            Хөвсгөл,2005,688.0
            Хөвсгөл,2004,833.0
            Хөвсгөл,2003,869.0
            Хөвсгөл,2002,760.0
            Хөвсгөл,2001,658.0
            Хөвсгөл,2000,959.0
            Хөвсгөл,1999,791.0
            Хөвсгөл,1998,925.0
            Хөвсгөл,1997,873.0
            Хөвсгөл,1996,863.0
            Хөвсгөл,1995,766.0
            Хөвсгөл,1994,743.0
            Хөвсгөл,1993,527.0
            Хөвсгөл,1992,408.0
            Хөвсгөл,1991,268.0
            Хөвсгөл,1990,341.0
            Хөвсгөл,1989,215.0
    Төвийн бүс,2025,3131.0
    Төвийн бүс,2024,2656.0
    Төвийн бүс,2023,2128.0
    Төвийн бүс,2022,2207.0
    Төвийн бүс,2021,1791.0
    Төвийн бүс,2020,1852.0
    Төвийн бүс,2019,2435.0
    Төвийн бүс,2018,2376.0
    Төвийн бүс,2017,2307.0
    Төвийн бүс,2016,2156.0
    Төвийн бүс,2015,2448.0
    Төвийн бүс,2014,2617.0
    Төвийн бүс,2013,2355.0
    Төвийн бүс,2012,2095.0
    Төвийн бүс,2011,1846.0
    Төвийн бүс,2010,2036.0
    Төвийн бүс,2009,2164.0
    Төвийн бүс,2008,2341.0
    Төвийн бүс,2007,2273.0
    Төвийн бүс,2006,2160.0
    Төвийн бүс,2005,2171.0
    Төвийн бүс,2004,2281.0
    Төвийн бүс,2003,2392.0
    Төвийн бүс,2002,2855.0
    Төвийн бүс,2001,3349.0
    Төвийн бүс,2000,3221.0
    Төвийн бүс,1999,3149.0
    Төвийн бүс,1998,3322.0
    Төвийн бүс,1997,3433.0
    Төвийн бүс,1996,3094.0
    Төвийн бүс,1995,2741.0
    Төвийн бүс,1994,2819.0
    Төвийн бүс,1993,2626.0
    Төвийн бүс,1992,1854.0
    Төвийн бүс,1991,1373.0
    Төвийн бүс,1990,1286.0
    Төвийн бүс,1989,1176.0
            Дархан-Уул,2025,1207.0
            Дархан-Уул,2024,982.0
            Дархан-Уул,2023,714.0
            Дархан-Уул,2022,678.0
            Дархан-Уул,2021,543.0
            Дархан-Уул,2020,566.0
            Дархан-Уул,2019,803.0
            Дархан-Уул,2018,818.0
            Дархан-Уул,2017,768.0
            Дархан-Уул,2016,675.0
            Дархан-Уул,2015,792.0
            Дархан-Уул,2014,894.0
            Дархан-Уул,2013,754.0
            Дархан-Уул,2012,619.0
            Дархан-Уул,2011,557.0
            Дархан-Уул,2010,614.0
            Дархан-Уул,2009,608.0
            Дархан-Уул,2008,644.0
            Дархан-Уул,2007,683.0
            Дархан-Уул,2006,664.0
            Дархан-Уул,2005,710.0
            Дархан-Уул,2004,626.0
            Дархан-Уул,2003,803.0
            Дархан-Уул,2002,797.0
            Дархан-Уул,2001,915.0
            Дархан-Уул,2000,1012.0
            Дархан-Уул,1999,936.0
            Дархан-Уул,1998,1125.0
            Дархан-Уул,1997,1158.0
            Дархан-Уул,1996,1065.0
            Дархан-Уул,1995,834.0
            Дархан-Уул,1994,1017.0
            Дархан-Уул,1993,1030.0
            Дархан-Уул,1992,759.0
            Дархан-Уул,1991,634.0
            Дархан-Уул,1990,540.0
            Дархан-Уул,1989,456.0
            Сэлэнгэ,2025,965.0
            Сэлэнгэ,2024,870.0
            Сэлэнгэ,2023,726.0
            Сэлэнгэ,2022,775.0
            Сэлэнгэ,2021,637.0
            Сэлэнгэ,2020,549.0
            Сэлэнгэ,2019,767.0
            Сэлэнгэ,2018,779.0
            Сэлэнгэ,2017,729.0
            Сэлэнгэ,2016,669.0
            Сэлэнгэ,2015,793.0
            Сэлэнгэ,2014,764.0
            Сэлэнгэ,2013,679.0
            Сэлэнгэ,2012,704.0
            Сэлэнгэ,2011,618.0
            Сэлэнгэ,2010,797.0
            Сэлэнгэ,2009,814.0
            Сэлэнгэ,2008,960.0
            Сэлэнгэ,2007,853.0
            Сэлэнгэ,2006,816.0
            Сэлэнгэ,2005,933.0
            Сэлэнгэ,2004,906.0
            Сэлэнгэ,2003,879.0
            Сэлэнгэ,2002,1171.0
            Сэлэнгэ,2001,1519.0
            Сэлэнгэ,2000,1292.0
            Сэлэнгэ,1999,1387.0
            Сэлэнгэ,1998,1123.0
            Сэлэнгэ,1997,1171.0
            Сэлэнгэ,1996,1138.0
            Сэлэнгэ,1995,1108.0
            Сэлэнгэ,1994,1008.0
            Сэлэнгэ,1993,912.0
            Сэлэнгэ,1992,578.0
            Сэлэнгэ,1991,367.0
            Сэлэнгэ,1990,354.0
            Сэлэнгэ,1989,332.0
            Төв,2025,959.0
            Төв,2024,804.0
            Төв,2023,688.0
            Төв,2022,754.0
            Төв,2021,611.0
            Төв,2020,737.0
            Төв,2019,865.0
            Төв,2018,779.0
            Төв,2017,810.0
            Төв,2016,812.0
            Төв,2015,863.0
            Төв,2014,959.0
            Төв,2013,922.0
            Төв,2012,772.0
            Төв,2011,671.0
            Төв,2010,625.0
            Төв,2009,742.0
            Төв,2008,737.0
            Төв,2007,737.0
            Төв,2006,680.0
            Төв,2005,528.0
            Төв,2004,749.0
            Төв,2003,710.0
            Төв,2002,887.0
            Төв,2001,915.0
            Төв,2000,917.0
            Төв,1999,826.0
            Төв,1998,1074.0
            Төв,1997,1104.0
            Төв,1996,891.0
            Төв,1995,799.0
            Төв,1994,794.0
            Төв,1993,684.0
            Төв,1992,517.0
            Төв,1991,372.0
            Төв,1990,392.0
            Төв,1989,388.0
    Зүүн бүс,2025,2253.0
    Зүүн бүс,2024,1830.0
    Зүүн бүс,2023,1658.0
    Зүүн бүс,2022,1777.0
    Зүүн бүс,2021,1420.0
    Зүүн бүс,2020,1415.0
    Зүүн бүс,2019,1971.0
    Зүүн бүс,2018,1594.0
