Region,Month,value
 Govi-Altai,2021-09,100
 Govi-Altai,2021-08,117
 Govi-Altai,2021-07,98
 Govi-Altai,2021-06,100
 Govi-Altai,2021-05,124
 Govi-Altai,2021-04,122
 Govi-Altai,2021-03,110
 Govi-Altai,2021-02,104
 Govi-Altai,2021-01,108
 Govi-Altai,2020-12,106
 Govi-Altai,2020-11,118
 Govi-Altai,2020-10,92
 Govi-Altai,2020-09,114
 Govi-Altai,2020-08,140
 Govi-Altai,2020-07,121
 Govi-Altai,2020-06,138
 Govi-Altai,2020-05,125
 Govi-Altai,2020-04,111
 Govi-Altai,2020-03,139
 Govi-Altai,2020-02,101
 Govi-Altai,2020-01,101
 Govi-Altai,2019-12,99
 Govi-Altai,2019-11,111
 Govi-Altai,2019-10,109
 Govi-Altai,2019-09,119
 Govi-Altai,2019-08,127
 Govi-Altai,2019-07,129
 Govi-Altai,2019-06,102
 Govi-Altai,2019-05,117
 Govi-Altai,2019-04,125
 Govi-Altai,2019-03,105
 Govi-Altai,2019-02,106
 Govi-Altai,2019-01,119
 Govi-Altai,2018-12,98
 Govi-Altai,2018-11,98
 Govi-Altai,2018-10,105
 Govi-Altai,2018-09,128
 Govi-Altai,2018-08,100
 Govi-Altai,2018-07,130
 Govi-Altai,2018-06,112
 Govi-Altai,2018-05,111
 Govi-Altai,2018-04,120
 Govi-Altai,2018-03,105
 Govi-Altai,2018-02,95
 Govi-Altai,2018-01,84
 Govi-Altai,2017-12,119
 Govi-Altai,2017-11,98
 Govi-Altai,2017-10,128
 Govi-Altai,2017-09,103
 Govi-Altai,2017-08,99
 Govi-Altai,2017-07,97
 Govi-Altai,2017-06,108
 Govi-Altai,2017-05,106
 Govi-Altai,2017-04,101
 Govi-Altai,2017-03,112
 Govi-Altai,2017-02,63
 Govi-Altai,2017-01,87
 Govi-Altai,2016-12,77
 Govi-Altai,2016-11,92
 Govi-Altai,2016-10,92
 Govi-Altai,2016-09,79
 Govi-Altai,2016-08,120
 Govi-Altai,2016-07,104
 Govi-Altai,2016-06,116
 Govi-Altai,2016-05,113
 Govi-Altai,2016-04,83
 Govi-Altai,2016-03,106
 Govi-Altai,2016-02,99
 Govi-Altai,2016-01,95
 Zavkhan,2026-03,65
 Zavkhan,2026-02,58
 Zavkhan,2026-01,72
 Zavkhan,2025-12,83
 Zavkhan,2025-11,70
 Zavkhan,2025-10,57
 Zavkhan,2025-09,74
 Zavkhan,2025-08,69
 Zavkhan,2025-07,76
 Zavkhan,2025-06,66
 Zavkhan,2025-05,61
 Zavkhan,2025-04,66
 Zavkhan,2025-03,76
 Zavkhan,2025-02,58
 Zavkhan,2025-01,74
 Zavkhan,2024-12,56
 Zavkhan,2024-11,57
 Zavkhan,2024-10,75
 Zavkhan,2024-09,67
 Zavkhan,2024-08,80
 Zavkhan,2024-07,96
 Zavkhan,2024-06,90
 Zavkhan,2024-05,82
 Zavkhan,2024-04,72
 Zavkhan,2024-03,83
 Zavkhan,2024-02,86
 Zavkhan,2024-01,75
 Zavkhan,2023-12,88
 Zavkhan,2023-11,95
 Zavkhan,2023-10,78
 Zavkhan,2023-09,91
 Zavkhan,2023-08,85
 Zavkhan,2023-07,99
 Zavkhan,2023-06,93
 Zavkhan,2023-05,99
 Zavkhan,2023-04,110
 Zavkhan,2023-03,113
 Zavkhan,2023-02,89
 Zavkhan,2023-01,95
 Zavkhan,2022-12,86
 Zavkhan,2022-11,96
 Zavkhan,2022-10,103
 Zavkhan,2022-09,105
 Zavkhan,2022-08,96
 Zavkhan,2022-07,111
 Zavkhan,2022-06,107
 Zavkhan,2022-05,83
 Zavkhan,2022-04,98
 Zavkhan,2022-03,82
 Zavkhan,2022-02,58
 Zavkhan,2022-01,72
 Zavkhan,2021-12,92
 Zavkhan,2021-11,93
 Zavkhan,2021-10,74
 Zavkhan,2021-09,98
 Zavkhan,2021-08,102
 Zavkhan,2021-07,128
 Zavkhan,2021-06,130
 Zavkhan,2021-05,156
 Zavkhan,2021-04,114
 Zavkhan,2021-03,123
 Zavkhan,2021-02,117
 Zavkhan,2021-01,103
 Zavkhan,2020-12,131
 Zavkhan,2020-11,105
 Zavkhan,2020-10,120
 Zavkhan,2020-09,99
 Zavkhan,2020-08,104
 Zavkhan,2020-07,128
 Zavkhan,2020-06,128
 Zavkhan,2020-05,116
 Zavkhan,2020-04,111
 Zavkhan,2020-03,126
 Zavkhan,2020-02,91
 Zavkhan,2020-01,112
 Zavkhan,2019-12,110
 Zavkhan,2019-11,92
 Zavkhan,2019-10,118
 Zavkhan,2019-09,99
 Zavkhan,2019-08,124
 Zavkhan,2019-07,136
 Zavkhan,2019-06,102
 Zavkhan,2019-05,129
 Zavkhan,2019-04,118
 Zavkhan,2019-03,119
 Zavkhan,2019-02,97
 Zavkhan,2019-01,120
 Zavkhan,2018-12,117
 Zavkhan,2018-11,123
 Zavkhan,2018-10,97
 Zavkhan,2018-09,107
 Zavkhan,2018-08,119
 Zavkhan,2018-07,143
 Zavkhan,2018-06,124
 Zavkhan,2018-05,114
 Zavkhan,2018-04,131
 Zavkhan,2018-03,124
 Zavkhan,2018-02,96
 Zavkhan,2018-01,136
 Zavkhan,2017-12,99
 Zavkhan,2017-11,120
 Zavkhan,2017-10,106
 Zavkhan,2017-09,108
 Zavkhan,2017-08,106
 Zavkhan,2017-07,125
 Zavkhan,2017-06,160
 Zavkhan,2017-05,102
 Zavkhan,2017-04,95
 Zavkhan,2017-03,113
 Zavkhan,2017-02,98
 Zavkhan,2017-01,97
 Zavkhan,2016-12,99
 Zavkhan,2016-11,103
 Zavkhan,2016-10,95
 Zavkhan,2016-09,117
 Zavkhan,2016-08,139
 Zavkhan,2016-07,124
 Zavkhan,2016-06,120
 Zavkhan,2016-05,131
 Zavkhan,2016-04,120
 Zavkhan,2016-03,133
 Zavkhan,2016-02,134
 Zavkhan,2016-01,106
 Uvs,2026-03,107
 Uvs,2026-02,99
 Uvs,2026-01,116
 Uvs,2025-12,108
 Uvs,2025-11,101
 Uvs,2025-10,117
 Uvs,2025-09,118
 Uvs,2025-08,114
 Uvs,2025-07,108
 Uvs,2025-06,94
 Uvs,2025-05,118
 Uvs,2025-04,111
 Uvs,2025-03,122
 Uvs,2025-02,121
 Uvs,2025-01,134
 Uvs,2024-12,134
 Uvs,2024-11,141
 Uvs,2024-10,145
 Uvs,2024-09,131
 Uvs,2024-08,136
 Uvs,2024-07,138
 Uvs,2024-06,133
 Uvs,2024-05,142
 Uvs,2024-04,149
 Uvs,2024-03,143
 Uvs,2024-02,124
 Uvs,2024-01,110
 Uvs,2023-12,123
 Uvs,2023-11,124
 Uvs,2023-10,139
 Uvs,2023-09,146
 Uvs,2023-08,126
 Uvs,2023-07,154
 Uvs,2023-06,152
 Uvs,2023-05,153
 Uvs,2023-04,181
 Uvs,2023-03,166
 Uvs,2023-02,133
 Uvs,2023-01,149
 Uvs,2022-12,155
 Uvs,2022-11,134
 Uvs,2022-10,182
 Uvs,2022-09,149
 Uvs,2022-08,166
 Uvs,2022-07,134
 Uvs,2022-06,143
 Uvs,2022-05,128
 Uvs,2022-04,163
 Uvs,2022-03,102
 Uvs,2022-02,109
 Uvs,2022-01,113
 Uvs,2021-12,154
 Uvs,2021-11,131
 Uvs,2021-10,168
 Uvs,2021-09,170
 Uvs,2021-08,163
 Uvs,2021-07,150
 Uvs,2021-06,182
 Uvs,2021-05,152
 Uvs,2021-04,150
 Uvs,2021-03,163
 Uvs,2021-02,143
 Uvs,2021-01,133
 Uvs,2020-12,183
 Uvs,2020-11,150
 Uvs,2020-10,148
 Uvs,2020-09,179
 Uvs,2020-08,171
 Uvs,2020-07,179
 Uvs,2020-06,161
 Uvs,2020-05,176
 Uvs,2020-04,169
 Uvs,2020-03,188
 Uvs,2020-02,168
 Uvs,2020-01,152
 Uvs,2019-12,141
 Uvs,2019-11,157
 Uvs,2019-10,168
 Uvs,2019-09,186
 Uvs,2019-08,161
 Uvs,2019-07,160
 Uvs,2019-06,162
 Uvs,2019-05,160
 Uvs,2019-04,190
 Uvs,2019-03,157
 Uvs,2019-02,134
 Uvs,2019-01,134
 Uvs,2018-12,164
 Uvs,2018-11,176
 Uvs,2018-10,190
 Uvs,2018-09,121
 Uvs,2018-08,157
 Uvs,2018-07,183
 Uvs,2018-06,156
 Uvs,2018-05,151
 Uvs,2018-04,158
 Uvs,2018-03,162
 Uvs,2018-02,141
 Uvs,2018-01,153
 Uvs,2017-12,156
 Uvs,2017-11,169
 Uvs,2017-10,165
 Uvs,2017-09,136
 Uvs,2017-08,192
 Uvs,2017-07,218
 Uvs,2017-06,188
 Uvs,2017-05,203
 Uvs,2017-04,161
 Uvs,2017-03,171
 Uvs,2017-02,143
 Uvs,2017-01,134
 Uvs,2016-12,143
 Uvs,2016-11,179
 Uvs,2016-10,156
 Uvs,2016-09,184
 Uvs,2016-08,187
 Uvs,2016-07,171
 Uvs,2016-06,147
 Uvs,2016-05,196
 Uvs,2016-04,178
 Uvs,2016-03,140
 Uvs,2016-02,184
 Uvs,2016-01,175
 Khovd,2026-03,121
 Khovd,2026-02,111
 Khovd,2026-01,166
 Khovd,2025-12,145
 Khovd,2025-11,125
 Khovd,2025-10,148
 Khovd,2025-09,164
 Khovd,2025-08,146
 Khovd,2025-07,147
 Khovd,2025-06,146
 Khovd,2025-05,126
 Khovd,2025-04,120
 Khovd,2025-03,126
 Khovd,2025-02,156
 Khovd,2025-01,145
 Khovd,2024-12,144
 Khovd,2024-11,166
 Khovd,2024-10,156
 Khovd,2024-09,130
 Khovd,2024-08,148
 Khovd,2024-07,146
 Khovd,2024-06,114
 Khovd,2024-05,150
 Khovd,2024-04,133
 Khovd,2024-03,144
 Khovd,2024-02,147
 Khovd,2024-01,113
 Khovd,2023-12,129
 Khovd,2023-11,167
 Khovd,2023-10,159
 Khovd,2023-09,156
 Khovd,2023-08,150
 Khovd,2023-07,159
 Khovd,2023-06,175
 Khovd,2023-05,162
 Khovd,2023-04,154
 Khovd,2023-03,175
 Khovd,2023-02,139
 Khovd,2023-01,160
 Khovd,2022-12,163
 Khovd,2022-11,178
 Khovd,2022-10,163
 Khovd,2022-09,160
 Khovd,2022-08,174
 Khovd,2022-07,159
 Khovd,2022-06,171
 Khovd,2022-05,146
 Khovd,2022-04,128
 Khovd,2022-03,126
 Khovd,2022-02,112
 Khovd,2022-01,125
 Khovd,2021-12,152
 Khovd,2021-11,159
 Khovd,2021-10,171
 Khovd,2021-09,178
 Khovd,2021-08,166
 Khovd,2021-07,171
 Khovd,2021-06,172
 Khovd,2021-05,191
 Khovd,2021-04,163
 Khovd,2021-03,177
 Khovd,2021-02,158
 Khovd,2021-01,177
 Khovd,2020-12,193
 Khovd,2020-11,171
 Khovd,2020-10,169
 Khovd,2020-09,186
 Khovd,2020-08,202
 Khovd,2020-07,225
 Khovd,2020-06,215
 Khovd,2020-05,181
 Khovd,2020-04,181
 Khovd,2020-03,211
 Khovd,2020-02,167
 Khovd,2020-01,173
 Khovd,2019-12,188
 Khovd,2019-11,190
 Khovd,2019-10,223
 Khovd,2019-09,199
 Khovd,2019-08,183
 Khovd,2019-07,200
 Khovd,2019-06,172
 Khovd,2019-05,200
 Khovd,2019-04,200
 Khovd,2019-03,193
 Khovd,2019-02,162
 Khovd,2019-01,171
 Khovd,2018-12,199
 Khovd,2018-11,199
 Khovd,2018-10,181
 Khovd,2018-09,196
 Khovd,2018-08,216
 Khovd,2018-07,205
 Khovd,2018-06,199
 Khovd,2018-05,193
 Khovd,2018-04,180
 Khovd,2018-03,208
 Khovd,2018-02,186
 Khovd,2018-01,193
 Khovd,2017-12,170
 Khovd,2017-11,197
 Khovd,2017-10,200
 Khovd,2017-09,178
 Khovd,2017-08,178
 Khovd,2017-07,199
 Khovd,2017-06,188
 Khovd,2017-05,224
 Khovd,2017-04,188
 Khovd,2017-03,193
 Khovd,2017-02,142
 Khovd,2017-01,155
 Khovd,2016-12,174
 Khovd,2016-11,173
 Khovd,2016-10,169
 Khovd,2016-09,184
 Khovd,2016-08,213
 Khovd,2016-07,161
 Khovd,2016-06,185
 Khovd,2016-05,197
 Khovd,2016-04,179
 Khovd,2016-03,193
 Khovd,2016-02,192
 Khovd,2016-01,200
 Khangai region,2026-03,666
 Khangai region,2026-02,570
 Khangai region,2026-01,597
 Khangai region,2025-12,629
 Khangai region,2025-11,647
 Khangai region,2025-10,667
 Khangai region,2025-09,678
 Khangai region,2025-08,635
 Khangai region,2025-07,675
 Khangai region,2025-06,678
 Khangai region,2025-05,647
 Khangai region,2025-04,691
 Khangai region,2025-03,711
 Khangai region,2025-02,656
 Khangai region,2025-01,722
 Khangai region,2024-12,697
 Khangai region,2024-11,718
 Khangai region,2024-10,711
 Khangai region,2024-09,724
 Khangai region,2024-08,715
 Khangai region,2024-07,716
 Khangai region,2024-06,694
 Khangai region,2024-05,712
 Khangai region,2024-04,728
 Khangai region,2024-03,787
 Khangai region,2024-02,692
 Khangai region,2024-01,708
 Khangai region,2023-12,677
 Khangai region,2023-11,821
 Khangai region,2023-10,779
 Khangai region,2023-09,808
 Khangai region,2023-08,862
 Khangai region,2023-07,836
 Khangai region,2023-06,786
 Khangai region,2023-05,856
 Khangai region,2023-04,833
 Khangai region,2023-03,980
 Khangai region,2023-02,799
 Khangai region,2023-01,881
 Khangai region,2022-12,953
 Khangai region,2022-11,822
 Khangai region,2022-10,986
 Khangai region,2022-09,949
 Khangai region,2022-08,936
 Khangai region,2022-07,934
 Khangai region,2022-06,756
 Khangai region,2022-05,818
 Khangai region,2022-04,857
 Khangai region,2022-03,801
 Khangai region,2022-02,710
 Khangai region,2022-01,771
 Khangai region,2021-12,771
 Khangai region,2021-11,919
 Khangai region,2021-10,999
 Khangai region,2021-09,995
 Khangai region,2021-08,978
 Khangai region,2021-07,1122
 Khangai region,2021-06,1005
 Khangai region,2021-05,1014
 Khangai region,2021-04,1051
 Khangai region,2021-03,1029
 Khangai region,2021-02,941
 Khangai region,2021-01,905
 Khangai region,2020-12,1013
 Khangai region,2020-11,987
 Khangai region,2020-10,955
 Khangai region,2020-09,1046
 Khangai region,2020-08,1059
 Khangai region,2020-07,1092
 Khangai region,2020-06,995
 Khangai region,2020-05,1003
 Khangai region,2020-04,1029
 Khangai region,2020-03,1099
 Khangai region,2020-02,945
 Khangai region,2020-01,938
 Khangai region,2019-12,1059
 Khangai region,2019-11,1051
 Khangai region,2019-10,1073
 Khangai region,2019-09,1036
 Khangai region,2019-08,1113
 Khangai region,2019-07,1153
 Khangai region,2019-06,1059
 Khangai region,2019-05,1058
