Үзүүлэлт,Улсын дүн,Он,value
Тэнцэл,Улсын дүн,1930,1.1
Тэнцэл,Улсын дүн,1929,0.0
Тэнцэл,Улсын дүн,1928,0.2
Тэнцэл,Улсын дүн,1927,0.5
Тэнцэл,Улсын дүн,1926,1.3
Тэнцэл,Улсын дүн,1925,0.0
Тэнцэл,Улсын дүн,1924,0.2
Тэнцэл,Улсын дүн,1923,0.0
Тэнцэл,Улсын дүн,1922,0.0
Тэнцэл,Улсын дүн,1921,0.0
