type_of_livestock,region,year,value
Horse,Central region,1988,211.68
Horse,Central region,1987,200.97
Horse,Central region,1986,192.29
Horse,Central region,1985,184.77
Horse,Central region,1984,180.69
Horse,Central region,1983,183.01
Horse,Central region,1982,183.09
Horse,Central region,1981,177.35
Horse,Central region,1980,176.31
Horse,Central region,1979,184.63
Horse,Central region,1978,177.97
Horse,Central region,1977,178.17
Horse,Central region,1976,189.07
Horse,Central region,1975,201.4
Horse,Central region,1974,189.88
Horse,Central region,1973,179.92
Horse,Central region,1972,188.47
Horse,Central region,1971,198.33
Horse,Central region,1970,199.53
Horse,Darkhan-Uul,2025,24.37
Horse,Darkhan-Uul,2024,24.58
Horse,Darkhan-Uul,2023,21.94
Horse,Darkhan-Uul,2022,21.62
Horse,Darkhan-Uul,2021,22.11
Horse,Darkhan-Uul,2020,20.27
Horse,Darkhan-Uul,2019,19.33
Horse,Darkhan-Uul,2018,17.66
Horse,Darkhan-Uul,2017,17.0
Horse,Darkhan-Uul,2016,16.95
Horse,Darkhan-Uul,2015,14.73
Horse,Darkhan-Uul,2014,14.17
Horse,Darkhan-Uul,2013,12.81
Horse,Darkhan-Uul,2012,11.25
Horse,Darkhan-Uul,2011,10.97
Horse,Darkhan-Uul,2010,10.2
Horse,Darkhan-Uul,2009,11.05
Horse,Darkhan-Uul,2008,10.43
Horse,Darkhan-Uul,2007,7.92
Horse,Darkhan-Uul,2006,7.81
Horse,Darkhan-Uul,2005,7.46
Horse,Darkhan-Uul,2004,8.12
Horse,Darkhan-Uul,2003,8.63
Horse,Darkhan-Uul,2002,10.67
Horse,Darkhan-Uul,2001,13.22
Horse,Darkhan-Uul,2000,12.72
Horse,Darkhan-Uul,1999,12.72
Horse,Darkhan-Uul,1998,12.2
Horse,Darkhan-Uul,1997,11.0
Horse,Darkhan-Uul,1996,11.33
Horse,Darkhan-Uul,1995,11.56
Horse,Darkhan-Uul,1994,10.8
Horse,Darkhan-Uul,1993,10.27
Horse,Darkhan-Uul,1992,10.27
Horse,Darkhan-Uul,1991,9.59
Horse,Darkhan-Uul,1990,7.84
Horse,Darkhan-Uul,1989,6.3
Horse,Darkhan-Uul,1988,5.39
Horse,Darkhan-Uul,1987,4.75
Horse,Darkhan-Uul,1986,4.04
Horse,Darkhan-Uul,1985,4.04
Horse,Darkhan-Uul,1984,3.7
Horse,Darkhan-Uul,1983,3.34
Horse,Darkhan-Uul,1982,3.14
Horse,Darkhan-Uul,1981,1.98
Horse,Darkhan-Uul,1980,1.97
Horse,Darkhan-Uul,1979,7.3
Horse,Darkhan-Uul,1978,1.8
Horse,Darkhan-Uul,1977,1.7
Horse,Darkhan-Uul,1976,1.6
Horse,Darkhan-Uul,1975,1.4
Horse,Darkhan-Uul,1974,1.3
Horse,Darkhan-Uul,1973,1.1
Horse,Darkhan-Uul,1972,1.2
Horse,Darkhan-Uul,1971,0.8
Horse,Darkhan-Uul,1970,0.8
Horse,Selenge,2025,149.32
Horse,Selenge,2024,150.54
Horse,Selenge,2023,140.34
Horse,Selenge,2022,129.22
Horse,Selenge,2021,119.93
Horse,Selenge,2020,109.7
Horse,Selenge,2019,103.42
Horse,Selenge,2018,97.6
Horse,Selenge,2017,95.45
Horse,Selenge,2016,93.57
Horse,Selenge,2015,82.18
Horse,Selenge,2014,79.76
Horse,Selenge,2013,71.47
Horse,Selenge,2012,68.09
Horse,Selenge,2011,65.31
Horse,Selenge,2010,61.8
Horse,Selenge,2009,57.62
Horse,Selenge,2008,55.83
Horse,Selenge,2007,45.33
Horse,Selenge,2006,39.23
Horse,Selenge,2005,37.11
Horse,Selenge,2004,39.49
Horse,Selenge,2003,42.88
Horse,Selenge,2002,47.55
Horse,Selenge,2001,47.78
Horse,Selenge,2000,45.92
Horse,Selenge,1999,46.28
Horse,Selenge,1998,44.05
Horse,Selenge,1997,41.38
Horse,Selenge,1996,40.77
Horse,Selenge,1995,41.16
Horse,Selenge,1994,38.62
Horse,Selenge,1993,37.64
Horse,Selenge,1992,34.93
Horse,Selenge,1991,34.05
Horse,Selenge,1990,33.79
Horse,Selenge,1989,28.18
Horse,Selenge,1988,25.47
Horse,Selenge,1987,25.65
Horse,Selenge,1986,24.77
Horse,Selenge,1985,24.21
Horse,Selenge,1984,22.8
Horse,Selenge,1983,22.43
Horse,Selenge,1982,21.41
Horse,Selenge,1981,21.99
Horse,Selenge,1980,21.44
Horse,Selenge,1979,22.34
Horse,Selenge,1978,23.22
Horse,Selenge,1977,23.53
Horse,Selenge,1976,21.32
Horse,Selenge,1975,21.61
Horse,Selenge,1974,21.46
Horse,Selenge,1973,19.76
Horse,Selenge,1972,17.16
Horse,Selenge,1971,18.55
Horse,Selenge,1970,17.9
Horse,Tuv,2025,490.38
Horse,Tuv,2024,433.73
Horse,Tuv,2023,425.25
Horse,Tuv,2022,398.77
Horse,Tuv,2021,356.83
Horse,Tuv,2020,364.71
Horse,Tuv,2019,371.43
Horse,Tuv,2018,341.37
Horse,Tuv,2017,375.56
Horse,Tuv,2016,382.6
Horse,Tuv,2015,360.8
Horse,Tuv,2014,330.97
Horse,Tuv,2013,283.64
Horse,Tuv,2012,246.66
Horse,Tuv,2011,222.97
Horse,Tuv,2010,199.84
Horse,Tuv,2009,233.07
Horse,Tuv,2008,212.73
Horse,Tuv,2007,215.0
Horse,Tuv,2006,197.87
Horse,Tuv,2005,179.44
Horse,Tuv,2004,169.23
Horse,Tuv,2003,165.16
Horse,Tuv,2002,185.77
Horse,Tuv,2001,192.68
Horse,Tuv,2000,249.52
Horse,Tuv,1999,303.64
Horse,Tuv,1998,302.7
Horse,Tuv,1997,280.33
Horse,Tuv,1996,261.57
Horse,Tuv,1995,247.31
Horse,Tuv,1994,220.07
Horse,Tuv,1993,207.29
Horse,Tuv,1992,205.37
Horse,Tuv,1991,210.34
Horse,Tuv,1990,203.26
Horse,Tuv,1989,195.75
Horse,Tuv,1988,180.82
Horse,Tuv,1987,170.57
Horse,Tuv,1986,163.48
Horse,Tuv,1985,156.52
Horse,Tuv,1984,154.19
Horse,Tuv,1983,157.24
Horse,Tuv,1982,158.54
Horse,Tuv,1981,153.38
Horse,Tuv,1980,152.9
Horse,Tuv,1979,154.99
Horse,Tuv,1978,152.95
Horse,Tuv,1977,152.94
Horse,Tuv,1976,166.15
Horse,Tuv,1975,178.39
Horse,Tuv,1974,167.12
Horse,Tuv,1973,159.06
Horse,Tuv,1972,170.11
Horse,Tuv,1971,178.98
Horse,Tuv,1970,180.83
Horse,Eastern region,2025,1125.51
Horse,Eastern region,2024,1013.44
Horse,Eastern region,2023,1168.39
Horse,Eastern region,2022,1199.28
Horse,Eastern region,2021,1079.88
Horse,Eastern region,2020,976.92
Horse,Eastern region,2019,944.64
Horse,Eastern region,2018,925.06
Horse,Eastern region,2017,878.36
Horse,Eastern region,2016,780.44
Horse,Eastern region,2015,704.12
Horse,Eastern region,2014,628.31
Horse,Eastern region,2013,559.54
Horse,Eastern region,2012,506.99
Horse,Eastern region,2011,465.42
Horse,Eastern region,2010,428.07
Horse,Eastern region,2009,407.84
Horse,Eastern region,2008,407.51
Horse,Eastern region,2007,487.91
Horse,Eastern region,2006,487.3
Horse,Eastern region,2005,477.52
Horse,Eastern region,2004,478.28
Horse,Eastern region,2003,487.16
Horse,Eastern region,2002,474.17
Horse,Eastern region,2001,467.07
Horse,Eastern region,2000,490.51
Horse,Eastern region,1999,486.57
Horse,Eastern region,1998,447.97
Horse,Eastern region,1997,416.98
Horse,Eastern region,1996,389.13
Horse,Eastern region,1995,377.88
Horse,Eastern region,1994,369.91
Horse,Eastern region,1993,300.17
Horse,Eastern region,1992,351.39
Horse,Eastern region,1991,350.48
Horse,Eastern region,1990,352.67
Horse,Eastern region,1989,356.1
Horse,Eastern region,1988,350.62
Horse,Eastern region,1987,343.27
Horse,Eastern region,1986,341.19
Horse,Eastern region,1985,337.87
Horse,Eastern region,1984,341.46
Horse,Eastern region,1983,334.59
Horse,Eastern region,1982,345.81
Horse,Eastern region,1981,352.92
Horse,Eastern region,1980,336.87
Horse,Eastern region,1979,380.19
Horse,Eastern region,1978,370.58
Horse,Eastern region,1977,370.9
Horse,Eastern region,1976,393.5
Horse,Eastern region,1975,402.95
Horse,Eastern region,1974,393.36
Horse,Eastern region,1973,380.65
Horse,Eastern region,1972,374.89
Horse,Eastern region,1971,395.29
Horse,Eastern region,1970,398.77
Horse,Dornod,2025,462.79
Horse,Dornod,2024,438.21
Horse,Dornod,2023,443.79
Horse,Dornod,2022,420.15
Horse,Dornod,2021,368.5
Horse,Dornod,2020,324.45
Horse,Dornod,2019,297.37
Horse,Dornod,2018,278.81
Horse,Dornod,2017,250.72
Horse,Dornod,2016,224.99
Horse,Dornod,2015,196.54
Horse,Dornod,2014,176.51
Horse,Dornod,2013,160.9
Horse,Dornod,2012,150.85
Horse,Dornod,2011,144.1
Horse,Dornod,2010,136.3
Horse,Dornod,2009,140.05
Horse,Dornod,2008,145.48
Horse,Dornod,2007,142.93
Horse,Dornod,2006,134.96
Horse,Dornod,2005,128.75
Horse,Dornod,2004,124.65
Horse,Dornod,2003,121.81
Horse,Dornod,2002,115.55
Horse,Dornod,2001,109.62
Horse,Dornod,2000,105.53
Horse,Dornod,1999,104.0
Horse,Dornod,1998,95.36
Horse,Dornod,1997,89.85
Horse,Dornod,1996,87.02
Horse,Dornod,1995,88.41
Horse,Dornod,1994,92.8
Horse,Dornod,1993,92.5
Horse,Dornod,1992,92.44
Horse,Dornod,1991,93.05
Horse,Dornod,1990,92.0
Horse,Dornod,1989,90.86
Horse,Dornod,1988,87.93
Horse,Dornod,1987,85.7
Horse,Dornod,1986,83.88
Horse,Dornod,1985,85.04
Horse,Dornod,1984,84.25
Horse,Dornod,1983,82.47
Horse,Dornod,1982,83.39
Horse,Dornod,1981,85.4
Horse,Dornod,1980,80.99
Horse,Dornod,1979,101.0
Horse,Dornod,1978,99.27
Horse,Dornod,1977,103.81
Horse,Dornod,1976,108.06
Horse,Dornod,1975,110.85
Horse,Dornod,1974,106.5
Horse,Dornod,1973,103.28
Horse,Dornod,1972,98.3
Horse,Dornod,1971,102.97
Horse,Dornod,1970,98.25
Horse,Sukhbaatar,2025,335.53
Horse,Sukhbaatar,2024,289.38
Horse,Sukhbaatar,2023,366.35
Horse,Sukhbaatar,2022,402.53
Horse,Sukhbaatar,2021,364.57
Horse,Sukhbaatar,2020,330.96
Horse,Sukhbaatar,2019,321.89
Horse,Sukhbaatar,2018,327.34
Horse,Sukhbaatar,2017,315.58
Horse,Sukhbaatar,2016,274.68
Horse,Sukhbaatar,2015,259.59
Horse,Sukhbaatar,2014,231.25
Horse,Sukhbaatar,2013,203.05
Horse,Sukhbaatar,2012,183.57
Horse,Sukhbaatar,2011,164.87
Horse,Sukhbaatar,2010,148.09
Horse,Sukhbaatar,2009,131.51
Horse,Sukhbaatar,2008,118.78
Horse,Sukhbaatar,2007,166.01
Horse,Sukhbaatar,2006,176.34
Horse,Sukhbaatar,2005,177.72
Horse,Sukhbaatar,2004,185.48
Horse,Sukhbaatar,2003,194.69
Horse,Sukhbaatar,2002,188.84
Horse,Sukhbaatar,2001,182.91
Horse,Sukhbaatar,2000,192.19
Horse,Sukhbaatar,1999,188.3
Horse,Sukhbaatar,1998,169.43
Horse,Sukhbaatar,1997,154.87
Horse,Sukhbaatar,1996,139.8
Horse,Sukhbaatar,1995,134.86
Horse,Sukhbaatar,1994,130.78
Horse,Sukhbaatar,1993,71.42
Horse,Sukhbaatar,1992,120.85
Horse,Sukhbaatar,1991,118.37
Horse,Sukhbaatar,1990,118.22
Horse,Sukhbaatar,1989,123.66
Horse,Sukhbaatar,1988,124.32
Horse,Sukhbaatar,1987,120.39
Horse,Sukhbaatar,1986,122.57
Horse,Sukhbaatar,1985,118.09
Horse,Sukhbaatar,1984,117.51
Horse,Sukhbaatar,1983,111.87
Horse,Sukhbaatar,1982,115.51
Horse,Sukhbaatar,1981,121.81
Horse,Sukhbaatar,1980,115.03
Horse,Sukhbaatar,1979,128.18
Horse,Sukhbaatar,1978,124.11
Horse,Sukhbaatar,1977,120.72
Horse,Sukhbaatar,1976,126.29
Horse,Sukhbaatar,1975,127.93
Horse,Sukhbaatar,1974,123.68
Horse,Sukhbaatar,1973,120.47
Horse,Sukhbaatar,1972,117.3
Horse,Sukhbaatar,1971,121.87
Horse,Sukhbaatar,1970,129.06
Horse,Khentii,2025,327.19
Horse,Khentii,2024,285.85
Horse,Khentii,2023,358.25
Horse,Khentii,2022,376.59
Horse,Khentii,2021,346.81
Horse,Khentii,2020,321.51
Horse,Khentii,2019,325.38
Horse,Khentii,2018,318.9
Horse,Khentii,2017,312.07
Horse,Khentii,2016,280.77
Horse,Khentii,2015,248.0
Horse,Khentii,2014,220.55
Horse,Khentii,2013,195.59
Horse,Khentii,2012,172.58
Horse,Khentii,2011,156.45
Horse,Khentii,2010,143.68
Horse,Khentii,2009,136.28
Horse,Khentii,2008,143.25
Horse,Khentii,2007,178.97
Horse,Khentii,2006,176.0
Horse,Khentii,2005,171.05
Horse,Khentii,2004,168.15
Horse,Khentii,2003,170.66
Horse,Khentii,2002,169.78
Horse,Khentii,2001,174.54
Horse,Khentii,2000,192.79
Horse,Khentii,1999,194.27
Horse,Khentii,1998,183.18
Horse,Khentii,1997,172.26
Horse,Khentii,1996,162.31
Horse,Khentii,1995,154.61
Horse,Khentii,1994,146.33
Horse,Khentii,1993,136.25
Horse,Khentii,1992,138.1
Horse,Khentii,1991,139.06
Horse,Khentii,1990,142.45
Horse,Khentii,1989,141.58
Horse,Khentii,1988,138.37
Horse,Khentii,1987,137.18
Horse,Khentii,1986,134.74
Horse,Khentii,1985,134.74
Horse,Khentii,1984,139.7
Horse,Khentii,1983,140.25
Horse,Khentii,1982,146.91
Horse,Khentii,1981,145.71
Horse,Khentii,1980,140.85
Horse,Khentii,1979,151.01
Horse,Khentii,1978,147.2
Horse,Khentii,1977,146.37
Horse,Khentii,1976,159.15
Horse,Khentii,1975,164.17
Horse,Khentii,1974,163.18
Horse,Khentii,1973,156.9
Horse,Khentii,1972,159.29
Horse,Khentii,1971,170.45
Horse,Khentii,1970,171.46
Horse,Govi region,2025,448.96
Horse,Govi region,2024,371.88
Horse,Govi region,2023,489.89
Horse,Govi region,2022,525.45
Horse,Govi region,2021,468.85
Horse,Govi region,2020,464.57
Horse,Govi region,2019,463.04
Horse,Govi region,2018,420.01
Horse,Govi region,2017,414.29
Horse,Govi region,2016,361.24
Horse,Govi region,2015,347.6
Horse,Govi region,2014,307.29
Horse,Govi region,2013,262.29
Horse,Govi region,2012,227.22
Horse,Govi region,2011,198.1
Horse,Govi region,2010,173.18
Horse,Govi region,2009,215.38
Horse,Govi region,2008,208.96
Horse,Govi region,2007,223.19
Horse,Govi region,2006,219.03
Horse,Govi region,2005,253.25
Horse,Govi region,2004,260.13
Horse,Govi region,2003,240.88
Horse,Govi region,2002,237.71
Horse,Govi region,2001,265.63
Horse,Govi region,2000,343.63
Horse,Govi region,1999,473.64
Horse,Govi region,1998,455.74
Horse,Govi region,1997,411.1
Horse,Govi region,1996,377.15
Horse,Govi region,1995,340.68
Horse,Govi region,1994,298.31
Horse,Govi region,1993,274.23
Horse,Govi region,1992,292.5
Horse,Govi region,1991,301.95
Horse,Govi region,1990,297.46
Horse,Govi region,1989,298.48
Horse,Govi region,1988,280.58
Horse,Govi region,1987,273.32
Horse,Govi region,1986,277.77
Horse,Govi region,1985,279.89
Horse,Govi region,1984,286.23
Horse,Govi region,1983,290.61
Horse,Govi region,1982,309.57
Horse,Govi region,1981,299.46
Horse,Govi region,1980,319.04
Horse,Govi region,1979,344.23
Horse,Govi region,1978,347.94
Horse,Govi region,1977,344.04
Horse,Govi region,1976,368.82
Horse,Govi region,1975,370.48
Horse,Govi region,1974,371.85
Horse,Govi region,1973,338.65
Horse,Govi region,1972,356.27
Horse,Govi region,1971,345.86
Horse,Govi region,1970,371.91
Horse,Govisumber,2025,27.91
Horse,Govisumber,2024,21.57
Horse,Govisumber,2023,30.8
Horse,Govisumber,2022,27.73
Horse,Govisumber,2021,24.27
Horse,Govisumber,2020,22.69
Horse,Govisumber,2019,22.74
Horse,Govisumber,2018,20.59
Horse,Govisumber,2017,22.27
Horse,Govisumber,2016,20.25
Horse,Govisumber,2015,18.15
Horse,Govisumber,2014,14.97
Horse,Govisumber,2013,12.12
Horse,Govisumber,2012,9.59
Horse,Govisumber,2011,8.58
Horse,Govisumber,2010,6.91
Horse,Govisumber,2009,6.95
Horse,Govisumber,2008,7.29
Horse,Govisumber,2007,11.24
Horse,Govisumber,2006,12.02
Horse,Govisumber,2005,11.9
Horse,Govisumber,2004,11.08
Horse,Govisumber,2003,10.02
Horse,Govisumber,2002,7.26
Horse,Govisumber,2001,6.39
Horse,Govisumber,2000,12.33
Horse,Govisumber,1999,14.68
Horse,Govisumber,1998,13.4
Horse,Govisumber,1997,11.8
Horse,Govisumber,1996,10.3
Horse,Govisumber,1995,8.88
Horse,Govisumber,1994,7.96
Horse,Govisumber,1993,7.01
Horse,Govisumber,1992,6.39
Horse,Govisumber,1991,6.17
Horse,Govisumber,1990,
Horse,Govisumber,1989,
Horse,Govisumber,1988,
Horse,Govisumber,1987,
Horse,Govisumber,1986,
Horse,Govisumber,1985,
Horse,Govisumber,1984,
Horse,Govisumber,1983,
Horse,Govisumber,1982,
Horse,Govisumber,1981,
Horse,Govisumber,1980,
Horse,Govisumber,1979,
Horse,Govisumber,1978,
Horse,Govisumber,1977,
Horse,Govisumber,1976,
Horse,Govisumber,1975,
Horse,Govisumber,1974,
Horse,Govisumber,1973,
Horse,Govisumber,1972,
Horse,Govisumber,1971,
Horse,Govisumber,1970,
Horse,Dornogovi,2025,126.71
Horse,Dornogovi,2024,107.11
Horse,Dornogovi,2023,171.71
Horse,Dornogovi,2022,202.2
Horse,Dornogovi,2021,183.85
Horse,Dornogovi,2020,165.03
Horse,Dornogovi,2019,152.61
Horse,Dornogovi,2018,139.98
Horse,Dornogovi,2017,133.22
Horse,Dornogovi,2016,118.65
Horse,Dornogovi,2015,131.59
Horse,Dornogovi,2014,120.83
Horse,Dornogovi,2013,107.03
Horse,Dornogovi,2012,95.56
Horse,Dornogovi,2011,86.46
Horse,Dornogovi,2010,77.36
Horse,Dornogovi,2009,72.77
Horse,Dornogovi,2008,64.61
Horse,Dornogovi,2007,60.81
Horse,Dornogovi,2006,57.54
Horse,Dornogovi,2005,79.14
Horse,Dornogovi,2004,87.5
Horse,Dornogovi,2003,83.05
Horse,Dornogovi,2002,74.84
Horse,Dornogovi,2001,81.33
Horse,Dornogovi,2000,118.92
Horse,Dornogovi,1999,123.17
Horse,Dornogovi,1998,110.7
Horse,Dornogovi,1997,102.08
Horse,Dornogovi,1996,95.78
Horse,Dornogovi,1995,89.43
Horse,Dornogovi,1994,81.4
Horse,Dornogovi,1993,76.89
Horse,Dornogovi,1992,77.98
Horse,Dornogovi,1991,77.89
Horse,Dornogovi,1990,82.89
Horse,Dornogovi,1989,85.81
Horse,Dornogovi,1988,82.57
Horse,Dornogovi,1987,82.71
Horse,Dornogovi,1986,83.42
Horse,Dornogovi,1985,88.32
Horse,Dornogovi,1984,90.09
Horse,Dornogovi,1983,91.69
Horse,Dornogovi,1982,97.18
Horse,Dornogovi,1981,95.72
Horse,Dornogovi,1980,98.28
Horse,Dornogovi,1979,105.08
Horse,Dornogovi,1978,105.92
Horse,Dornogovi,1977,102.54
Horse,Dornogovi,1976,108.19
Horse,Dornogovi,1975,110.04
Horse,Dornogovi,1974,112.4
Horse,Dornogovi,1973,108.33
Horse,Dornogovi,1972,103.6
Horse,Dornogovi,1971,100.55
Horse,Dornogovi,1970,94.66
Horse,Dundgovi,2025,189.1
Horse,Dundgovi,2024,158.27
Horse,Dundgovi,2023,194.64
Horse,Dundgovi,2022,183.07
Horse,Dundgovi,2021,158.72
Horse,Dundgovi,2020,166.46
Horse,Dundgovi,2019,178.17
Horse,Dundgovi,2018,162.9
Horse,Dundgovi,2017,160.15
Horse,Dundgovi,2016,137.04
Horse,Dundgovi,2015,123.69
Horse,Dundgovi,2014,105.15
Horse,Dundgovi,2013,84.98
Horse,Dundgovi,2012,71.98
Horse,Dundgovi,2011,59.69
Horse,Dundgovi,2010,51.29
Horse,Dundgovi,2009,81.98
Horse,Dundgovi,2008,84.02
Horse,Dundgovi,2007,104.71
Horse,Dundgovi,2006,107.27
Horse,Dundgovi,2005,119.46
Horse,Dundgovi,2004,120.69
Horse,Dundgovi,2003,111.1
Horse,Dundgovi,2002,113.41
Horse,Dundgovi,2001,112.0
Horse,Dundgovi,2000,113.2
Horse,Dundgovi,1999,216.83
Horse,Dundgovi,1998,218.0
Horse,Dundgovi,1997,195.82
Horse,Dundgovi,1996,182.36
Horse,Dundgovi,1995,163.78
Horse,Dundgovi,1994,141.24
Horse,Dundgovi,1993,131.85
Horse,Dundgovi,1992,148.25
Horse,Dundgovi,1991,155.31
Horse,Dundgovi,1990,152.03
Horse,Dundgovi,1989,144.86
Horse,Dundgovi,1988,132.41
Horse,Dundgovi,1987,127.28
Horse,Dundgovi,1986,131.95
Horse,Dundgovi,1985,125.99
Horse,Dundgovi,1984,126.08
Horse,Dundgovi,1983,129.96
Horse,Dundgovi,1982,131.28
Horse,Dundgovi,1981,122.76
Horse,Dundgovi,1980,142.91
Horse,Dundgovi,1979,155.22
Horse,Dundgovi,1978,157.97
Horse,Dundgovi,1977,159.81
Horse,Dundgovi,1976,179.81
Horse,Dundgovi,1975,182.94
Horse,Dundgovi,1974,185.21
Horse,Dundgovi,1973,163.19
Horse,Dundgovi,1972,166.99
Horse,Dundgovi,1971,158.96
Horse,Dundgovi,1970,180.29
Horse,Umnugovi,2025,105.24
Horse,Umnugovi,2024,84.93
Horse,Umnugovi,2023,92.75
Horse,Umnugovi,2022,112.45
Horse,Umnugovi,2021,102.02
Horse,Umnugovi,2020,110.4
Horse,Umnugovi,2019,109.53
Horse,Umnugovi,2018,96.54
Horse,Umnugovi,2017,98.65
Horse,Umnugovi,2016,85.3
Horse,Umnugovi,2015,74.17
Horse,Umnugovi,2014,66.35
Horse,Umnugovi,2013,58.16
Horse,Umnugovi,2012,50.1
Horse,Umnugovi,2011,43.37
Horse,Umnugovi,2010,37.62
Horse,Umnugovi,2009,53.68
Horse,Umnugovi,2008,53.04
Horse,Umnugovi,2007,46.43
Horse,Umnugovi,2006,42.2
Horse,Umnugovi,2005,42.75
Horse,Umnugovi,2004,40.86
Horse,Umnugovi,2003,36.71
Horse,Umnugovi,2002,42.2
Horse,Umnugovi,2001,65.91
Horse,Umnugovi,2000,99.18
Horse,Umnugovi,1999,118.96
Horse,Umnugovi,1998,113.64
Horse,Umnugovi,1997,101.4
Horse,Umnugovi,1996,88.71
Horse,Umnugovi,1995,78.59
Horse,Umnugovi,1994,67.71
Horse,Umnugovi,1993,58.48
Horse,Umnugovi,1992,59.88
Horse,Umnugovi,1991,62.58
Horse,Umnugovi,1990,62.54
Horse,Umnugovi,1989,67.81
Horse,Umnugovi,1988,65.6
Horse,Umnugovi,1987,63.33
Horse,Umnugovi,1986,62.4
Horse,Umnugovi,1985,65.58
Horse,Umnugovi,1984,70.06
Horse,Umnugovi,1983,68.96
Horse,Umnugovi,1982,81.11
Horse,Umnugovi,1981,80.98
Horse,Umnugovi,1980,77.85
Horse,Umnugovi,1979,83.93
Horse,Umnugovi,1978,84.05
Horse,Umnugovi,1977,81.69
Horse,Umnugovi,1976,80.82
Horse,Umnugovi,1975,77.5
Horse,Umnugovi,1974,74.24
Horse,Umnugovi,1973,67.13
Horse,Umnugovi,1972,85.68
Horse,Umnugovi,1971,86.35
Horse,Umnugovi,1970,96.96
Horse,Ulaanbaatar,2025,102.7
Horse,Ulaanbaatar,2024,90.2
Horse,Ulaanbaatar,2023,78.47
Horse,Ulaanbaatar,2022,68.92
Horse,Ulaanbaatar,2021,61.98
Horse,Ulaanbaatar,2020,57.61
Horse,Ulaanbaatar,2019,48.04
Horse,Ulaanbaatar,2018,42.79
Horse,Ulaanbaatar,2017,43.34
Horse,Ulaanbaatar,2016,45.18
Horse,Ulaanbaatar,2015,36.74
Horse,Ulaanbaatar,2014,33.86
Horse,Ulaanbaatar,2013,30.2
Horse,Ulaanbaatar,2012,25.8
Horse,Ulaanbaatar,2011,22.49
Horse,Ulaanbaatar,2010,20.79
Horse,Ulaanbaatar,2009,21.97
Horse,Ulaanbaatar,2008,18.73
Horse,Ulaanbaatar,2007,19.02
Horse,Ulaanbaatar,2006,19.51
Horse,Ulaanbaatar,2005,16.84
Horse,Ulaanbaatar,2004,17.59
Horse,Ulaanbaatar,2003,17.46
Horse,Ulaanbaatar,2002,16.21
Horse,Ulaanbaatar,2001,18.28
Horse,Ulaanbaatar,2000,20.07
Horse,Ulaanbaatar,1999,21.73
Horse,Ulaanbaatar,1998,24.02
Horse,Ulaanbaatar,1997,23.89
Horse,Ulaanbaatar,1996,26.75
Horse,Ulaanbaatar,1995,27.75
Horse,Ulaanbaatar,1994,24.45
Horse,Ulaanbaatar,1993,24.12
Horse,Ulaanbaatar,1992,25.51
Horse,Ulaanbaatar,1991,22.07
Horse,Ulaanbaatar,1990,15.28
Horse,Ulaanbaatar,1989,11.93
Horse,Ulaanbaatar,1988,11.02
Horse,Ulaanbaatar,1987,10.91
Horse,Ulaanbaatar,1986,10.01
Horse,Ulaanbaatar,1985,10.01
Horse,Ulaanbaatar,1984,8.45
Horse,Ulaanbaatar,1983,8.55
Horse,Ulaanbaatar,1982,8.27
Horse,Ulaanbaatar,1981,8.08
Horse,Ulaanbaatar,1980,7.28
Horse,Ulaanbaatar,1979,27.0
Horse,Ulaanbaatar,1978,8.1
Horse,Ulaanbaatar,1977,9.2
Horse,Ulaanbaatar,1976,8.8
Horse,Ulaanbaatar,1975,9.2
Horse,Ulaanbaatar,1974,8.1
Horse,Ulaanbaatar,1973,8.7
Horse,Ulaanbaatar,1972,6.8
Horse,Ulaanbaatar,1971,7.89
Horse,Ulaanbaatar,1970,7.41
Cattle,Total,2025,5441.51
Cattle,Total,2024,5074.55
Cattle,Total,2023,5350.76
Cattle,Total,2022,5512.84
Cattle,Total,2021,5022.23
Cattle,Total,2020,4732.01
Cattle,Total,2019,4753.19
Cattle,Total,2018,4380.88
Cattle,Total,2017,4388.46
Cattle,Total,2016,4080.94
Cattle,Total,2015,3780.4
Cattle,Total,2014,3413.85
Cattle,Total,2013,2909.46
Cattle,Total,2012,2584.62
Cattle,Total,2011,2339.71
Cattle,Total,2010,2176.0
Cattle,Total,2009,2599.35
Cattle,Total,2008,2503.4
Cattle,Total,2007,2425.82
Cattle,Total,2006,2167.91
Cattle,Total,2005,1963.65
Cattle,Total,2004,1841.61
Cattle,Total,2003,1792.77
Cattle,Total,2002,1884.28
Cattle,Total,2001,2069.63
Cattle,Total,2000,3097.64
Cattle,Total,1999,3824.7
Cattle,Total,1998,3725.83
Cattle,Total,1997,3612.87
Cattle,Total,1996,3476.29
Cattle,Total,1995,3317.05
Cattle,Total,1994,2996.68
Cattle,Total,1993,2658.75
Cattle,Total,1992,2819.2
Cattle,Total,1991,2822.04
Cattle,Total,1990,2848.71
Cattle,Total,1989,2692.71
Cattle,Total,1988,2541.32
Cattle,Total,1987,2525.95
Cattle,Total,1986,2468.52
Cattle,Total,1985,2408.11
Cattle,Total,1984,2373.92
Cattle,Total,1983,2373.88
Cattle,Total,1982,2395.54
Cattle,Total,1981,2376.32
Cattle,Total,1980,2500.1
Cattle,Total,1979,2454.27
Cattle,Total,1978,2481.24
Cattle,Total,1977,2389.86
Cattle,Total,1976,2418.43
Cattle,Total,1975,2427.08
Cattle,Total,1974,2363.96
Cattle,Total,1973,2234.74
Cattle,Total,1972,2189.38
