type_of_livestock,region,year,value
Cattle,Ulaanbaatar,1974,26.6
Cattle,Ulaanbaatar,1973,23.8
Cattle,Ulaanbaatar,1972,15.4
Cattle,Ulaanbaatar,1971,15.6
Cattle,Ulaanbaatar,1970,13.81
Camel,Total,2025,501.26
Camel,Total,2024,480.57
Camel,Total,2023,473.85
Camel,Total,2022,470.47
Camel,Total,2021,454.04
Camel,Total,2020,472.93
Camel,Total,2019,472.38
Camel,Total,2018,459.7
Camel,Total,2017,434.1
Camel,Total,2016,401.35
Camel,Total,2015,367.99
Camel,Total,2014,349.3
Camel,Total,2013,321.48
Camel,Total,2012,305.83
Camel,Total,2011,280.09
Camel,Total,2010,269.61
Camel,Total,2009,277.05
Camel,Total,2008,266.43
Camel,Total,2007,260.6
Camel,Total,2006,253.27
Camel,Total,2005,254.19
Camel,Total,2004,256.61
Camel,Total,2003,256.74
Camel,Total,2002,253.07
Camel,Total,2001,285.23
Camel,Total,2000,322.92
Camel,Total,1999,355.6
Camel,Total,1998,356.52
Camel,Total,1997,355.36
Camel,Total,1996,357.93
Camel,Total,1995,367.51
Camel,Total,1994,366.14
Camel,Total,1993,363.03
Camel,Total,1992,415.17
Camel,Total,1991,476.02
Camel,Total,1990,537.5
Camel,Total,1989,558.33
Camel,Total,1988,552.91
Camel,Total,1987,546.58
Camel,Total,1986,550.98
Camel,Total,1985,559.01
Camel,Total,1984,568.16
Camel,Total,1983,578.01
Camel,Total,1982,584.66
Camel,Total,1981,586.23
Camel,Total,1980,591.49
Camel,Total,1979,616.25
Camel,Total,1978,608.57
Camel,Total,1977,608.97
Camel,Total,1976,607.27
Camel,Total,1975,617.0
Camel,Total,1974,606.57
Camel,Total,1973,602.87
Camel,Total,1972,625.07
Camel,Total,1971,632.01
Camel,Total,1970,633.51
Camel,Khangai region,2025,82.68
Camel,Khangai region,2024,76.19
Camel,Khangai region,2023,71.13
Camel,Khangai region,2022,66.51
Camel,Khangai region,2021,66.18
Camel,Khangai region,2020,83.31
Camel,Khangai region,2019,92.16
Camel,Khangai region,2018,90.09
Camel,Khangai region,2017,84.49
Camel,Khangai region,2016,77.16
Camel,Khangai region,2015,68.7
Camel,Khangai region,2014,64.84
Camel,Khangai region,2013,58.07
Camel,Khangai region,2012,53.76
Camel,Khangai region,2011,47.04
Camel,Khangai region,2010,45.69
Camel,Khangai region,2009,45.72
Camel,Khangai region,2008,42.21
Camel,Khangai region,2007,39.52
Camel,Khangai region,2006,36.9
Camel,Khangai region,2005,36.62
Camel,Khangai region,2004,35.53
Camel,Khangai region,2003,35.45
Camel,Khangai region,2002,33.42
Camel,Khangai region,2001,43.56
Camel,Khangai region,2000,54.35
Camel,Khangai region,1999,59.67
Camel,Khangai region,1998,59.03
Camel,Khangai region,1997,58.82
Camel,Khangai region,1996,59.12
Camel,Khangai region,1995,61.37
Camel,Khangai region,1994,59.64
Camel,Khangai region,1993,57.66
Camel,Khangai region,1992,60.47
Camel,Khangai region,1991,71.25
Camel,Khangai region,1990,79.14
Camel,Khangai region,1989,80.21
Camel,Khangai region,1988,79.75
Camel,Khangai region,1987,81.11
Camel,Khangai region,1986,81.73
Camel,Khangai region,1985,82.62
Camel,Khangai region,1984,88.34
Camel,Khangai region,1983,93.88
Camel,Khangai region,1982,93.93
Camel,Khangai region,1981,93.17
Camel,Khangai region,1980,93.04
Camel,Khangai region,1979,98.41
Camel,Khangai region,1978,98.54
Camel,Khangai region,1977,99.55
Camel,Khangai region,1976,98.7
Camel,Khangai region,1975,97.88
Camel,Khangai region,1974,96.21
Camel,Khangai region,1973,96.07
Camel,Khangai region,1972,93.94
Camel,Khangai region,1971,94.55
Camel,Khangai region,1970,99.8
Camel,Arkhangai,2025,1.73
Camel,Arkhangai,2024,1.57
Camel,Arkhangai,2023,1.5
Camel,Arkhangai,2022,1.72
Camel,Arkhangai,2021,1.67
Camel,Arkhangai,2020,1.29
Camel,Arkhangai,2019,1.36
Camel,Arkhangai,2018,1.25
Camel,Arkhangai,2017,1.38
Camel,Arkhangai,2016,1.25
Camel,Arkhangai,2015,1.08
Camel,Arkhangai,2014,1.21
Camel,Arkhangai,2013,1.11
Camel,Arkhangai,2012,1.08
Camel,Arkhangai,2011,0.91
Camel,Arkhangai,2010,0.91
Camel,Arkhangai,2009,0.84
Camel,Arkhangai,2008,0.73
Camel,Arkhangai,2007,0.83
Camel,Arkhangai,2006,0.84
Camel,Arkhangai,2005,0.67
Camel,Arkhangai,2004,0.68
Camel,Arkhangai,2003,0.73
Camel,Arkhangai,2002,0.7
Camel,Arkhangai,2001,0.6
Camel,Arkhangai,2000,0.75
Camel,Arkhangai,1999,0.83
Camel,Arkhangai,1998,0.79
Camel,Arkhangai,1997,0.76
Camel,Arkhangai,1996,0.81
Camel,Arkhangai,1995,0.85
Camel,Arkhangai,1994,0.95
Camel,Arkhangai,1993,1.02
Camel,Arkhangai,1992,1.18
Camel,Arkhangai,1991,1.73
Camel,Arkhangai,1990,2.33
Camel,Arkhangai,1989,2.31
Camel,Arkhangai,1988,2.24
Camel,Arkhangai,1987,2.19
Camel,Arkhangai,1986,2.14
Camel,Arkhangai,1985,2.07
Camel,Arkhangai,1984,2.14
Camel,Arkhangai,1983,2.1
Camel,Arkhangai,1982,2.26
Camel,Arkhangai,1981,2.14
Camel,Arkhangai,1980,2.08
Camel,Arkhangai,1979,2.05
Camel,Arkhangai,1978,2.0
Camel,Arkhangai,1977,1.96
Camel,Arkhangai,1976,2.16
Camel,Arkhangai,1975,2.64
Camel,Arkhangai,1974,2.67
Camel,Arkhangai,1973,2.66
Camel,Arkhangai,1972,2.83
Camel,Arkhangai,1971,3.01
Camel,Arkhangai,1970,3.05
Camel,Bayankhongor,2025,56.63
Camel,Bayankhongor,2024,52.59
Camel,Bayankhongor,2023,48.95
Camel,Bayankhongor,2022,45.53
Camel,Bayankhongor,2021,45.47
Camel,Bayankhongor,2020,55.46
Camel,Bayankhongor,2019,58.09
Camel,Bayankhongor,2018,57.39
Camel,Bayankhongor,2017,54.35
Camel,Bayankhongor,2016,49.66
Camel,Bayankhongor,2015,44.5
Camel,Bayankhongor,2014,41.67
Camel,Bayankhongor,2013,37.23
Camel,Bayankhongor,2012,34.55
Camel,Bayankhongor,2011,30.26
Camel,Bayankhongor,2010,30.07
Camel,Bayankhongor,2009,29.71
Camel,Bayankhongor,2008,27.36
Camel,Bayankhongor,2007,25.15
Camel,Bayankhongor,2006,23.05
Camel,Bayankhongor,2005,22.81
Camel,Bayankhongor,2004,21.02
Camel,Bayankhongor,2003,20.74
Camel,Bayankhongor,2002,19.38
Camel,Bayankhongor,2001,28.22
Camel,Bayankhongor,2000,37.12
Camel,Bayankhongor,1999,39.53
Camel,Bayankhongor,1998,38.71
Camel,Bayankhongor,1997,38.84
Camel,Bayankhongor,1996,38.68
Camel,Bayankhongor,1995,39.66
Camel,Bayankhongor,1994,37.87
Camel,Bayankhongor,1993,35.68
Camel,Bayankhongor,1992,37.71
Camel,Bayankhongor,1991,41.79
Camel,Bayankhongor,1990,45.41
Camel,Bayankhongor,1989,46.17
Camel,Bayankhongor,1988,46.78
Camel,Bayankhongor,1987,48.3
Camel,Bayankhongor,1986,49.35
Camel,Bayankhongor,1985,50.42
Camel,Bayankhongor,1984,52.81
Camel,Bayankhongor,1983,56.75
Camel,Bayankhongor,1982,56.45
Camel,Bayankhongor,1981,55.9
Camel,Bayankhongor,1980,55.53
Camel,Bayankhongor,1979,57.76
Camel,Bayankhongor,1978,58.34
Camel,Bayankhongor,1977,58.87
Camel,Bayankhongor,1976,58.6
Camel,Bayankhongor,1975,57.75
Camel,Bayankhongor,1974,56.58
Camel,Bayankhongor,1973,56.48
Camel,Bayankhongor,1972,54.84
Camel,Bayankhongor,1971,54.88
Camel,Bayankhongor,1970,57.6
Camel,Uvurkhangai,2025,24.31
Camel,Uvurkhangai,2024,22.03
Camel,Uvurkhangai,2023,20.68
Camel,Uvurkhangai,2022,19.26
Camel,Uvurkhangai,2021,19.04
Camel,Uvurkhangai,2020,26.57
Camel,Uvurkhangai,2019,32.71
Camel,Uvurkhangai,2018,31.45
Camel,Uvurkhangai,2017,28.76
Camel,Uvurkhangai,2016,26.25
Camel,Uvurkhangai,2015,23.13
Camel,Uvurkhangai,2014,21.97
Camel,Uvurkhangai,2013,19.74
Camel,Uvurkhangai,2012,18.13
Camel,Uvurkhangai,2011,15.87
Camel,Uvurkhangai,2010,14.71
Camel,Uvurkhangai,2009,15.17
Camel,Uvurkhangai,2008,14.12
Camel,Uvurkhangai,2007,13.54
Camel,Uvurkhangai,2006,13.01
Camel,Uvurkhangai,2005,13.14
Camel,Uvurkhangai,2004,13.83
Camel,Uvurkhangai,2003,13.98
Camel,Uvurkhangai,2002,13.34
Camel,Uvurkhangai,2001,14.74
Camel,Uvurkhangai,2000,16.48
Camel,Uvurkhangai,1999,19.31
Camel,Uvurkhangai,1998,19.53
Camel,Uvurkhangai,1997,19.22
Camel,Uvurkhangai,1996,19.63
Camel,Uvurkhangai,1995,20.86
Camel,Uvurkhangai,1994,20.82
Camel,Uvurkhangai,1993,20.96
Camel,Uvurkhangai,1992,21.58
Camel,Uvurkhangai,1991,27.73
Camel,Uvurkhangai,1990,31.4
Camel,Uvurkhangai,1989,31.73
Camel,Uvurkhangai,1988,30.73
Camel,Uvurkhangai,1987,30.62
Camel,Uvurkhangai,1986,30.24
Camel,Uvurkhangai,1985,30.13
Camel,Uvurkhangai,1984,33.39
Camel,Uvurkhangai,1983,35.03
Camel,Uvurkhangai,1982,35.22
Camel,Uvurkhangai,1981,35.13
Camel,Uvurkhangai,1980,35.43
Camel,Uvurkhangai,1979,38.6
Camel,Uvurkhangai,1978,38.2
Camel,Uvurkhangai,1977,38.72
Camel,Uvurkhangai,1976,37.94
Camel,Uvurkhangai,1975,37.49
Camel,Uvurkhangai,1974,36.96
Camel,Uvurkhangai,1973,36.93
Camel,Uvurkhangai,1972,36.27
Camel,Uvurkhangai,1971,36.66
Camel,Uvurkhangai,1970,39.15
Camel,Western region,2025,128.2
Camel,Western region,2024,127.29
Camel,Western region,2023,118.91
Camel,Western region,2022,116.99
Camel,Western region,2021,111.89
Camel,Western region,2020,108.63
Camel,Western region,2019,109.83
Camel,Western region,2018,107.57
Camel,Western region,2017,103.91
Camel,Western region,2016,96.21
Camel,Western region,2015,88.55
Camel,Western region,2014,84.13
Camel,Western region,2013,77.79
Camel,Western region,2012,74.27
Camel,Western region,2011,67.64
Camel,Western region,2010,64.8
Camel,Western region,2009,70.9
Camel,Western region,2008,71.31
Camel,Western region,2007,73.08
Camel,Western region,2006,70.61
Camel,Western region,2005,68.16
Camel,Western region,2004,68.06
Camel,Western region,2003,68.99
Camel,Western region,2002,66.8
Camel,Western region,2001,78.91
Camel,Western region,2000,88.79
Camel,Western region,1999,100.93
Camel,Western region,1998,103.89
Camel,Western region,1997,106.2
Camel,Western region,1996,109.98
Camel,Western region,1995,114.12
Camel,Western region,1994,112.32
Camel,Western region,1993,110.59
Camel,Western region,1992,119.56
Camel,Western region,1991,136.38
Camel,Western region,1990,155.46
Camel,Western region,1989,158.65
Camel,Western region,1988,158.39
Camel,Western region,1987,156.18
Camel,Western region,1986,154.05
Camel,Western region,1985,153.03
Camel,Western region,1984,151.21
Camel,Western region,1983,153.88
Camel,Western region,1982,159.68
Camel,Western region,1981,162.68
Camel,Western region,1980,164.08
Camel,Western region,1979,164.38
Camel,Western region,1978,163.32
Camel,Western region,1977,166.48
Camel,Western region,1976,168.16
Camel,Western region,1975,169.53
Camel,Western region,1974,171.55
Camel,Western region,1973,172.97
Camel,Western region,1972,171.48
Camel,Western region,1971,173.19
Camel,Western region,1970,169.12
Camel,Bayan-Ulgii,2025,6.83
Camel,Bayan-Ulgii,2024,6.72
Camel,Bayan-Ulgii,2023,6.23
Camel,Bayan-Ulgii,2022,6.13
Camel,Bayan-Ulgii,2021,5.92
Camel,Bayan-Ulgii,2020,5.41
Camel,Bayan-Ulgii,2019,5.91
Camel,Bayan-Ulgii,2018,5.65
Camel,Bayan-Ulgii,2017,5.28
Camel,Bayan-Ulgii,2016,4.93
Camel,Bayan-Ulgii,2015,4.72
Camel,Bayan-Ulgii,2014,4.67
Camel,Bayan-Ulgii,2013,4.35
Camel,Bayan-Ulgii,2012,4.19
Camel,Bayan-Ulgii,2011,3.99
Camel,Bayan-Ulgii,2010,3.77
Camel,Bayan-Ulgii,2009,3.87
Camel,Bayan-Ulgii,2008,3.95
Camel,Bayan-Ulgii,2007,4.29
Camel,Bayan-Ulgii,2006,4.26
Camel,Bayan-Ulgii,2005,4.28
Camel,Bayan-Ulgii,2004,4.76
Camel,Bayan-Ulgii,2003,5.57
Camel,Bayan-Ulgii,2002,5.85
Camel,Bayan-Ulgii,2001,6.38
Camel,Bayan-Ulgii,2000,6.95
Camel,Bayan-Ulgii,1999,7.98
Camel,Bayan-Ulgii,1998,8.23
Camel,Bayan-Ulgii,1997,8.48
Camel,Bayan-Ulgii,1996,8.38
Camel,Bayan-Ulgii,1995,8.46
Camel,Bayan-Ulgii,1994,7.86
Camel,Bayan-Ulgii,1993,7.22
Camel,Bayan-Ulgii,1992,7.62
Camel,Bayan-Ulgii,1991,8.93
Camel,Bayan-Ulgii,1990,10.42
Camel,Bayan-Ulgii,1989,10.45
Camel,Bayan-Ulgii,1988,10.44
Camel,Bayan-Ulgii,1987,10.63
Camel,Bayan-Ulgii,1986,10.72
Camel,Bayan-Ulgii,1985,10.65
Camel,Bayan-Ulgii,1984,10.44
Camel,Bayan-Ulgii,1983,10.54
Camel,Bayan-Ulgii,1982,10.97
Camel,Bayan-Ulgii,1981,11.06
Camel,Bayan-Ulgii,1980,11.04
Camel,Bayan-Ulgii,1979,11.24
Camel,Bayan-Ulgii,1978,11.35
Camel,Bayan-Ulgii,1977,12.3
Camel,Bayan-Ulgii,1976,12.87
Camel,Bayan-Ulgii,1975,13.25
Camel,Bayan-Ulgii,1974,14.35
Camel,Bayan-Ulgii,1973,14.6
Camel,Bayan-Ulgii,1972,14.42
Camel,Bayan-Ulgii,1971,14.53
Camel,Bayan-Ulgii,1970,14.58
Camel,Govi-Altai,2025,51.34
Camel,Govi-Altai,2024,50.09
Camel,Govi-Altai,2023,47.4
Camel,Govi-Altai,2022,45.37
Camel,Govi-Altai,2021,43.69
Camel,Govi-Altai,2020,43.93
Camel,Govi-Altai,2019,44.44
Camel,Govi-Altai,2018,43.67
Camel,Govi-Altai,2017,41.96
Camel,Govi-Altai,2016,38.54
Camel,Govi-Altai,2015,34.74
