Бүс,Сар,value
Баруун бүс,2016-03,14.0
Баруун бүс,2016-02,30.0
Баруун бүс,2016-01,36.0
Баян-Өлгий,2025-12,5.0
Баян-Өлгий,2025-11,24.0
Баян-Өлгий,2025-10,20.0
Баян-Өлгий,2025-09,11.0
Баян-Өлгий,2025-08,18.0
Баян-Өлгий,2025-07,9.0
Баян-Өлгий,2025-06,5.0
Баян-Өлгий,2025-05,33.0
Баян-Өлгий,2025-04,17.0
Баян-Өлгий,2025-03,16.0
Баян-Өлгий,2025-02,27.0
Баян-Өлгий,2025-01,19.0
Баян-Өлгий,2024-12,10.0
Баян-Өлгий,2024-11,5.0
Баян-Өлгий,2024-10,0.0
Баян-Өлгий,2024-09,14.0
Баян-Өлгий,2024-08,19.0
Баян-Өлгий,2024-07,18.0
Баян-Өлгий,2024-06,13.0
Баян-Өлгий,2024-05,25.0
Баян-Өлгий,2024-04,20.0
Баян-Өлгий,2024-03,15.0
Баян-Өлгий,2024-02,6.0
Баян-Өлгий,2024-01,0.0
Баян-Өлгий,2023-12,16.0
Баян-Өлгий,2023-11,16.0
Баян-Өлгий,2023-10,40.0
Баян-Өлгий,2023-09,15.0
Баян-Өлгий,2023-08,14.0
Баян-Өлгий,2023-07,5.0
Баян-Өлгий,2023-06,16.0
Баян-Өлгий,2023-05,18.0
Баян-Өлгий,2023-04,8.0
Баян-Өлгий,2023-03,18.0
Баян-Өлгий,2023-02,26.0
Баян-Өлгий,2023-01,23.0
Баян-Өлгий,2022-12,19.0
Баян-Өлгий,2022-11,8.0
Баян-Өлгий,2022-10,21.0
Баян-Өлгий,2022-09,26.0
Баян-Өлгий,2022-08,12.0
Баян-Өлгий,2022-07,0.0
Баян-Өлгий,2022-06,12.0
Баян-Өлгий,2022-05,28.0
Баян-Өлгий,2022-04,0.0
Баян-Өлгий,2022-03,21.0
Баян-Өлгий,2022-02,13.0
Баян-Өлгий,2022-01,15.0
Баян-Өлгий,2021-12,8.0
Баян-Өлгий,2021-11,19.0
Баян-Өлгий,2021-10,9.0
Баян-Өлгий,2021-09,52.0
Баян-Өлгий,2021-08,31.0
Баян-Өлгий,2021-07,16.0
Баян-Өлгий,2021-06,4.0
Баян-Өлгий,2021-05,8.0
Баян-Өлгий,2021-04,18.0
Баян-Өлгий,2021-03,8.0
Баян-Өлгий,2021-02,8.0
Баян-Өлгий,2021-01,19.0
Баян-Өлгий,2020-12,18.0
Баян-Өлгий,2020-11,16.0
Баян-Өлгий,2020-10,28.0
Баян-Өлгий,2020-09,12.0
Баян-Өлгий,2020-08,5.0
Баян-Өлгий,2020-07,20.0
Баян-Өлгий,2020-06,4.0
Баян-Өлгий,2020-05,19.0
Баян-Өлгий,2020-04,12.0
Баян-Өлгий,2020-03,13.0
Баян-Өлгий,2020-02,13.0
Баян-Өлгий,2020-01,39.0
Баян-Өлгий,2019-12,24.0
Баян-Өлгий,2019-11,30.0
Баян-Өлгий,2019-10,14.0
Баян-Өлгий,2019-09,23.0
Баян-Өлгий,2019-08,30.0
Баян-Өлгий,2019-07,18.0
Баян-Өлгий,2019-06,9.0
Баян-Өлгий,2019-05,15.0
Баян-Өлгий,2019-04,17.0
Баян-Өлгий,2019-03,12.0
Баян-Өлгий,2019-02,19.0
Баян-Өлгий,2019-01,39.0
Баян-Өлгий,2018-12,4.0
Баян-Өлгий,2018-11,43.0
Баян-Өлгий,2018-10,25.0
Баян-Өлгий,2018-09,24.0
Баян-Өлгий,2018-08,8.0
Баян-Өлгий,2018-07,4.0
Баян-Өлгий,2018-06,25.0
Баян-Өлгий,2018-05,12.0
Баян-Өлгий,2018-04,20.0
Баян-Өлгий,2018-03,23.0
Баян-Өлгий,2018-02,8.0
