Насжилт,Бүс,Он,value
Бүгд,    Төв,2018,22256
Бүгд,    Төв,2017,20556
Бүгд,    Төв,2016,19060
Бүгд,    Төв,2015,17471
Бүгд,    Төв,2014,16311
Бүгд,    Төв,2013,12383
Бүгд,    Төв,2012,11207
Бүгд,Зүүн бүс,2025,72907
Бүгд,Зүүн бүс,2024,63355
Бүгд,Зүүн бүс,2023,58167
Бүгд,Зүүн бүс,2022,62701
Бүгд,Зүүн бүс,2021,67174
Бүгд,Зүүн бүс,2020,61008
Бүгд,Зүүн бүс,2019,55942
Бүгд,Зүүн бүс,2018,50322
Бүгд,Зүүн бүс,2017,44534
Бүгд,Зүүн бүс,2016,40300
Бүгд,Зүүн бүс,2015,36932
Бүгд,Зүүн бүс,2014,34123
Бүгд,Зүүн бүс,2013,30548
Бүгд,Зүүн бүс,2012,27624
Бүгд,    Дорнод,2025,27331
Бүгд,    Дорнод,2024,23629
Бүгд,    Дорнод,2023,20976
Бүгд,    Дорнод,2022,21188
Бүгд,    Дорнод,2021,25344
Бүгд,    Дорнод,2020,23140
Бүгд,    Дорнод,2019,21233
Бүгд,    Дорнод,2018,19408
Бүгд,    Дорнод,2017,17387
Бүгд,    Дорнод,2016,15758
Бүгд,    Дорнод,2015,14796
Бүгд,    Дорнод,2014,13924
Бүгд,    Дорнод,2013,12746
Бүгд,    Дорнод,2012,11721
Бүгд,    Сүхбаатар,2025,21290
Бүгд,    Сүхбаатар,2024,19038
Бүгд,    Сүхбаатар,2023,17370
Бүгд,    Сүхбаатар,2022,19489
Бүгд,    Сүхбаатар,2021,19969
Бүгд,    Сүхбаатар,2020,18217
Бүгд,    Сүхбаатар,2019,16825
Бүгд,    Сүхбаатар,2018,15085
Бүгд,    Сүхбаатар,2017,13432
Бүгд,    Сүхбаатар,2016,12522
Бүгд,    Сүхбаатар,2015,11471
Бүгд,    Сүхбаатар,2014,10404
Бүгд,    Сүхбаатар,2013,9044
Бүгд,    Сүхбаатар,2012,8235
Бүгд,    Хэнтий,2025,24286
Бүгд,    Хэнтий,2024,20688
Бүгд,    Хэнтий,2023,19821
Бүгд,    Хэнтий,2022,22024
Бүгд,    Хэнтий,2021,21861
Бүгд,    Хэнтий,2020,19651
Бүгд,    Хэнтий,2019,17884
Бүгд,    Хэнтий,2018,15829
Бүгд,    Хэнтий,2017,13715
Бүгд,    Хэнтий,2016,12020
Бүгд,    Хэнтий,2015,10665
Бүгд,    Хэнтий,2014,9795
Бүгд,    Хэнтий,2013,8758
Бүгд,    Хэнтий,2012,7668
Бүгд,Улаанбаатар,2025,795756
Бүгд,Улаанбаатар,2024,796989
Бүгд,Улаанбаатар,2023,697870
Бүгд,Улаанбаатар,2022,712992
Бүгд,Улаанбаатар,2021,662644
Бүгд,Улаанбаатар,2020,615622
Бүгд,Улаанбаатар,2019,568872
Бүгд,Улаанбаатар,2018,537672
Бүгд,Улаанбаатар,2017,512007
Бүгд,Улаанбаатар,2016,487528
Бүгд,Улаанбаатар,2015,466683
Бүгд,Улаанбаатар,2014,443793
Бүгд,Улаанбаатар,2013,410516
Бүгд,Улаанбаатар,2012,367814
Бүгд,    Улаанбаатар,2025,795756
Бүгд,    Улаанбаатар,2024,796989
Бүгд,    Улаанбаатар,2023,697870
Бүгд,    Улаанбаатар,2022,712992
Бүгд,    Улаанбаатар,2021,662644
Бүгд,    Улаанбаатар,2020,615622
Бүгд,    Улаанбаатар,2019,568872
Бүгд,    Улаанбаатар,2018,537672
Бүгд,    Улаанбаатар,2017,512007
Бүгд,    Улаанбаатар,2016,487528
Бүгд,    Улаанбаатар,2015,466683
Бүгд,    Улаанбаатар,2014,443793
Бүгд,    Улаанбаатар,2013,410516
Бүгд,    Улаанбаатар,2012,367814
0-3 жил,Улсын дүн,2025,62641
0-3 жил,Улсын дүн,2024,69854
0-3 жил,Улсын дүн,2023,67027
0-3 жил,Улсын дүн,2022,71774
0-3 жил,Улсын дүн,2021,47172
0-3 жил,Улсын дүн,2020,39261
0-3 жил,Улсын дүн,2019,33300
0-3 жил,Улсын дүн,2018,34482
0-3 жил,Улсын дүн,2017,18840
0-3 жил,Улсын дүн,2016,18134
0-3 жил,Улсын дүн,2015,21687
0-3 жил,Улсын дүн,2014,30257
