date,total_assets_billion_mnt,total_liabilities_billion_mnt,capital_billion_mnt
2024-06-01,62184.86,55661.398,6523.462
2024-07-01,61135.613,54484.114,6651.499
2024-08-01,61433.45,54564.164,6869.286
2024-09-01,62687.276,55728.468,6958.808
2024-10-01,62889.773,55872.176,7017.597
2024-11-01,62490.329,55393.386,7096.943
2024-12-01,71238.146,63899.262,7338.884
2025-01-01,65895.936,58435.994,7459.942
2025-02-01,66241.998,58664.501,7577.497
2025-03-01,69989.442,62246.857,7742.584
2025-04-01,67244.459,59847.277,7397.183
2025-05-01,68207.173,60724.699,7482.474
2025-06-01,72599.608,64994.154,7605.455
2025-07-01,70133.414,62423.613,7709.801
2025-08-01,72123.542,64325.688,7797.854
2025-09-01,75584.329,67626.799,7957.531
2025-10-01,73718.637,65696.025,8022.612
2025-11-01,74392.734,66265.379,8127.354
2025-12-01,85425.638,76970.509,8455.13
2026-01-01,78700.696,70167.047,8533.649
2026-02-01,80068.135,71455.8,8612.336
