Дэд салбар,Сар,value
        Газрын тос олборлолт,2025-12,67072.3
        Газрын тос олборлолт,2025-11,67857.3
        Газрын тос олборлолт,2025-10,73029.9
        Газрын тос олборлолт,2025-09,75260.3
        Газрын тос олборлолт,2025-08,83718.7
        Газрын тос олборлолт,2025-07,82991.9
        Газрын тос олборлолт,2025-06,83795.8
        Газрын тос олборлолт,2025-05,83856.3
        Газрын тос олборлолт,2025-04,82054.8
        Газрын тос олборлолт,2025-03,85070.8
        Газрын тос олборлолт,2025-02,77905.7
        Газрын тос олборлолт,2025-01,88797.4
        Газрын тос олборлолт,2024-12,87847.3
        Газрын тос олборлолт,2024-11,87414.0
        Газрын тос олборлолт,2024-10,89469.9
        Газрын тос олборлолт,2024-09,84044.2
        Газрын тос олборлолт,2024-08,95648.4
        Газрын тос олборлолт,2024-07,97325.5
        Газрын тос олборлолт,2024-06,89674.4
        Газрын тос олборлолт,2024-05,96927.7
        Газрын тос олборлолт,2024-04,102308.4
        Газрын тос олборлолт,2024-03,100845.2
        Газрын тос олборлолт,2024-02,94211.0
        Газрын тос олборлолт,2024-01,96371.0
        Газрын тос олборлолт,2023-12,100392.2
        Газрын тос олборлолт,2023-11,104541.2
        Газрын тос олборлолт,2023-10,119638.6
        Газрын тос олборлолт,2023-09,121893.3
        Газрын тос олборлолт,2023-08,118149.4
        Газрын тос олборлолт,2023-07,106999.0
        Газрын тос олборлолт,2023-06,99130.6
        Газрын тос олборлолт,2023-05,103927.6
        Газрын тос олборлолт,2023-04,109084.3
        Газрын тос олборлолт,2023-03,105076.3
        Газрын тос олборлолт,2023-02,101371.5
        Газрын тос олборлолт,2023-01,115745.8
        Газрын тос олборлолт,2022-12,111331.1
        Газрын тос олборлолт,2022-11,121831.7
        Газрын тос олборлолт,2022-10,122737.8
        Газрын тос олборлолт,2022-09,119364.6
        Газрын тос олборлолт,2022-08,156277.6
        Газрын тос олборлолт,2022-07,121248.3
        Газрын тос олборлолт,2022-06,12579.4
        Газрын тос олборлолт,2022-05,0.0
        Газрын тос олборлолт,2022-04,270.1
        Газрын тос олборлолт,2022-03,2796.9
        Газрын тос олборлолт,2022-02,3065.3
        Газрын тос олборлолт,2022-01,4578.5
        Газрын тос олборлолт,2021-12,7415.3
        Газрын тос олборлолт,2021-11,69817.1
        Газрын тос олборлолт,2021-10,50191.1
        Газрын тос олборлолт,2021-09,8901.9
        Газрын тос олборлолт,2021-08,71304.9
        Газрын тос олборлолт,2021-07,80686.8
        Газрын тос олборлолт,2021-06,80955.0
        Газрын тос олборлолт,2021-05,82262.2
        Газрын тос олборлолт,2021-04,79183.3
        Газрын тос олборлолт,2021-03,80349.3
        Газрын тос олборлолт,2021-02,70234.0
        Газрын тос олборлолт,2021-01,73894.2
        Газрын тос олборлолт,2020-12,68918.7
        Газрын тос олборлолт,2020-11,56654.4
        Газрын тос олборлолт,2020-10,56960.5
        Газрын тос олборлолт,2020-09,54935.3
        Газрын тос олборлолт,2020-08,55564.3
        Газрын тос олборлолт,2020-07,36297.7
        Газрын тос олборлолт,2020-06,23552.8
        Газрын тос олборлолт,2020-05,13095.3
        Газрын тос олборлолт,2020-04,4989.8
        Газрын тос олборлолт,2020-03,2530.9
        Газрын тос олборлолт,2020-02,7377.8
        Газрын тос олборлолт,2020-01,60659.6
        Газрын тос олборлолт,2019-12,88724.2
        Газрын тос олборлолт,2019-11,87893.5
        Газрын тос олборлолт,2019-10,87196.3
        Газрын тос олборлолт,2019-09,84903.8
        Газрын тос олборлолт,2019-08,85007.0
        Газрын тос олборлолт,2019-07,90099.4
        Газрын тос олборлолт,2019-06,82268.9
        Газрын тос олборлолт,2019-05,90569.7
        Газрын тос олборлолт,2019-04,91572.5
        Газрын тос олборлолт,2019-03,85639.6
        Газрын тос олборлолт,2019-02,73728.3
        Газрын тос олборлолт,2019-01,78768.0
        Газрын тос олборлолт,2018-12,78256.5
        Газрын тос олборлолт,2018-11,84156.1
        Газрын тос олборлолт,2018-10,34166.3
        Газрын тос олборлолт,2018-09,88739.4
        Газрын тос олборлолт,2018-08,91213.7
        Газрын тос олборлолт,2018-07,96954.7
        Газрын тос олборлолт,2018-06,86716.3
        Газрын тос олборлолт,2018-05,92629.4
        Газрын тос олборлолт,2018-04,84489.9
        Газрын тос олборлолт,2018-03,84201.0
        Газрын тос олборлолт,2018-02,82650.6
        Газрын тос олборлолт,2018-01,93693.2
        Газрын тос олборлолт,2017-12,84536.9
        Газрын тос олборлолт,2017-11,86113.3
        Газрын тос олборлолт,2017-10,82112.1
        Газрын тос олборлолт,2017-09,75000.4
        Металлын хүдэр олборлолт,2026-03,3102716.8
        Металлын хүдэр олборлолт,2026-02,2840546.2
        Металлын хүдэр олборлолт,2026-01,2506242.0
        Металлын хүдэр олборлолт,2025-12,2805494.7
        Металлын хүдэр олборлолт,2025-11,2550236.8
        Металлын хүдэр олборлолт,2025-10,2600020.5
        Металлын хүдэр олборлолт,2025-09,2182834.5
        Металлын хүдэр олборлолт,2025-08,2387674.5
        Металлын хүдэр олборлолт,2025-07,2184988.3
        Металлын хүдэр олборлолт,2025-06,1821833.5
        Металлын хүдэр олборлолт,2025-05,1869091.3
        Металлын хүдэр олборлолт,2025-04,1606870.4
        Металлын хүдэр олборлолт,2025-03,1476002.4
        Металлын хүдэр олборлолт,2025-02,1077762.2
        Металлын хүдэр олборлолт,2025-01,1132476.3
        Металлын хүдэр олборлолт,2024-12,1395007.1
        Металлын хүдэр олборлолт,2024-11,1218473.6
        Металлын хүдэр олборлолт,2024-10,1430393.1
        Металлын хүдэр олборлолт,2024-09,1246130.8
        Металлын хүдэр олборлолт,2024-08,1106658.3
        Металлын хүдэр олборлолт,2024-07,1100262.1
        Металлын хүдэр олборлолт,2024-06,1211611.0
        Металлын хүдэр олборлолт,2024-05,1222091.7
        Металлын хүдэр олборлолт,2024-04,1058136.2
        Металлын хүдэр олборлолт,2024-03,866901.8
        Металлын хүдэр олборлолт,2024-02,774876.5
        Металлын хүдэр олборлолт,2024-01,922506.4
        Металлын хүдэр олборлолт,2023-12,826076.6
        Металлын хүдэр олборлолт,2023-11,1064237.2
        Металлын хүдэр олборлолт,2023-10,1078428.1
        Металлын хүдэр олборлолт,2023-09,962937.9
        Металлын хүдэр олборлолт,2023-08,1188658.5
        Металлын хүдэр олборлолт,2023-07,1100257.9
        Металлын хүдэр олборлолт,2023-06,1124983.7
        Металлын хүдэр олборлолт,2023-05,1017792.2
        Металлын хүдэр олборлолт,2023-04,909474.5
        Металлын хүдэр олборлолт,2023-03,1029101.0
        Металлын хүдэр олборлолт,2023-02,903381.0
        Металлын хүдэр олборлолт,2023-01,872743.7
        Металлын хүдэр олборлолт,2022-12,829934.3
        Металлын хүдэр олборлолт,2022-11,975186.1
        Металлын хүдэр олборлолт,2022-10,1016207.1
        Металлын хүдэр олборлолт,2022-09,928546.1
        Металлын хүдэр олборлолт,2022-08,936387.2
        Металлын хүдэр олборлолт,2022-07,860667.5
        Металлын хүдэр олборлолт,2022-06,1067792.6
        Металлын хүдэр олборлолт,2022-05,992130.5
        Металлын хүдэр олборлолт,2022-04,937730.4
        Металлын хүдэр олборлолт,2022-03,829155.6
        Металлын хүдэр олборлолт,2022-02,640850.7
        Металлын хүдэр олборлолт,2022-01,814103.7
        Металлын хүдэр олборлолт,2021-12,738519.5
        Металлын хүдэр олборлолт,2021-11,786280.8
        Металлын хүдэр олборлолт,2021-10,886224.2
        Металлын хүдэр олборлолт,2021-09,832712.1
        Металлын хүдэр олборлолт,2021-08,861526.0
        Металлын хүдэр олборлолт,2021-07,835205.0
        Металлын хүдэр олборлолт,2021-06,807039.9
        Металлын хүдэр олборлолт,2021-05,855726.2
        Металлын хүдэр олборлолт,2021-04,718422.3
        Металлын хүдэр олборлолт,2021-03,703873.0
        Металлын хүдэр олборлолт,2021-02,511903.8
        Металлын хүдэр олборлолт,2021-01,503056.5
        Металлын хүдэр олборлолт,2020-12,670617.5
        Металлын хүдэр олборлолт,2020-11,633298.5
        Металлын хүдэр олборлолт,2020-10,737132.7
        Металлын хүдэр олборлолт,2020-09,706039.7
        Металлын хүдэр олборлолт,2020-08,700262.5
        Металлын хүдэр олборлолт,2020-07,719572.8
        Металлын хүдэр олборлолт,2020-06,700367.6
        Металлын хүдэр олборлолт,2020-05,633045.2
        Металлын хүдэр олборлолт,2020-04,490120.1
        Металлын хүдэр олборлолт,2020-03,425377.6
        Металлын хүдэр олборлолт,2020-02,369575.1
        Металлын хүдэр олборлолт,2020-01,437471.4
        Металлын хүдэр олборлолт,2019-12,482014.7
        Металлын хүдэр олборлолт,2019-11,552318.4
        Металлын хүдэр олборлолт,2019-10,651733.8
        Металлын хүдэр олборлолт,2019-09,506397.5
        Металлын хүдэр олборлолт,2019-08,549109.1
        Металлын хүдэр олборлолт,2019-07,583418.1
        Металлын хүдэр олборлолт,2019-06,473491.9
        Металлын хүдэр олборлолт,2019-05,511727.8
        Металлын хүдэр олборлолт,2019-04,525766.4
        Металлын хүдэр олборлолт,2019-03,461720.9
        Металлын хүдэр олборлолт,2019-02,405450.8
        Металлын хүдэр олборлолт,2019-01,447452.8
        Металлын хүдэр олборлолт,2018-12,444566.4
        Металлын хүдэр олборлолт,2018-11,548047.4
        Металлын хүдэр олборлолт,2018-10,628152.5
        Металлын хүдэр олборлолт,2018-09,564577.6
        Металлын хүдэр олборлолт,2018-08,562466.3
        Металлын хүдэр олборлолт,2018-07,545529.9
        Металлын хүдэр олборлолт,2018-06,553779.5
        Металлын хүдэр олборлолт,2018-05,529164.9
        Металлын хүдэр олборлолт,2018-04,441230.7
        Металлын хүдэр олборлолт,2018-03,455770.4
        Металлын хүдэр олборлолт,2018-02,393767.8
        Металлын хүдэр олборлолт,2018-01,418860.5
        Металлын хүдэр олборлолт,2017-12,454823.1
        Металлын хүдэр олборлолт,2017-11,469713.7
        Металлын хүдэр олборлолт,2017-10,638887.8
        Металлын хүдэр олборлолт,2017-09,634693.1
        Бусад ашигт малтмал олборлолт,2026-03,32972.5
        Бусад ашигт малтмал олборлолт,2026-02,27394.5
        Бусад ашигт малтмал олборлолт,2026-01,31924.4
        Бусад ашигт малтмал олборлолт,2025-12,61367.9
        Бусад ашигт малтмал олборлолт,2025-11,54831.7
        Бусад ашигт малтмал олборлолт,2025-10,68431.0
        Бусад ашигт малтмал олборлолт,2025-09,59080.9
        Бусад ашигт малтмал олборлолт,2025-08,62937.3
        Бусад ашигт малтмал олборлолт,2025-07,48381.6
        Бусад ашигт малтмал олборлолт,2025-06,43535.9
        Бусад ашигт малтмал олборлолт,2025-05,45418.8
        Бусад ашигт малтмал олборлолт,2025-04,38498.3
        Бусад ашигт малтмал олборлолт,2025-03,32472.0
        Бусад ашигт малтмал олборлолт,2025-02,27261.3
        Бусад ашигт малтмал олборлолт,2025-01,35273.4
        Бусад ашигт малтмал олборлолт,2024-12,39807.4
        Бусад ашигт малтмал олборлолт,2024-11,34611.4
        Бусад ашигт малтмал олборлолт,2024-10,42905.2
        Бусад ашигт малтмал олборлолт,2024-09,33108.4
        Бусад ашигт малтмал олборлолт,2024-08,29727.1
        Бусад ашигт малтмал олборлолт,2024-07,32490.6
        Бусад ашигт малтмал олборлолт,2024-06,44195.4
        Бусад ашигт малтмал олборлолт,2024-05,36151.9
        Бусад ашигт малтмал олборлолт,2024-04,32858.1
        Бусад ашигт малтмал олборлолт,2024-03,25399.5
        Бусад ашигт малтмал олборлолт,2024-02,25900.9
        Бусад ашигт малтмал олборлолт,2024-01,18950.3
