Хүйс_code,Хүйс,Насны бүлэг_code,Насны бүлэг,Он_code,Он,value
0,Total,5,20-24,39,1956,68976
0,Total,6,25-29,0,2024,238327
0,Total,6,25-29,1,2023,241548
0,Total,6,25-29,2,2022,241732
0,Total,6,25-29,3,2021,251605
0,Total,6,25-29,4,2020,264277
0,Total,6,25-29,5,2019,277392
0,Total,6,25-29,6,2018,294550
0,Total,6,25-29,7,2017,310730
0,Total,6,25-29,8,2016,314540
0,Total,6,25-29,9,2015,313709
0,Total,6,25-29,10,2014,305778
0,Total,6,25-29,11,2013,298203
0,Total,6,25-29,12,2012,287776
0,Total,6,25-29,13,2011,280465
0,Total,6,25-29,14,2010,260640
0,Total,6,25-29,15,2009,249737
0,Total,6,25-29,16,2008,238304
0,Total,6,25-29,17,2007,231123
0,Total,6,25-29,18,2006,224551
0,Total,6,25-29,19,2005,235558
0,Total,6,25-29,20,2004,232848
0,Total,6,25-29,21,2003,230389
0,Total,6,25-29,22,2002,227669
0,Total,6,25-29,23,2001,224839
0,Total,6,25-29,24,2000,219423
0,Total,6,25-29,25,1999,216652
0,Total,6,25-29,26,1998,213505
0,Total,6,25-29,27,1997,207981
0,Total,6,25-29,28,1996,202258
0,Total,6,25-29,29,1995,200382
0,Total,6,25-29,30,1994,193488
0,Total,6,25-29,31,1993,188793
0,Total,6,25-29,32,1992,186938
0,Total,6,25-29,33,1991,191321
0,Total,6,25-29,34,1990,186973
0,Total,6,25-29,35,1989,179543
0,Total,6,25-29,36,1979,92611
0,Total,6,25-29,37,1969,77960
0,Total,6,25-29,38,1963,70688
0,Total,6,25-29,39,1956,63947
0,Total,7,30-34,0,2024,275307
0,Total,7,30-34,1,2023,289957
0,Total,7,30-34,2,2022,306084
0,Total,7,30-34,3,2021,310652
0,Total,7,30-34,4,2020,310085
0,Total,7,30-34,5,2019,304728
0,Total,7,30-34,6,2018,295098
0,Total,7,30-34,7,2017,283360
0,Total,7,30-34,8,2016,273997
0,Total,7,30-34,9,2015,263538
0,Total,7,30-34,10,2014,257858
0,Total,7,30-34,11,2013,255161
0,Total,7,30-34,12,2012,252204
0,Total,7,30-34,13,2011,248370
0,Total,7,30-34,14,2010,234435
0,Total,7,30-34,15,2009,229054
0,Total,7,30-34,16,2008,220314
0,Total,7,30-34,17,2007,215578
0,Total,7,30-34,18,2006,211470
0,Total,7,30-34,19,2005,202598
0,Total,7,30-34,20,2004,200269
0,Total,7,30-34,21,2003,198152
0,Total,7,30-34,22,2002,195815
0,Total,7,30-34,23,2001,192949
0,Total,7,30-34,24,2000,190256
0,Total,7,30-34,25,1999,187872
0,Total,7,30-34,26,1998,189718
0,Total,7,30-34,27,1997,186497
0,Total,7,30-34,28,1996,185445
0,Total,7,30-34,29,1995,179067
0,Total,7,30-34,30,1994,179339
0,Total,7,30-34,31,1993,168344
0,Total,7,30-34,32,1992,162570
0,Total,7,30-34,33,1991,156575
0,Total,7,30-34,34,1990,153333
0,Total,7,30-34,35,1989,135284
0,Total,7,30-34,36,1979,77046
0,Total,7,30-34,37,1969,64971
0,Total,7,30-34,38,1963,64371
