Type,Country,Year,value
"Motor vehicles for the transport of ten or more persons, including the driver",United Kingdom,2020,
"Motor vehicles for the transport of ten or more persons, including the driver",United Kingdom,2019,
"Motor vehicles for the transport of ten or more persons, including the driver",United Kingdom,2018,
"Motor vehicles for the transport of ten or more persons, including the driver",United Kingdom,2017,
"Motor vehicles for the transport of ten or more persons, including the driver",United Kingdom,2016,
"Motor vehicles for the transport of ten or more persons, including the driver",United Kingdom,2015,
"Motor vehicles for the transport of ten or more persons, including the driver",United Kingdom,2014,
"Motor vehicles for the transport of ten or more persons, including the driver",United Kingdom,2013,1.0
"Motor vehicles for the transport of ten or more persons, including the driver",United Kingdom,2012,
"Motor vehicles for the transport of ten or more persons, including the driver",United Kingdom,2011,2.0
"Motor vehicles for the transport of ten or more persons, including the driver",United Kingdom,2010,
"Motor vehicles for the transport of ten or more persons, including the driver",United Kingdom,2009,1.0
"Motor vehicles for the transport of ten or more persons, including the driver",United Kingdom,2008,
"Motor vehicles for the transport of ten or more persons, including the driver",United Kingdom,2007,
"Motor vehicles for the transport of ten or more persons, including the driver",Canada,2025,
"Motor vehicles for the transport of ten or more persons, including the driver",Canada,2024,
"Motor vehicles for the transport of ten or more persons, including the driver",Canada,2023,
"Motor vehicles for the transport of ten or more persons, including the driver",Canada,2022,1.0
"Motor vehicles for the transport of ten or more persons, including the driver",Canada,2021,
"Motor vehicles for the transport of ten or more persons, including the driver",Canada,2020,
"Motor vehicles for the transport of ten or more persons, including the driver",Canada,2019,
"Motor vehicles for the transport of ten or more persons, including the driver",Canada,2018,
"Motor vehicles for the transport of ten or more persons, including the driver",Canada,2017,
"Motor vehicles for the transport of ten or more persons, including the driver",Canada,2016,
"Motor vehicles for the transport of ten or more persons, including the driver",Canada,2015,
"Motor vehicles for the transport of ten or more persons, including the driver",Canada,2014,
"Motor vehicles for the transport of ten or more persons, including the driver",Canada,2013,
"Motor vehicles for the transport of ten or more persons, including the driver",Canada,2012,
"Motor vehicles for the transport of ten or more persons, including the driver",Canada,2011,
"Motor vehicles for the transport of ten or more persons, including the driver",Canada,2010,
"Motor vehicles for the transport of ten or more persons, including the driver",Canada,2009,
"Motor vehicles for the transport of ten or more persons, including the driver",Canada,2008,
"Motor vehicles for the transport of ten or more persons, including the driver",Canada,2007,
"Motor vehicles for the transport of ten or more persons, including the driver",Kyrgyzstan,2025,1.0
"Motor vehicles for the transport of ten or more persons, including the driver",Kyrgyzstan,2024,
"Motor vehicles for the transport of ten or more persons, including the driver",Kyrgyzstan,2023,
"Motor vehicles for the transport of ten or more persons, including the driver",Kyrgyzstan,2022,
"Motor vehicles for the transport of ten or more persons, including the driver",Kyrgyzstan,2021,
"Motor vehicles for the transport of ten or more persons, including the driver",Kyrgyzstan,2020,
"Motor vehicles for the transport of ten or more persons, including the driver",Kyrgyzstan,2019,
"Motor vehicles for the transport of ten or more persons, including the driver",Kyrgyzstan,2018,
"Motor vehicles for the transport of ten or more persons, including the driver",Kyrgyzstan,2017,
"Motor vehicles for the transport of ten or more persons, including the driver",Kyrgyzstan,2016,
"Motor vehicles for the transport of ten or more persons, including the driver",Kyrgyzstan,2015,
"Motor vehicles for the transport of ten or more persons, including the driver",Kyrgyzstan,2014,
"Motor vehicles for the transport of ten or more persons, including the driver",Kyrgyzstan,2013,
"Motor vehicles for the transport of ten or more persons, including the driver",Kyrgyzstan,2012,
"Motor vehicles for the transport of ten or more persons, including the driver",Kyrgyzstan,2011,
"Motor vehicles for the transport of ten or more persons, including the driver",Kyrgyzstan,2010,
"Motor vehicles for the transport of ten or more persons, including the driver",Kyrgyzstan,2009,
"Motor vehicles for the transport of ten or more persons, including the driver",Kyrgyzstan,2008,1.0
"Motor vehicles for the transport of ten or more persons, including the driver",Kyrgyzstan,2007,
"Motor vehicles for the transport of ten or more persons, including the driver",Lithuania,2025,
"Motor vehicles for the transport of ten or more persons, including the driver",Lithuania,2024,
"Motor vehicles for the transport of ten or more persons, including the driver",Lithuania,2023,
"Motor vehicles for the transport of ten or more persons, including the driver",Lithuania,2022,
"Motor vehicles for the transport of ten or more persons, including the driver",Lithuania,2021,
"Motor vehicles for the transport of ten or more persons, including the driver",Lithuania,2020,
"Motor vehicles for the transport of ten or more persons, including the driver",Lithuania,2019,
"Motor vehicles for the transport of ten or more persons, including the driver",Lithuania,2018,
"Motor vehicles for the transport of ten or more persons, including the driver",Lithuania,2017,
"Motor vehicles for the transport of ten or more persons, including the driver",Lithuania,2016,
"Motor vehicles for the transport of ten or more persons, including the driver",Lithuania,2015,
"Motor vehicles for the transport of ten or more persons, including the driver",Lithuania,2014,
"Motor vehicles for the transport of ten or more persons, including the driver",Lithuania,2013,
