Бүс,Насны бүлэг,Хүйс,Он,value
Улсын дүн,35-39,Нийт,2021,80.8
Улсын дүн,35-39,Нийт,2020,81.1
Улсын дүн,35-39,Нийт,2019,82.9
Улсын дүн,35-39,Нийт,2018,83.1
Улсын дүн,35-39,Нийт,2017,82.2
Улсын дүн,35-39,Нийт,2016,82.7
Улсын дүн,35-39,Нийт,2015,84.3
Улсын дүн,35-39,Нийт,2014,85.4
Улсын дүн,35-39,Нийт,2013,84.1
Улсын дүн,35-39,Нийт,2012,85.4
Улсын дүн,35-39,Нийт,2011,85.1
Улсын дүн,35-39,Нийт,2010,84.9
Улсын дүн,35-39,Нийт,2009,84.7
Улсын дүн,35-39,Эрэгтэй,2025,95.0
Улсын дүн,35-39,Эрэгтэй,2024,91.6
Улсын дүн,35-39,Эрэгтэй,2023,89.5
Улсын дүн,35-39,Эрэгтэй,2022,89.5
Улсын дүн,35-39,Эрэгтэй,2021,88.3
Улсын дүн,35-39,Эрэгтэй,2020,88.8
Улсын дүн,35-39,Эрэгтэй,2019,90.0
Улсын дүн,35-39,Эрэгтэй,2018,91.5
Улсын дүн,35-39,Эрэгтэй,2017,89.0
Улсын дүн,35-39,Эрэгтэй,2016,87.9
Улсын дүн,35-39,Эрэгтэй,2015,90.4
Улсын дүн,35-39,Эрэгтэй,2014,91.2
Улсын дүн,35-39,Эрэгтэй,2013,89.0
Улсын дүн,35-39,Эрэгтэй,2012,89.9
Улсын дүн,35-39,Эрэгтэй,2011,90.3
Улсын дүн,35-39,Эрэгтэй,2010,89.7
Улсын дүн,35-39,Эрэгтэй,2009,89.1
Улсын дүн,35-39,Эмэгтэй,2025,73.0
Улсын дүн,35-39,Эмэгтэй,2024,75.9
Улсын дүн,35-39,Эмэгтэй,2023,68.6
Улсын дүн,35-39,Эмэгтэй,2022,69.5
Улсын дүн,35-39,Эмэгтэй,2021,73.2
Улсын дүн,35-39,Эмэгтэй,2020,73.9
Улсын дүн,35-39,Эмэгтэй,2019,76.2
Улсын дүн,35-39,Эмэгтэй,2018,75.5
Улсын дүн,35-39,Эмэгтэй,2017,76.0
Улсын дүн,35-39,Эмэгтэй,2016,77.7
Улсын дүн,35-39,Эмэгтэй,2015,78.8
Улсын дүн,35-39,Эмэгтэй,2014,80.0
Улсын дүн,35-39,Эмэгтэй,2013,79.7
Улсын дүн,35-39,Эмэгтэй,2012,81.4
Улсын дүн,35-39,Эмэгтэй,2011,80.5
Улсын дүн,35-39,Эмэгтэй,2010,80.7
Улсын дүн,35-39,Эмэгтэй,2009,80.7
Улсын дүн,40-44,Нийт,2025,86.3
Улсын дүн,40-44,Нийт,2024,86.4
Улсын дүн,40-44,Нийт,2023,82.8
Улсын дүн,40-44,Нийт,2022,83.4
Улсын дүн,40-44,Нийт,2021,81.1
Улсын дүн,40-44,Нийт,2020,81.1
Улсын дүн,40-44,Нийт,2019,85.5
Улсын дүн,40-44,Нийт,2018,84.4
Улсын дүн,40-44,Нийт,2017,84.2
Улсын дүн,40-44,Нийт,2016,82.7
Улсын дүн,40-44,Нийт,2015,86.0
Улсын дүн,40-44,Нийт,2014,86.1
Улсын дүн,40-44,Нийт,2013,85.1
Улсын дүн,40-44,Нийт,2012,86.0
Улсын дүн,40-44,Нийт,2011,86.4
Улсын дүн,40-44,Нийт,2010,85.8
Улсын дүн,40-44,Нийт,2009,87.6
Улсын дүн,40-44,Эрэгтэй,2025,91.5
Улсын дүн,40-44,Эрэгтэй,2024,91.9
Улсын дүн,40-44,Эрэгтэй,2023,87.5
Улсын дүн,40-44,Эрэгтэй,2022,88.9
Улсын дүн,40-44,Эрэгтэй,2021,84.7
Улсын дүн,40-44,Эрэгтэй,2020,88.2
Улсын дүн,40-44,Эрэгтэй,2019,89.7
Улсын дүн,40-44,Эрэгтэй,2018,89.5
Улсын дүн,40-44,Эрэгтэй,2017,88.6
Улсын дүн,40-44,Эрэгтэй,2016,86.1
Улсын дүн,40-44,Эрэгтэй,2015,89.6
Улсын дүн,40-44,Эрэгтэй,2014,90.1
Улсын дүн,40-44,Эрэгтэй,2013,88.1
