Хүүгийн төрөл,Огноо,Хүү (%)
Хадгаламжийн хүү (төгрөг),2023-04,10.65
Хадгаламжийн хүү (валют),2023-04,2.87
Зээлийн хүү (төгрөг),2023-05,15.99
Хадгаламжийн хүү (төгрөг),2023-05,10.74
Хадгаламжийн хүү (валют),2023-05,2.94
Зээлийн хүү (төгрөг),2023-06,16.16
Хадгаламжийн хүү (төгрөг),2023-06,10.89
Хадгаламжийн хүү (валют),2023-06,2.94
Зээлийн хүү (төгрөг),2023-07,16.07
Хадгаламжийн хүү (төгрөг),2023-07,10.99
Хадгаламжийн хүү (валют),2023-07,3.01
Зээлийн хүү (төгрөг),2023-08,16.17
Хадгаламжийн хүү (төгрөг),2023-08,11.16
Хадгаламжийн хүү (валют),2023-08,3.09
Зээлийн хүү (төгрөг),2023-09,16.27
Хадгаламжийн хүү (төгрөг),2023-09,11.27
Хадгаламжийн хүү (валют),2023-09,3.14
Зээлийн хүү (төгрөг),2023-10,16.09
Хадгаламжийн хүү (төгрөг),2023-10,11.34
Хадгаламжийн хүү (валют),2023-10,3.18
Зээлийн хүү (төгрөг),2023-11,15.86
Хадгаламжийн хүү (төгрөг),2023-11,11.45
Хадгаламжийн хүү (валют),2023-11,3.23
Зээлийн хүү (төгрөг),2023-12,15.65
Хадгаламжийн хүү (төгрөг),2023-12,11.35
Хадгаламжийн хүү (валют),2023-12,3.41
Зээлийн хүү (төгрөг),2024-01,16.46
Хадгаламжийн хүү (төгрөг),2024-01,11.6
Хадгаламжийн хүү (валют),2024-01,3.59
Зээлийн хүү (төгрөг),2024-02,16.3
Хадгаламжийн хүү (төгрөг),2024-02,11.63
Хадгаламжийн хүү (валют),2024-02,3.63
Зээлийн хүү (төгрөг),2024-03,16.07
Хадгаламжийн хүү (төгрөг),2024-03,11.76
Хадгаламжийн хүү (валют),2024-03,3.56
Зээлийн хүү (төгрөг),2024-04,16.47
Хадгаламжийн хүү (төгрөг),2024-04,11.71
Хадгаламжийн хүү (валют),2024-04,3.66
Зээлийн хүү (төгрөг),2024-05,15.77
Хадгаламжийн хүү (төгрөг),2024-05,11.73
Хадгаламжийн хүү (валют),2024-05,3.79
Зээлийн хүү (төгрөг),2024-06,15.88
Хадгаламжийн хүү (төгрөг),2024-06,11.63
Хадгаламжийн хүү (валют),2024-06,3.61
Зээлийн хүү (төгрөг),2024-07,15.64
Хадгаламжийн хүү (төгрөг),2024-07,11.62
Хадгаламжийн хүү (валют),2024-07,3.63
Зээлийн хүү (төгрөг),2024-08,16.33
Хадгаламжийн хүү (төгрөг),2024-08,11.68
Хадгаламжийн хүү (валют),2024-08,3.68
Зээлийн хүү (төгрөг),2024-09,16.65
Хадгаламжийн хүү (төгрөг),2024-09,11.76
Хадгаламжийн хүү (валют),2024-09,3.66
Зээлийн хүү (төгрөг),2024-10,16.36
Хадгаламжийн хүү (төгрөг),2024-10,11.85
Хадгаламжийн хүү (валют),2024-10,3.68
Зээлийн хүү (төгрөг),2024-11,16.42
Хадгаламжийн хүү (төгрөг),2024-11,11.9
Хадгаламжийн хүү (валют),2024-11,3.73
Зээлийн хүү (төгрөг),2024-12,15.77
Хадгаламжийн хүү (төгрөг),2024-12,11.8
Хадгаламжийн хүү (валют),2024-12,3.71
Зээлийн хүү (төгрөг),2025-01,16.41
Хадгаламжийн хүү (төгрөг),2025-01,11.83
Хадгаламжийн хүү (валют),2025-01,3.76
Зээлийн хүү (төгрөг),2025-02,16.62
Хадгаламжийн хүү (төгрөг),2025-02,11.83
Хадгаламжийн хүү (валют),2025-02,3.8
Зээлийн хүү (төгрөг),2025-03,16.25
Хадгаламжийн хүү (төгрөг),2025-03,11.82
Хадгаламжийн хүү (валют),2025-03,4.0
Зээлийн хүү (төгрөг),2025-04,16.39
Хадгаламжийн хүү (төгрөг),2025-04,11.84
Хадгаламжийн хүү (валют),2025-04,4.03
Зээлийн хүү (төгрөг),2025-05,16.34
Хадгаламжийн хүү (төгрөг),2025-05,11.83
Хадгаламжийн хүү (валют),2025-05,4.01
Зээлийн хүү (төгрөг),2025-06,16.67
Хадгаламжийн хүү (төгрөг),2025-06,11.79
Хадгаламжийн хүү (валют),2025-06,4.0
Зээлийн хүү (төгрөг),2025-07,16.68
Хадгаламжийн хүү (төгрөг),2025-07,11.78
Хадгаламжийн хүү (валют),2025-07,4.04
Зээлийн хүү (төгрөг),2025-08,16.68
Хадгаламжийн хүү (төгрөг),2025-08,11.87
Хадгаламжийн хүү (валют),2025-08,4.05
Зээлийн хүү (төгрөг),2025-09,16.76
Хадгаламжийн хүү (төгрөг),2025-09,11.86
Хадгаламжийн хүү (валют),2025-09,4.15
Зээлийн хүү (төгрөг),2025-10,16.7
Хадгаламжийн хүү (төгрөг),2025-10,11.89
