Rate Type,Date,Rate (%)
"Deposit Rate (MNT, outstanding)",2021-09,7.24
"Deposit Rate (FX, outstanding)",2021-09,2.26
"Lending Rate (MNT, newly issued)",2021-09,13.21
"Deposit Rate (MNT, outstanding)",2021-10,7.19
"Deposit Rate (FX, outstanding)",2021-10,2.25
"Lending Rate (MNT, newly issued)",2021-10,13.5
"Deposit Rate (MNT, outstanding)",2021-11,7.13
"Deposit Rate (FX, outstanding)",2021-11,2.08
"Lending Rate (MNT, newly issued)",2021-11,13.44
"Deposit Rate (MNT, outstanding)",2021-12,7.04
"Deposit Rate (FX, outstanding)",2021-12,2.04
"Lending Rate (MNT, newly issued)",2021-12,12.61
"Deposit Rate (MNT, outstanding)",2022-01,7.14
"Deposit Rate (FX, outstanding)",2022-01,2.08
"Lending Rate (MNT, newly issued)",2022-01,13.4
"Deposit Rate (MNT, outstanding)",2022-02,7.21
"Deposit Rate (FX, outstanding)",2022-02,2.1
"Lending Rate (MNT, newly issued)",2022-02,13.31
"Deposit Rate (MNT, outstanding)",2022-03,7.23
"Deposit Rate (FX, outstanding)",2022-03,2.12
"Lending Rate (MNT, newly issued)",2022-03,13.91
"Deposit Rate (MNT, outstanding)",2022-04,7.19
"Deposit Rate (FX, outstanding)",2022-04,2.08
"Lending Rate (MNT, newly issued)",2022-04,14.03
"Deposit Rate (MNT, outstanding)",2022-05,7.09
"Deposit Rate (FX, outstanding)",2022-05,2.1
"Lending Rate (MNT, newly issued)",2022-05,13.66
"Deposit Rate (MNT, outstanding)",2022-06,7.25
"Deposit Rate (FX, outstanding)",2022-06,2.08
"Lending Rate (MNT, newly issued)",2022-06,13.9
"Deposit Rate (MNT, outstanding)",2022-07,7.54
"Deposit Rate (FX, outstanding)",2022-07,2.13
"Lending Rate (MNT, newly issued)",2022-07,13.76
"Deposit Rate (MNT, outstanding)",2022-08,7.73
"Deposit Rate (FX, outstanding)",2022-08,2.17
"Lending Rate (MNT, newly issued)",2022-08,14.05
"Deposit Rate (MNT, outstanding)",2022-09,7.89
"Deposit Rate (FX, outstanding)",2022-09,2.28
"Lending Rate (MNT, newly issued)",2022-09,14.2
"Deposit Rate (MNT, outstanding)",2022-10,8.45
"Deposit Rate (FX, outstanding)",2022-10,2.37
"Lending Rate (MNT, newly issued)",2022-10,14.62
"Deposit Rate (MNT, outstanding)",2022-11,8.8
"Deposit Rate (FX, outstanding)",2022-11,2.44
"Lending Rate (MNT, newly issued)",2022-11,14.73
"Deposit Rate (MNT, outstanding)",2022-12,9.04
"Deposit Rate (FX, outstanding)",2022-12,2.51
"Lending Rate (MNT, newly issued)",2022-12,15.01
"Deposit Rate (MNT, outstanding)",2023-01,10.25
"Deposit Rate (FX, outstanding)",2023-01,2.7
"Lending Rate (MNT, newly issued)",2023-01,15.71
"Deposit Rate (MNT, outstanding)",2023-02,10.38
"Deposit Rate (FX, outstanding)",2023-02,2.74
"Lending Rate (MNT, newly issued)",2023-02,15.14
"Deposit Rate (MNT, outstanding)",2023-03,10.55
"Deposit Rate (FX, outstanding)",2023-03,2.88
"Lending Rate (MNT, newly issued)",2023-03,16.06
"Deposit Rate (MNT, outstanding)",2023-04,10.65
"Deposit Rate (FX, outstanding)",2023-04,2.87
"Lending Rate (MNT, newly issued)",2023-04,16.27
"Deposit Rate (MNT, outstanding)",2023-05,10.74
"Deposit Rate (FX, outstanding)",2023-05,2.94
"Lending Rate (MNT, newly issued)",2023-05,15.99
"Deposit Rate (MNT, outstanding)",2023-06,10.89
"Deposit Rate (FX, outstanding)",2023-06,2.94
"Lending Rate (MNT, newly issued)",2023-06,16.16
"Deposit Rate (MNT, outstanding)",2023-07,10.99
"Deposit Rate (FX, outstanding)",2023-07,3.01
"Lending Rate (MNT, newly issued)",2023-07,16.07
"Deposit Rate (MNT, outstanding)",2023-08,11.16
"Deposit Rate (FX, outstanding)",2023-08,3.09
"Lending Rate (MNT, newly issued)",2023-08,16.17
"Deposit Rate (MNT, outstanding)",2023-09,11.27
"Deposit Rate (FX, outstanding)",2023-09,3.14
"Lending Rate (MNT, newly issued)",2023-09,16.27
"Deposit Rate (MNT, outstanding)",2023-10,11.34
"Deposit Rate (FX, outstanding)",2023-10,3.18
"Lending Rate (MNT, newly issued)",2023-10,16.09
"Deposit Rate (MNT, outstanding)",2023-11,11.45
"Deposit Rate (FX, outstanding)",2023-11,3.23
"Lending Rate (MNT, newly issued)",2023-11,15.86
"Deposit Rate (MNT, outstanding)",2023-12,11.35
"Deposit Rate (FX, outstanding)",2023-12,3.41
"Lending Rate (MNT, newly issued)",2023-12,15.65
"Deposit Rate (MNT, outstanding)",2024-01,11.6
"Deposit Rate (FX, outstanding)",2024-01,3.59
"Lending Rate (MNT, newly issued)",2024-01,16.46
"Deposit Rate (MNT, outstanding)",2024-02,11.63
"Deposit Rate (FX, outstanding)",2024-02,3.63
"Lending Rate (MNT, newly issued)",2024-02,16.3
"Deposit Rate (MNT, outstanding)",2024-03,11.76
"Deposit Rate (FX, outstanding)",2024-03,3.56
"Lending Rate (MNT, newly issued)",2024-03,16.07
"Deposit Rate (MNT, outstanding)",2024-04,11.71
"Deposit Rate (FX, outstanding)",2024-04,3.66
"Lending Rate (MNT, newly issued)",2024-04,16.47
"Deposit Rate (MNT, outstanding)",2024-05,11.73
"Deposit Rate (FX, outstanding)",2024-05,3.79
"Lending Rate (MNT, newly issued)",2024-05,15.77
"Deposit Rate (MNT, outstanding)",2024-06,11.63
