сар,ангилал,утга
2023-03,"Орон сууц, хэрэгсэл",0.7666666666666667
2023-03,Тээвэр,0.0
2023-03,"Хүнс, хоол",2.6999999999999997
2023-03,Үйлчилгээ,0.25
2023-04,Бусад бараа,1.8
2023-04,"Орон сууц, хэрэгсэл",0.2333333333333333
2023-04,Тээвэр,-0.3
2023-04,"Хүнс, хоол",2.533333333333333
2023-04,Үйлчилгээ,0.2
2023-05,Бусад бараа,1.0
2023-05,"Орон сууц, хэрэгсэл",0.20000000000000004
2023-05,Тээвэр,-0.3
2023-05,"Хүнс, хоол",1.1666666666666667
2023-05,Үйлчилгээ,0.22499999999999998
2023-06,Бусад бараа,1.35
2023-06,"Орон сууц, хэрэгсэл",0.3333333333333333
2023-06,Тээвэр,0.2
2023-06,"Хүнс, хоол",0.9666666666666667
2023-06,Үйлчилгээ,0.15000000000000002
2023-07,Бусад бараа,0.75
2023-07,"Орон сууц, хэрэгсэл",0.03333333333333335
2023-07,Тээвэр,-0.7
2023-07,"Хүнс, хоол",-0.03333333333333336
2023-07,Үйлчилгээ,0.6
2023-08,Бусад бараа,1.4000000000000001
2023-08,"Орон сууц, хэрэгсэл",0.03333333333333333
2023-08,Тээвэр,0.1
2023-08,"Хүнс, хоол",-0.5333333333333332
2023-08,Үйлчилгээ,5.875
2023-09,Бусад бараа,1.1500000000000001
2023-09,"Орон сууц, хэрэгсэл",-0.2333333333333333
2023-09,Тээвэр,0.0
2023-09,"Хүнс, хоол",0.06666666666666665
2023-09,Үйлчилгээ,0.2
2023-10,Бусад бараа,0.65
2023-10,"Орон сууц, хэрэгсэл",0.3333333333333333
2023-10,Тээвэр,0.3
2023-10,"Хүнс, хоол",0.3333333333333333
2023-10,Үйлчилгээ,0.125
2023-11,Бусад бараа,1.55
2023-11,"Орон сууц, хэрэгсэл",1.1333333333333333
2023-11,Тээвэр,0.5
2023-11,"Хүнс, хоол",0.5
2023-11,Үйлчилгээ,0.025
2023-12,Бусад бараа,0.25
2023-12,"Орон сууц, хэрэгсэл",0.13333333333333333
2023-12,Тээвэр,0.0
2023-12,"Хүнс, хоол",0.2333333333333333
2023-12,Үйлчилгээ,0.0
2024-01,Бусад бараа,0.2
2024-01,"Орон сууц, хэрэгсэл",0.6
2024-01,Тээвэр,0.0
2024-01,"Хүнс, хоол",0.8000000000000002
2024-01,Үйлчилгээ,0.85
2024-02,Бусад бараа,0.55
2024-02,"Орон сууц, хэрэгсэл",0.16666666666666666
2024-02,Тээвэр,-0.5
2024-02,"Хүнс, хоол",0.7666666666666666
2024-02,Үйлчилгээ,0.07500000000000001
2024-03,Бусад бараа,0.1
2024-03,"Орон сууц, хэрэгсэл",1.3
2024-03,Тээвэр,0.0
2024-03,"Хүнс, хоол",0.6
2024-03,Үйлчилгээ,0.65
2024-04,Бусад бараа,-0.05
2024-04,"Орон сууц, хэрэгсэл",0.3333333333333333
2024-04,Тээвэр,0.0
2024-04,"Хүнс, хоол",0.6666666666666666
2024-04,Үйлчилгээ,0.0
2024-05,Бусад бараа,0.65
2024-05,"Орон сууц, хэрэгсэл",0.2333333333333333
2024-05,Тээвэр,-1.3
