Үзүүлэлт,Эдийн засгийн салбар,Он,value
"ДНБ, оны үнээр","Уул уурхай, олборлолт",2009,1285899.7
"ДНБ, оны үнээр","Уул уурхай, олборлолт",2008,1324247.71
"ДНБ, оны үнээр","Уул уурхай, олборлолт",2007,1340854.37
"ДНБ, оны үнээр","Уул уурхай, олборлолт",2006,1145733.91
"ДНБ, оны үнээр","Уул уурхай, олборлолт",2005,642089.04
"ДНБ, оны үнээр","Уул уурхай, олборлолт",2004,391597.57
"ДНБ, оны үнээр","Уул уурхай, олборлолт",2003,206557.84
"ДНБ, оны үнээр","Уул уурхай, олборлолт",2002,144753.7
"ДНБ, оны үнээр","Уул уурхай, олборлолт",2001,117076.12
"ДНБ, оны үнээр","Уул уурхай, олборлолт",2000,132400.1
"ДНБ, оны үнээр","Уул уурхай, олборлолт",1999,94909.29
"ДНБ, оны үнээр","Уул уурхай, олборлолт",1998,81274.07
"ДНБ, оны үнээр","Уул уурхай, олборлолт",1997,132390.3
"ДНБ, оны үнээр","Уул уурхай, олборлолт",1996,76197.77
"ДНБ, оны үнээр","Уул уурхай, олборлолт",1995,73841.54
"ДНБ, оны үнээр","Уул уурхай, олборлолт",1994,39348.39
"ДНБ, оны үнээр","Уул уурхай, олборлолт",1993,22747.86
"ДНБ, оны үнээр","Уул уурхай, олборлолт",1992,6411.22
"ДНБ, оны үнээр","Уул уурхай, олборлолт",1991,2359.83
"ДНБ, оны үнээр","Уул уурхай, олборлолт",1990,1599.3
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,2024,4495483.47
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,2023,4436468.27
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,2022,3832703.06
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,2021,3096438.7
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,2020,2904937.7
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,2019,2675065.06
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,2018,2298123.56
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,2017,1932245.54
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,2016,1595623.61
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,2015,1606184.69
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,2014,1950933.7
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,2013,1672313.0
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,2012,1248666.3
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,2011,931377.51
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,2010,664815.26
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,2009,425000.65
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,2008,430179.37
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,2007,309500.42
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,2006,218885.57
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,2005,175155.91
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,2004,130576.26
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,2003,121551.45
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,2002,99138.59
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,2001,114828.11
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,2000,82040.78
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,1999,75925.8
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,1998,66929.98
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,1997,78899.85
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,1996,56653.92
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,1995,112581.03
