Sex,Age group,Year,value
Male,45-49,1963,24670
Male,45-49,1956,24853
Male,50-54,2024,88833
Male,50-54,2023,85818
Male,50-54,2022,83130
Male,50-54,2021,81016
Male,50-54,2020,79541
Male,50-54,2019,76596
Male,50-54,2018,76170
Male,50-54,2017,74828
Male,50-54,2016,74040
Male,50-54,2015,71155
Male,50-54,2014,72471
Male,50-54,2013,67890
Male,50-54,2012,64039
Male,50-54,2011,60367
Male,50-54,2010,59482
Male,50-54,2009,55668
Male,50-54,2008,53022
Male,50-54,2007,49558
Male,50-54,2006,49675
Male,50-54,2005,34549
Male,50-54,2004,34151
Male,50-54,2003,33790
Male,50-54,2002,33393
Male,50-54,2001,33235
Male,50-54,2000,32615
Male,50-54,1999,27707
Male,50-54,1998,28560
Male,50-54,1997,27658
Male,50-54,1996,28788
Male,50-54,1995,29152
Male,50-54,1994,31322
Male,50-54,1993,30927
Male,50-54,1992,31320
Male,50-54,1991,30365
Male,50-54,1990,30091
Male,50-54,1989,28157
Male,50-54,1979,23459
Male,50-54,1969,21667
Male,50-54,1963,21824
Male,50-54,1956,20825
Male,55-59,2024,70347
Male,55-59,2023,69861
Male,55-59,2022,68510
Male,55-59,2021,67694
Male,55-59,2020,65015
Male,55-59,2019,64109
Male,55-59,2018,61015
Male,55-59,2017,57844
Male,55-59,2016,53671
Male,55-59,2015,51524
Male,55-59,2014,49511
Male,55-59,2013,44371
Male,55-59,2012,41126
Male,55-59,2011,37969
Male,55-59,2010,35968
Male,55-59,2009,35777
Male,55-59,2008,34175
Male,55-59,2007,32632
Male,55-59,2006,32596
Male,55-59,2005,28949
Male,55-59,2004,28617
Male,55-59,2003,28315
Male,55-59,2002,27980
Male,55-59,2001,27928
Male,55-59,2000,28047
Male,55-59,1999,27379
Male,55-59,1998,27635
Male,55-59,1997,27693
Male,55-59,1996,25995
Male,55-59,1995,25559
Male,55-59,1994,23121
Male,55-59,1993,23763
Male,55-59,1992,23737
Male,55-59,1991,25127
Male,55-59,1990,25138
Male,55-59,1989,24569
Male,55-59,1979,21216
Male,55-59,1969,19857
Male,55-59,1963,19420
Male,55-59,1956,18228
Male,60-64,2024,56792
Male,60-64,2023,53798
Male,60-64,2022,50885
Male,60-64,2021,47211
Male,60-64,2020,45480
Male,60-64,2019,41536
Male,60-64,2018,37601
Male,60-64,2017,34356
Male,60-64,2016,32125
Male,60-64,2015,28448
Male,60-64,2014,29526
Male,60-64,2013,26168
Male,60-64,2012,24881
Male,60-64,2011,23194
Male,60-64,2010,23473
Male,60-64,2009,23281
Male,60-64,2008,23704
Male,60-64,2007,23479
Male,60-64,2006,24496
Male,60-64,2005,23541
Male,60-64,2004,23271
Male,60-64,2003,23023
Male,60-64,2002,22753
Male,60-64,2001,23026
Male,60-64,2000,22377
Male,60-64,1999,20778
Male,60-64,1998,19988
Male,60-64,1997,19949
Male,60-64,1996,20621
Male,60-64,1995,20423
Male,60-64,1994,21182
Male,60-64,1993,20502
Male,60-64,1992,19739
Male,60-64,1991,18847
Male,60-64,1990,18844
Male,60-64,1989,17598
Male,60-64,1979,16779
Male,60-64,1969,17322
Male,60-64,1963,17467
Male,60-64,1956,15655
Male,65-69,2024,34712
Male,65-69,2023,31758
Male,65-69,2022,29015
Male,65-69,2021,27062
Male,65-69,2020,23967
Male,65-69,2019,22645
Male,65-69,2018,20586
Male,65-69,2017,19410
Male,65-69,2016,17837
Male,65-69,2015,17781
Male,65-69,2014,18066
Male,65-69,2013,17571
Male,65-69,2012,17477
Male,65-69,2011,17906
Male,65-69,2010,18662
Male,65-69,2009,20559
Male,65-69,2008,20622
Male,65-69,2007,20541
Male,65-69,2006,20089
Male,65-69,2005,17103
Male,65-69,2004,16905
Male,65-69,2003,16727
Male,65-69,2002,16531
Male,65-69,2001,16508
Male,65-69,2000,16353
Male,65-69,1999,15982
Male,65-69,1998,16163
Male,65-69,1997,15435
Male,65-69,1996,14110
Male,65-69,1995,13989
Male,65-69,1994,12964
Male,65-69,1993,13358
Male,65-69,1992,13573
Male,65-69,1991,14300
Male,65-69,1990,14929
Male,65-69,1989,14374
Male,65-69,1979,14501
Male,65-69,1969,15781
Male,65-69,1963,13199
Male,65-69,1956,10666
Male,70+,2024,36989
Male,70+,2023,35239
Male,70+,2022,33627
Male,70+,2021,31856
Male,70+,2020,31997
Male,70+,2019,30339
Male,70+,2018,29574
Male,70+,2017,28967
Male,70+,2016,28425
Male,70+,2015,27964
Male,70+,2014,30992
Male,70+,2013,29057
Male,70+,2012,28972
Male,70+,2011,27545
Male,70+,2010,27684
Male,70+,2009,27256
Male,70+,2008,26740
Male,70+,2007,26128
Male,70+,2006,26171
Male,70+,2005,21570
Male,70+,2004,21321
Male,70+,2003,21096
Male,70+,2002,20848
Male,70+,2001,20841
Male,70+,2000,20572
Male,70+,1999,18232
Male,70+,1998,22883
Male,70+,1997,22714
Male,70+,1996,22538
Male,70+,1995,22556
Male,70+,1994,22002
Male,70+,1993,21727
Male,70+,1992,21813
Male,70+,1991,22143
Male,70+,1990,21628
Male,70+,1989,20049
Male,70+,1979,19488
Male,70+,1969,17157
Male,70+,1963,15608
Male,70+,1956,12131
Female,Total,2024,1808475
Female,Total,2023,1786466
Female,Total,2022,1761400
Female,Total,2021,1735881
Female,Total,2020,1708563
Female,Total,2019,1677293
Female,Total,2018,1646631
Female,Total,2017,1615529
Female,Total,2016,1585952
Female,Total,2015,1554166
Female,Total,2014,1529494
Female,Total,2013,1504434
Female,Total,2012,1474291
Female,Total,2011,1446943
Female,Total,2010,1418887
Female,Total,2009,1388135
Female,Total,2008,1364650
Female,Total,2007,1343197
Female,Total,2006,1323601
Female,Total,2005,1285467
Female,Total,2004,1270681
Female,Total,2003,1257253
Female,Total,2002,1242422
Female,Total,2001,1227695
Female,Total,2000,1212861
Female,Total,1999,1195512
Female,Total,1998,1178468
Female,Total,1997,1161916
Female,Total,1996,1146168
Female,Total,1995,1128628
Female,Total,1994,1110095
Female,Total,1993,1089403
Female,Total,1992,1082367
Female,Total,1991,1091813
Female,Total,1990,1079819
Female,Total,1989,1023285
Female,Total,1979,796138
Female,Total,1969,600236
Female,Total,1963,509129
Female,Total,1956,425190
Female,0-4,2024,165879
Female,0-4,2023,172822
Female,0-4,2022,178707
Female,0-4,2021,182790
Female,0-4,2020,185682
Female,0-4,2019,187676
Female,0-4,2018,190410
Female,0-4,2017,191702
Female,0-4,2016,192578
Female,0-4,2015,188751
Female,0-4,2014,169385
Female,0-4,2013,157039
Female,0-4,2012,150486
Female,0-4,2011,141837
Female,0-4,2010,136315
Female,0-4,2009,129262
Female,0-4,2008,122056
Female,0-4,2007,115125
Female,0-4,2006,107525
Female,0-4,2005,118374
Female,0-4,2004,117012
Female,0-4,2003,115777
Female,0-4,2002,114410
Female,0-4,2001,113205
Female,0-4,2000,113903
Female,0-4,1999,121541
Female,0-4,1998,116875
Female,0-4,1997,115402
Female,0-4,1996,121323
Female,0-4,1995,128544
Female,0-4,1994,136244
Female,0-4,1993,145076
Female,0-4,1992,157449
Female,0-4,1991,165605
Female,0-4,1990,168597
Female,0-4,1989,160846
Female,0-4,1979,130275
Female,0-4,1969,99571
Female,0-4,1963,84826
Female,0-4,1956,53426
Female,5-9,2024,186965
Female,5-9,2023,191218
Female,5-9,2022,192681
Female,5-9,2021,193336
Female,5-9,2020,189856
Female,5-9,2019,182200
Female,5-9,2018,175279
Female,5-9,2017,167007
Female,5-9,2016,157807
Female,5-9,2015,146323
Female,5-9,2014,134010
Female,5-9,2013,122808
Female,5-9,2012,114604
Female,5-9,2011,109633
Female,5-9,2010,112675
Female,5-9,2009,114575
Female,5-9,2008,119029
Female,5-9,2007,122159
Female,5-9,2006,120494
Female,5-9,2005,137650
Female,5-9,2004,136067
Female,5-9,2003,134629
Female,5-9,2002,133040
Female,5-9,2001,126278
Female,5-9,2000,132422
Female,5-9,1999,141349
Female,5-9,1998,143467
Female,5-9,1997,155790
Female,5-9,1996,158572
Female,5-9,1995,158915
Female,5-9,1994,157174
Female,5-9,1993,153075
Female,5-9,1992,148465
Female,5-9,1991,147936
Female,5-9,1990,144251
Female,5-9,1989,135892
Female,5-9,1979,115833
Female,5-9,1969,96537
Female,5-9,1963,68945
Female,5-9,1956,44666
Female,10-14,2024,182034
Female,10-14,2023,175880
Female,10-14,2022,167684
Female,10-14,2021,158471
Female,10-14,2020,146724
Female,10-14,2019,136786
Female,10-14,2018,123693
Female,10-14,2017,113948
Female,10-14,2016,107853
Female,10-14,2015,107657
Female,10-14,2014,110826
Female,10-14,2013,115993
Female,10-14,2012,117788
Female,10-14,2011,117649
Female,10-14,2010,122579
Female,10-14,2009,124567
Female,10-14,2008,129820
Female,10-14,2007,133605
Female,10-14,2006,137630
Female,10-14,2005,161052
Female,10-14,2004,159200
Female,10-14,2003,157517
Female,10-14,2002,155658
Female,10-14,2001,155311
Female,10-14,2000,156615
Female,10-14,1999,158140
Female,10-14,1998,153322
Female,10-14,1997,146748
Female,10-14,1996,142023
Female,10-14,1995,136689
Female,10-14,1994,132173
Female,10-14,1993,128185
Female,10-14,1992,127813
Female,10-14,1991,129259
Female,10-14,1990,129059
Female,10-14,1989,126822
Female,10-14,1979,102999
Female,10-14,1969,68912
Female,10-14,1963,43241
Female,10-14,1956,29488
Female,15-19,2024,136545
Female,15-19,2023,124192
Female,15-19,2022,114307
Female,15-19,2021,108078
Female,15-19,2020,107761
Female,15-19,2019,109614
Female,15-19,2018,112155
Female,15-19,2017,114593
Female,15-19,2016,116434
Female,15-19,2015,118130
Female,15-19,2014,122048
Female,15-19,2013,127462
Female,15-19,2012,127185
Female,15-19,2011,130995
Female,15-19,2010,138475
Female,15-19,2009,143064
Female,15-19,2008,148959
Female,15-19,2007,154808
Female,15-19,2006,155747
Female,15-19,2005,146641
Female,15-19,2004,144953
Female,15-19,2003,143423
Female,15-19,2002,141730
Female,15-19,2001,141316
Female,15-19,2000,137824
Female,15-19,1999,130031
Female,15-19,1998,127663
Female,15-19,1997,125994
Female,15-19,1996,123687
Female,15-19,1995,121863
Female,15-19,1994,119846
Female,15-19,1993,119806
Female,15-19,1992,118618
Female,15-19,1991,120528
Female,15-19,1990,118100
Female,15-19,1989,109071
Female,15-19,1979,90527
Female,15-19,1969,44471
Female,15-19,1963,34281
Female,15-19,1956,37736
Female,20-24,2024,109355
Female,20-24,2023,111691
Female,20-24,2022,113941
Female,20-24,2021,115558
Female,20-24,2020,117073
Female,20-24,2019,118646
Female,20-24,2018,121020
Female,20-24,2017,121279
Female,20-24,2016,126267
Female,20-24,2015,132771
Female,20-24,2014,139937
Female,20-24,2013,151189
Female,20-24,2012,157457
Female,20-24,2011,161048
Female,20-24,2010,156630
Female,20-24,2009,152360
Female,20-24,2008,144027
Female,20-24,2007,137119
Female,20-24,2006,132701
Female,20-24,2005,134529
Female,20-24,2004,132980
Female,20-24,2003,131576
Female,20-24,2002,130023
Female,20-24,2001,129160
Female,20-24,2000,126536
Female,20-24,1999,117728
Female,20-24,1998,118691
Female,20-24,1997,117261
Female,20-24,1996,116407
Female,20-24,1995,113342
Female,20-24,1994,111540
Female,20-24,1993,104738
Female,20-24,1992,102941
Female,20-24,1991,102906
Female,20-24,1990,103470
Female,20-24,1989,98547
Female,20-24,1979,65786
Female,20-24,1969,35678
Female,20-24,1963,36223
Female,20-24,1956,33805
Female,25-29,2024,118313
Female,25-29,2023,119962
Female,25-29,2022,120212
Female,25-29,2021,124930
Female,25-29,2020,131475
Female,25-29,2019,138108
Female,25-29,2018,146810
Female,25-29,2017,154884
Female,25-29,2016,156965
Female,25-29,2015,156591
Female,25-29,2014,154936
Female,25-29,2013,152610
Female,25-29,2012,147143
Female,25-29,2011,144683
Female,25-29,2010,135159
Female,25-29,2009,128703
Female,25-29,2008,122923
Female,25-29,2007,119013
Female,25-29,2006,115648
Female,25-29,2005,118560
Female,25-29,2004,117196
Female,25-29,2003,115959
Female,25-29,2002,114589
Female,25-29,2001,113800
Female,25-29,2000,110658
Female,25-29,1999,108690
Female,25-29,1998,106987
Female,25-29,1997,104235
Female,25-29,1996,101097
Female,25-29,1995,100131
Female,25-29,1994,97244
Female,25-29,1993,94984
Female,25-29,1992,94160
Female,25-29,1991,96336
Female,25-29,1990,93919
Female,25-29,1989,90796
Female,25-29,1979,47065
Female,25-29,1969,38591
Female,25-29,1963,35275
Female,25-29,1956,31815
Female,30-34,2024,137571
Female,30-34,2023,145141
Female,30-34,2022,153217
Female,30-34,2021,155589
Female,30-34,2020,155383
Female,30-34,2019,153003
Female,30-34,2018,148185
Female,30-34,2017,142493
Female,30-34,2016,137967
Female,30-34,2015,132947
Female,30-34,2014,131026
Female,30-34,2013,131636
Female,30-34,2012,130309
Female,30-34,2011,128752
Female,30-34,2010,120895
Female,30-34,2009,117885
Female,30-34,2008,113290
Female,30-34,2007,110866
Female,30-34,2006,108615
Female,30-34,2005,101781
Female,30-34,2004,100612
Female,30-34,2003,99548
Female,30-34,2002,98374
Female,30-34,2001,97493
Female,30-34,2000,96692
Female,30-34,1999,95399
Female,30-34,1998,96183
Female,30-34,1997,94611
Female,30-34,1996,93974
Female,30-34,1995,90465
Female,30-34,1994,90682
Female,30-34,1993,84946
Female,30-34,1992,81986
Female,30-34,1991,79193
Female,30-34,1990,77411
Female,30-34,1989,68035
Female,30-34,1979,37942
Female,30-34,1969,31793
Female,30-34,1963,30958
Female,30-34,1956,29005
Female,35-39,2024,152145
Female,35-39,2023,147202
Female,35-39,2022,141623
Female,35-39,2021,137216
Female,35-39,2020,132149
Female,35-39,2019,127546
Female,35-39,2018,123831
Female,35-39,2017,122446
Female,35-39,2016,120205
Female,35-39,2015,118142
Female,35-39,2014,119222
Female,35-39,2013,120582
Female,35-39,2012,118676
Female,35-39,2011,117698
Female,35-39,2010,110471
Female,35-39,2009,107015
Female,35-39,2008,102457
Female,35-39,2007,100718
Female,35-39,2006,98866
Female,35-39,2005,93507
Female,35-39,2004,92430
Female,35-39,2003,91455
Female,35-39,2002,90376
Female,35-39,2001,89805
Female,35-39,2000,87181
Female,35-39,1999,87760
Female,35-39,1998,85675
Female,35-39,1997,82164
Female,35-39,1996,76787
Female,35-39,1995,73763
Female,35-39,1994,66217
Female,35-39,1993,61088
Female,35-39,1992,56066
Female,35-39,1991,53536
Female,35-39,1990,48427
Female,35-39,1989,46001
Female,35-39,1979,36810
Female,35-39,1969,31429
Female,35-39,1963,28082
Female,35-39,1956,28018
Female,40-44,2024,126414
Female,40-44,2023,122650
Female,40-44,2022,121244
Female,40-44,2021,119016
Female,40-44,2020,117055
Female,40-44,2019,115287
Female,40-44,2018,114336
Female,40-44,2017,112162
Female,40-44,2016,110610
Female,40-44,2015,107638
Female,40-44,2014,107391
Female,40-44,2013,104885
Female,40-44,2012,103183
Female,40-44,2011,101142
Female,40-44,2010,98938
Female,40-44,2009,95098
Female,40-44,2008,93061
Female,40-44,2007,91448
Female,40-44,2006,91291
Female,40-44,2005,76773
Female,40-44,2004,75890
Female,40-44,2003,75087
Female,40-44,2002,74203
Female,40-44,2001,73857
Female,40-44,2000,70701
Female,40-44,1999,64601
Female,40-44,1998,60198
Female,40-44,1997,54417
Female,40-44,1996,50475
Female,40-44,1995,44971
Female,40-44,1994,43600
Female,40-44,1993,40017
Female,40-44,1992,38476
Female,40-44,1991,37072
Female,40-44,1990,36971
Female,40-44,1989,34626
Female,40-44,1979,31261
Female,40-44,1969,24272
Female,40-44,1963,22068
Female,40-44,1956,22255
Female,45-49,2024,113759
Female,45-49,2023,112777
Female,45-49,2022,110642
Female,45-49,2021,109146
Female,45-49,2020,106101
Female,45-49,2019,103577
Female,45-49,2018,100371
Female,45-49,2017,98092
Female,45-49,2016,95167
Female,45-49,2015,93801
Female,45-49,2014,93541
Female,45-49,2013,93070
Female,45-49,2012,90667
Female,45-49,2011,89167
Female,45-49,2010,86581
Female,45-49,2009,84532
Female,45-49,2008,81588
Female,45-49,2007,79185
Female,45-49,2006,76704
Female,45-49,2005,52100
Female,45-49,2004,51501
Female,45-49,2003,50954
Female,45-49,2002,50356
Female,45-49,2001,50145
Female,45-49,2000,45503
Female,45-49,1999,42326
Female,45-49,1998,38592
Female,45-49,1997,36894
Female,45-49,1996,34553
Female,45-49,1995,34068
Female,45-49,1994,31138
Female,45-49,1993,31028
Female,45-49,1992,29814
Female,45-49,1991,31551
Female,45-49,1990,31667
Female,45-49,1989,32883
Female,45-49,1979,28531
Female,45-49,1969,24991
Female,45-49,1963,27277
Female,45-49,1956,26738
Female,50-54,2024,101682
Female,50-54,2023,98421
Female,50-54,2022,96076
Female,50-54,2021,93114
Female,50-54,2020,91887
Female,50-54,2019,89051
Female,50-54,2018,88044
Female,50-54,2017,86188
Female,50-54,2016,85035
Female,50-54,2015,81446
Female,50-54,2014,81972
Female,50-54,2013,77080
Female,50-54,2012,73393
Female,50-54,2011,68467
Female,50-54,2010,67258
Female,50-54,2009,61019
Female,50-54,2008,58669
Female,50-54,2007,54084
Female,50-54,2006,53008
Female,50-54,2005,36244
Female,50-54,2004,35827
Female,50-54,2003,35449
Female,50-54,2002,35031
Female,50-54,2001,34979
Female,50-54,2000,34238
Female,50-54,1999,30128
Female,50-54,1998,29401
Female,50-54,1997,28155
Female,50-54,1996,28978
Female,50-54,1995,28718
Female,50-54,1994,30746
Female,50-54,1993,29725
Female,50-54,1992,30170
Female,50-54,1991,29422
Female,50-54,1990,29383
Female,50-54,1989,27273
Female,50-54,1979,22088
Female,50-54,1969,21597
Female,50-54,1963,21799
Female,50-54,1956,20943
Female,55-59,2024,86508
Female,55-59,2023,85374
Female,55-59,2022,83577
Female,55-59,2021,82382
Female,55-59,2020,79021
Female,55-59,2019,78290
Female,55-59,2018,74527
Female,55-59,2017,70895
Female,55-59,2016,66217
Female,55-59,2015,63601
Female,55-59,2014,58633
Female,55-59,2013,52499
Female,55-59,2012,48517
Female,55-59,2011,44480
Female,55-59,2010,41432
Female,55-59,2009,40252
Female,55-59,2008,38296
Female,55-59,2007,36531
Female,55-59,2006,35970
Female,55-59,2005,30374
Female,55-59,2004,30026
Female,55-59,2003,29707
Female,55-59,2002,29358
Female,55-59,2001,29344
Female,55-59,2000,29051
Female,55-59,1999,28516
Female,55-59,1998,27672
Female,55-59,1997,27940
Female,55-59,1996,26567
Female,55-59,1995,26187
Female,55-59,1994,23702
Female,55-59,1993,24067
Female,55-59,1992,24296
Female,55-59,1991,26083
Female,55-59,1990,26339
Female,55-59,1989,25651
Female,55-59,1979,22048
Female,55-59,1969,23402
Female,55-59,1963,22630
Female,55-59,1956,20585
Female,60-64,2024,75089
Female,60-64,2023,71625
Female,60-64,2022,67908
Female,60-64,2021,63327
Female,60-64,2020,60664
Female,60-64,2019,54897
Female,60-64,2018,50189
Female,60-64,2017,45500
Female,60-64,2016,41815
Female,60-64,2015,37048
Female,60-64,2014,37037
Female,60-64,2013,32708
Female,60-64,2012,31015
Female,60-64,2011,29205
Female,60-64,2010,28932
Female,60-64,2009,27377
Female,60-64,2008,27855
Female,60-64,2007,27200
Female,60-64,2006,28046
Female,60-64,2005,26892
Female,60-64,2004,26580
Female,60-64,2003,26301
Female,60-64,2002,25991
Female,60-64,2001,24322
Female,60-64,2000,23775
Female,60-64,1999,21514
Female,60-64,1998,21744
Female,60-64,1997,21506
Female,60-64,1996,22573
Female,60-64,1995,22530
Female,60-64,1994,23707
Female,60-64,1993,22632
Female,60-64,1992,21850
Female,60-64,1991,20484
Female,60-64,1990,20250
Female,60-64,1989,18637
Female,60-64,1979,19880
Female,60-64,1969,19988
Female,60-64,1963,18343
Female,60-64,1956,16764
Female,65-69,2024,51391
Female,65-69,2023,46780
Female,65-69,2022,42314
Female,65-69,2021,38742
Female,65-69,2020,34410
Female,65-69,2019,32634
Female,65-69,2018,29721
Female,65-69,2017,27916
Female,65-69,2016,25874
Female,65-69,2015,25308
Female,65-69,2014,24241
Female,65-69,2013,22802
Female,65-69,2012,21877
Female,65-69,2011,22059
Female,65-69,2010,22489
Female,65-69,2009,23627
Female,65-69,2008,23641
Female,65-69,2007,23198
Female,65-69,2006,23241
Female,65-69,2005,20192
Female,65-69,2004,19962
Female,65-69,2003,19749
Female,65-69,2002,19516
Female,65-69,2001,18920
Female,65-69,2000,18757
Female,65-69,1999,19433
Female,65-69,1998,19321
Female,65-69,1997,18503
Female,65-69,1996,16716
Female,65-69,1995,16423
Female,65-69,1994,14968
Female,65-69,1993,15491
Female,65-69,1992,15805
Female,65-69,1991,16748
Female,65-69,1990,17367
Female,65-69,1989,17114
Female,65-69,1979,18292
Female,65-69,1969,16661
Female,65-69,1963,14249
Female,65-69,1956,12149
Female,70+,2024,64825
Female,70+,2023,60731
Female,70+,2022,57267
Female,70+,2021,54186
Female,70+,2020,53322
Female,70+,2019,49978
Female,70+,2018,48060
Female,70+,2017,46424
Female,70+,2016,45158
Female,70+,2015,44012
Female,70+,2014,45289
Female,70+,2013,42071
Female,70+,2012,41991
Female,70+,2011,40128
Female,70+,2010,40058
Female,70+,2009,38799
Female,70+,2008,38979
Female,70+,2007,38138
Female,70+,2006,38115
Female,70+,2005,30798
Female,70+,2004,30445
Female,70+,2003,30122
Female,70+,2002,29767
Female,70+,2001,29760
Female,70+,2000,29005
Female,70+,1999,28356
Female,70+,1998,32677
Female,70+,1997,32296
Female,70+,1996,32436
Female,70+,1995,32019
Female,70+,1994,31114
Female,70+,1993,34545
Female,70+,1992,34458
Female,70+,1991,35154
Female,70+,1990,34608
Female,70+,1989,31091
Female,70+,1979,26801
Female,70+,1969,22343
Female,70+,1963,20932
Female,70+,1956,17797
