Үзүүлэлт,Бүс,Он,value
Гэрлэлт,Дэлүүн,2010,30
Гэрлэлт,Дэлүүн,2009,52
Гэрлэлт,Дэлүүн,2008,65
Гэрлэлт,Дэлүүн,2007,105
Гэрлэлт,Дэлүүн,2006,129
Гэрлэлт,Ногооннуур,2025,66
Гэрлэлт,Ногооннуур,2024,40
Гэрлэлт,Ногооннуур,2023,70
Гэрлэлт,Ногооннуур,2022,46
Гэрлэлт,Ногооннуур,2021,41
Гэрлэлт,Ногооннуур,2020,72
Гэрлэлт,Ногооннуур,2019,48
Гэрлэлт,Ногооннуур,2018,80
Гэрлэлт,Ногооннуур,2017,67
Гэрлэлт,Ногооннуур,2016,71
Гэрлэлт,Ногооннуур,2015,65
Гэрлэлт,Ногооннуур,2014,89
Гэрлэлт,Ногооннуур,2013,68
Гэрлэлт,Ногооннуур,2011,56
Гэрлэлт,Ногооннуур,2010,25
Гэрлэлт,Ногооннуур,2009,43
Гэрлэлт,Ногооннуур,2008,60
Гэрлэлт,Ногооннуур,2007,105
Гэрлэлт,Ногооннуур,2006,178
Гэрлэлт,Сагсай,2025,29
Гэрлэлт,Сагсай,2024,18
Гэрлэлт,Сагсай,2023,18
Гэрлэлт,Сагсай,2022,31
Гэрлэлт,Сагсай,2021,36
Гэрлэлт,Сагсай,2020,38
Гэрлэлт,Сагсай,2019,31
Гэрлэлт,Сагсай,2018,38
Гэрлэлт,Сагсай,2017,45
Гэрлэлт,Сагсай,2016,48
Гэрлэлт,Сагсай,2015,58
Гэрлэлт,Сагсай,2014,57
Гэрлэлт,Сагсай,2013,69
Гэрлэлт,Сагсай,2011,27
Гэрлэлт,Сагсай,2010,25
Гэрлэлт,Сагсай,2009,35
Гэрлэлт,Сагсай,2008,51
Гэрлэлт,Сагсай,2007,133
Гэрлэлт,Сагсай,2006,36
Гэрлэлт,Толбо,2025,43
Гэрлэлт,Толбо,2024,52
Гэрлэлт,Толбо,2023,7
Гэрлэлт,Толбо,2022,26
Гэрлэлт,Толбо,2021,26
Гэрлэлт,Толбо,2020,33
Гэрлэлт,Толбо,2019,19
Гэрлэлт,Толбо,2018,33
Гэрлэлт,Толбо,2017,41
Гэрлэлт,Толбо,2016,32
Гэрлэлт,Толбо,2015,47
Гэрлэлт,Толбо,2014,36
Гэрлэлт,Толбо,2013,32
Гэрлэлт,Толбо,2011,22
Гэрлэлт,Толбо,2010,20
Гэрлэлт,Толбо,2009,37
Гэрлэлт,Толбо,2008,31
Гэрлэлт,Толбо,2007,50
Гэрлэлт,Толбо,2006,78
Гэрлэлт,Улаанхус,2025,20
Гэрлэлт,Улаанхус,2024,36
Гэрлэлт,Улаанхус,2023,36
Гэрлэлт,Улаанхус,2022,40
Гэрлэлт,Улаанхус,2021,51
Гэрлэлт,Улаанхус,2020,57
Гэрлэлт,Улаанхус,2019,61
Гэрлэлт,Улаанхус,2018,61
Гэрлэлт,Улаанхус,2017,87
Гэрлэлт,Улаанхус,2016,50
Гэрлэлт,Улаанхус,2015,76
Гэрлэлт,Улаанхус,2014,62
Гэрлэлт,Улаанхус,2013,85
Гэрлэлт,Улаанхус,2011,45
Гэрлэлт,Улаанхус,2010,29
Гэрлэлт,Улаанхус,2009,65
Гэрлэлт,Улаанхус,2008,72
Гэрлэлт,Улаанхус,2007,99
Гэрлэлт,Улаанхус,2006,147
Гэрлэлт,Цэнгэл,2025,33
Гэрлэлт,Цэнгэл,2024,47
Гэрлэлт,Цэнгэл,2023,36
Гэрлэлт,Цэнгэл,2022,47
Гэрлэлт,Цэнгэл,2021,71
Гэрлэлт,Цэнгэл,2020,93
Гэрлэлт,Цэнгэл,2019,67
Гэрлэлт,Цэнгэл,2018,79
Гэрлэлт,Цэнгэл,2017,88
Гэрлэлт,Цэнгэл,2016,76
Гэрлэлт,Цэнгэл,2015,97
Гэрлэлт,Цэнгэл,2014,78
Гэрлэлт,Цэнгэл,2013,80
Гэрлэлт,Цэнгэл,2011,60
Гэрлэлт,Цэнгэл,2010,20
Гэрлэлт,Цэнгэл,2009,71
Гэрлэлт,Цэнгэл,2008,55
Гэрлэлт,Цэнгэл,2007,133
Гэрлэлт,Цэнгэл,2006,185
Гэрлэлт,Говь-Алтай,2025,172
Гэрлэлт,Говь-Алтай,2024,203
Гэрлэлт,Говь-Алтай,2023,290
Гэрлэлт,Говь-Алтай,2022,203
Гэрлэлт,Говь-Алтай,2021,342
Гэрлэлт,Говь-Алтай,2020,333
Гэрлэлт,Говь-Алтай,2019,336
Гэрлэлт,Говь-Алтай,2018,302
Гэрлэлт,Говь-Алтай,2017,315
Гэрлэлт,Говь-Алтай,2016,249
Гэрлэлт,Говь-Алтай,2015,288
Гэрлэлт,Говь-Алтай,2014,271
Гэрлэлт,Говь-Алтай,2013,249
Гэрлэлт,Говь-Алтай,2011,166
Гэрлэлт,Говь-Алтай,2010,174
Гэрлэлт,Говь-Алтай,2009,659
Гэрлэлт,Говь-Алтай,2008,567
Гэрлэлт,Говь-Алтай,2007,931
Гэрлэлт,Говь-Алтай,2006,1026
Гэрлэлт,Есөнбулаг,2025,74
Гэрлэлт,Есөнбулаг,2024,80
Гэрлэлт,Есөнбулаг,2023,102
Гэрлэлт,Есөнбулаг,2022,76
Гэрлэлт,Есөнбулаг,2021,135
Гэрлэлт,Есөнбулаг,2020,91
Гэрлэлт,Есөнбулаг,2019,98
Гэрлэлт,Есөнбулаг,2018,99
Гэрлэлт,Есөнбулаг,2017,89
Гэрлэлт,Есөнбулаг,2016,65
Гэрлэлт,Есөнбулаг,2015,100
Гэрлэлт,Есөнбулаг,2014,98
Гэрлэлт,Есөнбулаг,2013,69
Гэрлэлт,Есөнбулаг,2011,51
Гэрлэлт,Есөнбулаг,2010,0
Гэрлэлт,Есөнбулаг,2009,265
Гэрлэлт,Есөнбулаг,2008,167
Гэрлэлт,Есөнбулаг,2007,242
Гэрлэлт,Есөнбулаг,2006,404
Гэрлэлт,Алтай,2025,4
Гэрлэлт,Алтай,2024,2
Гэрлэлт,Алтай,2023,9
Гэрлэлт,Алтай,2022,12
Гэрлэлт,Алтай,2021,18
Гэрлэлт,Алтай,2020,28
Гэрлэлт,Алтай,2019,14
Гэрлэлт,Алтай,2018,13
Гэрлэлт,Алтай,2017,11
Гэрлэлт,Алтай,2016,7
Гэрлэлт,Алтай,2015,13
Гэрлэлт,Алтай,2014,9
Гэрлэлт,Алтай,2013,8
Гэрлэлт,Алтай,2011,5
Гэрлэлт,Алтай,2010,10
Гэрлэлт,Алтай,2009,26
Гэрлэлт,Алтай,2008,33
Гэрлэлт,Алтай,2007,86
Гэрлэлт,Алтай,2006,37
Гэрлэлт,Баян-Уул,2025,8
Гэрлэлт,Баян-Уул,2024,9
Гэрлэлт,Баян-Уул,2023,13
Гэрлэлт,Баян-Уул,2022,10
Гэрлэлт,Баян-Уул,2021,13
Гэрлэлт,Баян-Уул,2020,18
Гэрлэлт,Баян-Уул,2019,21
Гэрлэлт,Баян-Уул,2018,18
Гэрлэлт,Баян-Уул,2017,23
Гэрлэлт,Баян-Уул,2016,7
Гэрлэлт,Баян-Уул,2015,17
Гэрлэлт,Баян-Уул,2014,8
Гэрлэлт,Баян-Уул,2013,12
Гэрлэлт,Баян-Уул,2011,9
Гэрлэлт,Баян-Уул,2010,6
Гэрлэлт,Баян-Уул,2009,20
Гэрлэлт,Баян-Уул,2008,20
Гэрлэлт,Баян-Уул,2007,45
Гэрлэлт,Баян-Уул,2006,43
Гэрлэлт,Бигэр,2025,7
Гэрлэлт,Бигэр,2024,5
Гэрлэлт,Бигэр,2023,7
Гэрлэлт,Бигэр,2022,2
Гэрлэлт,Бигэр,2021,5
Гэрлэлт,Бигэр,2020,7
Гэрлэлт,Бигэр,2019,13
Гэрлэлт,Бигэр,2018,15
Гэрлэлт,Бигэр,2017,18
Гэрлэлт,Бигэр,2016,13
Гэрлэлт,Бигэр,2015,12
Гэрлэлт,Бигэр,2014,8
Гэрлэлт,Бигэр,2013,13
Гэрлэлт,Бигэр,2011,8
Гэрлэлт,Бигэр,2010,9
Гэрлэлт,Бигэр,2009,32
Гэрлэлт,Бигэр,2008,18
Гэрлэлт,Бигэр,2007,29
Гэрлэлт,Бигэр,2006,30
Гэрлэлт,Бугат,2025,8
Гэрлэлт,Бугат,2024,8
