Indicator,Region,Year,value
Marriage,Buyant,2022,14
Marriage,Buyant,2021,11
Marriage,Buyant,2020,11
Marriage,Buyant,2019,2
Marriage,Buyant,2018,24
Marriage,Buyant,2017,21
Marriage,Buyant,2016,21
Marriage,Buyant,2015,26
Marriage,Buyant,2014,32
Marriage,Buyant,2013,29
Marriage,Buyant,2011,9
Marriage,Buyant,2010,9
Marriage,Buyant,2009,26
Marriage,Buyant,2008,21
Marriage,Buyant,2007,28
Marriage,Buyant,2006,63
Marriage,Deluun,2025,28
Marriage,Deluun,2024,26
Marriage,Deluun,2023,18
Marriage,Deluun,2022,42
Marriage,Deluun,2021,57
Marriage,Deluun,2020,74
Marriage,Deluun,2019,42
Marriage,Deluun,2018,40
Marriage,Deluun,2017,71
Marriage,Deluun,2016,53
Marriage,Deluun,2015,57
Marriage,Deluun,2014,68
Marriage,Deluun,2013,75
Marriage,Deluun,2011,33
Marriage,Deluun,2010,30
Marriage,Deluun,2009,52
Marriage,Deluun,2008,65
Marriage,Deluun,2007,105
Marriage,Deluun,2006,129
Marriage,Nogoonnuur,2025,66
Marriage,Nogoonnuur,2024,40
Marriage,Nogoonnuur,2023,70
Marriage,Nogoonnuur,2022,46
Marriage,Nogoonnuur,2021,41
Marriage,Nogoonnuur,2020,72
Marriage,Nogoonnuur,2019,48
Marriage,Nogoonnuur,2018,80
Marriage,Nogoonnuur,2017,67
Marriage,Nogoonnuur,2016,71
Marriage,Nogoonnuur,2015,65
Marriage,Nogoonnuur,2014,89
Marriage,Nogoonnuur,2013,68
Marriage,Nogoonnuur,2011,56
Marriage,Nogoonnuur,2010,25
Marriage,Nogoonnuur,2009,43
Marriage,Nogoonnuur,2008,60
Marriage,Nogoonnuur,2007,105
Marriage,Nogoonnuur,2006,178
Marriage,Sagsai,2025,29
Marriage,Sagsai,2024,18
Marriage,Sagsai,2023,18
Marriage,Sagsai,2022,31
Marriage,Sagsai,2021,36
Marriage,Sagsai,2020,38
Marriage,Sagsai,2019,31
Marriage,Sagsai,2018,38
Marriage,Sagsai,2017,45
Marriage,Sagsai,2016,48
Marriage,Sagsai,2015,58
Marriage,Sagsai,2014,57
Marriage,Sagsai,2013,69
Marriage,Sagsai,2011,27
Marriage,Sagsai,2010,25
Marriage,Sagsai,2009,35
Marriage,Sagsai,2008,51
Marriage,Sagsai,2007,133
Marriage,Sagsai,2006,36
Marriage,Tolbo,2025,43
Marriage,Tolbo,2024,52
Marriage,Tolbo,2023,7
Marriage,Tolbo,2022,26
Marriage,Tolbo,2021,26
Marriage,Tolbo,2020,33
Marriage,Tolbo,2019,19
Marriage,Tolbo,2018,33
Marriage,Tolbo,2017,41
Marriage,Tolbo,2016,32
Marriage,Tolbo,2015,47
Marriage,Tolbo,2014,36
Marriage,Tolbo,2013,32
Marriage,Tolbo,2011,22
Marriage,Tolbo,2010,20
Marriage,Tolbo,2009,37
Marriage,Tolbo,2008,31
Marriage,Tolbo,2007,50
Marriage,Tolbo,2006,78
Marriage,Ulaankhus,2025,20
Marriage,Ulaankhus,2024,36
Marriage,Ulaankhus,2023,36
Marriage,Ulaankhus,2022,40
Marriage,Ulaankhus,2021,51
Marriage,Ulaankhus,2020,57
Marriage,Ulaankhus,2019,61
Marriage,Ulaankhus,2018,61
Marriage,Ulaankhus,2017,87
Marriage,Ulaankhus,2016,50
Marriage,Ulaankhus,2015,76
Marriage,Ulaankhus,2014,62
Marriage,Ulaankhus,2013,85
Marriage,Ulaankhus,2011,45
Marriage,Ulaankhus,2010,29
Marriage,Ulaankhus,2009,65
Marriage,Ulaankhus,2008,72
Marriage,Ulaankhus,2007,99
Marriage,Ulaankhus,2006,147
Marriage,Tsengel,2025,33
Marriage,Tsengel,2024,47
Marriage,Tsengel,2023,36
Marriage,Tsengel,2022,47
Marriage,Tsengel,2021,71
Marriage,Tsengel,2020,93
Marriage,Tsengel,2019,67
Marriage,Tsengel,2018,79
Marriage,Tsengel,2017,88
Marriage,Tsengel,2016,76
Marriage,Tsengel,2015,97
Marriage,Tsengel,2014,78
Marriage,Tsengel,2013,80
Marriage,Tsengel,2011,60
Marriage,Tsengel,2010,20
Marriage,Tsengel,2009,71
Marriage,Tsengel,2008,55
Marriage,Tsengel,2007,133
Marriage,Tsengel,2006,185
Marriage,Govi-Altai,2025,172
Marriage,Govi-Altai,2024,203
Marriage,Govi-Altai,2023,290
Marriage,Govi-Altai,2022,203
Marriage,Govi-Altai,2021,342
Marriage,Govi-Altai,2020,333
Marriage,Govi-Altai,2019,336
Marriage,Govi-Altai,2018,302
Marriage,Govi-Altai,2017,315
Marriage,Govi-Altai,2016,249
Marriage,Govi-Altai,2015,288
Marriage,Govi-Altai,2014,271
Marriage,Govi-Altai,2013,249
Marriage,Govi-Altai,2011,166
Marriage,Govi-Altai,2010,174
Marriage,Govi-Altai,2009,659
Marriage,Govi-Altai,2008,567
Marriage,Govi-Altai,2007,931
Marriage,Govi-Altai,2006,1026
Marriage,Yesunbulag,2025,74
Marriage,Yesunbulag,2024,80
Marriage,Yesunbulag,2023,102
Marriage,Yesunbulag,2022,76
Marriage,Yesunbulag,2021,135
Marriage,Yesunbulag,2020,91
Marriage,Yesunbulag,2019,98
Marriage,Yesunbulag,2018,99
Marriage,Yesunbulag,2017,89
Marriage,Yesunbulag,2016,65
Marriage,Yesunbulag,2015,100
Marriage,Yesunbulag,2014,98
Marriage,Yesunbulag,2013,69
Marriage,Yesunbulag,2011,51
Marriage,Yesunbulag,2010,0
Marriage,Yesunbulag,2009,265
Marriage,Yesunbulag,2008,167
Marriage,Yesunbulag,2007,242
Marriage,Yesunbulag,2006,404
Marriage,Altai,2025,4
Marriage,Altai,2024,2
Marriage,Altai,2023,9
Marriage,Altai,2022,12
Marriage,Altai,2021,18
Marriage,Altai,2020,28
Marriage,Altai,2019,14
Marriage,Altai,2018,13
Marriage,Altai,2017,11
Marriage,Altai,2016,7
Marriage,Altai,2015,13
Marriage,Altai,2014,9
Marriage,Altai,2013,8
Marriage,Altai,2011,5
Marriage,Altai,2010,10
Marriage,Altai,2009,26
Marriage,Altai,2008,33
Marriage,Altai,2007,86
Marriage,Altai,2006,37
Marriage,Bayan-Uul,2025,8
Marriage,Bayan-Uul,2024,9
Marriage,Bayan-Uul,2023,13
Marriage,Bayan-Uul,2022,10
Marriage,Bayan-Uul,2021,13
Marriage,Bayan-Uul,2020,18
Marriage,Bayan-Uul,2019,21
Marriage,Bayan-Uul,2018,18
Marriage,Bayan-Uul,2017,23
Marriage,Bayan-Uul,2016,7
Marriage,Bayan-Uul,2015,17
Marriage,Bayan-Uul,2014,8
Marriage,Bayan-Uul,2013,12
Marriage,Bayan-Uul,2011,9
Marriage,Bayan-Uul,2010,6
Marriage,Bayan-Uul,2009,20
Marriage,Bayan-Uul,2008,20
Marriage,Bayan-Uul,2007,45
Marriage,Bayan-Uul,2006,43
Marriage,Biger,2025,7
Marriage,Biger,2024,5
Marriage,Biger,2023,7
Marriage,Biger,2022,2
Marriage,Biger,2021,5
Marriage,Biger,2020,7
Marriage,Biger,2019,13
Marriage,Biger,2018,15
Marriage,Biger,2017,18
Marriage,Biger,2016,13
Marriage,Biger,2015,12
Marriage,Biger,2014,8
Marriage,Biger,2013,13
Marriage,Biger,2011,8
Marriage,Biger,2010,9
Marriage,Biger,2009,32
Marriage,Biger,2008,18
Marriage,Biger,2007,29
Marriage,Biger,2006,30
Marriage,Bugat,2025,8
Marriage,Bugat,2024,8
Marriage,Bugat,2023,10
Marriage,Bugat,2022,11
Marriage,Bugat,2021,13
Marriage,Bugat,2020,27
Marriage,Bugat,2019,8
Marriage,Bugat,2018,10
Marriage,Bugat,2017,12
Marriage,Bugat,2016,13
Marriage,Bugat,2015,9
Marriage,Bugat,2014,8
Marriage,Bugat,2013,9
Marriage,Bugat,2011,3
Marriage,Bugat,2010,4
Marriage,Bugat,2009,21
Marriage,Bugat,2008,20
Marriage,Bugat,2007,38
Marriage,Bugat,2006,52
Marriage,Dariv,2025,10
Marriage,Dariv,2024,8
Marriage,Dariv,2023,6
Marriage,Dariv,2022,8
Marriage,Dariv,2021,6
Marriage,Dariv,2020,12
Marriage,Dariv,2019,9
Marriage,Dariv,2018,8
Marriage,Dariv,2017,10
Marriage,Dariv,2016,11
Marriage,Dariv,2015,6
Marriage,Dariv,2014,11
Marriage,Dariv,2013,12
Marriage,Dariv,2011,5
Marriage,Dariv,2010,14
Marriage,Dariv,2009,22
Marriage,Dariv,2008,13
Marriage,Dariv,2007,29
Marriage,Dariv,2006,19
Marriage,Delger,2025,15
Marriage,Delger,2024,16
Marriage,Delger,2023,22
Marriage,Delger,2022,18
Marriage,Delger,2021,22
Marriage,Delger,2020,25
Marriage,Delger,2019,25
Marriage,Delger,2018,20
Marriage,Delger,2017,16
Marriage,Delger,2016,13
Marriage,Delger,2015,11
Marriage,Delger,2014,14
Marriage,Delger,2013,7
Marriage,Delger,2011,9
Marriage,Delger,2010,14
Marriage,Delger,2009,18
Marriage,Delger,2008,32
Marriage,Delger,2007,17
Marriage,Delger,2006,30
Marriage,Jargalan,2025,2
Marriage,Jargalan,2024,3
Marriage,Jargalan,2023,4
Marriage,Jargalan,2022,3
Marriage,Jargalan,2021,9
Marriage,Jargalan,2020,1
Marriage,Jargalan,2019,8
Marriage,Jargalan,2018,9
Marriage,Jargalan,2017,18
Marriage,Jargalan,2016,11
Marriage,Jargalan,2015,2
Marriage,Jargalan,2014,2
Marriage,Jargalan,2013,3
Marriage,Jargalan,2011,4
Marriage,Jargalan,2010,4
Marriage,Jargalan,2009,25
Marriage,Jargalan,2008,23
Marriage,Jargalan,2007,27
Marriage,Jargalan,2006,25
Marriage,Taishir,2025,0
Marriage,Taishir,2024,0
Marriage,Taishir,2023,6
Marriage,Taishir,2022,2
Marriage,Taishir,2021,0
Marriage,Taishir,2020,5
Marriage,Taishir,2019,13
Marriage,Taishir,2018,6
Marriage,Taishir,2017,3
Marriage,Taishir,2016,11
Marriage,Taishir,2015,1
Marriage,Taishir,2014,4
Marriage,Taishir,2013,7
Marriage,Taishir,2011,2
Marriage,Taishir,2010,10
Marriage,Taishir,2009,24
Marriage,Taishir,2008,13
Marriage,Taishir,2007,20
Marriage,Taishir,2006,22
Marriage,Tonkhil,2025,4
Marriage,Tonkhil,2024,3
Marriage,Tonkhil,2023,10
Marriage,Tonkhil,2022,9
Marriage,Tonkhil,2021,18
Marriage,Tonkhil,2020,8
Marriage,Tonkhil,2019,14
Marriage,Tonkhil,2018,14
Marriage,Tonkhil,2017,18
Marriage,Tonkhil,2016,11
Marriage,Tonkhil,2015,12
Marriage,Tonkhil,2014,15
Marriage,Tonkhil,2013,12
Marriage,Tonkhil,2011,5
Marriage,Tonkhil,2010,10
Marriage,Tonkhil,2009,34
Marriage,Tonkhil,2008,45
Marriage,Tonkhil,2007,56
Marriage,Tonkhil,2006,22
Marriage,Tugrug,2025,4
Marriage,Tugrug,2024,6
Marriage,Tugrug,2023,7
Marriage,Tugrug,2022,3
Marriage,Tugrug,2021,16
Marriage,Tugrug,2020,15
Marriage,Tugrug,2019,15
Marriage,Tugrug,2018,10
Marriage,Tugrug,2017,15
Marriage,Tugrug,2016,8
Marriage,Tugrug,2015,13
Marriage,Tugrug,2014,9
Marriage,Tugrug,2013,13
Marriage,Tugrug,2011,5
Marriage,Tugrug,2010,6
Marriage,Tugrug,2009,24
Marriage,Tugrug,2008,24
Marriage,Tugrug,2007,21
Marriage,Tugrug,2006,26
Marriage,Khaliun,2025,1
Marriage,Khaliun,2024,3
Marriage,Khaliun,2023,19
Marriage,Khaliun,2022,10
Marriage,Khaliun,2021,13
Marriage,Khaliun,2020,33
Marriage,Khaliun,2019,16
Marriage,Khaliun,2018,11
Marriage,Khaliun,2017,11
Marriage,Khaliun,2016,12
Marriage,Khaliun,2015,13
Marriage,Khaliun,2014,14
Marriage,Khaliun,2013,7
Marriage,Khaliun,2011,7
Marriage,Khaliun,2010,5
Marriage,Khaliun,2009,26
Marriage,Khaliun,2008,25
Marriage,Khaliun,2007,41
Marriage,Khaliun,2006,45
Marriage,Khukhmorit,2025,3
Marriage,Khukhmorit,2024,11
Marriage,Khukhmorit,2023,18
Marriage,Khukhmorit,2022,10
Marriage,Khukhmorit,2021,9
Marriage,Khukhmorit,2020,7
Marriage,Khukhmorit,2019,12
Marriage,Khukhmorit,2018,3
Marriage,Khukhmorit,2017,11
Marriage,Khukhmorit,2016,19
Marriage,Khukhmorit,2015,17
Marriage,Khukhmorit,2014,10
Marriage,Khukhmorit,2013,8
Marriage,Khukhmorit,2011,4
Marriage,Khukhmorit,2010,18
Marriage,Khukhmorit,2009,19
Marriage,Khukhmorit,2008,24
Marriage,Khukhmorit,2007,36
Marriage,Khukhmorit,2006,45
Marriage,Tsogt,2025,8
Marriage,Tsogt,2024,9
Marriage,Tsogt,2023,22
Marriage,Tsogt,2022,9
Marriage,Tsogt,2021,20
Marriage,Tsogt,2020,20
Marriage,Tsogt,2019,25
Marriage,Tsogt,2018,15
Marriage,Tsogt,2017,19
Marriage,Tsogt,2016,16
Marriage,Tsogt,2015,20
Marriage,Tsogt,2014,22
Marriage,Tsogt,2013,29
Marriage,Tsogt,2011,15
Marriage,Tsogt,2010,8
Marriage,Tsogt,2009,28
Marriage,Tsogt,2008,35
Marriage,Tsogt,2007,81
Marriage,Tsogt,2006,109
Marriage,Tseel,2025,3
Marriage,Tseel,2024,7
Marriage,Tseel,2023,11
Marriage,Tseel,2022,2
Marriage,Tseel,2021,10
Marriage,Tseel,2020,0
Marriage,Tseel,2019,3
Marriage,Tseel,2018,15
Marriage,Tseel,2017,7
Marriage,Tseel,2016,8
Marriage,Tseel,2015,9
Marriage,Tseel,2014,8
Marriage,Tseel,2013,10
Marriage,Tseel,2011,9
Marriage,Tseel,2010,15
Marriage,Tseel,2009,13
Marriage,Tseel,2008,26
Marriage,Tseel,2007,31
Marriage,Tseel,2006,35
Marriage,Chandmani,2025,4
Marriage,Chandmani,2024,12
Marriage,Chandmani,2023,10
Marriage,Chandmani,2022,4
Marriage,Chandmani,2021,20
Marriage,Chandmani,2020,15
Marriage,Chandmani,2019,17
Marriage,Chandmani,2018,16
Marriage,Chandmani,2017,13
Marriage,Chandmani,2016,8
Marriage,Chandmani,2015,21
Marriage,Chandmani,2014,11
Marriage,Chandmani,2013,12
Marriage,Chandmani,2011,8
Marriage,Chandmani,2010,9
Marriage,Chandmani,2009,33
Marriage,Chandmani,2008,20
Marriage,Chandmani,2007,41
Marriage,Chandmani,2006,16
Marriage,Sharga,2025,10
Marriage,Sharga,2024,8
Marriage,Sharga,2023,2
Marriage,Sharga,2022,3
Marriage,Sharga,2021,5
Marriage,Sharga,2020,9
Marriage,Sharga,2019,5
Marriage,Sharga,2018,12
Marriage,Sharga,2017,8
Marriage,Sharga,2016,14
Marriage,Sharga,2015,9
Marriage,Sharga,2014,10
Marriage,Sharga,2013,11
Marriage,Sharga,2011,10
Marriage,Sharga,2010,6
Marriage,Sharga,2009,12
Marriage,Sharga,2008,11
Marriage,Sharga,2007,56
Marriage,Sharga,2006,29
Marriage,Erdene,2025,7
Marriage,Erdene,2024,13
Marriage,Erdene,2023,12
Marriage,Erdene,2022,11
Marriage,Erdene,2021,10
Marriage,Erdene,2020,12
Marriage,Erdene,2019,20
Marriage,Erdene,2018,8
Marriage,Erdene,2017,13
Marriage,Erdene,2016,2
Marriage,Erdene,2015,3
Marriage,Erdene,2014,10
Marriage,Erdene,2013,7
Marriage,Erdene,2011,7
Marriage,Erdene,2010,26
Marriage,Erdene,2009,17
Marriage,Erdene,2008,18
Marriage,Erdene,2007,35
Marriage,Erdene,2006,37
Marriage,Zavkhan,2025,186
Marriage,Zavkhan,2024,230
Marriage,Zavkhan,2023,259
Marriage,Zavkhan,2022,252
Marriage,Zavkhan,2021,438
Marriage,Zavkhan,2020,315
Marriage,Zavkhan,2019,362
Marriage,Zavkhan,2018,396
Marriage,Zavkhan,2017,412
Marriage,Zavkhan,2016,341
Marriage,Zavkhan,2015,415
Marriage,Zavkhan,2014,356
Marriage,Zavkhan,2013,424
Marriage,Zavkhan,2011,247
Marriage,Zavkhan,2010,213
Marriage,Zavkhan,2009,745
Marriage,Zavkhan,2008,713
Marriage,Zavkhan,2007,1301
Marriage,Zavkhan,2006,1465
Marriage,Uliastai,2025,60
Marriage,Uliastai,2024,65
Marriage,Uliastai,2023,83
Marriage,Uliastai,2022,85
Marriage,Uliastai,2021,131
Marriage,Uliastai,2020,77
Marriage,Uliastai,2019,122
Marriage,Uliastai,2018,109
Marriage,Uliastai,2017,82
Marriage,Uliastai,2016,76
Marriage,Uliastai,2015,103
Marriage,Uliastai,2014,75
Marriage,Uliastai,2013,87
Marriage,Uliastai,2011,56
Marriage,Uliastai,2010,51
Marriage,Uliastai,2009,214
Marriage,Uliastai,2008,171
Marriage,Uliastai,2007,256
Marriage,Uliastai,2006,488
Marriage,Aldarkhaan,2025,1
Marriage,Aldarkhaan,2024,4
Marriage,Aldarkhaan,2023,4
Marriage,Aldarkhaan,2022,2
Marriage,Aldarkhaan,2021,3
Marriage,Aldarkhaan,2020,7
Marriage,Aldarkhaan,2019,4
Marriage,Aldarkhaan,2018,12
Marriage,Aldarkhaan,2017,11
Marriage,Aldarkhaan,2016,4
Marriage,Aldarkhaan,2015,11
Marriage,Aldarkhaan,2014,6
Marriage,Aldarkhaan,2013,14
Marriage,Aldarkhaan,2011,12
Marriage,Aldarkhaan,2010,8
Marriage,Aldarkhaan,2009,32
Marriage,Aldarkhaan,2008,28
Marriage,Aldarkhaan,2007,97
Marriage,Aldarkhaan,2006,64
Marriage,Asgat,2025,4
Marriage,Asgat,2024,3
Marriage,Asgat,2023,1
Marriage,Asgat,2022,3
Marriage,Asgat,2021,3
Marriage,Asgat,2020,2
Marriage,Asgat,2019,3
Marriage,Asgat,2018,7
Marriage,Asgat,2017,5
Marriage,Asgat,2016,7
Marriage,Asgat,2015,8
Marriage,Asgat,2014,6
Marriage,Asgat,2013,18
Marriage,Asgat,2011,6
Marriage,Asgat,2010,2
Marriage,Asgat,2009,9
Marriage,Asgat,2008,8
Marriage,Asgat,2007,18
Marriage,Asgat,2006,23
Marriage,Bayantes,2025,9
Marriage,Bayantes,2024,7
Marriage,Bayantes,2023,15
Marriage,Bayantes,2022,10
Marriage,Bayantes,2021,18
Marriage,Bayantes,2020,19
Marriage,Bayantes,2019,19
Marriage,Bayantes,2018,12
Marriage,Bayantes,2017,21
Marriage,Bayantes,2016,15
Marriage,Bayantes,2015,14
Marriage,Bayantes,2014,19
Marriage,Bayantes,2013,10
Marriage,Bayantes,2011,15
Marriage,Bayantes,2010,9
Marriage,Bayantes,2009,25
Marriage,Bayantes,2008,29
Marriage,Bayantes,2007,69
Marriage,Bayantes,2006,83
Marriage,Bayankhairkhan,2025,4
Marriage,Bayankhairkhan,2024,3
Marriage,Bayankhairkhan,2023,7
Marriage,Bayankhairkhan,2022,6
Marriage,Bayankhairkhan,2021,10
Marriage,Bayankhairkhan,2020,4
Marriage,Bayankhairkhan,2019,3
Marriage,Bayankhairkhan,2018,6
Marriage,Bayankhairkhan,2017,16
Marriage,Bayankhairkhan,2016,14
Marriage,Bayankhairkhan,2015,11
Marriage,Bayankhairkhan,2014,15
Marriage,Bayankhairkhan,2013,12
Marriage,Bayankhairkhan,2011,13
Marriage,Bayankhairkhan,2010,3
Marriage,Bayankhairkhan,2009,14
Marriage,Bayankhairkhan,2008,15
Marriage,Bayankhairkhan,2007,31
Marriage,Bayankhairkhan,2006,33
Marriage,Durvuljin,2025,2
Marriage,Durvuljin,2024,2
Marriage,Durvuljin,2023,2
Marriage,Durvuljin,2022,4
Marriage,Durvuljin,2021,11
Marriage,Durvuljin,2020,7
Marriage,Durvuljin,2019,9
Marriage,Durvuljin,2018,10
Marriage,Durvuljin,2017,13
Marriage,Durvuljin,2016,16
Marriage,Durvuljin,2015,21
Marriage,Durvuljin,2014,14
Marriage,Durvuljin,2013,9
Marriage,Durvuljin,2011,3
Marriage,Durvuljin,2010,5
Marriage,Durvuljin,2009,27
Marriage,Durvuljin,2008,22
Marriage,Durvuljin,2007,155
Marriage,Durvuljin,2006,12
Marriage,Zavkhanmandal,2025,1
Marriage,Zavkhanmandal,2024,2
Marriage,Zavkhanmandal,2023,4
Marriage,Zavkhanmandal,2022,4
Marriage,Zavkhanmandal,2021,8
Marriage,Zavkhanmandal,2020,4
Marriage,Zavkhanmandal,2019,6
Marriage,Zavkhanmandal,2018,8
Marriage,Zavkhanmandal,2017,5
Marriage,Zavkhanmandal,2016,5
Marriage,Zavkhanmandal,2015,4
Marriage,Zavkhanmandal,2014,1
Marriage,Zavkhanmandal,2013,2
Marriage,Zavkhanmandal,2011,2
Marriage,Zavkhanmandal,2010,4
Marriage,Zavkhanmandal,2009,11
Marriage,Zavkhanmandal,2008,8
Marriage,Zavkhanmandal,2007,24
Marriage,Zavkhanmandal,2006,13
Marriage,Ider,2025,5
Marriage,Ider,2024,14
Marriage,Ider,2023,5
Marriage,Ider,2022,10
Marriage,Ider,2021,17
Marriage,Ider,2020,10
Marriage,Ider,2019,15
Marriage,Ider,2018,16
Marriage,Ider,2017,15
Marriage,Ider,2016,7
Marriage,Ider,2015,11
Marriage,Ider,2014,9
Marriage,Ider,2013,15
Marriage,Ider,2011,10
Marriage,Ider,2010,4
Marriage,Ider,2009,29
Marriage,Ider,2008,28
Marriage,Ider,2007,20
Marriage,Ider,2006,23
Marriage,Ikh-Uul,2025,25
Marriage,Ikh-Uul,2024,25
Marriage,Ikh-Uul,2023,33
Marriage,Ikh-Uul,2022,21
Marriage,Ikh-Uul,2021,32
Marriage,Ikh-Uul,2020,33
Marriage,Ikh-Uul,2019,28
Marriage,Ikh-Uul,2018,26
Marriage,Ikh-Uul,2017,31
Marriage,Ikh-Uul,2016,36
Marriage,Ikh-Uul,2015,50
Marriage,Ikh-Uul,2014,42
Marriage,Ikh-Uul,2013,54
Marriage,Ikh-Uul,2011,29
Marriage,Ikh-Uul,2010,23
Marriage,Ikh-Uul,2009,47
Marriage,Ikh-Uul,2008,63
Marriage,Ikh-Uul,2007,45
Marriage,Ikh-Uul,2006,137
