unit_code,unit_name,Cultural_heritage_building,built_building,d902_as,data_auto_service,data_auto_shts,data_clinic_gov,data_clinic_pharmacy,data_cul_entertainment,data_cul_statue,data_edu_kindergarten,data_edu_private_kinder,data_edu_school,data_edu_university,data_gam_nuulgeh,data_gam_turtsuglarah_2023_58,data_gam_turtsuglarah_old_192sh,data_gov_org,data_pub_atm,data_pub_bank,data_pub_camp_resorts,data_pub_hotel,data_pub_restaurant,data_pub_shopping,data_pub_supermarket,data_pub_toilet,data_pz_cemetry,data_solidwaste,data_sport_complex,data_sport_halls,data_sport_org,data_street_name,data_trans_bus_route,data_trans_bus_station,ddp_boundary,ddp_build_bound,ddp_daguul_haya_hot,ddp_dahin_tolovlolt_block,ddp_heating_line,ddp_het_buschlel,ddp_hunam_nygtral_bairshil,ddp_road,ddt_aoz_tuluvlult_2030,ddt_plan_units_2030,ddt_road_2030,map_office_khoroo,map_road,plan_building,plan_dedbutets,plan_landscaping,plan_road,plannig_road,planning_area,planning_landscaping,pz_air_strip,pz_bulag_200m,pz_city_line,pz_city_substation,pz_comm_atc,pz_land_using,pz_nuur_200m,pz_solid_waste,pz_yer_drainage,special_economic_zone_border,special_economic_zone_road,special_economic_zoning,sub_center_border,technological_park_planning_road,technological_park_zoning,technological_planning_border,town_2023,zoning,built_area_m2
13372,13-р хороолол 2-3,0,230,0,0,1,0,5,0,0,1,6,3,0,0,1,1,0,3,1,0,0,0,1,11,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,2,1,8,30,0,10,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,50073
13332,14-р хороолол-3,0,685,0,0,1,0,2,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,8,0,1,0,31,31,5,3,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53752
13331,14-р хороолол-2,0,930,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,7,0,0,0,0,0,0,0,1,0,0,0,0,2,1,10,0,0,7,0,2,1,6,44,3,5,4,0,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,72736
13334,14-р хороолол-5,0,1344,0,0,1,0,7,0,0,0,4,0,0,0,0,0,0,3,3,0,0,0,0,14,0,0,0,0,0,0,0,2,2,1,0,0,2,1,7,0,1,7,1,1,0,43,90,2,11,12,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,121950
13333,14-р хороолол-4,0,506,0,0,0,0,3,2,0,0,2,0,0,0,0,0,0,0,2,0,1,0,1,9,0,0,0,0,0,0,0,0,1,0,0,0,2,1,4,0,1,2,0,2,0,9,46,5,2,7,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59346
13335,14-р хороолол-6,1,318,0,0,2,1,10,1,1,0,10,1,0,0,1,1,1,3,0,0,3,3,1,16,0,0,0,4,1,0,0,0,2,0,0,0,2,0,8,1,0,7,0,1,1,22,42,0,6,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,82147
13371,13-р хороолол 2-2,0,168,0,0,1,0,5,0,0,0,2,4,1,0,0,0,0,1,2,0,1,0,1,4,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,6,0,1,0,4,9,1,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50126
13370,13-р хороолол 2-1,1,408,0,0,1,1,18,2,2,3,7,6,0,0,6,3,2,5,4,0,5,0,1,14,0,0,0,3,3,0,3,2,3,1,0,0,0,0,0,1,1,9,0,6,2,28,56,0,53,10,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,115019
13373,13-р хороолол 2-4,2,355,0,0,0,0,12,3,3,1,10,2,0,0,3,3,0,4,1,0,7,1,2,17,0,0,0,2,2,2,0,1,1,0,0,0,0,0,0,2,0,8,0,8,1,15,33,0,21,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,84573
13302,Улаанхуаран-3,0,275,0,0,3,0,6,0,0,0,2,1,0,0,1,1,0,1,0,0,0,0,1,11,0,0,0,0,1,0,1,0,1,0,0,0,0,1,10,0,1,8,0,9,0,18,52,0,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,62584
