unit_code,unit_name,Cultural_heritage_building,built_building,d902_as,data_auto_service,data_auto_shts,data_clinic_gov,data_clinic_pharmacy,data_cul_entertainment,data_cul_statue,data_edu_kindergarten,data_edu_private_kinder,data_edu_school,data_edu_university,data_gam_nuulgeh,data_gam_turtsuglarah_2023_58,data_gam_turtsuglarah_old_192sh,data_gov_org,data_pub_atm,data_pub_bank,data_pub_camp_resorts,data_pub_hotel,data_pub_restaurant,data_pub_shopping,data_pub_supermarket,data_pub_toilet,data_pz_cemetry,data_solidwaste,data_sport_complex,data_sport_halls,data_sport_org,data_street_name,data_trans_bus_route,data_trans_bus_station,ddp_boundary,ddp_build_bound,ddp_daguul_haya_hot,ddp_dahin_tolovlolt_block,ddp_heating_line,ddp_het_buschlel,ddp_hunam_nygtral_bairshil,ddp_road,ddt_aoz_tuluvlult_2030,ddt_plan_units_2030,ddt_road_2030,map_office_khoroo,map_road,plan_building,plan_dedbutets,plan_landscaping,plan_road,plannig_road,planning_area,planning_landscaping,pz_air_strip,pz_bulag_200m,pz_city_line,pz_city_substation,pz_comm_atc,pz_land_using,pz_nuur_200m,pz_solid_waste,pz_yer_drainage,special_economic_zone_border,special_economic_zone_road,special_economic_zoning,sub_center_border,technological_park_planning_road,technological_park_zoning,technological_planning_border,town_2023,zoning,built_area_m2
1509,9-р хороо,0,2573,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,4,26,0,23,1,8,36,5,7,15,0,30,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,108756
1506,6-р хороо,0,350,0,3,1,0,5,0,3,3,1,2,2,0,0,2,3,1,0,0,4,1,0,3,0,0,0,0,2,0,2,0,3,0,0,0,0,0,0,3,4,8,0,4,1,22,34,3,11,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,86433
1301,1-р хороо,0,262,0,2,3,0,8,1,2,2,9,5,0,0,2,2,2,2,0,0,1,1,4,12,0,0,0,1,1,0,2,1,2,0,0,0,0,0,0,4,0,7,0,8,1,33,31,0,24,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,84275
1306,6-р хороо,2,355,0,0,0,0,12,3,3,1,10,2,0,0,3,3,0,4,1,0,7,1,2,17,0,0,0,2,2,2,0,1,1,0,0,0,0,0,0,2,0,8,0,8,1,15,33,0,20,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,84573
1609,9-р хороо,0,1345,0,0,1,0,2,0,0,1,2,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,42,4,0,0,9,0,3,1,11,46,2,10,4,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85815
1608,8-р хороо,0,296,0,0,0,0,7,0,0,2,3,2,0,0,2,0,0,4,1,0,0,0,1,14,0,0,0,1,1,1,0,0,1,0,0,0,0,0,3,1,0,4,1,3,1,24,23,1,14,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53541
1521,21-р хороо,0,1926,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,6,0,0,0,0,4,18,0,1,40,0,3,0,20,9,0,18,13,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75884
1703,3-р хороо,0,1899,0,1,6,1,9,0,0,2,5,3,2,0,1,2,4,3,2,0,1,0,3,15,0,0,0,0,4,0,5,2,8,2,0,0,0,47,105,2,4,64,1,26,1,134,345,2,63,53,0,119,6,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,8,0,648093
1702,2-р хороо,0,179,0,0,0,0,7,1,2,3,2,1,0,0,2,2,1,3,2,0,1,0,1,26,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,1,4,1,0,1,16,37,2,13,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,59532
1502,2-р хороо,1,269,0,0,0,0,16,1,2,1,0,1,0,0,1,1,0,9,4,0,5,2,2,3,1,0,0,0,0,0,3,1,2,0,0,0,0,0,0,1,0,11,0,17,1,12,28,0,7,1,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63926
1501,1-р хороо,6,345,0,0,0,0,6,1,11,3,2,2,0,0,5,3,28,9,21,0,9,4,2,2,0,0,0,1,2,2,4,2,3,0,0,0,0,0,0,2,0,11,0,9,1,11,24,0,15,6,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90793
1307,7-р хороо,0,240,0,0,1,1,11,0,0,1,3,0,0,0,0,1,0,4,2,0,6,2,1,19,0,0,0,1,0,1,0,0,1,0,0,0,0,0,4,2,0,2,0,0,1,26,19,0,20,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,61462
1611,11-р хороо,0,1989,0,1,4,1,13,0,4,2,2,7,4,0,2,2,2,1,0,0,1,0,0,16,0,0,0,0,0,0,1,1,5,0,0,0,1,0,0,0,0,14,0,20,1,27,72,2,19,8,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,178427
1621,21-р хороо,0,2128,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,62,10,0,0,25,0,0,1,45,18,0,12,19,0,19,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83958
1622,22-р хороо,0,2550,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,1,1,0,1,0,0,1,6,8,0,0,8,2,3,1,15,55,6,6,11,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,96190
1610,10-р хороо,0,2284,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,1,0,0,2,1,0,0,0,1,4,9,0,0,18,0,9,1,11,53,2,9,10,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,101759
1626,26-р хороо,0,268,0,0,0,0,5,0,1,2,7,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,1,0,5,0,4,0,22,43,3,7,7,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,183352
1414,14-р хороо,0,2690,0,0,2,0,12,0,0,2,0,3,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,4,1,0,0,0,1,43,0,9,28,0,15,1,7,103,16,33,10,0,86,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117642
1623,23-р хороо,0,2215,0,2,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,3,0,0,0,0,6,15,0,0,6,0,0,1,5,18,2,11,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73785
1327,27-р хороо,0,2314,0,6,0,0,1,0,0,1,0,1,0,0,2,1,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,1,3,1,0,0,0,48,49,0,11,64,1,5,0,22,11,0,8,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100725
1715,15-р хороо,0,411,0,0,0,0,10,1,7,1,12,2,0,0,3,2,1,3,2,0,1,0,1,4,1,0,0,3,4,35,2,0,6,0,0,0,0,0,0,4,0,28,1,47,1,73,154,5,110,94,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,307680
1321,21-р хороо,0,1818,0,0,0,0,1,0,0,3,0,1,0,0,2,1,0,0,0,0,0,0,0,13,0,1,0,0,1,0,0,1,5,0,0,0,0,3,9,0,3,41,0,0,1,6,25,1,5,3,0,14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,99266
1331,31-р хороо,0,2756,0,2,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,2,4,0,0,0,0,64,34,0,4,36,0,10,0,12,17,0,7,42,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120152
1332,32-р хороо,0,2487,0,0,1,0,5,0,1,2,4,2,0,0,1,1,0,0,0,0,0,0,0,19,0,1,0,0,1,0,2,1,4,0,0,0,0,1,43,0,0,36,0,7,1,37,30,1,22,6,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,123501
1417,17-р хороо,0,3386,0,0,3,0,2,0,1,3,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,1,55,20,0,18,13,0,8,1,8,15,4,20,5,0,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,140315
1318,18-р хороо,0,189,0,0,0,1,10,0,0,2,2,3,0,0,5,1,0,2,0,0,3,0,0,11,0,0,0,2,2,0,3,2,2,1,0,0,0,0,0,0,1,5,0,6,1,18,37,0,24,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,65510
1308,8-р хороо,0,2048,0,0,0,0,5,0,0,2,3,6,1,0,1,1,2,0,1,0,0,0,0,25,0,0,0,0,4,0,0,0,1,0,0,0,0,1,24,0,0,23,0,19,1,35,70,3,18,4,0,24,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,163262
1408,8-р хороо,3,742,0,0,0,0,13,9,20,3,7,10,17,0,4,3,20,17,10,0,7,5,4,3,1,0,0,2,8,16,7,0,6,0,0,0,0,4,0,1,3,29,0,20,1,59,94,1,52,15,0,32,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,225410
1832,32-р хороо,0,2787,1,0,8,0,1,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,3,0,1,0,17,0,0,770,435,2,108,1,39,291,16,54,47,2,155,0,0,1,2,3,0,1,0,0,0,0,0,0,1,0,2,0,0,39,347957
1317,17-р хороо,0,3082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,2,0,0,0,0,1,32,0,0,17,0,14,0,32,7,6,8,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121294
1407,7-р хороо,0,439,0,1,1,1,7,0,0,2,9,6,5,0,4,3,5,3,5,0,2,0,3,1,0,0,0,1,4,1,3,0,4,0,0,0,0,0,0,3,1,16,1,10,1,31,31,1,28,5,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,99225
1330,30-р хороо,0,1451,0,2,2,0,2,0,0,1,4,1,2,0,0,1,1,3,0,0,2,0,1,27,0,0,0,0,1,1,1,1,2,1,0,0,1,8,34,0,3,31,1,27,0,49,47,1,9,8,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,121872
1605,5-р хороо,0,307,0,0,1,1,25,0,1,2,4,1,0,0,1,1,0,6,5,0,10,2,1,12,0,0,0,2,2,0,0,0,3,1,0,0,0,10,6,1,1,6,0,4,1,15,20,4,8,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,69928
1711,11-р хороо,0,824,4,0,0,0,3,4,4,0,9,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,5,0,0,0,0,0,0,0,0,25,0,4,0,46,513,4,24,21,0,88,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26,0,320001
1713,13-р хороо,0,199,0,0,1,1,1,0,2,2,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,5,3,0,1,0,66,1,0,164,0,0,0,1,15,58,5,25,13,0,49,8,0,0,1,1,0,0,0,0,0,0,0,0,0,1,75,3,0,0,96512
1714,14-р хороо,0,602,17,0,0,0,3,0,0,2,0,2,0,1,5,5,0,0,0,3,0,0,0,0,0,1,0,0,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,1,91,1722,1,43,25,0,126,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103545
1701,1-р хороо,0,191,0,0,1,0,8,0,3,3,3,2,0,0,3,2,0,1,3,0,2,2,2,13,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,6,0,5,1,35,24,1,15,6,0,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,66042
1719,19-р хороо,1,676,0,0,0,0,11,2,1,1,14,3,1,0,3,3,1,6,6,0,0,0,2,8,0,0,0,2,2,0,2,0,2,1,0,0,0,26,10,1,0,18,0,31,1,33,92,3,10,57,0,30,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,350904
1710,10-р хороо,0,2803,0,0,0,0,4,0,0,4,1,1,0,0,2,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,4,1,0,0,0,3,2,0,47,54,0,36,1,17,104,16,27,16,0,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138212
1709,9-р хороо,0,3431,0,0,0,0,2,0,0,2,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,7,0,6,30,0,23,1,13,17,0,17,9,7,18,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,135622
