year,region_code,region_en,region_mn,animal_code,animal_en,animal_mn,losses_thousand,starting_herd_thousand,loss_rate_percent,loss_status,herd_status
2010,345,Darkhan-Uul,Дархан-Уул,3,Camel,Тэмээ,,0.4,,..,
2010,345,Darkhan-Uul,Дархан-Уул,4,Sheep,Хонь,19.1,176.5,10.82153,,
2010,345,Darkhan-Uul,Дархан-Уул,5,Goat,Ямаа,22.4,136,16.470588,,
2010,346,Umnugovi,Өмнөговь,0,Total,Бүгд,618.8,1755.2,35.255242,,
2010,346,Umnugovi,Өмнөговь,1,Horse,Адуу,13,53.7,24.208566,,
2010,346,Umnugovi,Өмнөговь,2,Cattle,Үхэр,5.3,13.1,40.458015,,
2010,346,Umnugovi,Өмнөговь,3,Camel,Тэмээ,7,85.7,8.168028,,
2010,346,Umnugovi,Өмнөговь,4,Sheep,Хонь,135.9,375.7,36.172478,,
2010,346,Umnugovi,Өмнөговь,5,Goat,Ямаа,457.6,1227.1,37.291174,,
2010,348,Dundgovi,Дундговь,0,Total,Бүгд,878.2,2147.1,40.901681,,
2010,348,Dundgovi,Дундговь,1,Horse,Адуу,21.2,82,25.853659,,
2010,348,Dundgovi,Дундговь,2,Cattle,Үхэр,13,33.8,38.461538,,
2010,348,Dundgovi,Дундговь,3,Camel,Тэмээ,1.2,20.7,5.797101,,
2010,348,Dundgovi,Дундговь,4,Sheep,Хонь,377.6,973.8,38.775929,,
2010,348,Dundgovi,Дундговь,5,Goat,Ямаа,465.3,1036.9,44.874144,,
2010,421,Dornod,Дорнод,0,Total,Бүгд,314.7,1450.7,21.692976,,
2010,421,Dornod,Дорнод,1,Horse,Адуу,9.1,140.1,6.49536,,
2010,421,Dornod,Дорнод,2,Cattle,Үхэр,28.7,126.8,22.634069,,
2010,421,Dornod,Дорнод,3,Camel,Тэмээ,0.2,6.4,3.125,,
2010,421,Dornod,Дорнод,4,Sheep,Хонь,150.1,704.1,21.317995,,
2010,421,Dornod,Дорнод,5,Goat,Ямаа,126.8,473.4,26.78496,,
2010,422,Sukhbaatar,Сүхбаатар,0,Total,Бүгд,60.9,1789.7,3.402805,,
2010,422,Sukhbaatar,Сүхбаатар,1,Horse,Адуу,1.8,131.5,1.368821,,
2010,422,Sukhbaatar,Сүхбаатар,2,Cattle,Үхэр,6.7,110.1,6.085377,,
2010,422,Sukhbaatar,Сүхбаатар,3,Camel,Тэмээ,0.1,10.1,0.990099,,
2010,422,Sukhbaatar,Сүхбаатар,4,Sheep,Хонь,27,853.7,3.162704,,
2010,422,Sukhbaatar,Сүхбаатар,5,Goat,Ямаа,25.3,684.3,3.697209,,
2010,423,Khentii,Хэнтий,0,Total,Бүгд,250.7,2251.1,11.136778,,
2010,423,Khentii,Хэнтий,1,Horse,Адуу,8.7,136.3,6.382979,,
2010,423,Khentii,Хэнтий,2,Cattle,Үхэр,23.5,162.6,14.452645,,
2010,423,Khentii,Хэнтий,3,Camel,Тэмээ,0.1,3.7,2.702703,,
2010,423,Khentii,Хэнтий,4,Sheep,Хонь,115.5,1085.7,10.638298,,
2010,423,Khentii,Хэнтий,5,Goat,Ямаа,102.8,862.9,11.913316,,
2010,511,Ulaanbaatar,Улаанбаатар,0,Total,Бүгд,73.9,400.8,18.438124,,
2010,511,Ulaanbaatar,Улаанбаатар,1,Horse,Адуу,2.2,22,10.0,,
2010,511,Ulaanbaatar,Улаанбаатар,2,Cattle,Үхэр,5,59.5,8.403361,,
2010,511,Ulaanbaatar,Улаанбаатар,3,Camel,Тэмээ,,0.2,,..,
2010,511,Ulaanbaatar,Улаанбаатар,4,Sheep,Хонь,32.9,167.9,19.594997,,
2010,511,Ulaanbaatar,Улаанбаатар,5,Goat,Ямаа,33.9,151.2,22.420635,,
2011,0,Total,Улсын дүн,0,Total,Бүгд,651.3,32729.5,1.989948,,
2011,0,Total,Улсын дүн,1,Horse,Адуу,27.6,1920.3,1.437275,,
2011,0,Total,Улсын дүн,2,Cattle,Үхэр,52.9,2176,2.431066,,
2011,0,Total,Улсын дүн,3,Camel,Тэмээ,2.4,269.6,0.890208,,
2011,0,Total,Улсын дүн,4,Sheep,Хонь,284,14480.4,1.961272,,
2011,0,Total,Улсын дүн,5,Goat,Ямаа,284.4,13883.2,2.048519,,
2011,181,Zavkhan,Завхан,0,Total,Бүгд,32.8,1717.7,1.90953,,
2011,181,Zavkhan,Завхан,1,Horse,Адуу,1.6,93.4,1.713062,,
2011,181,Zavkhan,Завхан,2,Cattle,Үхэр,3.1,73.7,4.206242,,
2011,181,Zavkhan,Завхан,3,Camel,Тэмээ,,5.8,,..,
2011,181,Zavkhan,Завхан,4,Sheep,Хонь,15.4,859.1,1.792574,,
2011,181,Zavkhan,Завхан,5,Goat,Ямаа,12.7,685.7,1.852122,,
2011,182,Govi-Altai,Говь-Алтай,0,Total,Бүгд,53.8,1315.5,4.0897,,
2011,182,Govi-Altai,Говь-Алтай,1,Horse,Адуу,0.8,38.8,2.061856,,
2011,182,Govi-Altai,Говь-Алтай,2,Cattle,Үхэр,0.8,18.4,4.347826,,
2011,182,Govi-Altai,Говь-Алтай,3,Camel,Тэмээ,0.4,24.3,1.646091,,
2011,182,Govi-Altai,Говь-Алтай,4,Sheep,Хонь,14.3,396.3,3.608377,,
2011,182,Govi-Altai,Говь-Алтай,5,Goat,Ямаа,37.4,837.8,4.464073,,
2011,183,Bayan-Ulgii,Баян-Өлгий,0,Total,Бүгд,14,1126.9,1.242346,,
2011,183,Bayan-Ulgii,Баян-Өлгий,1,Horse,Адуу,1,43.5,2.298851,,
2011,183,Bayan-Ulgii,Баян-Өлгий,2,Cattle,Үхэр,1.4,66.1,2.118003,,
