region,year,kindergartens
Khovd,2024,37
Khovd,2025,38
Khuvsgul,2000,30
Khuvsgul,2001,30
Khuvsgul,2002,24
Khuvsgul,2003,31
Khuvsgul,2004,31
Khuvsgul,2005,32
Khuvsgul,2006,32
Khuvsgul,2007,33
Khuvsgul,2008,33
Khuvsgul,2009,37
Khuvsgul,2010,37
Khuvsgul,2011,37
Khuvsgul,2012,37
Khuvsgul,2013,38
Khuvsgul,2014,37
Khuvsgul,2015,40
Khuvsgul,2016,43
Khuvsgul,2017,44
Khuvsgul,2018,45
Khuvsgul,2019,45
Khuvsgul,2020,50
Khuvsgul,2021,50
Khuvsgul,2022,47
Khuvsgul,2023,47
Khuvsgul,2024,46
Khuvsgul,2025,46
Orkhon,2000,18
Orkhon,2001,18
Orkhon,2002,17
Orkhon,2003,18
Orkhon,2004,18
Orkhon,2005,18
Orkhon,2006,20
Orkhon,2007,20
Orkhon,2008,21
Orkhon,2009,21
Orkhon,2010,23
Orkhon,2011,23
Orkhon,2012,28
Orkhon,2013,33
Orkhon,2014,37
Orkhon,2015,37
Orkhon,2016,35
Orkhon,2017,35
Orkhon,2018,37
Orkhon,2019,37
Orkhon,2020,38
Orkhon,2021,39
Orkhon,2022,39
Orkhon,2023,37
Orkhon,2024,38
Orkhon,2025,38
Selenge,2000,29
Selenge,2001,29
Selenge,2002,29
Selenge,2003,29
Selenge,2004,29
Selenge,2005,29
Selenge,2006,29
Selenge,2007,30
Selenge,2008,33
Selenge,2009,34
Selenge,2010,33
Selenge,2011,34
Selenge,2012,33
Selenge,2013,34
Selenge,2014,35
Selenge,2015,38
Selenge,2016,38
Selenge,2017,40
Selenge,2018,39
Selenge,2019,39
Selenge,2020,41
Selenge,2021,41
Selenge,2022,40
Selenge,2023,40
Selenge,2024,40
Selenge,2025,40
Tuv,2000,37
Tuv,2001,36
Tuv,2002,36
Tuv,2003,38
Tuv,2004,37
Tuv,2005,37
Tuv,2006,36
Tuv,2007,37
Tuv,2008,38
Tuv,2009,40
Tuv,2010,40
Tuv,2011,41
Tuv,2012,41
Tuv,2013,41
Tuv,2014,46
Tuv,2015,49
Tuv,2016,48
Tuv,2017,49
Tuv,2018,49
Tuv,2019,49
Tuv,2020,47
Tuv,2021,45
Tuv,2022,41
Tuv,2023,41
Tuv,2024,41
Tuv,2025,41
Ulaanbaatar,2000,154
Ulaanbaatar,2001,153
Ulaanbaatar,2002,151
Ulaanbaatar,2003,170
Ulaanbaatar,2004,190
Ulaanbaatar,2005,191
Ulaanbaatar,2006,202
Ulaanbaatar,2007,219
Ulaanbaatar,2008,228
Ulaanbaatar,2009,247
Ulaanbaatar,2010,292
Ulaanbaatar,2011,326
Ulaanbaatar,2012,368
Ulaanbaatar,2013,454
Ulaanbaatar,2014,520
Ulaanbaatar,2015,591
Ulaanbaatar,2016,650
Ulaanbaatar,2017,688
Ulaanbaatar,2018,672
Ulaanbaatar,2019,675
Ulaanbaatar,2020,674
Ulaanbaatar,2021,667
Ulaanbaatar,2022,639
Ulaanbaatar,2023,649
Ulaanbaatar,2024,645
Ulaanbaatar,2025,629
Uvurkhangai,2000,26
Uvurkhangai,2001,27
Uvurkhangai,2002,28
Uvurkhangai,2003,28
Uvurkhangai,2004,28
Uvurkhangai,2005,28
Uvurkhangai,2006,29
Uvurkhangai,2007,30
Uvurkhangai,2008,30
Uvurkhangai,2009,31
Uvurkhangai,2010,31
Uvurkhangai,2011,31
Uvurkhangai,2012,33
Uvurkhangai,2013,33
Uvurkhangai,2014,36
Uvurkhangai,2015,40
Uvurkhangai,2016,40
Uvurkhangai,2017,41
Uvurkhangai,2018,42
Uvurkhangai,2019,42
Uvurkhangai,2020,47
Uvurkhangai,2021,49
Uvurkhangai,2022,49
Uvurkhangai,2023,49
Uvurkhangai,2024,49
Uvurkhangai,2025,50
Zavkhan,2000,34
Zavkhan,2001,34
Zavkhan,2002,35
Zavkhan,2003,34
Zavkhan,2004,34
Zavkhan,2005,32
Zavkhan,2006,33
Zavkhan,2007,33
Zavkhan,2008,34
Zavkhan,2009,34
Zavkhan,2010,34
Zavkhan,2011,33
Zavkhan,2012,33
Zavkhan,2013,36
Zavkhan,2014,36
Zavkhan,2015,38
Zavkhan,2016,39
Zavkhan,2017,39
Zavkhan,2018,40
Zavkhan,2019,40
Zavkhan,2020,41
Zavkhan,2021,41
Zavkhan,2022,42
Zavkhan,2023,40
Zavkhan,2024,39
Zavkhan,2025,39
