он,бараа_бүтээгдэхүүн,хэмжих_нэгж,утга
2023,Молибдений баяжмал (47%),тонн,0.0
2023,Нүүрс,мян.тонн,74283.7
2023,Төмрийн хүдэр,мян.тонн,5334.8
2023,Цахилгаан эрчим хүч,сая кВт.ц,8487.4
2024,Алт,кг,12594.9
2024,Газрын тос,мян.баррель,4188.3
2024,Зэсийн баяжмал (35%),мян.тонн,0.0
2024,Молибдений баяжмал (47%),тонн,0.0
2024,Нүүрс,мян.тонн,95055.8
2024,Төмрийн хүдэр,мян.тонн,6642.2
2024,Цахилгаан эрчим хүч,сая кВт.ц,8692.8
2025,Алт,кг,13028.2
2025,Газрын тос,мян.баррель,3775.1
2025,Зэсийн баяжмал (35%),мян.тонн,0.0
2025,Молибдений баяжмал (47%),тонн,0.0
2025,Нүүрс,мян.тонн,95540.0
2025,Төмрийн хүдэр,мян.тонн,8751.9
2025,Цахилгаан эрчим хүч,сая кВт.ц,9576.9
