сар,бохирдуулагч,утга_мг_м3
2010-07,Тоосонцор РМ2.5,0.0235
2010-08,Тоосонцор РМ10,0.0908
2010-08,Тоосонцор РМ2.5,
2010-09,Тоосонцор РМ10,0.1258
2010-09,Тоосонцор РМ2.5,0.0375
2010-10,Тоосонцор РМ10,0.1565
2010-10,Тоосонцор РМ2.5,0.0595
2010-11,Тоосонцор РМ10,0.221
2010-11,Тоосонцор РМ2.5,0.144
2010-12,Тоосонцор РМ10,0.3846
2010-12,Тоосонцор РМ2.5,0.4
2011-01,Тоосонцор РМ10,0.436
2011-01,Тоосонцор РМ2.5,0.459
2011-02,Тоосонцор РМ10,0.3517
2011-02,Тоосонцор РМ2.5,0.27
2011-03,Тоосонцор РМ10,0.1755
2011-03,Тоосонцор РМ2.5,0.127
2011-04,Тоосонцор РМ10,0.202
2011-04,Тоосонцор РМ2.5,0.051
2011-05,Тоосонцор РМ10,0.146
2011-05,Тоосонцор РМ2.5,0.042
2011-06,Тоосонцор РМ10,0.1123
2011-06,Тоосонцор РМ2.5,0.0445
2011-07,Тоосонцор РМ10,0.1187
2011-07,Тоосонцор РМ2.5,0.0555
2011-08,Тоосонцор РМ10,0.129
2011-08,Тоосонцор РМ2.5,0.044
2011-09,Тоосонцор РМ10,0.1478
2011-09,Тоосонцор РМ2.5,0.0395
2011-10,Тоосонцор РМ10,0.156
2011-10,Тоосонцор РМ2.5,0.0625
2011-11,Тоосонцор РМ10,0.2838
2011-11,Тоосонцор РМ2.5,0.119
2011-12,Тоосонцор РМ10,0.7945
2011-12,Тоосонцор РМ2.5,0.318
2012-01,Тоосонцор РМ10,0.8362
2012-01,Тоосонцор РМ2.5,0.27
2012-02,Тоосонцор РМ10,0.4318
2012-02,Тоосонцор РМ2.5,0.153
2012-03,Тоосонцор РМ10,0.2094
2012-03,Тоосонцор РМ2.5,0.082
2012-04,Тоосонцор РМ10,0.271
2012-04,Тоосонцор РМ2.5,0.036
2012-05,Тоосонцор РМ10,0.3025
2012-05,Тоосонцор РМ2.5,0.035
2012-06,Тоосонцор РМ10,0.104
2012-06,Тоосонцор РМ2.5,0.035
2012-07,Тоосонцор РМ10,0.1088
2012-07,Тоосонцор РМ2.5,0.035
2012-08,Тоосонцор РМ10,0.134
2012-08,Тоосонцор РМ2.5,0.039
2012-09,Тоосонцор РМ10,0.1347
2012-09,Тоосонцор РМ2.5,0.043
2012-10,Тоосонцор РМ10,0.1595
2012-10,Тоосонцор РМ2.5,0.014
2012-11,Тоосонцор РМ10,0.254
2012-11,Тоосонцор РМ2.5,0.133
2012-12,Тоосонцор РМ10,0.5377
2012-12,Тоосонцор РМ2.5,0.224
2013-01,Тоосонцор РМ10,0.6858
2013-01,Тоосонцор РМ2.5,0.622
2013-02,Тоосонцор РМ10,0.2576
2013-02,Тоосонцор РМ2.5,0.15
2013-03,Тоосонцор РМ10,0.1558
2013-03,Тоосонцор РМ2.5,0.068
2013-04,Тоосонцор РМ10,0.1266
2013-04,Тоосонцор РМ2.5,0.035
2013-05,Тоосонцор РМ10,0.128
2013-05,Тоосонцор РМ2.5,0.035
2013-06,Тоосонцор РМ10,0.0972
2013-06,Тоосонцор РМ2.5,0.0305
2013-07,Тоосонцор РМ10,0.094
2013-07,Тоосонцор РМ2.5,0.0335
2013-08,Тоосонцор РМ10,0.1096
2013-08,Тоосонцор РМ2.5,0.0415
2013-09,Тоосонцор РМ10,0.1266
2013-09,Тоосонцор РМ2.5,0.0315
2013-10,Тоосонцор РМ10,0.1738
2013-10,Тоосонцор РМ2.5,0.05
2013-11,Тоосонцор РМ10,0.2414
2013-11,Тоосонцор РМ2.5,0.1135
2013-12,Тоосонцор РМ10,0.3838
2013-12,Тоосонцор РМ2.5,0.1855
2014-01,Тоосонцор РМ10,0.3838
2014-01,Тоосонцор РМ2.5,0.166
2014-02,Тоосонцор РМ10,0.2586
2014-02,Тоосонцор РМ2.5,0.109
2014-03,Тоосонцор РМ10,0.1732
2014-03,Тоосонцор РМ2.5,0.0555
2014-04,Тоосонцор РМ10,0.1547
2014-04,Тоосонцор РМ2.5,0.033
2014-05,Тоосонцор РМ10,0.1057
2014-05,Тоосонцор РМ2.5,0.0215
2014-06,Тоосонцор РМ10,0.1186
2014-06,Тоосонцор РМ2.5,0.0165
2014-07,Тоосонцор РМ10,0.097
2014-07,Тоосонцор РМ2.5,0.022
2014-08,Тоосонцор РМ10,0.1258
2014-08,Тоосонцор РМ2.5,0.0215
2014-09,Тоосонцор РМ10,0.1446
2014-09,Тоосонцор РМ2.5,0.035
2014-10,Тоосонцор РМ10,0.1708
2014-10,Тоосонцор РМ2.5,0.0535
2014-11,Тоосонцор РМ10,0.2048
2014-11,Тоосонцор РМ2.5,0.0895
2014-12,Тоосонцор РМ10,0.2366
2014-12,Тоосонцор РМ2.5,0.1475
2015-01,Тоосонцор РМ10,0.2277
2015-01,Тоосонцор РМ2.5,0.1852
2015-02,Тоосонцор РМ10,0.208
2015-02,Тоосонцор РМ2.5,0.1203
2015-03,Тоосонцор РМ10,0.1427
2015-03,Тоосонцор РМ2.5,0.08
2015-04,Тоосонцор РМ10,0.136
2015-04,Тоосонцор РМ2.5,0.0487
2015-05,Тоосонцор РМ10,0.1043
2015-05,Тоосонцор РМ2.5,0.0315
2015-06,Тоосонцор РМ10,0.0953
2015-06,Тоосонцор РМ2.5,0.0255
2015-07,Тоосонцор РМ10,0.074
2015-07,Тоосонцор РМ2.5,0.022
2015-08,Тоосонцор РМ10,0.087
2015-08,Тоосонцор РМ2.5,0.0238
2015-09,Тоосонцор РМ10,0.0847
2015-09,Тоосонцор РМ2.5,0.0272
2015-10,Тоосонцор РМ10,0.1393
2015-10,Тоосонцор РМ2.5,0.0583
2015-11,Тоосонцор РМ10,0.1557
2015-11,Тоосонцор РМ2.5,0.1148
2015-12,Тоосонцор РМ10,0.1811
2015-12,Тоосонцор РМ2.5,0.1612
2016-01,Тоосонцор РМ10,0.2246
2016-01,Тоосонцор РМ2.5,0.1964
2016-02,Тоосонцор РМ10,0.176
2016-02,Тоосонцор РМ2.5,0.1395
2016-03,Тоосонцор РМ10,0.1001
2016-03,Тоосонцор РМ2.5,0.0615
2016-04,Тоосонцор РМ10,0.1059
2016-04,Тоосонцор РМ2.5,0.0335
2016-05,Тоосонцор РМ10,0.089
2016-05,Тоосонцор РМ2.5,0.0252
2016-06,Тоосонцор РМ10,0.0725
2016-06,Тоосонцор РМ2.5,0.0237
2016-07,Тоосонцор РМ10,0.0915
2016-07,Тоосонцор РМ2.5,0.035
2016-08,Тоосонцор РМ10,0.0639
2016-08,Тоосонцор РМ2.5,0.0143
2016-09,Тоосонцор РМ10,0.0901
2016-09,Тоосонцор РМ2.5,0.0325
2016-10,Тоосонцор РМ10,0.1195
2016-10,Тоосонцор РМ2.5,0.0572
2016-11,Тоосонцор РМ10,0.1884
2016-11,Тоосонцор РМ2.5,0.1512
2016-12,Тоосонцор РМ10,0.224
2016-12,Тоосонцор РМ2.5,0.2037
2017-01,Тоосонцор РМ10,0.2208
2017-01,Тоосонцор РМ2.5,0.198
2017-02,Тоосонцор РМ10,0.1566
2017-02,Тоосонцор РМ2.5,0.1337
2017-03,Тоосонцор РМ10,0.0969
2017-03,Тоосонцор РМ2.5,0.0505
2017-04,Тоосонцор РМ10,0.1289
2017-04,Тоосонцор РМ2.5,0.0435
2017-05,Тоосонцор РМ10,0.1069
2017-05,Тоосонцор РМ2.5,0.0243
2017-06,Тоосонцор РМ10,0.0995
2017-06,Тоосонцор РМ2.5,0.0223
2017-07,Тоосонцор РМ10,0.0771
2017-07,Тоосонцор РМ2.5,0.1037
2017-08,Тоосонцор РМ10,0.0473
2017-08,Тоосонцор РМ2.5,0.0152
2017-09,Тоосонцор РМ10,0.0743
2017-09,Тоосонцор РМ2.5,0.0237
2017-10,Тоосонцор РМ10,0.1234
2017-10,Тоосонцор РМ2.5,0.0617
2017-11,Тоосонцор РМ10,0.1433
2017-11,Тоосонцор РМ2.5,0.116
2017-12,Тоосонцор РМ10,0.2122
2017-12,Тоосонцор РМ2.5,0.1735
2018-01,Тоосонцор РМ10,0.2172
2018-01,Тоосонцор РМ2.5,0.1939
2018-02,Тоосонцор РМ10,0.1759
2018-02,Тоосонцор РМ2.5,0.1416
2018-03,Тоосонцор РМ10,0.1209
2018-03,Тоосонцор РМ2.5,0.0533
2018-04,Тоосонцор РМ10,0.1032
2018-04,Тоосонцор РМ2.5,0.029
2018-05,Тоосонцор РМ10,0.1204
2018-05,Тоосонцор РМ2.5,0.0201
2018-06,Тоосонцор РМ10,0.0749
2018-06,Тоосонцор РМ2.5,0.0159
2018-07,Тоосонцор РМ10,0.0402
2018-07,Тоосонцор РМ2.5,0.0124
2018-08,Тоосонцор РМ10,0.0509
2018-08,Тоосонцор РМ2.5,0.0153
2018-09,Тоосонцор РМ10,0.0728
2018-09,Тоосонцор РМ2.5,0.0223
2018-10,Тоосонцор РМ10,0.1284
2018-10,Тоосонцор РМ2.5,0.0491
2018-11,Тоосонцор РМ10,0.2001
2018-11,Тоосонцор РМ2.5,0.1054
2018-12,Тоосонцор РМ10,0.2259
2018-12,Тоосонцор РМ2.5,0.1766
2019-01,Тоосонцор РМ10,0.2391
2019-01,Тоосонцор РМ2.5,0.1949
2019-02,Тоосонцор РМ10,0.1764
2019-02,Тоосонцор РМ2.5,0.1124
2019-03,Тоосонцор РМ10,0.1401
2019-03,Тоосонцор РМ2.5,0.0599
2019-04,Тоосонцор РМ10,0.1076
2019-04,Тоосонцор РМ2.5,0.0321
2019-05,Тоосонцор РМ10,0.083
2019-05,Тоосонцор РМ2.5,0.0208
2019-06,Тоосонцор РМ10,0.0636
2019-06,Тоосонцор РМ2.5,0.013
2019-07,Тоосонцор РМ10,0.0494
2019-07,Тоосонцор РМ2.5,0.0177
2019-08,Тоосонцор РМ10,0.06
2019-08,Тоосонцор РМ2.5,0.0144
2019-09,Тоосонцор РМ10,0.1054
2019-09,Тоосонцор РМ2.5,0.0223
2019-10,Тоосонцор РМ10,0.1179
2019-10,Тоосонцор РМ2.5,0.0393
2019-11,Тоосонцор РМ10,0.1208
2019-11,Тоосонцор РМ2.5,0.0608
2019-12,Тоосонцор РМ10,0.1378
2019-12,Тоосонцор РМ2.5,0.1125
2020-01,Тоосонцор РМ10,0.1285
2020-01,Тоосонцор РМ2.5,0.1036
2020-02,Тоосонцор РМ10,0.0972
2020-02,Тоосонцор РМ2.5,0.0682
2020-03,Тоосонцор РМ10,0.0753
2020-03,Тоосонцор РМ2.5,0.0351
2020-04,Тоосонцор РМ10,0.0993
2020-04,Тоосонцор РМ2.5,0.0295
2020-05,Тоосонцор РМ10,0.0717
2020-05,Тоосонцор РМ2.5,0.0178
2020-06,Тоосонцор РМ10,0.0757
2020-06,Тоосонцор РМ2.5,0.0186
2020-07,Тоосонцор РМ10,0.0424
2020-07,Тоосонцор РМ2.5,0.0132
