улс,он,импорт_сая_ам_дол
Азербайжан,2008,34.5
Албани,2008,0.2
Алжир,2008,0.0
Арабын Нэгдсэн Эмират,2008,904.7
Аргентин,2008,7081.6
Армен,2008,32.8
Аруба,2008,27.5
Афганистан,2008,0.1
БНАСAУ,2008,21.9
БНСУ,2008,194818.4
БНХАУ,2008,905953.4
Багамын арал,2008,0.0
Балба,2008,20.5
Бангладеш,2008,370.0
Бахрейн,2008,0.2
Беларусь,2008,8867.2
Бельги,2008,15329.1
Болгар,2008,3845.4
Босни Герцоговин,2008,0.0
Бразил,2008,9890.1
Бүгд Найрамдах Доминикан Улс,2008,17.1
Вануату,2008,0.0
Венесуэл,2008,0.7
Вьетнам,2008,9627.1
Гайти,2008,0.0
Гватемал,2008,748.2
Гондурас,2008,0.3
Грек,2008,210.7
Гренланд,2008,0.0
Гүрж,2008,349.6
Дани,2008,4020.6
Доминик,2008,16.1
Дүн,2008,3244540.9
Европын холбоо,2008,275778.4
Египет,2008,661.3
Зимбабве,2008,0.0
Зүүн Хойд Ази,2008,1339320.4
Зүүн Өмнөд Ази,2008,106205.8
Израиль,2008,3845.5
Индонез,2008,6829.4
Иордан,2008,11.4
Иран,2008,318.2
Ирланд,2008,4753.6
Исланд,2008,3.7
Испани,2008,9542.4
Итали,2008,14837.2
Их Британи,2008,17432.2
Казакстан,2008,25623.3
Камбож,2008,20.4
Канад,2008,10776.0
Катар,2008,16.5
Кени,2008,4.5
Кипр,2008,511.5
Киргизстан,2008,1498.8
Колумби,2008,50.1
Коста Рика,2008,23.0
Куба,2008,403.0
Кувейт,2008,59.8
Лаос,2008,1.5
Латви,2008,596.6
Литва,2008,2611.1
Лихтенштейн Вант улс,2008,0.1
Люксембург,2008,57.3
Мавритани,2008,0.0
Мавритус,2008,1.4
Мадагаскар,2008,0.0
Македони,2008,0.0
Малайз,2008,26104.8
Мали,2008,0.0
Мальта,2008,0.1
Марокко,2008,14.1
Мексик,2008,994.1
Молдав,2008,255.0
Монако,2008,11.5
Мьянмар,2008,0.0
Намиби,2008,0.0
Нидерланд,2008,11543.5
Никарагуа,2008,8.3
Норвеги,2008,1033.5
ОХУ,2008,1242275.2
Оман,2008,47.7
Пакистан,2008,151.7
Перу,2008,1.8
Польш,2008,32621.2
Португаль,2008,150.8
Пуэрто-Рико,2008,2.1
Румын,2008,530.2
Саудын Араб,2008,102.5
Свазиленд,2008,0.0
Сейшелийн аралын Бүгд Найрамдах Улс,2008,188.0
Сенегал,2008,0.0
Серби,2008,0.2
Сингапур,2008,45599.6
Сири,2008,0.2
Словак,2008,1042.6
Словени,2008,2039.3
Съерра Леон,2008,0.0
Тажикстан,2008,3.5
Тайвань,2008,7221.0
Тайланд,2008,16887.3
Тунис,2008,34.8
Турк,2008,12476.7
Уганда,2008,0.0
Узбикистан,2008,89.2
Украйн,2008,49101.5
Унгар,2008,5531.3
Уругвай,2008,0.0
Фижи,2008,0.0
Филиппин,2008,1135.7
Финлянд,2008,6720.8
Франц,2008,33664.7
ХБНГУ,2008,92607.1
Хорват,2008,67.4
Чад,2008,0.0
Чехийн БНУ,2008,13837.8
Чили,2008,816.7
Швед,2008,11594.5
Швейцарь,2008,3025.5
Шинэ Зеланд,2008,1017.2
Шри Ланк,2008,837.9
Эквадор,2008,29.1
Эл Сальвадор,2008,2.5
Энэтхэг,2008,18947.5
Эстон,2008,1214.7
Этиоп,2008,0.0
Ямайка,2008,0.0
Япон,2008,238526.7
Өмнөд Африкийн Бүгд Найрамдах Улс,2008,549.5
АНУ,2009,103743.6
Австрали,2009,34068.2
Австри,2009,9096.0
Азербайжан,2009,0.0
Албани,2009,37.9
Алжир,2009,0.0
Арабын Нэгдсэн Эмират,2009,202.0
Аргентин,2009,1639.7
Армен,2009,18.2
Аруба,2009,7.5
Афганистан,2009,0.7
БНАСAУ,2009,47.1
БНСУ,2009,155102.2
БНХАУ,2009,542351.0
Багамын арал,2009,3.6
Балба,2009,17.8
Бангладеш,2009,2128.8
Бахрейн,2009,0.0
Беларусь,2009,11433.1
Бельги,2009,5433.5
Болгар,2009,2741.1
Босни Герцоговин,2009,0.0
Бразил,2009,3741.7
Бүгд Найрамдах Доминикан Улс,2009,17.5
Вануату,2009,0.0
Венесуэл,2009,0.7
Вьетнам,2009,7714.2
Гайти,2009,0.0
Гватемал,2009,1.1
Гондурас,2009,0.5
Грек,2009,110.1
Гренланд,2009,11.3
Гүрж,2009,351.6
Дани,2009,2199.9
Доминик,2009,25.0
Дүн,2009,2137673.5
Европын холбоо,2009,237459.1
Египет,2009,716.1
Зимбабве,2009,0.0
Зүүн Хойд Ази,2009,794553.8
Зүүн Өмнөд Ази,2009,77292.4
Израиль,2009,2707.4
Индонез,2009,5051.8
Иордан,2009,12.2
Иран,2009,0.5
Ирланд,2009,975.3
Исланд,2009,5.2
Испани,2009,2695.1
Итали,2009,16463.6
Их Британи,2009,12494.4
Казакстан,2009,16775.5
Камбож,2009,10.8
Канад,2009,7492.2
Катар,2009,16.0
Кени,2009,0.0
Кипр,2009,292.7
Киргизстан,2009,1804.1
Колумби,2009,78.8
Коста Рика,2009,186.8
Куба,2009,24.8
Кувейт,2009,53.2
Лаос,2009,0.0
Латви,2009,1767.7
Литва,2009,1155.0
Лихтенштейн Вант улс,2009,0.3
Люксембург,2009,25.2
Мавритани,2009,0.0
Мавритус,2009,2.5
Мадагаскар,2009,0.1
Македони,2009,0.0
Малайз,2009,19341.8
Мали,2009,0.0
Мальта,2009,3.7
Марокко,2009,5.7
Мексик,2009,6303.9
Молдав,2009,40.8
Монако,2009,8.0
Мьянмар,2009,0.0
Намиби,2009,0.0
Нидерланд,2009,7606.0
Никарагуа,2009,1.7
Норвеги,2009,136.5
ОХУ,2009,772815.3
Оман,2009,0.0
Пакистан,2009,167.8
Перу,2009,1.0
Польш,2009,17470.3
Португаль,2009,116.5
Пуэрто-Рико,2009,21.7
Румын,2009,797.0
Саудын Араб,2009,250.3
Свазиленд,2009,0.0
Сейшелийн аралын Бүгд Найрамдах Улс,2009,0.0
Сенегал,2009,1.1
Серби,2009,5.3
Сингапур,2009,27739.7
Сири,2009,0.6
Словак,2009,923.6
Словени,2009,3757.5
Съерра Леон,2009,0.0
Тажикстан,2009,3.6
Тайвань,2009,3768.4
Тайланд,2009,15891.5
Тунис,2009,67.3
Турк,2009,5918.5
Уганда,2009,1.0
Узбикистан,2009,211.8
Украйн,2009,41820.2
Унгар,2009,3126.7
Уругвай,2009,0.2
Фижи,2009,0.0
Филиппин,2009,1542.6
Финлянд,2009,3600.9
Франц,2009,59431.3
ХБНГУ,2009,70289.6
Хорват,2009,143.3
Чад,2009,0.0
Чехийн БНУ,2009,7976.5
Чили,2009,300.7
Швед,2009,19216.5
Швейцарь,2009,3111.8
Шинэ Зеланд,2009,3564.0
Шри Ланк,2009,613.7
Эквадор,2009,26.4
Эл Сальвадор,2009,8.1
Энэтхэг,2009,11540.2
Эстон,2009,44.5
Этиоп,2009,0.0
Ямайка,2009,0.6
Япон,2009,97053.5
Өмнөд Африкийн Бүгд Найрамдах Улс,2009,213.2
АНУ,2010,158915.3
Австрали,2010,87889.9
Австри,2010,3565.2
Азербайжан,2010,281.4
Албани,2010,53.1
Алжир,2010,2.6
Арабын Нэгдсэн Эмират,2010,238.8
Аргентин,2010,4571.8
Армен,2010,29.9
Аруба,2010,1.4
Афганистан,2010,0.0
БНАСAУ,2010,798.5
БНСУ,2010,181781.9
БНХАУ,2010,976214.1
Багамын арал,2010,8.0
Балба,2010,42.6
Бангладеш,2010,620.4
Бахрейн,2010,0.7
Беларусь,2010,15212.2
Бельги,2010,13319.6
Болгар,2010,2931.9
Босни Герцоговин,2010,37.6
Бразил,2010,5567.1
Бүгд Найрамдах Доминикан Улс,2010,7.8
Вануату,2010,0.0
Венесуэл,2010,0.0
Вьетнам,2010,12360.2
Гайти,2010,0.2
Гватемал,2010,6.0
Гондурас,2010,2.4
Грек,2010,298.1
Гренланд,2010,0.7
Гүрж,2010,444.2
Дани,2010,4555.4
Доминик,2010,14.1
Дүн,2010,3200053.3
Европын холбоо,2010,293410.3
Египет,2010,265.6
Зимбабве,2010,0.0
Зүүн Хойд Ази,2010,1355282.5
Зүүн Өмнөд Ази,2010,120730.1
Израиль,2010,2156.4
Индонез,2010,6383.9
Иордан,2010,6.7
Иран,2010,1109.6
Ирланд,2010,910.6
Исланд,2010,12.1
Испани,2010,5963.2
Итали,2010,23091.7
Их Британи,2010,19959.2
Казакстан,2010,8339.4
Камбож,2010,29.9
Канад,2010,22312.8
Катар,2010,9.1
Кени,2010,1.3
Кипр,2010,1186.9
Киргизстан,2010,1904.5
Колумби,2010,170.8
Коста Рика,2010,64.4
Куба,2010,30.4
Кувейт,2010,59.9
Лаос,2010,5.9
Латви,2010,2346.8
Литва,2010,1572.5
Лихтенштейн Вант улс,2010,22.6
Люксембург,2010,74.8
Мавритани,2010,2.2
Мавритус,2010,13.5
Мадагаскар,2010,1.2
Македони,2010,41.4
Малайз,2010,31306.0
Мали,2010,1.7
Мальта,2010,85.2
Марокко,2010,12.8
Мексик,2010,6164.8
Молдав,2010,229.3
Монако,2010,16.6
Мьянмар,2010,28.8
Намиби,2010,16.9
Нидерланд,2010,12918.5
Никарагуа,2010,2.5
Норвеги,2010,342.3
ОХУ,2010,1046695.2
Оман,2010,0.0
Пакистан,2010,256.0
Перу,2010,28.1
Польш,2010,29367.4
Португаль,2010,267.6
Пуэрто-Рико,2010,0.5
Румын,2010,1710.8
Саудын Араб,2010,148.6
Свазиленд,2010,0.0
Сейшелийн аралын Бүгд Найрамдах Улс,2010,67.7
Сенегал,2010,10.1
Серби,2010,370.6
Сингапур,2010,51040.2
Сири,2010,11.4
Словак,2010,1524.6
Словени,2010,4090.6
Съерра Леон,2010,1.2
Тажикстан,2010,0.1
Тайвань,2010,5238.1
Тайланд,2010,18351.9
Тунис,2010,217.0
Турк,2010,9645.8
Уганда,2010,0.0
Узбикистан,2010,67.8
Украйн,2010,41627.1
Унгар,2010,4532.5
Уругвай,2010,745.1
Фижи,2010,0.1
Филиппин,2010,1223.3
Финлянд,2010,12961.6
Франц,2010,52774.7
ХБНГУ,2010,87243.8
Хорват,2010,119.9
Чад,2010,0.0
Чехийн БНУ,2010,8128.2
Чили,2010,606.2
Швед,2010,16733.8
Швейцарь,2010,4212.8
Шинэ Зеланд,2010,10649.3
Шри Ланк,2010,1596.4
Эквадор,2010,49.4
Эл Сальвадор,2010,4.2
Энэтхэг,2010,16813.3
Эстон,2010,1134.4
Этиоп,2010,0.3
Ямайка,2010,2.4
Япон,2010,196488.0
Өмнөд Африкийн Бүгд Найрамдах Улс,2010,8849.3
АНУ,2011,536024.59
Австрали,2011,205666.2
Австри,2011,17343.86
Азербайжан,2011,442.11
Албани,2011,102.92
Алжир,2011,2.92
Арабын Нэгдсэн Эмират,2011,5077.66
Аргентин,2011,9619.16
Армен,2011,15.39
Аруба,2011,2.27
Афганистан,2011,0.91
БНАСAУ,2011,780.37
БНСУ,2011,356725.09
БНХАУ,2011,2032877.58
Багамын арал,2011,2.62
Балба,2011,47.49
Бангладеш,2011,1235.72
Бахрейн,2011,10.84
Беларусь,2011,72314.0
Бельги,2011,22718.93
Болгар,2011,4702.06
Босни Герцоговин,2011,137.72
Бразил,2011,11804.69
Бүгд Найрамдах Доминикан Улс,2011,15.51
Вануату,2011,0.0
Венесуэл,2011,9.4
Вьетнам,2011,15223.67
Гайти,2011,0.37
Гватемал,2011,345.31
Гондурас,2011,9.08
Грек,2011,509.85
Гренланд,2011,0.0
Гүрж,2011,652.64
Дани,2011,6054.26
Доминик,2011,3.46
Дүн,2011,6598358.05
Европын холбоо,2011,662491.81
Египет,2011,1476.34
Зимбабве,2011,84.3
Зүүн Хойд Ази,2011,2880608.75
Зүүн Өмнөд Ази,2011,195539.37
Израиль,2011,2050.71
Индонез,2011,11718.64
Иордан,2011,12.6
Иран,2011,507.81
Ирланд,2011,4029.9
Исланд,2011,7.83
Испани,2011,12500.49
Итали,2011,39477.82
Их Британи,2011,47425.94
Казакстан,2011,16940.98
Камбож,2011,72.4
Канад,2011,128286.58
Катар,2011,43.84
Кени,2011,0.0
Кипр,2011,1019.74
Киргизстан,2011,1865.95
Колумби,2011,1895.01
Коста Рика,2011,40.2
Куба,2011,35.55
Кувейт,2011,0.95
Лаос,2011,81.12
Латви,2011,2461.71
Литва,2011,15570.97
Лихтенштейн Вант улс,2011,3.12
Люксембург,2011,349.32
Мавритани,2011,3.21
Мавритус,2011,290.31
Мадагаскар,2011,4.69
Македони,2011,109.37
Малайз,2011,64665.88
Мали,2011,112.21
Мальта,2011,104.07
Марокко,2011,44.86
Мексик,2011,9772.32
Молдав,2011,94.19
Монако,2011,0.15
Мьянмар,2011,17.83
Намиби,2011,0.0
Нидерланд,2011,19301.53
Никарагуа,2011,0.24
Норвеги,2011,449.15
ОХУ,2011,1624705.8
Оман,2011,143.89
Пакистан,2011,895.3
Перу,2011,32.82
Польш,2011,46868.03
Португаль,2011,364.12
Пуэрто-Рико,2011,13.59
Румын,2011,2680.0
Саудын Араб,2011,196.98
Свазиленд,2011,1.01
Сейшелийн аралын Бүгд Найрамдах Улс,2011,75.16
Сенегал,2011,15.65
Серби,2011,522.45
Сингапур,2011,69454.03
Сири,2011,35.21
Словак,2011,2216.46
Словени,2011,6684.66
Съерра Леон,2011,2.8
Тажикстан,2011,8.82
Тайвань,2011,8996.22
Тайланд,2011,32368.22
Тунис,2011,547.78
Турк,2011,36835.5
Уганда,2011,0.0
Узбикистан,2011,456.67
Украйн,2011,153372.13
Унгар,2011,7045.02
Уругвай,2011,0.0
Фижи,2011,0.57
Филиппин,2011,1937.58
Финлянд,2011,18089.61
Франц,2011,100214.6
ХБНГУ,2011,273639.01
Хорват,2011,303.12
Чад,2011,21.57
Чехийн БНУ,2011,9759.99
Чили,2011,8190.12
Швед,2011,48121.53
Швейцарь,2011,13898.88
Шинэ Зеланд,2011,17017.16
Шри Ланк,2011,1056.39
Эквадор,2011,345.59
Эл Сальвадор,2011,11.16
Энэтхэг,2011,45400.98
Эстон,2011,361.14
Этиоп,2011,0.0
Ямайка,2011,1.52
Япон,2011,490225.71
Өмнөд Африкийн Бүгд Найрамдах Улс,2011,12138.07
АНУ,2012,535945.95
Австрали,2012,180504.01
Австри,2012,13256.85
Азербайжан,2012,769.13
Албани,2012,43.56
Алжир,2012,0.0
Арабын Нэгдсэн Эмират,2012,1855.01
Аргентин,2012,3415.49
Армен,2012,46.49
Аруба,2012,0.0
Афганистан,2012,1.56
БНАСAУ,2012,525.64
БНСУ,2012,467751.49
БНХАУ,2012,1873414.92
Багамын арал,2012,0.0
Балба,2012,74.89
Бангладеш,2012,1155.48
Бахрейн,2012,11.25
Беларусь,2012,129365.19
Бельги,2012,19110.41
Болгар,2012,6285.91
Босни Герцоговин,2012,154.89
Бразил,2012,6187.11
Бүгд Найрамдах Доминикан Улс,2012,27.07
Вануату,2012,0.0
Венесуэл,2012,2.27
Вьетнам,2012,16340.5
Гайти,2012,0.0
Гватемал,2012,727.02
Гондурас,2012,17.58
Грек,2012,513.25
Гренланд,2012,0.0
Гүрж,2012,496.65
Дани,2012,5538.95
Доминик,2012,3.13
Дүн,2012,6738380.68
Европын холбоо,2012,653327.62
Египет,2012,1182.42
Зимбабве,2012,87.02
Зүүн Хойд Ази,2012,2843310.22
Зүүн Өмнөд Ази,2012,217387.63
Израиль,2012,3890.13
Индонез,2012,19783.14
Иордан,2012,6.94
Иран,2012,1779.05
Ирланд,2012,6027.73
Исланд,2012,251.55
Испани,2012,23641.11
Итали,2012,53290.53
Их Британи,2012,53539.73
Казакстан,2012,20499.29
Камбож,2012,299.02
Канад,2012,97243.6
Катар,2012,0.0
Кени,2012,1.76
Кипр,2012,1416.98
Киргизстан,2012,1621.08
Колумби,2012,75.54
Коста Рика,2012,72.76
Куба,2012,50.85
Кувейт,2012,113.51
Лаос,2012,50.92
Латви,2012,6029.2
Литва,2012,9436.04
Лихтенштейн Вант улс,2012,6.9
Люксембург,2012,191.95
Мавритани,2012,2.12
Мавритус,2012,35.7
Мадагаскар,2012,6.18
Македони,2012,59.09
Малайз,2012,67755.38
Мали,2012,1.03
Мальта,2012,51.98
Марокко,2012,62.33
Мексик,2012,9726.8
Молдав,2012,209.7
Монако,2012,6.98
Мьянмар,2012,38.26
Намиби,2012,0.09
Нидерланд,2012,28413.52
Никарагуа,2012,12.29
Норвеги,2012,290.86
ОХУ,2012,1847385.7
Оман,2012,32.15
Пакистан,2012,679.05
Перу,2012,71.97
Польш,2012,57121.95
Португаль,2012,641.97
Пуэрто-Рико,2012,24.09
Румын,2012,4070.05
Саудын Араб,2012,256.3
Свазиленд,2012,71.95
Сейшелийн аралын Бүгд Найрамдах Улс,2012,0.0
Сенегал,2012,5.17
Серби,2012,599.33
Сингапур,2012,69239.8
Сири,2012,0.79
Словак,2012,2672.22
Словени,2012,8348.97
Съерра Леон,2012,0.86
