region,month,births
Dornod,2017-07,190
Dornogovi,2017-07,89
Dundgovi,2017-07,64
Govi-Altai,2017-07,97
Govisumber,2017-07,34
Khentii,2017-07,136
Khovd,2017-07,199
Khuvsgul,2017-07,287
Orkhon,2017-07,274
Selenge,2017-07,162
Sukhbaatar,2017-07,104
Tuv,2017-07,105
Ulaanbaatar,2017-07,3401
Umnugovi,2017-07,116
Uvs,2017-07,218
Uvurkhangai,2017-07,230
Zavkhan,2017-07,125
Arkhangai,2017-08,157
Bayan-Ulgii,2017-08,215
Bayankhongor,2017-08,151
Bulgan,2017-08,65
Darkhan-Uul,2017-08,201
Dornod,2017-08,162
Dornogovi,2017-08,103
Dundgovi,2017-08,86
Govi-Altai,2017-08,99
Govisumber,2017-08,36
Khentii,2017-08,106
Khovd,2017-08,178
Khuvsgul,2017-08,246
Orkhon,2017-08,217
Selenge,2017-08,166
Sukhbaatar,2017-08,109
Tuv,2017-08,100
Ulaanbaatar,2017-08,3276
Umnugovi,2017-08,118
Uvs,2017-08,192
Uvurkhangai,2017-08,230
Zavkhan,2017-08,106
Arkhangai,2017-09,169
Bayan-Ulgii,2017-09,226
Bayankhongor,2017-09,170
Bulgan,2017-09,56
Darkhan-Uul,2017-09,187
Dornod,2017-09,161
Dornogovi,2017-09,124
Dundgovi,2017-09,81
Govi-Altai,2017-09,103
Govisumber,2017-09,43
Khentii,2017-09,117
Khovd,2017-09,178
Khuvsgul,2017-09,247
Orkhon,2017-09,235
Selenge,2017-09,164
Sukhbaatar,2017-09,96
Tuv,2017-09,78
Ulaanbaatar,2017-09,3187
Umnugovi,2017-09,113
Uvs,2017-09,136
Uvurkhangai,2017-09,197
Zavkhan,2017-09,108
Arkhangai,2017-10,121
Bayan-Ulgii,2017-10,246
Bayankhongor,2017-10,180
Bulgan,2017-10,73
Darkhan-Uul,2017-10,186
Dornod,2017-10,174
Dornogovi,2017-10,124
Dundgovi,2017-10,67
Govi-Altai,2017-10,128
Govisumber,2017-10,34
Khentii,2017-10,124
Khovd,2017-10,200
Khuvsgul,2017-10,222
Orkhon,2017-10,215
Selenge,2017-10,127
Sukhbaatar,2017-10,120
Tuv,2017-10,111
Ulaanbaatar,2017-10,3393
Umnugovi,2017-10,124
Uvs,2017-10,165
Uvurkhangai,2017-10,207
Zavkhan,2017-10,106
Arkhangai,2017-11,193
Bayan-Ulgii,2017-11,236
Bayankhongor,2017-11,198
Bulgan,2017-11,75
Darkhan-Uul,2017-11,226
Dornod,2017-11,170
Dornogovi,2017-11,126
Dundgovi,2017-11,69
Govi-Altai,2017-11,98
Govisumber,2017-11,40
Khentii,2017-11,128
Khovd,2017-11,197
Khuvsgul,2017-11,218
Orkhon,2017-11,247
Selenge,2017-11,152
Sukhbaatar,2017-11,142
Tuv,2017-11,95
Ulaanbaatar,2017-11,3346
Umnugovi,2017-11,138
Uvs,2017-11,169
Uvurkhangai,2017-11,225
Zavkhan,2017-11,120
Arkhangai,2017-12,128
Bayan-Ulgii,2017-12,230
Bayankhongor,2017-12,190
Bulgan,2017-12,78
Darkhan-Uul,2017-12,200
Dornod,2017-12,160
Dornogovi,2017-12,121
Dundgovi,2017-12,83
Govi-Altai,2017-12,119
Govisumber,2017-12,32
Khentii,2017-12,127
Khovd,2017-12,170
Khuvsgul,2017-12,226
Orkhon,2017-12,213
Selenge,2017-12,144
Sukhbaatar,2017-12,115
Tuv,2017-12,97
Ulaanbaatar,2017-12,3492
Umnugovi,2017-12,130
Uvs,2017-12,156
Uvurkhangai,2017-12,223
Zavkhan,2017-12,99
Arkhangai,2018-01,175
Bayan-Ulgii,2018-01,247
Bayankhongor,2018-01,186
Bulgan,2018-01,64
Darkhan-Uul,2018-01,208
Dornod,2018-01,168
Dornogovi,2018-01,126
Dundgovi,2018-01,85
Govi-Altai,2018-01,84
Govisumber,2018-01,44
Khentii,2018-01,128
Khovd,2018-01,193
Khuvsgul,2018-01,234
Orkhon,2018-01,212
Selenge,2018-01,143
Sukhbaatar,2018-01,95
Tuv,2018-01,112
Ulaanbaatar,2018-01,3161
Umnugovi,2018-01,123
Uvs,2018-01,153
Uvurkhangai,2018-01,194
Zavkhan,2018-01,136
Arkhangai,2018-02,126
Bayan-Ulgii,2018-02,199
Bayankhongor,2018-02,137
Bulgan,2018-02,84
Darkhan-Uul,2018-02,192
Dornod,2018-02,140
Dornogovi,2018-02,102
Dundgovi,2018-02,70
Govi-Altai,2018-02,95
Govisumber,2018-02,38
Khentii,2018-02,105
Khovd,2018-02,186
Khuvsgul,2018-02,231
Orkhon,2018-02,239
Selenge,2018-02,142
Sukhbaatar,2018-02,87
Tuv,2018-02,90
Ulaanbaatar,2018-02,2966
Umnugovi,2018-02,118
Uvs,2018-02,141
Uvurkhangai,2018-02,162
Zavkhan,2018-02,96
Arkhangai,2018-03,157
Bayan-Ulgii,2018-03,254
Bayankhongor,2018-03,164
Bulgan,2018-03,53
Darkhan-Uul,2018-03,204
Dornod,2018-03,172
Dornogovi,2018-03,124
Dundgovi,2018-03,64
Govi-Altai,2018-03,105
Govisumber,2018-03,49
Khentii,2018-03,113
Khovd,2018-03,208
Khuvsgul,2018-03,259
Orkhon,2018-03,243
Selenge,2018-03,142
Sukhbaatar,2018-03,130
Tuv,2018-03,97
Ulaanbaatar,2018-03,3492
Umnugovi,2018-03,124
Uvs,2018-03,162
Uvurkhangai,2018-03,214
Zavkhan,2018-03,124
Arkhangai,2018-04,144
Bayan-Ulgii,2018-04,273
Bayankhongor,2018-04,191
Bulgan,2018-04,67
Darkhan-Uul,2018-04,197
Dornod,2018-04,162
Dornogovi,2018-04,112
Dundgovi,2018-04,87
Govi-Altai,2018-04,120
Govisumber,2018-04,46
Khentii,2018-04,122
Khovd,2018-04,180
Khuvsgul,2018-04,221
Orkhon,2018-04,230
Selenge,2018-04,126
Sukhbaatar,2018-04,136
Tuv,2018-04,109
Ulaanbaatar,2018-04,3531
Umnugovi,2018-04,116
Uvs,2018-04,158
Uvurkhangai,2018-04,180
Zavkhan,2018-04,131
Arkhangai,2018-05,127
Bayan-Ulgii,2018-05,247
Bayankhongor,2018-05,171
Bulgan,2018-05,64
Darkhan-Uul,2018-05,214
Dornod,2018-05,176
Dornogovi,2018-05,101
Dundgovi,2018-05,86
Govi-Altai,2018-05,111
Govisumber,2018-05,30
Khentii,2018-05,129
