region,month,deaths
Khangai region,2025-09,290
Ulaanbaatar,2025-09,775
Western region,2025-09,156
Central region,2025-10,218
Eastern region,2025-10,105
Khangai region,2025-10,272
Ulaanbaatar,2025-10,830
Western region,2025-10,147
Central region,2025-11,208
Eastern region,2025-11,130
Khangai region,2025-11,256
Ulaanbaatar,2025-11,831
Western region,2025-11,125
Central region,2025-12,281
Eastern region,2025-12,105
Khangai region,2025-12,254
Ulaanbaatar,2025-12,819
Western region,2025-12,163
Central region,2026-01,227
Eastern region,2026-01,77
Khangai region,2026-01,239
Ulaanbaatar,2026-01,773
Western region,2026-01,157
Central region,2026-02,223
Eastern region,2026-02,81
Khangai region,2026-02,241
Ulaanbaatar,2026-02,643
Western region,2026-02,130
Central region,2026-03,253
Eastern region,2026-03,94
Khangai region,2026-03,263
Ulaanbaatar,2026-03,949
Western region,2026-03,166
Central region,2026-04,232
Eastern region,2026-04,90
Khangai region,2026-04,238
Ulaanbaatar,2026-04,664
Western region,2026-04,140
Central region,2026-05,238
Eastern region,2026-05,76
Khangai region,2026-05,286
Ulaanbaatar,2026-05,645
Western region,2026-05,183
Central region,2026-06,196
Eastern region,2026-06,84
Khangai region,2026-06,264
Ulaanbaatar,2026-06,718
Western region,2026-06,151
Central region,2026-07,228
Eastern region,2026-07,87
Khangai region,2026-07,308
Ulaanbaatar,2026-07,843
Western region,2026-07,171
