сар,аймаг_үзүүлэлт,утга
2021-01,Өвөрхангай — Нийт зөвшөөрөл (тоо),44.0
2021-01,Өвөрхангай — Хайгуулын зөвшөөрөл (тоо),16.0
2021-01,Өвөрхангай — Хайгуулын талбай (мян.га),93.6
2021-01,Өмнөговь — Ашиглалтын зөвшөөрөл (тоо),99.0
2021-01,Өмнөговь — Ашиглалтын талбай (мян.га),443.4
2021-01,Өмнөговь — Нийт зөвшөөрөгдсөн талбай (мян.га),905.0
2021-01,Өмнөговь — Нийт зөвшөөрөл (тоо),158.0
2021-01,Өмнөговь — Хайгуулын зөвшөөрөл (тоо),59.0
2021-01,Өмнөговь — Хайгуулын талбай (мян.га),461.5
2021-02,Архангай — Ашиглалтын зөвшөөрөл (тоо),18.0
2021-02,Архангай — Ашиглалтын талбай (мян.га),9.3
2021-02,Архангай — Нийт зөвшөөрөгдсөн талбай (мян.га),17.8
2021-02,Архангай — Нийт зөвшөөрөл (тоо),23.0
2021-02,Архангай — Хайгуулын зөвшөөрөл (тоо),5.0
2021-02,Архангай — Хайгуулын талбай (мян.га),8.5
2021-02,Баян-Өлгий — Ашиглалтын зөвшөөрөл (тоо),28.0
2021-02,Баян-Өлгий — Ашиглалтын талбай (мян.га),15.2
2021-02,Баян-Өлгий — Нийт зөвшөөрөгдсөн талбай (мян.га),151.7
2021-02,Баян-Өлгий — Нийт зөвшөөрөл (тоо),55.0
2021-02,Баян-Өлгий — Хайгуулын зөвшөөрөл (тоо),27.0
2021-02,Баян-Өлгий — Хайгуулын талбай (мян.га),136.6
2021-02,Баянхонгор — Ашиглалтын зөвшөөрөл (тоо),86.0
2021-02,Баянхонгор — Ашиглалтын талбай (мян.га),119.8
2021-02,Баянхонгор — Нийт зөвшөөрөгдсөн талбай (мян.га),305.3
2021-02,Баянхонгор — Нийт зөвшөөрөл (тоо),126.0
2021-02,Баянхонгор — Хайгуулын зөвшөөрөл (тоо),40.0
2021-02,Баянхонгор — Хайгуулын талбай (мян.га),185.5
2021-02,Булган — Ашиглалтын зөвшөөрөл (тоо),77.0
2021-02,Булган — Ашиглалтын талбай (мян.га),38.9
2021-02,Булган — Нийт зөвшөөрөгдсөн талбай (мян.га),87.8
2021-02,Булган — Нийт зөвшөөрөл (тоо),100.0
2021-02,Булган — Хайгуулын зөвшөөрөл (тоо),23.0
2021-02,Булган — Хайгуулын талбай (мян.га),48.9
2021-02,Говь-Алтай — Ашиглалтын зөвшөөрөл (тоо),55.0
2021-02,Говь-Алтай — Ашиглалтын талбай (мян.га),92.2
2021-02,Говь-Алтай — Нийт зөвшөөрөгдсөн талбай (мян.га),582.2
2021-02,Говь-Алтай — Нийт зөвшөөрөл (тоо),132.0
2021-02,Говь-Алтай — Хайгуулын зөвшөөрөл (тоо),77.0
2021-02,Говь-Алтай — Хайгуулын талбай (мян.га),489.9
2021-02,Говьсүмбэр — Ашиглалтын зөвшөөрөл (тоо),13.0
2021-02,Говьсүмбэр — Ашиглалтын талбай (мян.га),38.9
2021-02,Говьсүмбэр — Нийт зөвшөөрөгдсөн талбай (мян.га),44.6
2021-02,Говьсүмбэр — Нийт зөвшөөрөл (тоо),16.0
2021-02,Говьсүмбэр — Хайгуулын зөвшөөрөл (тоо),3.0
2021-02,Говьсүмбэр — Хайгуулын талбай (мян.га),5.8
2021-02,Дархан-Уул — Ашиглалтын зөвшөөрөл (тоо),61.0
2021-02,Дархан-Уул — Ашиглалтын талбай (мян.га),7.6
2021-02,Дархан-Уул — Нийт зөвшөөрөгдсөн талбай (мян.га),8.7
2021-02,Дархан-Уул — Нийт зөвшөөрөл (тоо),66.0
2021-02,Дархан-Уул — Хайгуулын зөвшөөрөл (тоо),5.0
2021-02,Дархан-Уул — Хайгуулын талбай (мян.га),1.1
