бүс,сар,нас_баралт
Өмнөговь,2017-06,27
Архангай,2017-07,41
Баян-Өлгий,2017-07,32
Баянхонгор,2017-07,32
Булган,2017-07,40
Говь-Алтай,2017-07,25
Говьсүмбэр,2017-07,9
Дархан-Уул,2017-07,48
Дорноговь,2017-07,25
Дорнод,2017-07,44
Дундговь,2017-07,21
Завхан,2017-07,29
Орхон,2017-07,38
Сэлэнгэ,2017-07,41
Сүхбаатар,2017-07,25
Төв,2017-07,32
Увс,2017-07,47
Улаанбаатар,2017-07,551
Ховд,2017-07,25
Хэнтий,2017-07,28
Хөвсгөл,2017-07,75
Өвөрхангай,2017-07,49
Өмнөговь,2017-07,22
Архангай,2017-08,40
Баян-Өлгий,2017-08,42
Баянхонгор,2017-08,39
Булган,2017-08,20
Говь-Алтай,2017-08,27
Говьсүмбэр,2017-08,6
Дархан-Уул,2017-08,47
Дорноговь,2017-08,22
Дорнод,2017-08,37
Дундговь,2017-08,21
Завхан,2017-08,28
Орхон,2017-08,41
Сэлэнгэ,2017-08,40
Сүхбаатар,2017-08,24
Төв,2017-08,37
Увс,2017-08,30
Улаанбаатар,2017-08,618
Ховд,2017-08,41
Хэнтий,2017-08,36
Хөвсгөл,2017-08,75
Өвөрхангай,2017-08,56
Өмнөговь,2017-08,20
Архангай,2017-09,51
Баян-Өлгий,2017-09,35
Баянхонгор,2017-09,42
Булган,2017-09,34
Говь-Алтай,2017-09,20
Говьсүмбэр,2017-09,7
Дархан-Уул,2017-09,56
Дорноговь,2017-09,22
Дорнод,2017-09,41
Дундговь,2017-09,17
Завхан,2017-09,30
Орхон,2017-09,46
Сэлэнгэ,2017-09,40
Сүхбаатар,2017-09,36
Төв,2017-09,44
Увс,2017-09,30
Улаанбаатар,2017-09,595
Ховд,2017-09,35
Хэнтий,2017-09,28
Хөвсгөл,2017-09,67
Өвөрхангай,2017-09,59
Өмнөговь,2017-09,25
Архангай,2017-10,43
Баян-Өлгий,2017-10,35
Баянхонгор,2017-10,40
Булган,2017-10,28
Говь-Алтай,2017-10,31
Говьсүмбэр,2017-10,6
Дархан-Уул,2017-10,47
Дорноговь,2017-10,35
Дорнод,2017-10,37
Дундговь,2017-10,16
Завхан,2017-10,28
Орхон,2017-10,45
Сэлэнгэ,2017-10,49
Сүхбаатар,2017-10,27
Төв,2017-10,41
Увс,2017-10,42
Улаанбаатар,2017-10,603
Ховд,2017-10,39
Хэнтий,2017-10,19
Хөвсгөл,2017-10,77
Өвөрхангай,2017-10,60
Өмнөговь,2017-10,30
Архангай,2017-11,30
Баян-Өлгий,2017-11,39
Баянхонгор,2017-11,29
Булган,2017-11,35
Говь-Алтай,2017-11,30
Говьсүмбэр,2017-11,6
Дархан-Уул,2017-11,51
Дорноговь,2017-11,26
Дорнод,2017-11,28
Дундговь,2017-11,20
Завхан,2017-11,20
Орхон,2017-11,36
Сэлэнгэ,2017-11,43
Сүхбаатар,2017-11,23
Төв,2017-11,34
Увс,2017-11,35
Улаанбаатар,2017-11,606
Ховд,2017-11,39
Хэнтий,2017-11,30
Хөвсгөл,2017-11,65
Өвөрхангай,2017-11,39
Өмнөговь,2017-11,28
Архангай,2017-12,36
Баян-Өлгий,2017-12,42
Баянхонгор,2017-12,36
Булган,2017-12,27
Говь-Алтай,2017-12,32
Говьсүмбэр,2017-12,15
Дархан-Уул,2017-12,33
Дорноговь,2017-12,25
Дорнод,2017-12,43
Дундговь,2017-12,22
Завхан,2017-12,32
Орхон,2017-12,48
Сэлэнгэ,2017-12,45
Сүхбаатар,2017-12,21
Төв,2017-12,26
Увс,2017-12,37
Улаанбаатар,2017-12,665
Ховд,2017-12,32
Хэнтий,2017-12,41
Хөвсгөл,2017-12,72
Өвөрхангай,2017-12,52
Өмнөговь,2017-12,29
Архангай,2018-01,41
Баян-Өлгий,2018-01,41
Баянхонгор,2018-01,53
Булган,2018-01,30
Говь-Алтай,2018-01,25
Говьсүмбэр,2018-01,5
Дархан-Уул,2018-01,57
Дорноговь,2018-01,24
Дорнод,2018-01,46
Дундговь,2018-01,16
Завхан,2018-01,32
Орхон,2018-01,32
Сэлэнгэ,2018-01,44
Сүхбаатар,2018-01,27
Төв,2018-01,42
Увс,2018-01,35
Улаанбаатар,2018-01,726
Ховд,2018-01,42
Хэнтий,2018-01,27
Хөвсгөл,2018-01,64
Өвөрхангай,2018-01,49
Өмнөговь,2018-01,28
Архангай,2018-02,46
Баян-Өлгий,2018-02,44
Баянхонгор,2018-02,49
Булган,2018-02,39
Говь-Алтай,2018-02,25
Говьсүмбэр,2018-02,4
Дархан-Уул,2018-02,45
Дорноговь,2018-02,33
Дорнод,2018-02,40
Дундговь,2018-02,26
Завхан,2018-02,33
Орхон,2018-02,43
Сэлэнгэ,2018-02,53
Сүхбаатар,2018-02,28
Төв,2018-02,41
Увс,2018-02,25
Улаанбаатар,2018-02,595
Ховд,2018-02,45
Хэнтий,2018-02,26
Хөвсгөл,2018-02,56
Өвөрхангай,2018-02,51
Өмнөговь,2018-02,23
Архангай,2018-03,50
Баян-Өлгий,2018-03,63
Баянхонгор,2018-03,55
Булган,2018-03,24
Говь-Алтай,2018-03,34
Говьсүмбэр,2018-03,2
Дархан-Уул,2018-03,38
Дорноговь,2018-03,33
Дорнод,2018-03,39
Дундговь,2018-03,26
Завхан,2018-03,30
Орхон,2018-03,49
Сэлэнгэ,2018-03,37
Сүхбаатар,2018-03,30
Төв,2018-03,40
Увс,2018-03,39
Улаанбаатар,2018-03,673
Ховд,2018-03,41
Хэнтий,2018-03,32
Хөвсгөл,2018-03,66
Өвөрхангай,2018-03,54
Өмнөговь,2018-03,31
Архангай,2018-04,43
Баян-Өлгий,2018-04,37
Баянхонгор,2018-04,35
Булган,2018-04,30
Говь-Алтай,2018-04,26
Говьсүмбэр,2018-04,4
Дархан-Уул,2018-04,57
Дорноговь,2018-04,38
Дорнод,2018-04,28
Дундговь,2018-04,25
Завхан,2018-04,28
Орхон,2018-04,40
Сэлэнгэ,2018-04,36
Сүхбаатар,2018-04,25
Төв,2018-04,34
Увс,2018-04,39
Улаанбаатар,2018-04,615
Ховд,2018-04,36
Хэнтий,2018-04,40
Хөвсгөл,2018-04,68
Өвөрхангай,2018-04,59
Өмнөговь,2018-04,32
Архангай,2018-05,43
Баян-Өлгий,2018-05,39
Баянхонгор,2018-05,43
Булган,2018-05,23
Говь-Алтай,2018-05,20
Говьсүмбэр,2018-05,8
Дархан-Уул,2018-05,49
Дорноговь,2018-05,32
Дорнод,2018-05,28
Дундговь,2018-05,25
