улс,он,экспорт_сая_ам_дол
Латви,2010,1.1
Ливан,2010,357.4
Литва,2010,0.0
Лихтенштейн Вант улс,2010,0.0
Люксембург,2010,4.5
Малайз,2010,1.8
Мальта,2010,0.0
Марокко,2010,67.9
Мексик,2010,2250.2
Молдав,2010,33.6
Монако,2010,0.0
Мьянмар,2010,17.9
Нигери,2010,0.0
Нидерланд,2010,246.9
Норвеги,2010,410.9
ОХУ,2010,82747.9
Пакистан,2010,11.3
Панам,2010,26.6
Папуа Шинэ Гвиней,2010,0.0
Перу,2010,0.0
Польш,2010,435.5
Португаль,2010,0.0
Пуэрто-Рико,2010,0.0
Румын,2010,0.0
Саудын Араб,2010,0.0
Свазиленд,2010,0.0
Серби,2010,0.0
Сингапур,2010,2471.9
Сири,2010,771.2
Словак,2010,8.3
Словени,2010,0.0
Соломоновын арал,2010,0.0
Судан,2010,0.0
Суринам,2010,0.0
Тажикстан,2010,0.0
Тайвань,2010,182.0
Тайланд,2010,1103.9
Танзани,2010,0.1
Турк,2010,205.1
Туркменистан,2010,13.4
Уганда,2010,32.0
Узбикистан,2010,352.8
Украйн,2010,2550.9
Унгар,2010,64.2
Уругвай,2010,0.0
Фижи,2010,0.0
Филиппин,2010,175.0
Финлянд,2010,24.7
Франц,2010,3909.6
ХБНГУ,2010,22052.4
Хорват,2010,0.0
Чад,2010,313.9
Чехийн БНУ,2010,160.6
Чили,2010,0.0
Швед,2010,147.8
Швейцарь,2010,2910.3
Шинэ Зеланд,2010,82.5
Шри Ланк,2010,0.0
Эквадор,2010,0.0
Энэтхэг,2010,679.6
Эстон,2010,0.0
Этиоп,2010,0.0
Япон,2010,2669.7
Өмнөд Африкийн Бүгд Найрамдах Улс,2010,27.0
АНУ,2011,5040.0
Австрали,2011,875.6
Австри,2011,714.8
Азербайжан,2011,31.9
Америкийн Самао,2011,0.0
Ангол,2011,0.0
Арабын Нэгдсэн Эмират,2011,1604.4
Аргентин,2011,3.8
Армен,2011,0.0
Аруба,2011,0.0
БНАСAУ,2011,2.2
БНСУ,2011,37873.3
БНХАУ,2011,4439870.9
Балба,2011,65.1
Бангладеш,2011,0.0
Беларусь,2011,0.0
Бельги,2011,277.8
Болгар,2011,4.7
Боливи,2011,0.0
Бразил,2011,0.0
Буркина-Фасо,2011,0.0
Вануату,2011,0.0
Вьетнам,2011,3672.5
Грек,2011,3.4
Гренланд,2011,0.0
Гүрж,2011,0.0
Дани,2011,124.7
Дүн,2011,4817496.3
Европын холбоо,2011,75352.7
Египет,2011,0.0
Зүүн Хойд Ази,2011,4488710.2
Зүүн Өмнөд Ази,2011,7174.7
Израиль,2011,19.0
Индонез,2011,0.0
Иордан,2011,0.0
Иран,2011,798.0
Ирланд,2011,9.3
Испани,2011,748.1
Итали,2011,49816.1
Их Британи,2011,19973.9
Казакстан,2011,2575.1
Камбож,2011,0.0
Канад,2011,90787.6
Катар,2011,444.0
Кени,2011,0.5
Кипр,2011,50.0
Киргиз,2011,500.6
Колумби,2011,0.0
Кот д Ивуар,2011,0.0
Куба,2011,787.6
Кувейт,2011,1054.9
Лаос,2011,7.0
Латви,2011,119.9
Ливан,2011,272.0
Литва,2011,0.2
Лихтенштейн Вант улс,2011,0.0
Люксембург,2011,46.5
Малайз,2011,7.2
Мальта,2011,0.0
Марокко,2011,0.0
Мексик,2011,1874.5
Молдав,2011,40.3
Монако,2011,0.0
Мьянмар,2011,0.0
Нигери,2011,0.0
Нидерланд,2011,291.9
Норвеги,2011,436.8
ОХУ,2011,96342.4
Пакистан,2011,31.9
Панам,2011,0.0
Папуа Шинэ Гвиней,2011,0.0
Перу,2011,0.0
Польш,2011,71.3
Португаль,2011,0.0
Пуэрто-Рико,2011,0.0
Румын,2011,2.5
Саудын Араб,2011,120.0
Свазиленд,2011,0.0
Серби,2011,7.0
Сингапур,2011,3424.5
Сири,2011,522.7
Словак,2011,0.0
Словени,2011,0.0
Соломоновын арал,2011,0.0
Судан,2011,0.0
Суринам,2011,0.0
Тажикстан,2011,0.0
Тайвань,2011,10.0
Тайланд,2011,44.9
Танзани,2011,0.0
Турк,2011,356.9
Туркменистан,2011,30.8
Уганда,2011,0.0
Узбикистан,2011,202.6
Украйн,2011,1923.5
Унгар,2011,54.2
Уругвай,2011,0.0
Фижи,2011,0.0
Филиппин,2011,18.7
Финлянд,2011,5.4
Франц,2011,7724.5
ХБНГУ,2011,14919.2
Хорват,2011,0.3
Чад,2011,0.0
Чехийн БНУ,2011,146.9
Чили,2011,0.0
Швед,2011,221.0
Швейцарь,2011,18027.6
Шинэ Зеланд,2011,26.0
Шри Ланк,2011,0.0
Эквадор,2011,0.0
Энэтхэг,2011,1447.8
Эстон,2011,0.0
Этиоп,2011,0.0
Япон,2011,10963.9
Өмнөд Африкийн Бүгд Найрамдах Улс,2011,484.5
АНУ,2012,3568.1
Австрали,2012,1102.9
Австри,2012,411.0
Азербайжан,2012,0.0
Америкийн Самао,2012,0.0
Ангол,2012,322.3
Арабын Нэгдсэн Эмират,2012,5357.2
