year,indicator,unit,value
1986,Radio points,thousands,409.1
1987,Radio points,thousands,420.4
1988,Radio points,thousands,431.6
1989,Radio points,thousands,444.1
1990,Radio points,thousands,443.2
1991,Radio points,thousands,399.5
1992,Radio points,thousands,171.0
1950,Receivers,thousands,0.1
1960,Receivers,thousands,19.0
1965,Receivers,thousands,82.7
1966,Receivers,thousands,83.9
1967,Receivers,thousands,90.9
1970,Receivers,thousands,99.8
1971,Receivers,thousands,98.7
1972,Receivers,thousands,101.4
1973,Receivers,thousands,110.3
1974,Receivers,thousands,114.4
1975,Receivers,thousands,116.5
1976,Receivers,thousands,124.7
1977,Receivers,thousands,130.9
1978,Receivers,thousands,140.4
1979,Receivers,thousands,150.3
1980,Receivers,thousands,164.3
1981,Receivers,thousands,171.4
1982,Receivers,thousands,179.6
1983,Receivers,thousands,186.6
1984,Receivers,thousands,194.2
1970,Televisions,thousands,14.8
1973,Televisions,thousands,24.9
1974,Televisions,thousands,27.1
1975,Televisions,thousands,31.4
1976,Televisions,thousands,33.8
1977,Televisions,thousands,36.7
1978,Televisions,thousands,40.9
1979,Televisions,thousands,46.4
1980,Televisions,thousands,52.9
1981,Televisions,thousands,58.0
1982,Televisions,thousands,65.3
1983,Televisions,thousands,70.7
1984,Televisions,thousands,78.1
1985,Televisions,thousands,88.1
1986,Televisions,thousands,99.4
1987,Televisions,thousands,110.5
1988,Televisions,thousands,122.8
1989,Televisions,thousands,132.9
1990,Televisions,thousands,137.4
1991,Televisions,thousands,145.0
1992,Televisions,thousands,148.4
1985,TV transmission stations,count,259.0
1986,TV transmission stations,count,320.0
1987,TV transmission stations,count,354.0
1988,TV transmission stations,count,389.0
1989,TV transmission stations,count,408.0
1990,TV transmission stations,count,502.0
1991,TV transmission stations,count,616.0
1992,TV transmission stations,count,491.0
