month,metric,value
2026-02,Reimbursement for state-funded exploration | Annual plan,2395.0
2026-02,Tender revenue | % of plan,230.2
2026-02,Tender revenue | Actual to date,46047.4
2026-02,Tender revenue | Annual plan,20000.0
2026-02,Total | % of plan,19.3
2026-02,Total | Actual to date,56706.2
2026-02,Total | Annual plan,293986.8
2026-03,Mineral licence fees | % of plan,22.4
2026-03,Mineral licence fees | Actual to date,8205.7
2026-03,Mineral licence fees | Annual plan,36605.2
2026-03,Other revenue | % of plan,49.1
2026-03,Other revenue | Actual to date,1726.7
2026-03,Other revenue | Annual plan,3513.8
2026-03,Petroleum exports | % of plan,7.4
2026-03,Petroleum exports | Actual to date,17179.2
2026-03,Petroleum exports | Annual plan,231472.9
2026-03,Reimbursement for state-funded exploration | % of plan,16.4
2026-03,Reimbursement for state-funded exploration | Actual to date,393.7
2026-03,Reimbursement for state-funded exploration | Annual plan,2395.0
2026-03,Tender revenue | % of plan,282.2
2026-03,Tender revenue | Actual to date,56441.9
2026-03,Tender revenue | Annual plan,20000.0
2026-03,Total | % of plan,28.6
2026-03,Total | Actual to date,83947.1
2026-03,Total | Annual plan,293986.9
2026-04,Mineral licence fees | % of plan,31.4
2026-04,Mineral licence fees | Actual to date,11499.3
2026-04,Mineral licence fees | Annual plan,36605.2
2026-04,Other revenue | % of plan,50.0
2026-04,Other revenue | Actual to date,1755.3
2026-04,Other revenue | Annual plan,3513.8
2026-04,Petroleum exports | % of plan,19.2
2026-04,Petroleum exports | Actual to date,44457.1
2026-04,Petroleum exports | Annual plan,231472.9
2026-04,Reimbursement for state-funded exploration | % of plan,30.5
2026-04,Reimbursement for state-funded exploration | Actual to date,730.5
2026-04,Reimbursement for state-funded exploration | Annual plan,2395.0
2026-04,Tender revenue | % of plan,276.8
2026-04,Tender revenue | Actual to date,55361.5
2026-04,Tender revenue | Annual plan,20000.0
2026-04,Total | % of plan,38.7
2026-04,Total | Actual to date,113803.7
2026-04,Total | Annual plan,293986.9
2026-05,Mineral licence fees | % of plan,46.1
2026-05,Mineral licence fees | Actual to date,16888.6
2026-05,Mineral licence fees | Annual plan,36605.2
2026-05,Other revenue | % of plan,50.0
2026-05,Other revenue | Actual to date,1755.3
2026-05,Other revenue | Annual plan,3513.8
2026-05,Petroleum exports | % of plan,19.2
2026-05,Petroleum exports | Actual to date,44457.1
2026-05,Petroleum exports | Annual plan,231472.9
2026-05,Reimbursement for state-funded exploration | % of plan,57.1
2026-05,Reimbursement for state-funded exploration | Actual to date,1366.7
2026-05,Reimbursement for state-funded exploration | Annual plan,2395.0
2026-05,Tender revenue | % of plan,512.0
2026-05,Tender revenue | Actual to date,102404.1
2026-05,Tender revenue | Annual plan,20000.0
2026-05,Total | % of plan,56.8
2026-05,Total | Actual to date,166871.8
2026-05,Total | Annual plan,293986.9
2026-06,Mineral licence fees | % of plan,55.0
2026-06,Mineral licence fees | Actual to date,20116.6
2026-06,Mineral licence fees | Annual plan,36605.2
2026-06,Other revenue | % of plan,55.8
2026-06,Other revenue | Actual to date,1961.7
2026-06,Other revenue | Annual plan,3513.8
2026-06,Petroleum exports | % of plan,41.0
2026-06,Petroleum exports | Actual to date,94997.3
2026-06,Petroleum exports | Annual plan,231472.9
2026-06,Reimbursement for state-funded exploration | % of plan,58.0
2026-06,Reimbursement for state-funded exploration | Actual to date,1387.9
2026-06,Reimbursement for state-funded exploration | Annual plan,2395.0
2026-06,Tender revenue | % of plan,367.5
2026-06,Tender revenue | Actual to date,73508.2
2026-06,Tender revenue | Annual plan,20000.0
2026-06,Total | % of plan,65.3
2026-06,Total | Actual to date,191971.7
2026-06,Total | Annual plan,293986.9
2026-07,Mineral licence fees | % of plan,66.6
2026-07,Mineral licence fees | Actual to date,24361.4
2026-07,Mineral licence fees | Annual plan,36605.2
2026-07,Other revenue | % of plan,58.2
2026-07,Other revenue | Actual to date,2044.6
2026-07,Other revenue | Annual plan,3513.8
2026-07,Petroleum exports | % of plan,54.2
2026-07,Petroleum exports | Actual to date,125463.7
2026-07,Petroleum exports | Annual plan,231472.9
2026-07,Reimbursement for state-funded exploration | % of plan,60.8
2026-07,Reimbursement for state-funded exploration | Actual to date,1456.5
2026-07,Reimbursement for state-funded exploration | Annual plan,2395.0
2026-07,Tender revenue | % of plan,367.5
2026-07,Tender revenue | Actual to date,73508.2
2026-07,Tender revenue | Annual plan,20000.0
2026-07,Total | % of plan,77.2
2026-07,Total | Actual to date,226834.3
2026-07,Total | Annual plan,293986.9
