month,metric,value
2021-10,Petroleum service revenue | Actual to date,1997.9
2021-10,Petroleum service revenue | Annual plan,873.9
2021-10,Reimbursement for state-funded exploration | % of plan,134.2
2021-10,Reimbursement for state-funded exploration | Actual to date,3355.0
2021-10,Reimbursement for state-funded exploration | Annual plan,2500.0
2021-10,Tender revenue | % of plan,184.2
2021-10,Tender revenue | Actual to date,29466.6
2021-10,Tender revenue | Annual plan,16000.0
2021-10,Total | % of plan,86.3
2021-10,Total | Actual to date,228926.6
2021-10,Total | Annual plan,265400.0
2021-11,Mineral licence fees | % of plan,98.7
2021-11,Mineral licence fees | Actual to date,30795.4
2021-11,Mineral licence fees | Annual plan,31200.0
2021-11,Mineral services revenue | % of plan,104.3
2021-11,Mineral services revenue | Actual to date,1695.5
2021-11,Mineral services revenue | Annual plan,1626.1
2021-11,Petroleum exports | % of plan,84.6
2021-11,Petroleum exports | Actual to date,180419.5
2021-11,Petroleum exports | Annual plan,213200.0
2021-11,Petroleum service revenue | % of plan,228.6
2021-11,Petroleum service revenue | Actual to date,1997.9
2021-11,Petroleum service revenue | Annual plan,873.9
2021-11,Reimbursement for state-funded exploration | % of plan,141.4
2021-11,Reimbursement for state-funded exploration | Actual to date,3534.7
2021-11,Reimbursement for state-funded exploration | Annual plan,2500.0
2021-11,Tender revenue | % of plan,185.1
2021-11,Tender revenue | Actual to date,29623.1
2021-11,Tender revenue | Annual plan,16000.0
2021-11,Total | % of plan,93.5
2021-11,Total | Actual to date,248066.2
2021-11,Total | Annual plan,265400.0
2021-12,Mineral licence fees | % of plan,105.0
2021-12,Mineral licence fees | Actual to date,32770.6
2021-12,Mineral licence fees | Annual plan,31200.0
2021-12,Mineral services revenue | % of plan,107.6
2021-12,Mineral services revenue | Actual to date,1750.5
2021-12,Mineral services revenue | Annual plan,1626.1
2021-12,Petroleum exports | % of plan,92.9
2021-12,Petroleum exports | Actual to date,198145.3
2021-12,Petroleum exports | Annual plan,213200.0
2021-12,Petroleum service revenue | % of plan,228.6
2021-12,Petroleum service revenue | Actual to date,1997.9
2021-12,Petroleum service revenue | Annual plan,873.9
2021-12,Reimbursement for state-funded exploration | % of plan,176.4
2021-12,Reimbursement for state-funded exploration | Actual to date,4409.0
2021-12,Reimbursement for state-funded exploration | Annual plan,2500.0
2021-12,Tender revenue | % of plan,185.1
2021-12,Tender revenue | Actual to date,29623.1
2021-12,Tender revenue | Annual plan,16000.0
2021-12,Total | % of plan,101.2
2021-12,Total | Actual to date,268696.5
2021-12,Total | Annual plan,265400.0
2022-01,Mineral licence fees | % of plan,9.0
