он,үзүүлэлт,хэмжих_нэгж,утга
1947,Телефон станц,тоо,25.0
1952,Телефон станц,тоо,27.0
1953,Телефон станц,тоо,28.0
1954,Телефон станц,тоо,28.0
1955,Телефон станц,тоо,30.0
1956,Телефон станц,тоо,32.0
1957,Телефон станц,тоо,31.0
1958,Телефон станц,тоо,31.0
1960,Телефон станц,тоо,36.0
1961,Телефон станц,тоо,60.0
1962,Телефон станц,тоо,65.0
1963,Телефон станц,тоо,54.0
1965,Телефон станц,тоо,67.0
1966,Телефон станц,тоо,72.0
1967,Телефон станц,тоо,77.0
1970,Телефон станц,тоо,93.0
1971,Телефон станц,тоо,115.0
1972,Телефон станц,тоо,141.0
1973,Телефон станц,тоо,162.0
1974,Телефон станц,тоо,186.0
1975,Телефон станц,тоо,211.0
1976,Телефон станц,тоо,218.0
1977,Телефон станц,тоо,219.0
1978,Телефон станц,тоо,223.0
1979,Телефон станц,тоо,224.0
1980,Телефон станц,тоо,252.0
1981,Телефон станц,тоо,255.0
1982,Телефон станц,тоо,258.0
1940,"Телеграф, телефон шугам",мянган км,10.9
1947,"Телеграф, телефон шугам",мянган км,11.6
1952,"Телеграф, телефон шугам",мянган км,11.6
1953,"Телеграф, телефон шугам",мянган км,11.8
1954,"Телеграф, телефон шугам",мянган км,12.3
1955,"Телеграф, телефон шугам",мянган км,13.1
1956,"Телеграф, телефон шугам",мянган км,13.4
1957,"Телеграф, телефон шугам",мянган км,13.6
1960,"Телеграф, телефон шугам",мянган км,13.8
1961,"Телеграф, телефон шугам",мянган км,13.8
1962,"Телеграф, телефон шугам",мянган км,16.3
1963,"Телеграф, телефон шугам",мянган км,14.5
1965,"Телеграф, телефон шугам",мянган км,14.1
1970,"Телеграф, телефон шугам",мянган км,16.8
1971,"Телеграф, телефон шугам",мянган км,17.2
1972,"Телеграф, телефон шугам",мянган км,17.4
1973,"Телеграф, телефон шугам",мянган км,18.8
1974,"Телеграф, телефон шугам",мянган км,19.0
1975,"Телеграф, телефон шугам",мянган км,21.6
1976,"Телеграф, телефон шугам",мянган км,22.3
1977,"Телеграф, телефон шугам",мянган км,23.3
1978,"Телеграф, телефон шугам",мянган км,23.7
1979,"Телеграф, телефон шугам",мянган км,24.8
1980,"Телеграф, телефон шугам",мянган км,25.0
1981,"Телеграф, телефон шугам",мянган км,26.0
1982,"Телеграф, телефон шугам",мянган км,27.2
1983,"Телеграф, телефон шугам",мянган км,27.6
1984,"Телеграф, телефон шугам",мянган км,28.2
1957,Телефон цэг,мянган ш,4.616
1960,Телефон цэг,мянган ш,5.554
1961,Телефон цэг,мянган ш,9.289
1962,Телефон цэг,мянган ш,9.835
1963,Телефон цэг,мянган ш,9.694
1965,Телефон цэг,мянган ш,11.8
1966,Телефон цэг,мянган ш,13.3
1967,Телефон цэг,мянган ш,14.7
1970,Телефон цэг,мянган ш,19.5
1971,Телефон цэг,мянган ш,21.6
1972,Телефон цэг,мянган ш,22.6
1973,Телефон цэг,мянган ш,24.0
1974,Телефон цэг,мянган ш,26.2
1975,Телефон цэг,мянган ш,31.0
1976,Телефон цэг,мянган ш,33.4
1977,Телефон цэг,мянган ш,34.4
1978,Телефон цэг,мянган ш,35.7
1979,Телефон цэг,мянган ш,37.7
1980,Телефон цэг,мянган ш,39.8
1981,Телефон цэг,мянган ш,41.5
1982,Телефон цэг,мянган ш,42.9
1983,Телефон цэг,мянган ш,44.6
1984,Телефон цэг,мянган ш,46.7
1985,Телефон цэг,мянган ш,49.3
1986,Телефон цэг,мянган ш,51.7
1987,Телефон цэг,мянган ш,55.0
1988,Телефон цэг,мянган ш,58.3
1989,Телефон цэг,мянган ш,62.6
1990,Телефон цэг,мянган ш,66.4
1991,Телефон цэг,мянган ш,68.4
1992,Телефон цэг,мянган ш,69.2
1950,Радио станц,тоо,21.0
1957,Радио станц,тоо,17.0
1960,Радио станц,тоо,44.0
1961,Радио станц,тоо,63.0
1962,Радио станц,тоо,85.0
1963,Радио станц,тоо,114.0
1965,Радио станц,тоо,134.0
1966,Радио станц,тоо,135.0
1967,Радио станц,тоо,139.0
1970,Радио станц,тоо,141.0
1971,Радио станц,тоо,135.0
1972,Радио станц,тоо,118.0
1973,Радио станц,тоо,126.0
1974,Радио станц,тоо,109.0
1975,Радио станц,тоо,103.0
1976,Радио станц,тоо,90.0
1977,Радио станц,тоо,77.0
1950,Радио узел,тоо,34.0
1957,Радио узел,тоо,54.0
1960,Радио узел,тоо,71.0
1961,Радио узел,тоо,118.0
1962,Радио узел,тоо,148.0
1966,Радио узел,тоо,360.0
1967,Радио узел,тоо,364.0
1940,Радио зангилаа,тоо,16.0
1960,Радио зангилаа,тоо,71.0
1965,Радио зангилаа,тоо,353.0
1970,Радио зангилаа,тоо,365.0
1971,Радио зангилаа,тоо,361.0
1972,Радио зангилаа,тоо,359.0
1973,Радио зангилаа,тоо,361.0
1974,Радио зангилаа,тоо,361.0
1975,Радио зангилаа,тоо,362.0
1976,Радио зангилаа,тоо,359.0
1977,Радио зангилаа,тоо,356.0
1978,Радио зангилаа,тоо,359.0
1979,Радио зангилаа,тоо,361.0
1980,Радио зангилаа,тоо,367.0
1981,Радио зангилаа,тоо,372.0
1982,Радио зангилаа,тоо,371.0
1983,Радио зангилаа,тоо,376.0
1984,Радио зангилаа,тоо,381.0
1940,Радио цэг,мянган ш,4.4
1950,Радио цэг,мянган ш,9.4
1960,Радио цэг,мянган ш,33.7
1965,Радио цэг,мянган ш,53.2
1966,Радио цэг,мянган ш,54.0
1967,Радио цэг,мянган ш,57.2
1970,Радио цэг,мянган ш,66.6
1971,Радио цэг,мянган ш,67.4
1972,Радио цэг,мянган ш,70.8
1973,Радио цэг,мянган ш,80.2
1974,Радио цэг,мянган ш,85.4
1975,Радио цэг,мянган ш,90.9
1976,Радио цэг,мянган ш,98.1
1977,Радио цэг,мянган ш,104.4
1978,Радио цэг,мянган ш,110.4
1979,Радио цэг,мянган ш,117.6
1980,Радио цэг,мянган ш,134.4
1981,Радио цэг,мянган ш,142.9
1982,Радио цэг,мянган ш,157.7
1983,Радио цэг,мянган ш,169.7
1984,Радио цэг,мянган ш,181.8
1985,Радио цэг,мянган ш,394.2
1986,Радио цэг,мянган ш,409.1
1987,Радио цэг,мянган ш,420.4
1988,Радио цэг,мянган ш,431.6
1989,Радио цэг,мянган ш,444.1
1990,Радио цэг,мянган ш,443.2
1991,Радио цэг,мянган ш,399.5
1992,Радио цэг,мянган ш,171.0
1950,Хүлээн авагч,мянган ш,0.1
1960,Хүлээн авагч,мянган ш,19.0
1965,Хүлээн авагч,мянган ш,82.7
1966,Хүлээн авагч,мянган ш,83.9
1967,Хүлээн авагч,мянган ш,90.9
1970,Хүлээн авагч,мянган ш,99.8
1971,Хүлээн авагч,мянган ш,98.7
1972,Хүлээн авагч,мянган ш,101.4
1973,Хүлээн авагч,мянган ш,110.3
1974,Хүлээн авагч,мянган ш,114.4
1975,Хүлээн авагч,мянган ш,116.5
1976,Хүлээн авагч,мянган ш,124.7
1977,Хүлээн авагч,мянган ш,130.9
1978,Хүлээн авагч,мянган ш,140.4
1979,Хүлээн авагч,мянган ш,150.3
1980,Хүлээн авагч,мянган ш,164.3
1981,Хүлээн авагч,мянган ш,171.4
1982,Хүлээн авагч,мянган ш,179.6
1983,Хүлээн авагч,мянган ш,186.6
1984,Хүлээн авагч,мянган ш,194.2
1970,Телевизор,мянган ш,14.8
1973,Телевизор,мянган ш,24.9
1974,Телевизор,мянган ш,27.1
1975,Телевизор,мянган ш,31.4
1976,Телевизор,мянган ш,33.8
1977,Телевизор,мянган ш,36.7
1978,Телевизор,мянган ш,40.9
1979,Телевизор,мянган ш,46.4
1980,Телевизор,мянган ш,52.9
1981,Телевизор,мянган ш,58.0
1982,Телевизор,мянган ш,65.3
1983,Телевизор,мянган ш,70.7
1984,Телевизор,мянган ш,78.1
1985,Телевизор,мянган ш,88.1
1986,Телевизор,мянган ш,99.4
1987,Телевизор,мянган ш,110.5
1988,Телевизор,мянган ш,122.8
1989,Телевизор,мянган ш,132.9
1990,Телевизор,мянган ш,137.4
1991,Телевизор,мянган ш,145.0
1992,Телевизор,мянган ш,148.4
1985,ТВ нэвтрүүлэх станц,тоо,259.0
1986,ТВ нэвтрүүлэх станц,тоо,320.0
1987,ТВ нэвтрүүлэх станц,тоо,354.0
1988,ТВ нэвтрүүлэх станц,тоо,389.0
1989,ТВ нэвтрүүлэх станц,тоо,408.0
1990,ТВ нэвтрүүлэх станц,тоо,502.0
1991,ТВ нэвтрүүлэх станц,тоо,616.0
1992,ТВ нэвтрүүлэх станц,тоо,491.0
