product,date,price
"Vegetable oil, l, imported",2023-09-25,7798.0
"Green tea, prepacked, 90 g",2023-09-25,3621.0
"Vegetable oil, l, imported",2023-09-18,7798.0
"Sugar, prepacked, kg, imported",2023-09-18,5023.0
"Green tea, prepacked, 90 g",2023-09-18,3621.0
"Egg, piece, domestic",2023-09-18,524.0
"Vegetable oil, l, imported",2023-09-11,7798.0
"Green tea, prepacked, 90 g",2023-09-11,3621.0
"Egg, piece, domestic",2023-09-11,524.0
"Sugar, prepacked, kg, imported",2023-09-11,3997.0
"Green tea, prepacked, 90 g",2023-09-04,3625.0
"Sugar, prepacked, kg, imported",2023-09-04,4035.0
"Egg, piece, domestic",2023-09-04,524.0
"Vegetable oil, l, imported",2023-09-04,7798.0
"Vegetable oil, l, imported",2023-08-28,7798.0
"Sugar, prepacked, kg, imported",2023-08-28,3771.0
"Green tea, prepacked, 90 g",2023-08-28,3606.0
"Egg, piece, domestic",2023-08-28,523.0
"Vegetable oil, l, imported",2023-08-21,7798.0
"Green tea, prepacked, 90 g",2023-08-21,3606.0
"Egg, piece, domestic",2023-08-21,526.0
"Sugar, prepacked, kg, imported",2023-08-21,3771.0
"Green tea, prepacked, 90 g",2023-08-14,3618.0
"Vegetable oil, l, imported",2023-08-14,7798.0
"Sugar, prepacked, kg, imported",2023-08-14,3771.0
"Egg, piece, domestic",2023-08-14,526.0
"Green tea, prepacked, 90 g",2023-08-07,3618.0
"Egg, piece, domestic",2023-08-07,524.0
"Sugar, prepacked, kg, imported",2023-08-07,3771.0
"Vegetable oil, l, imported",2023-08-07,7798.0
"Sugar, prepacked, kg, imported",2023-07-31,3771.0
"Egg, piece, domestic",2023-07-31,528.0
"Green tea, prepacked, 90 g",2023-07-31,3618.0
"Vegetable oil, l, imported",2023-07-31,7798.0
"Egg, piece, domestic",2023-07-24,532.0
"Vegetable oil, l, imported",2023-07-24,8011.0
"Green tea, prepacked, 90 g",2023-07-24,3618.0
"Sugar, prepacked, kg, imported",2023-07-24,3771.0
"Egg, piece, domestic",2023-07-17,510.0
"Green tea, prepacked, 90 g",2023-07-17,3618.0
"Sugar, prepacked, kg, imported",2023-07-17,3771.0
"Vegetable oil, l, imported",2023-07-17,8011.0
"Vegetable oil, l, imported",2023-07-03,8011.0
"Sugar, prepacked, kg, imported",2023-07-03,3771.0
"Green tea, prepacked, 90 g",2023-07-03,3618.0
"Egg, piece, domestic",2023-07-03,523.0
"Green tea, prepacked, 90 g",2023-06-26,3618.0
"Sugar, prepacked, kg, imported",2023-06-26,3771.0
"Vegetable oil, l, imported",2023-06-26,8011.0
"Egg, piece, domestic",2023-06-26,523.0
"Sugar, prepacked, kg, imported",2023-06-19,3771.0
"Egg, piece, domestic",2023-06-19,525.0
"Vegetable oil, l, imported",2023-06-19,8011.0
"Green tea, prepacked, 90 g",2023-06-19,3618.0
"Vegetable oil, l, imported",2023-06-12,8011.0
"Sugar, prepacked, kg, imported",2023-06-12,3771.0
"Green tea, prepacked, 90 g",2023-06-12,3817.0
"Egg, piece, domestic",2023-06-12,522.0
"Sugar, prepacked, kg, imported",2023-06-05,3771.0
"Egg, piece, domestic",2023-06-05,524.0
"Green tea, prepacked, 90 g",2023-06-05,3817.0
"Vegetable oil, l, imported",2023-06-05,8011.0
"Green tea, prepacked, 90 g",2023-05-29,3817.0
"Sugar, prepacked, kg, imported",2023-05-29,3771.0
"Vegetable oil, l, imported",2023-05-29,7960.0
"Egg, piece, domestic",2023-05-29,524.0
"Vegetable oil, l, imported",2023-05-23,7960.0
"Egg, piece, domestic",2023-05-23,537.0
"Green tea, prepacked, 90 g",2023-05-23,3817.0
"Sugar, prepacked, kg, imported",2023-05-23,3771.0
"Sugar, prepacked, kg, imported",2023-05-15,3771.0
"Green tea, prepacked, 90 g",2023-05-15,3817.0
"Egg, piece, domestic",2023-05-15,532.0
"Vegetable oil, l, imported",2023-05-15,7960.0
"Sugar, prepacked, kg, imported",2023-05-08,3771.0
"Egg, piece, domestic",2023-05-08,535.0
"Vegetable oil, l, imported",2023-05-08,8178.0
"Green tea, prepacked, 90 g",2023-05-08,3788.0
"Vegetable oil, l, imported",2023-05-01,8250.0
"Green tea, prepacked, 90 g",2023-05-01,3788.0
"Egg, piece, domestic",2023-05-01,539.0
