хүйс,салбар,жил,цалин_мнт
Бүгд,"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2023,1170.7
Бүгд,"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2024,1420.7
Бүгд,"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2025,1832.2
Бүгд,"Мэдээлэл, холбоо",2001,..
Бүгд,"Мэдээлэл, холбоо",2002,..
Бүгд,"Мэдээлэл, холбоо",2003,..
Бүгд,"Мэдээлэл, холбоо",2004,..
Бүгд,"Мэдээлэл, холбоо",2005,..
Бүгд,"Мэдээлэл, холбоо",2006,..
Бүгд,"Мэдээлэл, холбоо",2007,..
Бүгд,"Мэдээлэл, холбоо",2008,..
Бүгд,"Мэдээлэл, холбоо",2009,..
Бүгд,"Мэдээлэл, холбоо",2010,..
Бүгд,"Мэдээлэл, холбоо",2011,..
Бүгд,"Мэдээлэл, холбоо",2012,..
Бүгд,"Мэдээлэл, холбоо",2013,861.6
Бүгд,"Мэдээлэл, холбоо",2014,774.9
Бүгд,"Мэдээлэл, холбоо",2015,798.5
Бүгд,"Мэдээлэл, холбоо",2016,818.3
Бүгд,"Мэдээлэл, холбоо",2017,865.8
Бүгд,"Мэдээлэл, холбоо",2018,979.0
Бүгд,"Мэдээлэл, холбоо",2019,1086.6
Бүгд,"Мэдээлэл, холбоо",2020,1196.8
Бүгд,"Мэдээлэл, холбоо",2021,1317.6
Бүгд,"Мэдээлэл, холбоо",2022,1728.4
Бүгд,"Мэдээлэл, холбоо",2023,1937.0
Бүгд,"Мэдээлэл, холбоо",2024,2467.8
Бүгд,"Мэдээлэл, холбоо",2025,2870.1
Бүгд,"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2001,..
Бүгд,"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2002,..
Бүгд,"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2003,..
Бүгд,"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2004,..
Бүгд,"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2005,..
Бүгд,"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2006,..
Бүгд,"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2007,..
Бүгд,"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2008,..
Бүгд,"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2009,..
Бүгд,"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2010,..
Бүгд,"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2011,..
Бүгд,"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2012,..
Бүгд,"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2013,729.9
Бүгд,"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2014,1080.6
Бүгд,"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2015,1144.7
Бүгд,"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2016,1267.0
Бүгд,"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2017,1569.7
Бүгд,"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2018,1546.9
Бүгд,"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2019,1580.6
Бүгд,"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2020,1648.3
Бүгд,"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2021,1665.2
Бүгд,"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2022,1656.5
Бүгд,"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2023,2072.6
Бүгд,"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2024,2709.2
Бүгд,"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2025,3086.2
Бүгд,"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2001,..
Бүгд,"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2002,..
Бүгд,"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2003,..
Бүгд,"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2004,..
Бүгд,"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2005,..
Бүгд,"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2006,..
Бүгд,"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2007,..
Бүгд,"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2008,..
Бүгд,"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2009,148.8
Бүгд,"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2010,159.8
Бүгд,"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2011,162.2
Бүгд,"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2012,377.5
Бүгд,"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2013,1139.1
Бүгд,"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2014,1433.6
Бүгд,"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2015,1460.8
Бүгд,"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2016,1387.6
Бүгд,"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2017,1710.0
Бүгд,"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2018,1479.9
Бүгд,"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2019,1778.0
Бүгд,"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2020,1822.7
Бүгд,"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2021,1994.1
Бүгд,"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2022,4826.3
Бүгд,"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2023,4455.9
Бүгд,"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2024,4758.1
Бүгд,"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2025,3389.9
Бүгд,Санхүүгийн болон даатгалын үйл ажиллагаа,2001,59.2
Бүгд,Санхүүгийн болон даатгалын үйл ажиллагаа,2002,83.2
Бүгд,Санхүүгийн болон даатгалын үйл ажиллагаа,2003,103.8
Бүгд,Санхүүгийн болон даатгалын үйл ажиллагаа,2004,125.4
Бүгд,Санхүүгийн болон даатгалын үйл ажиллагаа,2005,163.9
Бүгд,Санхүүгийн болон даатгалын үйл ажиллагаа,2006,265.5
Бүгд,Санхүүгийн болон даатгалын үйл ажиллагаа,2007,361.9
Бүгд,Санхүүгийн болон даатгалын үйл ажиллагаа,2008,471.4
Бүгд,Санхүүгийн болон даатгалын үйл ажиллагаа,2009,599.9
Бүгд,Санхүүгийн болон даатгалын үйл ажиллагаа,2010,696.7
Бүгд,Санхүүгийн болон даатгалын үйл ажиллагаа,2011,886.9
Бүгд,Санхүүгийн болон даатгалын үйл ажиллагаа,2012,1066.7
Бүгд,Санхүүгийн болон даатгалын үйл ажиллагаа,2013,1190.0
Бүгд,Санхүүгийн болон даатгалын үйл ажиллагаа,2014,1067.6
Бүгд,Санхүүгийн болон даатгалын үйл ажиллагаа,2015,1049.7
Бүгд,Санхүүгийн болон даатгалын үйл ажиллагаа,2016,1082.3
Бүгд,Санхүүгийн болон даатгалын үйл ажиллагаа,2017,1131.6
Бүгд,Санхүүгийн болон даатгалын үйл ажиллагаа,2018,1160.6
Бүгд,Санхүүгийн болон даатгалын үйл ажиллагаа,2019,1343.1
Бүгд,Санхүүгийн болон даатгалын үйл ажиллагаа,2020,1453.7
Бүгд,Санхүүгийн болон даатгалын үйл ажиллагаа,2021,1515.8
Бүгд,Санхүүгийн болон даатгалын үйл ажиллагаа,2022,1927.8
Бүгд,Санхүүгийн болон даатгалын үйл ажиллагаа,2023,2261.5
Бүгд,Санхүүгийн болон даатгалын үйл ажиллагаа,2024,2897.0
Бүгд,Санхүүгийн болон даатгалын үйл ажиллагаа,2025,3263.4
Бүгд,Тээвэр ба агуулахын үйл ажиллагаа,2001,84.1
Бүгд,Тээвэр ба агуулахын үйл ажиллагаа,2002,90.9
Бүгд,Тээвэр ба агуулахын үйл ажиллагаа,2003,106.1
Бүгд,Тээвэр ба агуулахын үйл ажиллагаа,2004,109.0
Бүгд,Тээвэр ба агуулахын үйл ажиллагаа,2005,112.4
Бүгд,Тээвэр ба агуулахын үйл ажиллагаа,2006,130.8
Бүгд,Тээвэр ба агуулахын үйл ажиллагаа,2007,174.1
Бүгд,Тээвэр ба агуулахын үйл ажиллагаа,2008,255.6
Бүгд,Тээвэр ба агуулахын үйл ажиллагаа,2009,294.6
Бүгд,Тээвэр ба агуулахын үйл ажиллагаа,2010,369.0
Бүгд,Тээвэр ба агуулахын үйл ажиллагаа,2011,487.2
Бүгд,Тээвэр ба агуулахын үйл ажиллагаа,2012,521.3
Бүгд,Тээвэр ба агуулахын үйл ажиллагаа,2013,822.1
Бүгд,Тээвэр ба агуулахын үйл ажиллагаа,2014,924.5
Бүгд,Тээвэр ба агуулахын үйл ажиллагаа,2015,885.0
Бүгд,Тээвэр ба агуулахын үйл ажиллагаа,2016,984.8
Бүгд,Тээвэр ба агуулахын үйл ажиллагаа,2017,1022.5
Бүгд,Тээвэр ба агуулахын үйл ажиллагаа,2018,1046.8
Бүгд,Тээвэр ба агуулахын үйл ажиллагаа,2019,1117.0
Бүгд,Тээвэр ба агуулахын үйл ажиллагаа,2020,1203.4
Бүгд,Тээвэр ба агуулахын үйл ажиллагаа,2021,1287.0
Бүгд,Тээвэр ба агуулахын үйл ажиллагаа,2022,1646.2
Бүгд,Тээвэр ба агуулахын үйл ажиллагаа,2023,2100.1
Бүгд,Тээвэр ба агуулахын үйл ажиллагаа,2024,2541.6
Бүгд,Тээвэр ба агуулахын үйл ажиллагаа,2025,3128.6
Бүгд,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2001,59.3
Бүгд,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2002,66.5
Бүгд,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2003,78.2
Бүгд,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2004,94.4
Бүгд,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2005,106.2
Бүгд,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2006,140.8
Бүгд,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2007,194.0
Бүгд,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2008,327.3
Бүгд,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2009,332.0
Бүгд,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2010,351.1
Бүгд,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2011,434.3
Бүгд,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2012,613.9
Бүгд,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2013,719.5
Бүгд,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2014,776.4
Бүгд,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2015,788.9
Бүгд,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2016,780.1
Бүгд,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2017,832.2
Бүгд,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2018,898.0
Бүгд,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2019,1030.0
Бүгд,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2020,1093.2
Бүгд,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2021,1140.7
Бүгд,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2022,1290.6
Бүгд,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2023,1825.8
Бүгд,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2024,2454.7
Бүгд,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2025,2807.3
Бүгд,Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2001,..
Бүгд,Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2002,..
Бүгд,Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2003,..
Бүгд,Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2004,..
Бүгд,Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2005,..
Бүгд,Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2006,..
Бүгд,Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2007,..
Бүгд,Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2008,..
Бүгд,Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2009,..
Бүгд,Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2010,..
Бүгд,Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2011,..
Бүгд,Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2012,..
Бүгд,Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2013,589.2
Бүгд,Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2014,625.5
Бүгд,Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2015,662.3
Бүгд,Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2016,683.2
Бүгд,Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2017,760.3
Бүгд,Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2018,829.4
Бүгд,Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2019,995.8
Бүгд,Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2020,1084.4
Бүгд,Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2021,1162.5
Бүгд,Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2022,1264.8
Бүгд,Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2023,1561.5
Бүгд,Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2024,1950.6
Бүгд,Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2025,2489.9
Бүгд,Улсын дундаж,2001,65.2
Бүгд,Улсын дундаж,2002,71.3
Бүгд,Улсын дундаж,2003,81.5
Бүгд,Улсын дундаж,2004,93.1
Бүгд,Улсын дундаж,2005,101.2
Бүгд,Улсын дундаж,2006,127.7
Бүгд,Улсын дундаж,2007,173.0
Бүгд,Улсын дундаж,2008,274.2
Бүгд,Улсын дундаж,2009,300.5
Бүгд,Улсын дундаж,2010,341.5
Бүгд,Улсын дундаж,2011,424.2
Бүгд,Улсын дундаж,2012,557.6
Бүгд,Улсын дундаж,2013,774.9
Бүгд,Улсын дундаж,2014,796.6
Бүгд,Улсын дундаж,2015,808.0
Бүгд,Улсын дундаж,2016,861.9
Бүгд,Улсын дундаж,2017,944.5
Бүгд,Улсын дундаж,2018,1002.9
Бүгд,Улсын дундаж,2019,1124.3
Бүгд,Улсын дундаж,2020,1220.6
Бүгд,Улсын дундаж,2021,1279.4
Бүгд,Улсын дундаж,2022,1503.8
Бүгд,Улсын дундаж,2023,1881.8
Бүгд,Улсын дундаж,2024,2332.4
Бүгд,Улсын дундаж,2025,2726.9
Бүгд,"Урлаг, үзвэр, тоглоом, наадам",2001,..
Бүгд,"Урлаг, үзвэр, тоглоом, наадам",2002,..
Бүгд,"Урлаг, үзвэр, тоглоом, наадам",2003,..
Бүгд,"Урлаг, үзвэр, тоглоом, наадам",2004,..
Бүгд,"Урлаг, үзвэр, тоглоом, наадам",2005,..
Бүгд,"Урлаг, үзвэр, тоглоом, наадам",2006,..
Бүгд,"Урлаг, үзвэр, тоглоом, наадам",2007,..
Бүгд,"Урлаг, үзвэр, тоглоом, наадам",2008,..
Бүгд,"Урлаг, үзвэр, тоглоом, наадам",2009,..
Бүгд,"Урлаг, үзвэр, тоглоом, наадам",2010,..
Бүгд,"Урлаг, үзвэр, тоглоом, наадам",2011,..
Бүгд,"Урлаг, үзвэр, тоглоом, наадам",2012,..
Бүгд,"Урлаг, үзвэр, тоглоом, наадам",2013,554.4
Бүгд,"Урлаг, үзвэр, тоглоом, наадам",2014,596.9
Бүгд,"Урлаг, үзвэр, тоглоом, наадам",2015,619.8
Бүгд,"Урлаг, үзвэр, тоглоом, наадам",2016,587.6
Бүгд,"Урлаг, үзвэр, тоглоом, наадам",2017,605.2
Бүгд,"Урлаг, үзвэр, тоглоом, наадам",2018,624.2
Бүгд,"Урлаг, үзвэр, тоглоом, наадам",2019,738.1
Бүгд,"Урлаг, үзвэр, тоглоом, наадам",2020,844.0
Бүгд,"Урлаг, үзвэр, тоглоом, наадам",2021,873.4
Бүгд,"Урлаг, үзвэр, тоглоом, наадам",2022,971.4
Бүгд,"Урлаг, үзвэр, тоглоом, наадам",2023,1368.6
Бүгд,"Урлаг, үзвэр, тоглоом, наадам",2024,1843.3
Бүгд,"Урлаг, үзвэр, тоглоом, наадам",2025,2249.4
Бүгд,"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2001,..
Бүгд,"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2002,..
Бүгд,"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2003,..
