сар,үзүүлэлт,утга
2018-03,Экспорт,614.25
2018-03,Импорт,406.191
2018-03,Цэвэр тэнцэл,208.05900000000003
2018-04,Экспорт,622.561
2018-04,Импорт,448.597
2018-04,Цэвэр тэнцэл,173.96400000000006
2018-05,Экспорт,694.573
2018-05,Импорт,599.581
2018-05,Цэвэр тэнцэл,94.99199999999996
2018-06,Экспорт,664.366
2018-06,Импорт,577.879
2018-06,Цэвэр тэнцэл,86.48699999999997
2018-07,Экспорт,498.274
2018-07,Импорт,503.608
2018-07,Цэвэр тэнцэл,-5.334000000000003
2018-08,Экспорт,496.602
2018-08,Импорт,545.169
2018-08,Цэвэр тэнцэл,-48.56700000000001
2018-09,Экспорт,586.82
2018-09,Импорт,548.709
2018-09,Цэвэр тэнцэл,38.1110000000001
2018-10,Экспорт,571.881
2018-10,Импорт,524.649
2018-10,Цэвэр тэнцэл,47.23199999999997
2018-11,Экспорт,528.825
2018-11,Импорт,496.948
2018-11,Цэвэр тэнцэл,31.877000000000063
2018-12,Экспорт,521.607
2018-12,Импорт,503.406
2018-12,Цэвэр тэнцэл,18.200999999999965
2019-01,Экспорт,622.401
2019-01,Импорт,473.404
2019-01,Цэвэр тэнцэл,148.99699999999996
2019-02,Экспорт,440.007
2019-02,Импорт,309.308
2019-02,Цэвэр тэнцэл,130.699
2019-03,Экспорт,634.151
2019-03,Импорт,449.666
2019-03,Цэвэр тэнцэл,184.485
2019-04,Экспорт,706.774
2019-04,Импорт,481.67
2019-04,Цэвэр тэнцэл,225.104
2019-05,Экспорт,689.605
2019-05,Импорт,521.387
2019-05,Цэвэр тэнцэл,168.21800000000007
2019-06,Экспорт,656.942
2019-06,Импорт,559.396
2019-06,Цэвэр тэнцэл,97.54600000000003
2019-07,Экспорт,582.426
2019-07,Импорт,609.109
2019-07,Цэвэр тэнцэл,-26.682999999999996
2019-08,Экспорт,767.703
2019-08,Импорт,587.351
2019-08,Цэвэр тэнцэл,180.352
2019-09,Экспорт,528.754
2019-09,Импорт,507.049
2019-09,Цэвэр тэнцэл,21.70500000000004
2019-10,Экспорт,515.076
2019-10,Импорт,465.425
2019-10,Цэвэр тэнцэл,49.65100000000001
2019-11,Экспорт,497.268
2019-11,Импорт,519.411
2019-11,Цэвэр тэнцэл,-22.14299999999997
2019-12,Экспорт,541.738
2019-12,Импорт,541.557
2019-12,Цэвэр тэнцэл,0.18100000000004
2020-01,Экспорт,376.125
2020-01,Импорт,475.284
2020-01,Цэвэр тэнцэл,-99.159
2020-02,Экспорт,259.883
2020-02,Импорт,272.504
2020-02,Цэвэр тэнцэл,-12.621000000000038
2020-03,Экспорт,218.01
2020-03,Импорт,403.049
2020-03,Цэвэр тэнцэл,-185.039
2020-04,Экспорт,293.833
2020-04,Импорт,417.266
2020-04,Цэвэр тэнцэл,-123.433
2020-05,Экспорт,611.237
2020-05,Импорт,400.373
2020-05,Цэвэр тэнцэл,210.864
2020-06,Экспорт,814.575
2020-06,Импорт,460.11
2020-06,Цэвэр тэнцэл,354.46500000000003
2020-07,Экспорт,921.862
2020-07,Импорт,474.357
2020-07,Цэвэр тэнцэл,447.505
2020-08,Экспорт,663.942
2020-08,Импорт,506.05
2020-08,Цэвэр тэнцэл,157.892
2020-09,Экспорт,586.432
2020-09,Импорт,469.099
2020-09,Цэвэр тэнцэл,117.33300000000004
2020-10,Экспорт,739.368
2020-10,Импорт,501.729
2020-10,Цэвэр тэнцэл,237.63900000000007
2020-11,Экспорт,841.089
2020-11,Импорт,447.222
2020-11,Цэвэр тэнцэл,393.8670000000001
2020-12,Экспорт,664.307
2020-12,Импорт,408.061
2020-12,Цэвэр тэнцэл,256.24600000000004
2021-01,Экспорт,598.374
2021-01,Импорт,444.241
2021-01,Цэвэр тэнцэл,154.13300000000004
2021-02,Экспорт,546.649
2021-02,Импорт,452.352
2021-02,Цэвэр тэнцэл,94.29700000000004
2021-03,Экспорт,683.413
2021-03,Импорт,583.146
2021-03,Цэвэр тэнцэл,100.26700000000004
2021-04,Экспорт,363.99
2021-04,Импорт,436.562
2021-04,Цэвэр тэнцэл,-72.572
2021-05,Экспорт,675.81
2021-05,Импорт,636.973
2021-05,Цэвэр тэнцэл,38.83699999999999
2021-06,Экспорт,635.018
2021-06,Импорт,655.33
2021-06,Цэвэр тэнцэл,-20.31200000000001
2021-07,Экспорт,524.545
2021-07,Импорт,563.456
2021-07,Цэвэр тэнцэл,-38.91100000000006
2021-08,Экспорт,748.756
2021-08,Импорт,623.99
2021-08,Цэвэр тэнцэл,124.76599999999996
2021-09,Экспорт,711.0
2021-09,Импорт,649.09
2021-09,Цэвэр тэнцэл,61.90999999999997
2021-10,Экспорт,1039.088
2021-10,Импорт,516.902
2021-10,Цэвэр тэнцэл,522.1859999999999
2021-11,Экспорт,1277.65
2021-11,Импорт,544.275
2021-11,Цэвэр тэнцэл,733.3750000000001
2021-12,Экспорт,331.447
2021-12,Импорт,659.798
2021-12,Цэвэр тэнцэл,-328.351
2022-01,Экспорт,461.517
2022-01,Импорт,567.362
2022-01,Цэвэр тэнцэл,-105.84499999999996
2022-02,Экспорт,538.335
2022-02,Импорт,498.109
2022-02,Цэвэр тэнцэл,40.226000000000056
2022-03,Экспорт,566.027
2022-03,Импорт,657.192
2022-03,Цэвэр тэнцэл,-91.16499999999996
2022-04,Экспорт,572.782
2022-04,Импорт,657.253
2022-04,Цэвэр тэнцэл,-84.471
2022-05,Экспорт,868.378
2022-05,Импорт,783.227
2022-05,Цэвэр тэнцэл,85.15100000000007
2022-06,Экспорт,835.48
2022-06,Импорт,798.459
2022-06,Цэвэр тэнцэл,37.02100000000007
2022-07,Экспорт,851.948
2022-07,Импорт,789.344
2022-07,Цэвэр тэнцэл,62.60399999999993
2022-08,Экспорт,1007.339
2022-08,Импорт,819.719
2022-08,Цэвэр тэнцэл,187.62
2022-09,Экспорт,1070.712
2022-09,Импорт,739.02
2022-09,Цэвэр тэнцэл,331.692
2022-10,Экспорт,915.799
2022-10,Импорт,777.613
2022-10,Цэвэр тэнцэл,138.18599999999992
2022-11,Экспорт,1071.55
2022-11,Импорт,718.848
2022-11,Цэвэр тэнцэл,352.702
2022-12,Экспорт,1094.335
2022-12,Импорт,815.537
2022-12,Цэвэр тэнцэл,278.798
2023-01,Экспорт,1005.255
2023-01,Импорт,688.381
2023-01,Цэвэр тэнцэл,316.874
2023-02,Экспорт,1090.479
2023-02,Импорт,513.596
2023-02,Цэвэр тэнцэл,576.883
2023-03,Экспорт,1252.772
2023-03,Импорт,743.125
2023-03,Цэвэр тэнцэл,509.64699999999993
2023-04,Экспорт,1192.779
2023-04,Импорт,728.711
2023-04,Цэвэр тэнцэл,464.068
2023-05,Экспорт,1054.991
2023-05,Импорт,810.938
2023-05,Цэвэр тэнцэл,244.053
2023-06,Экспорт,1141.921
2023-06,Импорт,812.934
2023-06,Цэвэр тэнцэл,328.9870000000001
2023-07,Экспорт,1097.37
2023-07,Импорт,754.762
2023-07,Цэвэр тэнцэл,342.60799999999995
2023-08,Экспорт,1270.707
2023-08,Импорт,941.465
2023-08,Цэвэр тэнцэл,329.2420000000001
2023-09,Экспорт,1209.219
2023-09,Импорт,823.371
2023-09,Цэвэр тэнцэл,385.84800000000007
2023-10,Экспорт,1060.419
2023-10,Импорт,806.044
2023-10,Цэвэр тэнцэл,254.3750000000001
2023-11,Экспорт,1271.606
2023-11,Импорт,842.935
2023-11,Цэвэр тэнцэл,428.6710000000001
2023-12,Экспорт,1266.778
2023-12,Импорт,899.383
2023-12,Цэвэр тэнцэл,367.395
2024-01,Экспорт,1167.357
2024-01,Импорт,946.31
2024-01,Цэвэр тэнцэл,221.04700000000005
2024-02,Экспорт,832.863
2024-02,Импорт,675.593
2024-02,Цэвэр тэнцэл,157.2700000000001
2024-03,Экспорт,1430.747
2024-03,Импорт,864.265
2024-03,Цэвэр тэнцэл,566.4820000000001
2024-04,Экспорт,1192.079
2024-04,Импорт,1082.413
2024-04,Цэвэр тэнцэл,109.66599999999994
2024-05,Экспорт,1337.973
2024-05,Импорт,948.093
2024-05,Цэвэр тэнцэл,389.88
2024-06,Экспорт,1482.182
2024-06,Импорт,984.101
2024-06,Цэвэр тэнцэл,498.081
2024-07,Экспорт,1277.666
2024-07,Импорт,1023.975
2024-07,Цэвэр тэнцэл,253.69099999999992
2024-08,Экспорт,1316.524
2024-08,Импорт,1087.724
2024-08,Цэвэр тэнцэл,228.79999999999995
2024-09,Экспорт,1026.348
2024-09,Импорт,1087.127
2024-09,Цэвэр тэнцэл,-60.779
2024-10,Экспорт,1321.304
2024-10,Импорт,973.69
2024-10,Цэвэр тэнцэл,347.61400000000003
2024-11,Экспорт,1326.564
2024-11,Импорт,977.844
2024-11,Цэвэр тэнцэл,348.72
2024-12,Экспорт,1038.267
2024-12,Импорт,1017.284
2024-12,Цэвэр тэнцэл,20.98300000000006
2025-01,Экспорт,978.76
2025-01,Импорт,984.11
2025-01,Цэвэр тэнцэл,-5.350000000000023
2025-02,Экспорт,954.51
2025-02,Импорт,761.05
2025-02,Цэвэр тэнцэл,193.46000000000004
2025-03,Экспорт,908.5
2025-03,Импорт,837.24
2025-03,Цэвэр тэнцэл,71.25999999999999
2025-04,Экспорт,1158.66
2025-04,Импорт,1012.37
2025-04,Цэвэр тэнцэл,146.29000000000008
2025-05,Экспорт,1099.88
2025-05,Импорт,962.38
2025-05,Цэвэр тэнцэл,137.5000000000001
2025-06,Экспорт,1140.28
2025-06,Импорт,962.75
2025-06,Цэвэр тэнцэл,177.52999999999997
2025-07,Экспорт,1062.48
2025-07,Импорт,958.57
2025-07,Цэвэр тэнцэл,103.90999999999995
2025-08,Экспорт,1367.15
2025-08,Импорт,960.0
2025-08,Цэвэр тэнцэл,407.1500000000001
2025-09,Экспорт,1615.5
2025-09,Импорт,1048.44
2025-09,Цэвэр тэнцэл,567.06
2025-10,Экспорт,1499.32
