date,metric,value
2012-05-01,Total Liabilities,8701.926
2012-05-01,Capital,1018.203
2012-06-01,Total Assets,10336.851
2012-06-01,Total Liabilities,9252.816
2012-06-01,Capital,1084.034
2012-07-01,Total Assets,10140.701
2012-07-01,Total Liabilities,9041.127
2012-07-01,Capital,1099.574
2012-08-01,Total Assets,10296.373
2012-08-01,Total Liabilities,9179.042
2012-08-01,Capital,1117.331
2012-09-01,Total Assets,10956.011
2012-09-01,Total Liabilities,9812.514
2012-09-01,Capital,1143.496
2012-10-01,Total Assets,10913.905
2012-10-01,Total Liabilities,9754.331
2012-10-01,Capital,1159.574
2012-11-01,Total Assets,10909.363
2012-11-01,Total Liabilities,9711.968
2012-11-01,Capital,1197.395
2012-12-01,Total Assets,11978.467
2012-12-01,Total Liabilities,10754.678
2012-12-01,Capital,1223.789
2013-01-01,Total Assets,12203.222
2013-01-01,Total Liabilities,10913.602
2013-01-01,Capital,1289.62
2013-02-01,Total Assets,12548.311
2013-02-01,Total Liabilities,11290.383
2013-02-01,Capital,1257.928
2013-03-01,Total Assets,13273.291
2013-03-01,Total Liabilities,12006.669
2013-03-01,Capital,1266.623
2013-04-01,Total Assets,13318.672
2013-04-01,Total Liabilities,12024.635
2013-04-01,Capital,1294.035
2013-05-01,Total Assets,14647.026
2013-05-01,Total Liabilities,13329.104
2013-05-01,Capital,1317.922
2013-06-01,Total Assets,15926.172
2013-06-01,Total Liabilities,14542.285
2013-06-01,Capital,1383.886
2013-07-01,Total Assets,16047.137
2013-07-01,Total Liabilities,14682.423
2013-07-01,Capital,1364.714
2013-08-01,Total Assets,16894.332
2013-08-01,Total Liabilities,15469.176
2013-08-01,Capital,1425.157
2013-09-01,Total Assets,18114.625
2013-09-01,Total Liabilities,16569.873
2013-09-01,Capital,1544.752
2013-10-01,Total Assets,18596.397
2013-10-01,Total Liabilities,17019.747
2013-10-01,Capital,1576.65
2013-11-01,Total Assets,19442.091
2013-11-01,Total Liabilities,17853.274
2013-11-01,Capital,1588.817
2013-12-01,Total Assets,20850.384
2013-12-01,Total Liabilities,19131.689
2013-12-01,Capital,1718.711
2014-01-01,Total Assets,19990.244
2014-01-01,Total Liabilities,18236.616
2014-01-01,Capital,1753.628
2014-02-01,Total Assets,20553.516
2014-02-01,Total Liabilities,18778.22
2014-02-01,Capital,1775.296
2014-03-01,Total Assets,20678.301
2014-03-01,Total Liabilities,18801.934
2014-03-01,Capital,1876.367
2014-04-01,Total Assets,21184.814
