он,аймаг,эмч
1993,Сэлэнгэ,115
1993,Сүхбаатар,97
1993,Төв,126
1993,Увс,158
1993,Улаанбаатар,2649
1993,Ховд,130
1993,Хэнтий,108
1993,Хөвсгөл,160
1993,Өвөрхангай,169
1993,Өмнөговь,83
1994,Архангай,139
1994,Баян-Өлгий,114
1994,Баянхонгор,105
1994,Булган,98
1994,Говь-Алтай,110
1994,Говьсүмбэр,15
1994,Дархан-Уул,240
1994,Дорноговь,87
1994,Дорнод,132
1994,Дундговь,96
1994,Завхан,142
1994,Орхон,159
1994,Сэлэнгэ,108
1994,Сүхбаатар,89
1994,Төв,131
1994,Увс,131
1994,Улаанбаатар,3085
1994,Ховд,135
1994,Хэнтий,112
1994,Хөвсгөл,200
1994,Өвөрхангай,165
1994,Өмнөговь,81
1995,Архангай,144
1995,Баян-Өлгий,121
1995,Баянхонгор,114
1995,Булган,103
1995,Говь-Алтай,114
1995,Говьсүмбэр,24
1995,Дархан-Уул,244
1995,Дорноговь,90
1995,Дорнод,133
1995,Дундговь,93
1995,Завхан,139
1995,Орхон,178
1995,Сэлэнгэ,132
1995,Сүхбаатар,90
1995,Төв,130
1995,Увс,147
1995,Улаанбаатар,2850
1995,Ховд,123
1995,Хэнтий,109
1995,Хөвсгөл,177
1995,Өвөрхангай,170
1995,Өмнөговь,75
1996,Архангай,155
1996,Баян-Өлгий,123
1996,Баянхонгор,120
1996,Булган,104
1996,Говь-Алтай,115
1996,Говьсүмбэр,29
1996,Дархан-Уул,242
1996,Дорноговь,108
1996,Дорнод,131
1996,Дундговь,99
1996,Завхан,146
1996,Орхон,206
1996,Сэлэнгэ,146
1996,Сүхбаатар,99
1996,Төв,139
1996,Увс,150
1996,Улаанбаатар,3215
1996,Ховд,125
1996,Хэнтий,111
1996,Хөвсгөл,177
1996,Өвөрхангай,173
1996,Өмнөговь,74
1997,Архангай,140
1997,Баян-Өлгий,126
1997,Баянхонгор,111
1997,Булган,100
1997,Говь-Алтай,116
1997,Говьсүмбэр,33
1997,Дархан-Уул,236
1997,Дорноговь,103
1997,Дорнод,139
1997,Дундговь,88
1997,Завхан,145
1997,Орхон,220
1997,Сэлэнгэ,153
1997,Сүхбаатар,99
1997,Төв,137
1997,Увс,152
1997,Улаанбаатар,3174
1997,Ховд,120
1997,Хэнтий,107
1997,Хөвсгөл,158
1997,Өвөрхангай,182
1997,Өмнөговь,79
1998,Архангай,139
1998,Баян-Өлгий,122
1998,Баянхонгор,115
1998,Булган,103
1998,Говь-Алтай,116
1998,Говьсүмбэр,34
1998,Дархан-Уул,238
1998,Дорноговь,112
1998,Дорнод,136
1998,Дундговь,92
1998,Завхан,132
1998,Орхон,222
1998,Сэлэнгэ,158
1998,Сүхбаатар,99
1998,Төв,137
1998,Увс,133
1998,Улаанбаатар,3100
1998,Ховд,130
1998,Хэнтий,111
1998,Хөвсгөл,164
1998,Өвөрхангай,161
1998,Өмнөговь,77
1999,Архангай,145
1999,Баян-Өлгий,138
1999,Баянхонгор,121
1999,Булган,99
1999,Говь-Алтай,119
1999,Говьсүмбэр,36
1999,Дархан-Уул,248
1999,Дорноговь,108
1999,Дорнод,136
1999,Дундговь,92
1999,Завхан,131
1999,Орхон,225
1999,Сэлэнгэ,164
1999,Сүхбаатар,100
1999,Төв,128
1999,Увс,140
1999,Улаанбаатар,3375
1999,Ховд,132
1999,Хэнтий,114
1999,Хөвсгөл,166
1999,Өвөрхангай,164
1999,Өмнөговь,81
2000,Архангай,140
2000,Баян-Өлгий,132
2000,Баянхонгор,122
2000,Булган,101
2000,Говь-Алтай,132
2000,Говьсүмбэр,37
2000,Дархан-Уул,249
2000,Дорноговь,125
2000,Дорнод,139
2000,Дундговь,101
2000,Завхан,115
2000,Орхон,232
2000,Сэлэнгэ,165
2000,Сүхбаатар,100
2000,Төв,128
2000,Увс,145
2000,Улаанбаатар,3680
2000,Ховд,127
2000,Хэнтий,116
2000,Хөвсгөл,163
2000,Өвөрхангай,161
2000,Өмнөговь,88
2001,Архангай,145
2001,Баян-Өлгий,140
2001,Баянхонгор,117
2001,Булган,97
2001,Говь-Алтай,115
2001,Говьсүмбэр,35
2001,Дархан-Уул,255
2001,Дорноговь,137
2001,Дорнод,146
2001,Дундговь,101
2001,Завхан,124
2001,Орхон,243
2001,Сэлэнгэ,173
2001,Сүхбаатар,97
2001,Төв,130
2001,Увс,136
2001,Улаанбаатар,3760
2001,Ховд,135
2001,Хэнтий,126
2001,Хөвсгөл,171
2001,Өвөрхангай,162
2001,Өмнөговь,94
2002,Архангай,134
2002,Баян-Өлгий,147
2002,Баянхонгор,117
2002,Булган,107
2002,Говь-Алтай,120
2002,Говьсүмбэр,31
2002,Дархан-Уул,250
2002,Дорноговь,142
2002,Дорнод,145
2002,Дундговь,96
2002,Завхан,122
2002,Орхон,245
2002,Сэлэнгэ,176
2002,Сүхбаатар,95
2002,Төв,130
2002,Увс,116
2002,Улаанбаатар,3971
2002,Ховд,135
2002,Хэнтий,116
2002,Хөвсгөл,171
2002,Өвөрхангай,167
2002,Өмнөговь,90
2003,Архангай,133
2003,Баян-Өлгий,153
2003,Баянхонгор,123
2003,Булган,100
2003,Говь-Алтай,119
2003,Говьсүмбэр,34
2003,Дархан-Уул,225
2003,Дорноговь,144
2003,Дорнод,135
2003,Дундговь,98
2003,Завхан,120
2003,Орхон,241
2003,Сэлэнгэ,186
2003,Сүхбаатар,97
2003,Төв,112
2003,Увс,118
2003,Улаанбаатар,3832
2003,Ховд,137
2003,Хэнтий,108
2003,Хөвсгөл,167
2003,Өвөрхангай,166
2003,Өмнөговь,89
2004,Архангай,125
2004,Баян-Өлгий,141
2004,Баянхонгор,117
2004,Булган,98
2004,Говь-Алтай,116
2004,Говьсүмбэр,35
2004,Дархан-Уул,227
2004,Дорноговь,120
2004,Дорнод,138
2004,Дундговь,89
2004,Завхан,109
2004,Орхон,227
2004,Сэлэнгэ,179
2004,Сүхбаатар,93
2004,Төв,117
2004,Увс,121
2004,Улаанбаатар,3904
2004,Ховд,121
2004,Хэнтий,113
2004,Хөвсгөл,164
2004,Өвөрхангай,161
2004,Өмнөговь,75
2005,Архангай,121
2005,Баян-Өлгий,141
2005,Баянхонгор,107
2005,Булган,103
2005,Говь-Алтай,112
2005,Говьсүмбэр,33
2005,Дархан-Уул,228
2005,Дорноговь,144
2005,Дорнод,123
2005,Дундговь,81
2005,Завхан,103
2005,Орхон,232
2005,Сэлэнгэ,187
2005,Сүхбаатар,96
2005,Төв,126
2005,Увс,129
2005,Улаанбаатар,4073
2005,Ховд,121
2005,Хэнтий,111
2005,Хөвсгөл,167
2005,Өвөрхангай,171
2005,Өмнөговь,79
2006,Архангай,130
2006,Баян-Өлгий,141
2006,Баянхонгор,101
2006,Булган,106
2006,Говь-Алтай,106
2006,Говьсүмбэр,39
2006,Дархан-Уул,221
2006,Дорноговь,154
2006,Дорнод,131
2006,Дундговь,79
2006,Завхан,105
2006,Орхон,237
2006,Сэлэнгэ,178
2006,Сүхбаатар,98
2006,Төв,127
2006,Увс,127
2006,Улаанбаатар,4322
2006,Ховд,128
2006,Хэнтий,126
2006,Хөвсгөл,161
2006,Өвөрхангай,173
2006,Өмнөговь,89
2007,Архангай,132
2007,Баян-Өлгий,142
2007,Баянхонгор,110
2007,Булган,102
2007,Говь-Алтай,109
2007,Говьсүмбэр,42
2007,Дархан-Уул,222
2007,Дорноговь,153
2007,Дорнод,134
2007,Дундговь,88
2007,Завхан,113
2007,Орхон,251
2007,Сэлэнгэ,174
2007,Сүхбаатар,105
2007,Төв,132
2007,Увс,137
2007,Улаанбаатар,4472
2007,Ховд,128
2007,Хэнтий,141
2007,Хөвсгөл,172
2007,Өвөрхангай,182
2007,Өмнөговь,95
2008,Архангай,146
2008,Баян-Өлгий,141
2008,Баянхонгор,123
2008,Булган,110
2008,Говь-Алтай,113
2008,Говьсүмбэр,43
2008,Дархан-Уул,237
2008,Дорноговь,190
2008,Дорнод,133
2008,Дундговь,93
2008,Завхан,126
2008,Орхон,252
2008,Сэлэнгэ,187
2008,Сүхбаатар,110
2008,Төв,138
2008,Увс,138
2008,Улаанбаатар,4562
2008,Ховд,124
2008,Хэнтий,150
2008,Хөвсгөл,173
2008,Өвөрхангай,186
2008,Өмнөговь,109
2009,Архангай,125
2009,Баян-Өлгий,132
2009,Баянхонгор,104
2009,Булган,94
2009,Говь-Алтай,115
2009,Говьсүмбэр,41
2009,Дархан-Уул,231
2009,Дорноговь,178
2009,Дорнод,138
2009,Дундговь,91
2009,Завхан,118
2009,Орхон,224
2009,Сэлэнгэ,165
2009,Сүхбаатар,101
2009,Төв,131
2009,Увс,116
2009,Улаанбаатар,4328
2009,Ховд,123
2009,Хэнтий,146
2009,Хөвсгөл,160
2009,Өвөрхангай,173
2009,Өмнөговь,106
2010,Архангай,136
2010,Баян-Өлгий,144
2010,Баянхонгор,111
2010,Булган,91
2010,Говь-Алтай,124
2010,Говьсүмбэр,39
2010,Дархан-Уул,231
2010,Дорноговь,184
2010,Дорнод,134
2010,Дундговь,88
2010,Завхан,120
2010,Орхон,246
2010,Сэлэнгэ,161
2010,Сүхбаатар,106
2010,Төв,138
2010,Увс,122
2010,Улаанбаатар,4565
2010,Ховд,148
2010,Хэнтий,141
2010,Хөвсгөл,175
2010,Өвөрхангай,176
2010,Өмнөговь,117
2011,Архангай,143
2011,Баян-Өлгий,145
2011,Баянхонгор,125
2011,Булган,101
2011,Говь-Алтай,138
2011,Говьсүмбэр,45
2011,Дархан-Уул,242
2011,Дорноговь,179
2011,Дорнод,138
2011,Дундговь,84
2011,Завхан,128
2011,Орхон,252
2011,Сэлэнгэ,166
2011,Сүхбаатар,112
2011,Төв,154
2011,Увс,120
2011,Улаанбаатар,4907
2011,Ховд,149
2011,Хэнтий,144
2011,Хөвсгөл,172
2011,Өвөрхангай,180
2011,Өмнөговь,119
2012,Архангай,147
2012,Баян-Өлгий,145
2012,Баянхонгор,134
2012,Булган,108
2012,Говь-Алтай,149
2012,Говьсүмбэр,48
2012,Дархан-Уул,248
2012,Дорноговь,183
2012,Дорнод,159
2012,Дундговь,99
2012,Завхан,143
2012,Орхон,257
2012,Сэлэнгэ,160
2012,Сүхбаатар,115
2012,Төв,159
2012,Увс,136
2012,Улаанбаатар,5359
2012,Ховд,169
2012,Хэнтий,152
2012,Хөвсгөл,198
2012,Өвөрхангай,194
2012,Өмнөговь,135
2013,Архангай,151
2013,Баян-Өлгий,149
2013,Баянхонгор,146
2013,Булган,101
2013,Говь-Алтай,157
2013,Говьсүмбэр,56
2013,Дархан-Уул,250
2013,Дорноговь,205
2013,Дорнод,172
2013,Дундговь,106
2013,Завхан,150
2013,Орхон,268
2013,Сэлэнгэ,182
2013,Сүхбаатар,121
2013,Төв,180
2013,Увс,138
2013,Улаанбаатар,5495
2013,Ховд,167
2013,Хэнтий,153
2013,Хөвсгөл,204
2013,Өвөрхангай,213
2013,Өмнөговь,147
2014,Архангай,160
2014,Баян-Өлгий,156
2014,Баянхонгор,165
2014,Булган,106
2014,Говь-Алтай,161
2014,Говьсүмбэр,58
2014,Дархан-Уул,252
2014,Дорноговь,196
2014,Дорнод,170
2014,Дундговь,111
2014,Завхан,153
2014,Орхон,259
2014,Сэлэнгэ,189
2014,Сүхбаатар,121
2014,Төв,184
2014,Увс,143
2014,Улаанбаатар,5793
2014,Ховд,178
2014,Хэнтий,151
2014,Хөвсгөл,217
2014,Өвөрхангай,218
2014,Өмнөговь,159
2015,Архангай,167
2015,Баян-Өлгий,166
2015,Баянхонгор,159
2015,Булган,111
2015,Говь-Алтай,172
2015,Говьсүмбэр,56
2015,Дархан-Уул,263
2015,Дорноговь,210
2015,Дорнод,169
2015,Дундговь,123
2015,Завхан,161
2015,Орхон,267
2015,Сэлэнгэ,209
2015,Сүхбаатар,140
2015,Төв,189
2015,Увс,169
2015,Улаанбаатар,5834
2015,Ховд,194
2015,Хэнтий,155
2015,Хөвсгөл,231
2015,Өвөрхангай,248
2015,Өмнөговь,170
2016,Архангай,184
2016,Баян-Өлгий,186
2016,Баянхонгор,174
2016,Булган,120
2016,Говь-Алтай,177
2016,Говьсүмбэр,52
2016,Дархан-Уул,284
2016,Дорноговь,223
2016,Дорнод,174
2016,Дундговь,128
2016,Завхан,182
2016,Орхон,325
2016,Сэлэнгэ,235
2016,Сүхбаатар,152
2016,Төв,199
2016,Увс,170
2016,Улаанбаатар,5986
2016,Ховд,208
2016,Хэнтий,165
2016,Хөвсгөл,239
2016,Өвөрхангай,255
2016,Өмнөговь,182
2017,Архангай,172
2017,Баян-Өлгий,203
2017,Баянхонгор,187
2017,Булган,122
2017,Говь-Алтай,187
2017,Говьсүмбэр,57
2017,Дархан-Уул,274
2017,Дорноговь,222
2017,Дорнод,183
2017,Дундговь,141
2017,Завхан,181
2017,Орхон,325
2017,Сэлэнгэ,246
2017,Сүхбаатар,153
2017,Төв,218
2017,Увс,169
2017,Улаанбаатар,6429
2017,Ховд,231
2017,Хэнтий,180
2017,Хөвсгөл,249
2017,Өвөрхангай,258
2017,Өмнөговь,189
2018,Архангай,185
2018,Баян-Өлгий,213
2018,Баянхонгор,202
2018,Булган,111
2018,Говь-Алтай,193
2018,Говьсүмбэр,63
2018,Дархан-Уул,271
2018,Дорноговь,242
2018,Дорнод,188
2018,Дундговь,137
2018,Завхан,178
2018,Орхон,344
2018,Сэлэнгэ,251
2018,Сүхбаатар,157
2018,Төв,217
2018,Увс,181
2018,Улаанбаатар,6895
2018,Ховд,239
2018,Хэнтий,180
2018,Хөвсгөл,260
2018,Өвөрхангай,265
2018,Өмнөговь,197
2019,Архангай,205
2019,Баян-Өлгий,238
2019,Баянхонгор,213
2019,Булган,133
2019,Говь-Алтай,185
2019,Говьсүмбэр,66
2019,Дархан-Уул,282
2019,Дорноговь,249
2019,Дорнод,200
2019,Дундговь,153
2019,Завхан,182
2019,Орхон,373
2019,Сэлэнгэ,247
2019,Сүхбаатар,146
2019,Төв,214
2019,Увс,197
2019,Улаанбаатар,7263
2019,Ховд,263
2019,Хэнтий,193
2019,Хөвсгөл,274
2019,Өвөрхангай,285
2019,Өмнөговь,227
2020,Архангай,208
2020,Баян-Өлгий,255
2020,Баянхонгор,203
2020,Булган,147
2020,Говь-Алтай,205
2020,Говьсүмбэр,57
2020,Дархан-Уул,306
2020,Дорноговь,272
2020,Дорнод,197
2020,Дундговь,161
2020,Завхан,184
2020,Орхон,354
2020,Сэлэнгэ,231
2020,Сүхбаатар,164
2020,Төв,243
2020,Увс,197
2020,Улаанбаатар,7762
2020,Ховд,285
2020,Хэнтий,207
2020,Хөвсгөл,262
2020,Өвөрхангай,296
2020,Өмнөговь,235
2021,Архангай,203
2021,Баян-Өлгий,267
2021,Баянхонгор,194
2021,Булган,137
2021,Говь-Алтай,206
2021,Говьсүмбэр,72
2021,Дархан-Уул,308
2021,Дорноговь,267
2021,Дорнод,202
2021,Дундговь,150
2021,Завхан,186
2021,Орхон,390
2021,Сэлэнгэ,232
2021,Сүхбаатар,159
2021,Төв,237
2021,Увс,210
2021,Улаанбаатар,8239
2021,Ховд,274
2021,Хэнтий,209
2021,Хөвсгөл,289
2021,Өвөрхангай,293
2021,Өмнөговь,246
2022,Архангай,207
2022,Баян-Өлгий,287
2022,Баянхонгор,211
2022,Булган,114
2022,Говь-Алтай,211
2022,Говьсүмбэр,68
2022,Дархан-Уул,326
2022,Дорноговь,259
2022,Дорнод,205
2022,Дундговь,141
2022,Завхан,180
2022,Орхон,440
2022,Сэлэнгэ,253
2022,Сүхбаатар,158
2022,Төв,231
2022,Увс,221
2022,Улаанбаатар,9112
2022,Ховд,304
2022,Хэнтий,211
2022,Хөвсгөл,295
2022,Өвөрхангай,305
2022,Өмнөговь,244
2023,Архангай,215
2023,Баян-Өлгий,313
2023,Баянхонгор,227
2023,Булган,128
2023,Говь-Алтай,215
2023,Говьсүмбэр,71
2023,Дархан-Уул,352
2023,Дорноговь,270
2023,Дорнод,227
2023,Дундговь,148
2023,Завхан,197
2023,Орхон,452
2023,Сэлэнгэ,265
2023,Сүхбаатар,153
2023,Төв,238
2023,Увс,237
2023,Улаанбаатар,9856
2023,Ховд,322
2023,Хэнтий,215
2023,Хөвсгөл,286
2023,Өвөрхангай,335
2023,Өмнөговь,256
2024,Архангай,232
2024,Баян-Өлгий,332
2024,Баянхонгор,233
2024,Булган,124
2024,Говь-Алтай,216
2024,Говьсүмбэр,70
2024,Дархан-Уул,374
2024,Дорноговь,289
2024,Дорнод,230
2024,Дундговь,160
2024,Завхан,192
2024,Орхон,474
2024,Сэлэнгэ,269
2024,Сүхбаатар,162
2024,Төв,259
2024,Увс,238
2024,Улаанбаатар,10624
2024,Ховд,339
2024,Хэнтий,209
2024,Хөвсгөл,313
2024,Өвөрхангай,361
2024,Өмнөговь,273
2025,Архангай,242
2025,Баян-Өлгий,321
2025,Баянхонгор,252
2025,Булган,130
2025,Говь-Алтай,209
2025,Говьсүмбэр,75
2025,Дархан-Уул,386
2025,Дорноговь,270
2025,Дорнод,224
2025,Дундговь,165
2025,Завхан,207
2025,Орхон,479
2025,Сэлэнгэ,280
2025,Сүхбаатар,166
2025,Төв,257
2025,Увс,250
2025,Улаанбаатар,10639
2025,Ховд,360
2025,Хэнтий,212
2025,Хөвсгөл,333
2025,Өвөрхангай,341
2025,Өмнөговь,295
