огноо,чуулган,товлосон_цаг,эхэлсэн_цаг,цагийн_мэдээллийн_төлөв,өгөгдлийн_төлөв,эх_сурвалжийн_нийтлэл,эх_файлын_холбоос,үзүүлэлт,утга,нэгж
2024-11-14,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63344/,,Гадаад томилолт,7,тоо
2024-11-14,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63344/,,Тайлбаргүй тасалсан,4,тоо
2024-11-14,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63344/,,Биеэр оролцсон,111,тоо
2024-11-14,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63344/,,Биеэр оролцсон хувь,88.1,хувь
2024-11-14,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63344/,,Биеэр оролцсон үеийн албан ёсны цагтаа ирэлтийн хувь,71.2,хувь
2024-11-15,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63350/,,Хэлэлцэх асуудал,0,тоо
2024-11-15,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63350/,,Хуралдаан эхэлсэн хоцролт,,минут
2024-11-15,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63350/,,Албан ёсоор цагтаа ирсэн,71,тоо
2024-11-15,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63350/,,Албан ёсоор хоцорсон,34,тоо
2024-11-15,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63350/,,Чөлөөтэй,1,тоо
2024-11-15,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63350/,,Эмнэлгийн чөлөө,4,тоо
2024-11-15,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63350/,,Орон нутгийн томилолт,1,тоо
2024-11-15,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63350/,,Гадаад томилолт,7,тоо
2024-11-15,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63350/,,Тайлбаргүй тасалсан,8,тоо
2024-11-15,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63350/,,Биеэр оролцсон,105,тоо
