region,month,deaths
Govisumber,2017-12,15
Khentii,2017-12,41
Khovd,2017-12,32
Khuvsgul,2017-12,72
Orkhon,2017-12,48
Selenge,2017-12,45
Sukhbaatar,2017-12,21
Tuv,2017-12,26
Ulaanbaatar,2017-12,665
Umnugovi,2017-12,29
Uvs,2017-12,37
Uvurkhangai,2017-12,52
Zavkhan,2017-12,32
Arkhangai,2018-01,41
Bayan-Ulgii,2018-01,41
Bayankhongor,2018-01,53
Bulgan,2018-01,30
Darkhan-Uul,2018-01,57
Dornod,2018-01,46
Dornogovi,2018-01,24
Dundgovi,2018-01,16
Govi-Altai,2018-01,25
Govisumber,2018-01,5
Khentii,2018-01,27
Khovd,2018-01,42
Khuvsgul,2018-01,64
Orkhon,2018-01,32
Selenge,2018-01,44
Sukhbaatar,2018-01,27
Tuv,2018-01,42
Ulaanbaatar,2018-01,726
Umnugovi,2018-01,28
Uvs,2018-01,35
Uvurkhangai,2018-01,49
Zavkhan,2018-01,32
Arkhangai,2018-02,46
Bayan-Ulgii,2018-02,44
Bayankhongor,2018-02,49
Bulgan,2018-02,39
Darkhan-Uul,2018-02,45
Dornod,2018-02,40
Dornogovi,2018-02,33
Dundgovi,2018-02,26
Govi-Altai,2018-02,25
Govisumber,2018-02,4
Khentii,2018-02,26
Khovd,2018-02,45
Khuvsgul,2018-02,56
Orkhon,2018-02,43
Selenge,2018-02,53
Sukhbaatar,2018-02,28
Tuv,2018-02,41
Ulaanbaatar,2018-02,595
Umnugovi,2018-02,23
Uvs,2018-02,25
Uvurkhangai,2018-02,51
Zavkhan,2018-02,33
Arkhangai,2018-03,50
Bayan-Ulgii,2018-03,63
Bayankhongor,2018-03,55
Bulgan,2018-03,24
Darkhan-Uul,2018-03,38
Dornod,2018-03,39
Dornogovi,2018-03,33
Dundgovi,2018-03,26
Govi-Altai,2018-03,34
Govisumber,2018-03,2
Khentii,2018-03,32
Khovd,2018-03,41
Khuvsgul,2018-03,66
Orkhon,2018-03,49
Selenge,2018-03,37
Sukhbaatar,2018-03,30
Tuv,2018-03,40
Ulaanbaatar,2018-03,673
Umnugovi,2018-03,31
Uvs,2018-03,39
Uvurkhangai,2018-03,54
Zavkhan,2018-03,30
Arkhangai,2018-04,43
Bayan-Ulgii,2018-04,37
Bayankhongor,2018-04,35
Bulgan,2018-04,30
Darkhan-Uul,2018-04,57
Dornod,2018-04,28
Dornogovi,2018-04,38
Dundgovi,2018-04,25
Govi-Altai,2018-04,26
