он,гэмт_хэргийн_төрөл,яллагдагч
2016,Өмчлөх эрхийн эсрэг гэмт хэрэг,9915
2016,Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,8503
2016,"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",1997
2016,"Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",1728
2016,"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",426
2016,Хүний амьд явах эрхийн эсрэг гэмт хэрэг,296
2016,Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,280
2016,Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,210
2016,Эдийн засгийн гэмт хэрэг гэмт хэрэг,144
2016,"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",127
2016,Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,90
2016,Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,45
2016,Авлигын гэмт хэрэг,19
2016,Цэргийн албаны эсрэг гэмт хэрэг,13
2016,Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,10
2016,Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,2
2016,Эрүүл мэндийн эсрэг гэмт хэрэг,0
2016,Хүүхдийн эсрэг гэмт хэрэг,0
2016,"Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",0
2017,Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,7267
2017,Өмчлөх эрхийн эсрэг гэмт хэрэг,6926
2017,"Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",1273
2017,"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",1106
2017,"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",496
2017,Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,293
2017,Хүний амьд явах эрхийн эсрэг гэмт хэрэг,270
2017,Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,215
2017,Эдийн засгийн гэмт хэрэг гэмт хэрэг,102
2017,Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,63
2017,Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,30
2017,"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",30
2017,Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,17
2017,Авлигын гэмт хэрэг,17
2017,Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,14
2017,Цэргийн албаны эсрэг гэмт хэрэг,5
2017,Эрүүл мэндийн эсрэг гэмт хэрэг,4
2017,Хүүхдийн эсрэг гэмт хэрэг,3
2017,"Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",0
2018,Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,6936
2018,Өмчлөх эрхийн эсрэг гэмт хэрэг,6885
2018,"Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",903
2018,"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",392
2018,"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",329
2018,Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,307
2018,Хүний амьд явах эрхийн эсрэг гэмт хэрэг,266
2018,Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,119
2018,Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,66
2018,Эдийн засгийн гэмт хэрэг гэмт хэрэг,58
2018,Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,54
2018,Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,34
2018,Цэргийн албаны эсрэг гэмт хэрэг,12
2018,Эрүүл мэндийн эсрэг гэмт хэрэг,10
2018,Хүүхдийн эсрэг гэмт хэрэг,8
2018,Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,7
2018,Авлигын гэмт хэрэг,2
2018,"Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",1
2018,"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",0
2019,Өмчлөх эрхийн эсрэг гэмт хэрэг,7641
2019,Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,6672
2019,"Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",973
2019,"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",388
2019,"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",366
2019,Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,359
2019,Хүний амьд явах эрхийн эсрэг гэмт хэрэг,266
2019,Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,226
2019,Эдийн засгийн гэмт хэрэг гэмт хэрэг,104
2019,Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,35
2019,Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,27
2019,Хүүхдийн эсрэг гэмт хэрэг,14
2019,Цэргийн албаны эсрэг гэмт хэрэг,13
2019,Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,12
2019,Авлигын гэмт хэрэг,8
2019,Эрүүл мэндийн эсрэг гэмт хэрэг,1
2019,"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",0
2019,Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,0
2019,"Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",0
2020,Өмчлөх эрхийн эсрэг гэмт хэрэг,7036
2020,Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,6806
2020,"Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",854
2020,Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,588
2020,"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",366
2020,"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",352
2020,Хүний амьд явах эрхийн эсрэг гэмт хэрэг,262
2020,Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,150
2020,Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,73
2020,Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,53
2020,Эдийн засгийн гэмт хэрэг гэмт хэрэг,51
2020,Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,35
2020,Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,14
2020,Эрүүл мэндийн эсрэг гэмт хэрэг,10
2020,Цэргийн албаны эсрэг гэмт хэрэг,8
2020,Хүүхдийн эсрэг гэмт хэрэг,7
2020,Авлигын гэмт хэрэг,1
2020,"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",0
2020,"Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",0
2021,Өмчлөх эрхийн эсрэг гэмт хэрэг,8039
2021,Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,6999
2021,"Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",800
2021,Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,570
2021,"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",448
2021,"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",417
2021,Хүний амьд явах эрхийн эсрэг гэмт хэрэг,274
2021,Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,186
2021,Эдийн засгийн гэмт хэрэг гэмт хэрэг,105
2021,Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,82
2021,Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,76
2021,Хүүхдийн эсрэг гэмт хэрэг,25
2021,Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,22
2021,Цэргийн албаны эсрэг гэмт хэрэг,14
2021,Эрүүл мэндийн эсрэг гэмт хэрэг,14
2021,Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,3
2021,Авлигын гэмт хэрэг,1
2021,"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",0
2021,"Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",0
2022,Өмчлөх эрхийн эсрэг гэмт хэрэг,12639
2022,Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,7968
2022,"Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",1054
2022,"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",453
2022,Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,448
2022,"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",292
2022,Хүний амьд явах эрхийн эсрэг гэмт хэрэг,274
2022,Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,182
2022,Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,133
2022,Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,76
2022,Эдийн засгийн гэмт хэрэг гэмт хэрэг,55
2022,Хүүхдийн эсрэг гэмт хэрэг,41
2022,Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,31
2022,Цэргийн албаны эсрэг гэмт хэрэг,9
2022,Эрүүл мэндийн эсрэг гэмт хэрэг,4
2022,"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",0
2022,Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,0
2022,Авлигын гэмт хэрэг,0
2022,"Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",0
2023,Өмчлөх эрхийн эсрэг гэмт хэрэг,13555
2023,Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,7224
2023,"Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",1015
2023,Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,557
2023,"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",464
2023,"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",328
2023,Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,301
2023,Хүний амьд явах эрхийн эсрэг гэмт хэрэг,264
2023,Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,155
2023,Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,118
2023,Эдийн засгийн гэмт хэрэг гэмт хэрэг,66
2023,Хүүхдийн эсрэг гэмт хэрэг,45
2023,Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,23
2023,Цэргийн албаны эсрэг гэмт хэрэг,8
2023,Эрүүл мэндийн эсрэг гэмт хэрэг,8
2023,"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",1
2023,Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,0
2023,Авлигын гэмт хэрэг,0
2023,"Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",0
2024,Өмчлөх эрхийн эсрэг гэмт хэрэг,13493
2024,Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,6916
2024,"Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",2718
2024,Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,543
2024,"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",408
2024,"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",277
2024,Хүний амьд явах эрхийн эсрэг гэмт хэрэг,264
2024,Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,196
2024,Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,166
2024,Эдийн засгийн гэмт хэрэг гэмт хэрэг,95
2024,Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,91
2024,Хүүхдийн эсрэг гэмт хэрэг,36
2024,Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,29
2024,Цэргийн албаны эсрэг гэмт хэрэг,14
2024,"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",8
2024,Эрүүл мэндийн эсрэг гэмт хэрэг,7
2024,Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,0
2024,Авлигын гэмт хэрэг,0
2024,"Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",0
