огноо,үзүүлэлт,утга
2004-04-01,Цэвэр ГХБ,-5174.0
2004-07-01,Нийт хөрөнгө,642.0
2004-07-01,Нийт өр төлбөр,5796.0
2004-07-01,Цэвэр ГХБ,-5155.0
2004-10-01,Нийт хөрөнгө,687.0
2004-10-01,Нийт өр төлбөр,5799.0
2004-10-01,Цэвэр ГХБ,-5112.0
2005-01-01,Нийт хөрөнгө,729.0
2005-01-01,Нийт өр төлбөр,5870.0
2005-01-01,Цэвэр ГХБ,-5141.0
2005-04-01,Нийт хөрөнгө,768.0
2005-04-01,Нийт өр төлбөр,5826.0
2005-04-01,Цэвэр ГХБ,-5058.0
2005-07-01,Нийт хөрөнгө,844.0
2005-07-01,Нийт өр төлбөр,5828.0
2005-07-01,Цэвэр ГХБ,-4984.0
2005-10-01,Нийт хөрөнгө,926.0
2005-10-01,Нийт өр төлбөр,5852.0
2005-10-01,Цэвэр ГХБ,-4926.0
2006-01-01,Нийт хөрөнгө,987.0
2006-01-01,Нийт өр төлбөр,5896.0
2006-01-01,Цэвэр ГХБ,-4909.0
2006-04-01,Нийт хөрөнгө,1200.0
2006-04-01,Нийт өр төлбөр,5984.0
2006-04-01,Цэвэр ГХБ,-4784.0
2006-07-01,Нийт хөрөнгө,1355.0
2006-07-01,Нийт өр төлбөр,6087.0
2006-07-01,Цэвэр ГХБ,-4732.0
2006-10-01,Нийт хөрөнгө,1590.0
2006-10-01,Нийт өр төлбөр,6243.0
2006-10-01,Цэвэр ГХБ,-4653.0
2007-01-01,Нийт хөрөнгө,1710.0
2007-01-01,Нийт өр төлбөр,6359.0
2007-01-01,Цэвэр ГХБ,-4650.0
2007-04-01,Нийт хөрөнгө,1877.0
2007-04-01,Нийт өр төлбөр,6444.0
2007-04-01,Цэвэр ГХБ,-4567.0
2007-07-01,Нийт хөрөнгө,1986.0
2007-07-01,Нийт өр төлбөр,6699.0
2007-07-01,Цэвэр ГХБ,-4712.0
2007-10-01,Нийт хөрөнгө,1928.0
2007-10-01,Нийт өр төлбөр,6974.0
2007-10-01,Цэвэр ГХБ,-5046.0
2008-01-01,Нийт хөрөнгө,1955.0
2008-01-01,Нийт өр төлбөр,7299.0
2008-01-01,Цэвэр ГХБ,-5343.0
2008-04-01,Нийт хөрөнгө,1993.0
2008-04-01,Нийт өр төлбөр,7601.0
2008-04-01,Цэвэр ГХБ,-5608.0
2008-07-01,Нийт хөрөнгө,1899.0
2008-07-01,Нийт өр төлбөр,7847.0
2008-07-01,Цэвэр ГХБ,-5948.0
2008-10-01,Нийт хөрөнгө,1553.0
2008-10-01,Нийт өр төлбөр,8020.0
2008-10-01,Цэвэр ГХБ,-6467.0
2009-01-01,Нийт хөрөнгө,1464.0
2009-01-01,Нийт өр төлбөр,8079.0
2009-01-01,Цэвэр ГХБ,-6614.0
2009-04-01,Нийт хөрөнгө,1764.0
2009-04-01,Нийт өр төлбөр,8530.0
2009-04-01,Цэвэр ГХБ,-6766.0
2009-07-01,Нийт хөрөнгө,2071.0
2009-07-01,Нийт өр төлбөр,9048.0
2009-07-01,Цэвэр ГХБ,-6978.0
2009-10-01,Нийт хөрөнгө,2371.0
2009-10-01,Нийт өр төлбөр,9523.0
2009-10-01,Цэвэр ГХБ,-7152.0
2010-01-01,Нийт хөрөнгө,2829.0
2010-01-01,Нийт өр төлбөр,9807.0
2010-01-01,Цэвэр ГХБ,-6978.0
2010-04-01,Нийт хөрөнгө,3673.0
2010-04-01,Нийт өр төлбөр,10284.0
2010-04-01,Цэвэр ГХБ,-6611.0
2010-07-01,Нийт хөрөнгө,4586.0
2010-07-01,Нийт өр төлбөр,10811.0
2010-07-01,Цэвэр ГХБ,-6225.0
2010-10-01,Нийт хөрөнгө,6221.23
2010-10-01,Нийт өр төлбөр,12710.65
2010-10-01,Цэвэр ГХБ,-6489.42
2011-01-01,Нийт хөрөнгө,6677.03
2011-01-01,Нийт өр төлбөр,14162.14
2011-01-01,Цэвэр ГХБ,-7485.11
2011-04-01,Нийт хөрөнгө,6702.77
2011-04-01,Нийт өр төлбөр,15567.41
2011-04-01,Цэвэр ГХБ,-8864.64
2011-07-01,Нийт хөрөнгө,5928.8
2011-07-01,Нийт өр төлбөр,16634.79
2011-07-01,Цэвэр ГХБ,-10705.99
2011-10-01,Нийт хөрөнгө,6126.53
2011-10-01,Нийт өр төлбөр,18440.36
2011-10-01,Цэвэр ГХБ,-12313.83
2012-01-01,Нийт хөрөнгө,6387.4
2012-01-01,Нийт өр төлбөр,20479.92
2012-01-01,Цэвэр ГХБ,-14092.51
2012-04-01,Нийт хөрөнгө,5458.5
2012-04-01,Нийт өр төлбөр,21706.82
2012-04-01,Цэвэр ГХБ,-16248.32
2012-07-01,Нийт хөрөнгө,5525.16
2012-07-01,Нийт өр төлбөр,23542.79
2012-07-01,Цэвэр ГХБ,-18017.63
2012-10-01,Нийт хөрөнгө,6753.11
2012-10-01,Нийт өр төлбөр,25991.19
2012-10-01,Цэвэр ГХБ,-19238.08
2013-01-01,Нийт хөрөнгө,5951.06
2013-01-01,Нийт өр төлбөр,26880.85
2013-01-01,Цэвэр ГХБ,-20929.79
2013-04-01,Нийт хөрөнгө,4905.6
2013-04-01,Нийт өр төлбөр,27378.13
2013-04-01,Цэвэр ГХБ,-22472.53
2013-07-01,Нийт хөрөнгө,4552.0
2013-07-01,Нийт өр төлбөр,28114.96
2013-07-01,Цэвэр ГХБ,-23562.95
2013-10-01,Нийт хөрөнгө,4339.79
2013-10-01,Нийт өр төлбөр,28981.41
2013-10-01,Цэвэр ГХБ,-24641.62
2014-01-01,Нийт хөрөнгө,4413.19
2014-01-01,Нийт өр төлбөр,30139.7
2014-01-01,Цэвэр ГХБ,-25726.51
2014-04-01,Нийт хөрөнгө,3847.72
2014-04-01,Нийт өр төлбөр,30215.89
2014-04-01,Цэвэр ГХБ,-26368.18
2014-07-01,Нийт хөрөнгө,4161.17
2014-07-01,Нийт өр төлбөр,31368.32
2014-07-01,Цэвэр ГХБ,-27207.15
2014-10-01,Нийт хөрөнгө,4045.46
2014-10-01,Нийт өр төлбөр,31272.63
2014-10-01,Цэвэр ГХБ,-27227.18
2015-01-01,Нийт хөрөнгө,3670.73
2015-01-01,Нийт өр төлбөр,31089.05
2015-01-01,Цэвэр ГХБ,-27418.32
2015-04-01,Нийт хөрөнгө,4290.57
2015-04-01,Нийт өр төлбөр,32059.43
2015-04-01,Цэвэр ГХБ,-27768.87
2015-07-01,Нийт хөрөнгө,3996.8
2015-07-01,Нийт өр төлбөр,32071.89
2015-07-01,Цэвэр ГХБ,-28075.09
2015-10-01,Нийт хөрөнгө,3907.38
2015-10-01,Нийт өр төлбөр,32536.79
2015-10-01,Цэвэр ГХБ,-28629.41
2016-01-01,Нийт хөрөнгө,4199.89
2016-01-01,Нийт өр төлбөр,33269.29
2016-01-01,Цэвэр ГХБ,-29069.4
2016-04-01,Нийт хөрөнгө,4188.5
2016-04-01,Нийт өр төлбөр,33714.91
2016-04-01,Цэвэр ГХБ,-29526.41
2016-07-01,Нийт хөрөнгө,4328.24
2016-07-01,Нийт өр төлбөр,33949.4
2016-07-01,Цэвэр ГХБ,-29621.16
2016-10-01,Нийт хөрөнгө,4309.41
2016-10-01,Нийт өр төлбөр,33659.81
2016-10-01,Цэвэр ГХБ,-29350.41
2017-01-01,Нийт хөрөнгө,3818.61
2017-01-01,Нийт өр төлбөр,34080.85
2017-01-01,Цэвэр ГХБ,-30262.24
2017-04-01,Нийт хөрөнгө,3888.92
2017-04-01,Нийт өр төлбөр,34880.84
2017-04-01,Цэвэр ГХБ,-30991.92
2017-07-01,Нийт хөрөнгө,4466.34
2017-07-01,Нийт өр төлбөр,35797.44
2017-07-01,Цэвэр ГХБ,-31331.1
2017-10-01,Нийт хөрөнгө,5553.45
2017-10-01,Нийт өр төлбөр,37584.03
2017-10-01,Цэвэр ГХБ,-32030.58
2018-01-01,Нийт хөрөнгө,5627.22
2018-01-01,Нийт өр төлбөр,38313.29
2018-01-01,Цэвэр ГХБ,-32686.08
2018-04-01,Нийт хөрөнгө,5646.95
2018-04-01,Нийт өр төлбөр,38414.87
2018-04-01,Цэвэр ГХБ,-32767.93
2018-07-01,Нийт хөрөнгө,5397.37
2018-07-01,Нийт өр төлбөр,38689.39
2018-07-01,Цэвэр ГХБ,-33292.02
2018-10-01,Нийт хөрөнгө,6155.96
2018-10-01,Нийт өр төлбөр,39785.56
2018-10-01,Цэвэр ГХБ,-33629.6
2019-01-01,Нийт хөрөнгө,6541.0
2019-01-01,Нийт өр төлбөр,40925.0
2019-01-01,Цэвэр ГХБ,-34384.0
2019-04-01,Нийт хөрөнгө,6874.0
2019-04-01,Нийт өр төлбөр,41375.0
2019-04-01,Цэвэр ГХБ,-34501.0
2019-07-01,Нийт хөрөнгө,6964.0
2019-07-01,Нийт өр төлбөр,41759.0
2019-07-01,Цэвэр ГХБ,-34795.0
2019-10-01,Нийт хөрөнгө,7140.0
2019-10-01,Нийт өр төлбөр,42971.0
2019-10-01,Цэвэр ГХБ,-35831.0
2020-01-01,Нийт хөрөнгө,7137.057
2020-01-01,Нийт өр төлбөр,42854.49
2020-01-01,Цэвэр ГХБ,-35717.432
2020-04-01,Нийт хөрөнгө,6896.42
2020-04-01,Нийт өр төлбөр,43351.825
2020-04-01,Цэвэр ГХБ,-36455.406
2020-07-01,Нийт хөрөнгө,7284.448
2020-07-01,Нийт өр төлбөр,44091.789
2020-07-01,Цэвэр ГХБ,-36807.341
2020-10-01,Нийт хөрөнгө,7930.007
2020-10-01,Нийт өр төлбөр,45247.751
2020-10-01,Цэвэр ГХБ,-37317.744
2021-01-01,Нийт хөрөнгө,8320.874
2021-01-01,Нийт өр төлбөр,45572.85
2021-01-01,Цэвэр ГХБ,-37251.976
2021-04-01,Нийт хөрөнгө,8451.191
2021-04-01,Нийт өр төлбөр,46365.413
2021-04-01,Цэвэр ГХБ,-37914.222
2021-07-01,Нийт хөрөнгө,7986.812
2021-07-01,Нийт өр төлбөр,47106.923
2021-07-01,Цэвэр ГХБ,-39120.111
2021-10-01,Нийт хөрөнгө,8193.553
2021-10-01,Нийт өр төлбөр,47926.862
2021-10-01,Цэвэр ГХБ,-39733.309
2022-01-01,Нийт хөрөнгө,6912.804
2022-01-01,Нийт өр төлбөр,48208.577
2022-01-01,Цэвэр ГХБ,-41295.773
2022-04-01,Нийт хөрөнгө,6399.357
2022-04-01,Нийт өр төлбөр,48096.155
2022-04-01,Цэвэр ГХБ,-41696.798
2022-07-01,Нийт хөрөнгө,6211.993
2022-07-01,Нийт өр төлбөр,47906.51
2022-07-01,Цэвэр ГХБ,-41694.517
2022-10-01,Нийт хөрөнгө,6898.291
2022-10-01,Нийт өр төлбөр,48834.265
2022-10-01,Цэвэр ГХБ,-41935.974
2023-01-01,Нийт хөрөнгө,7451.589
2023-01-01,Нийт өр төлбөр,48905.153
2023-01-01,Цэвэр ГХБ,-41453.564
2023-04-01,Нийт хөрөнгө,7466.384
2023-04-01,Нийт өр төлбөр,48724.514
2023-04-01,Цэвэр ГХБ,-41258.13
2023-07-01,Нийт хөрөнгө,8184.731
2023-07-01,Нийт өр төлбөр,49000.209
2023-07-01,Цэвэр ГХБ,-40815.478
2023-10-01,Нийт хөрөнгө,8792.201
2023-10-01,Нийт өр төлбөр,50359.149
2023-10-01,Цэвэр ГХБ,-41566.948
2024-01-01,Нийт хөрөнгө,8999.644
2024-01-01,Нийт өр төлбөр,51015.532
2024-01-01,Цэвэр ГХБ,-42015.888
2024-04-01,Нийт хөрөнгө,8896.481
2024-04-01,Нийт өр төлбөр,51259.073
2024-04-01,Цэвэр ГХБ,-42362.592
2024-07-01,Нийт хөрөнгө,9223.345
2024-07-01,Нийт өр төлбөр,52137.996
2024-07-01,Цэвэр ГХБ,-42914.651
2024-10-01,Нийт хөрөнгө,9859.061
2024-10-01,Нийт өр төлбөр,53698.113
2024-10-01,Цэвэр ГХБ,-43839.052
2025-01-01,Нийт хөрөнгө,9403.718
2025-01-01,Нийт өр төлбөр,54374.35
2025-01-01,Цэвэр ГХБ,-44970.632
2025-04-01,Нийт хөрөнгө,9841.242
2025-04-01,Нийт өр төлбөр,55558.119
2025-04-01,Цэвэр ГХБ,-45716.876
2025-07-01,Нийт хөрөнгө,11152.154
2025-07-01,Нийт өр төлбөр,57442.683
2025-07-01,Цэвэр ГХБ,-46290.529
2025-10-01,Нийт хөрөнгө,12333.549
2025-10-01,Нийт өр төлбөр,58569.514
2025-10-01,Цэвэр ГХБ,-46235.965
2026-01-01,Нийт хөрөнгө,13479.32
2026-01-01,Нийт өр төлбөр,59393.563
2026-01-01,Цэвэр ГХБ,-45914.243
2026-04-01,Нийт хөрөнгө,13584.524
2026-04-01,Нийт өр төлбөр,59299.622
2026-04-01,Цэвэр ГХБ,-45715.098
