member_id,member,party,mandate,committee,metric,value,unit
m7,Г.Хосбаяр,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Medical leave,1,count
m7,Г.Хосбаяр,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Domestic official assignments,3,count
m7,Г.Хосбаяр,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Foreign official assignments,10,count
m8,Д.Жаргалсайхан,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Sittings,146,count
m8,Д.Жаргалсайхан,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Physically attended,114,count
m8,Д.Жаргалсайхан,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Physical attendance rate,78.1,percent
m8,Д.Жаргалсайхан,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Officially on time,37,count
m8,Д.Жаргалсайхан,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Officially late,77,count
m8,Д.Жаргалсайхан,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Official on-time rate among appearances,32.5,percent
m8,Д.Жаргалсайхан,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Arrivals with a published scheduled start,70,count
m8,Д.Жаргалсайхан,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Arrived by scheduled start,16,count
m8,Д.Жаргалсайхан,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Arrived after scheduled start,54,count
m8,Д.Жаргалсайхан,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Scheduled-start on-time rate,22.9,percent
m8,Д.Жаргалсайхан,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Median minutes late after actual start,32,minutes
m8,Д.Жаргалсайхан,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Average minutes late after actual start,60.6,minutes
m8,Д.Жаргалсайхан,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Unexplained absences,18,count
m8,Д.Жаргалсайхан,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Unexplained absence rate,12.3,percent
m8,Д.Жаргалсайхан,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",General leave,4,count
m8,Д.Жаргалсайхан,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Medical leave,0,count
m8,Д.Жаргалсайхан,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Domestic official assignments,7,count
m8,Д.Жаргалсайхан,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Foreign official assignments,3,count
m9,Дав.Цогтбаатар,Democratic Party,District 1,Standing Committee on Budget,Sittings,146,count
m9,Дав.Цогтбаатар,Democratic Party,District 1,Standing Committee on Budget,Physically attended,129,count
m9,Дав.Цогтбаатар,Democratic Party,District 1,Standing Committee on Budget,Physical attendance rate,88.4,percent
m9,Дав.Цогтбаатар,Democratic Party,District 1,Standing Committee on Budget,Officially on time,116,count
m9,Дав.Цогтбаатар,Democratic Party,District 1,Standing Committee on Budget,Officially late,13,count
m9,Дав.Цогтбаатар,Democratic Party,District 1,Standing Committee on Budget,Official on-time rate among appearances,89.9,percent
m9,Дав.Цогтбаатар,Democratic Party,District 1,Standing Committee on Budget,Arrivals with a published scheduled start,81,count
m9,Дав.Цогтбаатар,Democratic Party,District 1,Standing Committee on Budget,Arrived by scheduled start,62,count
m9,Дав.Цогтбаатар,Democratic Party,District 1,Standing Committee on Budget,Arrived after scheduled start,19,count
m9,Дав.Цогтбаатар,Democratic Party,District 1,Standing Committee on Budget,Scheduled-start on-time rate,76.5,percent
m9,Дав.Цогтбаатар,Democratic Party,District 1,Standing Committee on Budget,Median minutes late after actual start,6.0,minutes
m9,Дав.Цогтбаатар,Democratic Party,District 1,Standing Committee on Budget,Average minutes late after actual start,20.8,minutes
m9,Дав.Цогтбаатар,Democratic Party,District 1,Standing Committee on Budget,Unexplained absences,7,count
m9,Дав.Цогтбаатар,Democratic Party,District 1,Standing Committee on Budget,Unexplained absence rate,4.8,percent
m9,Дав.Цогтбаатар,Democratic Party,District 1,Standing Committee on Budget,General leave,1,count
m9,Дав.Цогтбаатар,Democratic Party,District 1,Standing Committee on Budget,Medical leave,0,count
m9,Дав.Цогтбаатар,Democratic Party,District 1,Standing Committee on Budget,Domestic official assignments,6,count
m9,Дав.Цогтбаатар,Democratic Party,District 1,Standing Committee on Budget,Foreign official assignments,3,count
m10,С.Бямбацогт,Mongolian People’s Party,District 2,Standing Committee on State Structure,Sittings,146,count
m10,С.Бямбацогт,Mongolian People’s Party,District 2,Standing Committee on State Structure,Physically attended,130,count
m10,С.Бямбацогт,Mongolian People’s Party,District 2,Standing Committee on State Structure,Physical attendance rate,89.0,percent
m10,С.Бямбацогт,Mongolian People’s Party,District 2,Standing Committee on State Structure,Officially on time,118,count
m10,С.Бямбацогт,Mongolian People’s Party,District 2,Standing Committee on State Structure,Officially late,12,count
m10,С.Бямбацогт,Mongolian People’s Party,District 2,Standing Committee on State Structure,Official on-time rate among appearances,90.8,percent
m10,С.Бямбацогт,Mongolian People’s Party,District 2,Standing Committee on State Structure,Arrivals with a published scheduled start,84,count
m10,С.Бямбацогт,Mongolian People’s Party,District 2,Standing Committee on State Structure,Arrived by scheduled start,70,count
m10,С.Бямбацогт,Mongolian People’s Party,District 2,Standing Committee on State Structure,Arrived after scheduled start,14,count
m10,С.Бямбацогт,Mongolian People’s Party,District 2,Standing Committee on State Structure,Scheduled-start on-time rate,83.3,percent
m10,С.Бямбацогт,Mongolian People’s Party,District 2,Standing Committee on State Structure,Median minutes late after actual start,24,minutes
m10,С.Бямбацогт,Mongolian People’s Party,District 2,Standing Committee on State Structure,Average minutes late after actual start,48,minutes
m10,С.Бямбацогт,Mongolian People’s Party,District 2,Standing Committee on State Structure,Unexplained absences,1,count
m10,С.Бямбацогт,Mongolian People’s Party,District 2,Standing Committee on State Structure,Unexplained absence rate,0.7,percent
m10,С.Бямбацогт,Mongolian People’s Party,District 2,Standing Committee on State Structure,General leave,1,count
m10,С.Бямбацогт,Mongolian People’s Party,District 2,Standing Committee on State Structure,Medical leave,0,count
m10,С.Бямбацогт,Mongolian People’s Party,District 2,Standing Committee on State Structure,Domestic official assignments,0,count
m10,С.Бямбацогт,Mongolian People’s Party,District 2,Standing Committee on State Structure,Foreign official assignments,14,count
m11,О.Цогтгэрэл,Democratic Party,District 2,Standing Committee on State Structure,Sittings,146,count
m11,О.Цогтгэрэл,Democratic Party,District 2,Standing Committee on State Structure,Physically attended,127,count
m11,О.Цогтгэрэл,Democratic Party,District 2,Standing Committee on State Structure,Physical attendance rate,87.0,percent
m11,О.Цогтгэрэл,Democratic Party,District 2,Standing Committee on State Structure,Officially on time,117,count
m11,О.Цогтгэрэл,Democratic Party,District 2,Standing Committee on State Structure,Officially late,10,count
m11,О.Цогтгэрэл,Democratic Party,District 2,Standing Committee on State Structure,Official on-time rate among appearances,92.1,percent
m11,О.Цогтгэрэл,Democratic Party,District 2,Standing Committee on State Structure,Arrivals with a published scheduled start,80,count
m11,О.Цогтгэрэл,Democratic Party,District 2,Standing Committee on State Structure,Arrived by scheduled start,70,count
m11,О.Цогтгэрэл,Democratic Party,District 2,Standing Committee on State Structure,Arrived after scheduled start,10,count
m11,О.Цогтгэрэл,Democratic Party,District 2,Standing Committee on State Structure,Scheduled-start on-time rate,87.5,percent
m11,О.Цогтгэрэл,Democratic Party,District 2,Standing Committee on State Structure,Median minutes late after actual start,8,minutes
m11,О.Цогтгэрэл,Democratic Party,District 2,Standing Committee on State Structure,Average minutes late after actual start,21.4,minutes
m11,О.Цогтгэрэл,Democratic Party,District 2,Standing Committee on State Structure,Unexplained absences,4,count
m11,О.Цогтгэрэл,Democratic Party,District 2,Standing Committee on State Structure,Unexplained absence rate,2.7,percent
m11,О.Цогтгэрэл,Democratic Party,District 2,Standing Committee on State Structure,General leave,6,count
m11,О.Цогтгэрэл,Democratic Party,District 2,Standing Committee on State Structure,Medical leave,0,count
m11,О.Цогтгэрэл,Democratic Party,District 2,Standing Committee on State Structure,Domestic official assignments,0,count
m11,О.Цогтгэрэл,Democratic Party,District 2,Standing Committee on State Structure,Foreign official assignments,9,count
m12,Б.Пүрэвдорж,Democratic Party,District 2,Standing Committee on State Structure,Sittings,146,count
m12,Б.Пүрэвдорж,Democratic Party,District 2,Standing Committee on State Structure,Physically attended,125,count
m12,Б.Пүрэвдорж,Democratic Party,District 2,Standing Committee on State Structure,Physical attendance rate,85.6,percent
m12,Б.Пүрэвдорж,Democratic Party,District 2,Standing Committee on State Structure,Officially on time,124,count
m12,Б.Пүрэвдорж,Democratic Party,District 2,Standing Committee on State Structure,Officially late,1,count
m12,Б.Пүрэвдорж,Democratic Party,District 2,Standing Committee on State Structure,Official on-time rate among appearances,99.2,percent
m12,Б.Пүрэвдорж,Democratic Party,District 2,Standing Committee on State Structure,Arrivals with a published scheduled start,81,count
m12,Б.Пүрэвдорж,Democratic Party,District 2,Standing Committee on State Structure,Arrived by scheduled start,79,count
m12,Б.Пүрэвдорж,Democratic Party,District 2,Standing Committee on State Structure,Arrived after scheduled start,2,count
m12,Б.Пүрэвдорж,Democratic Party,District 2,Standing Committee on State Structure,Scheduled-start on-time rate,97.5,percent
m12,Б.Пүрэвдорж,Democratic Party,District 2,Standing Committee on State Structure,Median minutes late after actual start,1,minutes
m12,Б.Пүрэвдорж,Democratic Party,District 2,Standing Committee on State Structure,Average minutes late after actual start,1,minutes
m12,Б.Пүрэвдорж,Democratic Party,District 2,Standing Committee on State Structure,Unexplained absences,2,count
m12,Б.Пүрэвдорж,Democratic Party,District 2,Standing Committee on State Structure,Unexplained absence rate,1.4,percent
m12,Б.Пүрэвдорж,Democratic Party,District 2,Standing Committee on State Structure,General leave,1,count
m12,Б.Пүрэвдорж,Democratic Party,District 2,Standing Committee on State Structure,Medical leave,3,count
m12,Б.Пүрэвдорж,Democratic Party,District 2,Standing Committee on State Structure,Domestic official assignments,4,count
m12,Б.Пүрэвдорж,Democratic Party,District 2,Standing Committee on State Structure,Foreign official assignments,11,count
m13,Д.Амарбаясгалан,Mongolian People’s Party,District 2,"Standing Committee on Environment, Food and Agriculture",Sittings,146,count
m13,Д.Амарбаясгалан,Mongolian People’s Party,District 2,"Standing Committee on Environment, Food and Agriculture",Physically attended,96,count
m13,Д.Амарбаясгалан,Mongolian People’s Party,District 2,"Standing Committee on Environment, Food and Agriculture",Physical attendance rate,65.8,percent
m13,Д.Амарбаясгалан,Mongolian People’s Party,District 2,"Standing Committee on Environment, Food and Agriculture",Officially on time,82,count
m13,Д.Амарбаясгалан,Mongolian People’s Party,District 2,"Standing Committee on Environment, Food and Agriculture",Officially late,14,count
m13,Д.Амарбаясгалан,Mongolian People’s Party,District 2,"Standing Committee on Environment, Food and Agriculture",Official on-time rate among appearances,85.4,percent
m13,Д.Амарбаясгалан,Mongolian People’s Party,District 2,"Standing Committee on Environment, Food and Agriculture",Arrivals with a published scheduled start,57,count
m13,Д.Амарбаясгалан,Mongolian People’s Party,District 2,"Standing Committee on Environment, Food and Agriculture",Arrived by scheduled start,40,count
m13,Д.Амарбаясгалан,Mongolian People’s Party,District 2,"Standing Committee on Environment, Food and Agriculture",Arrived after scheduled start,17,count
m13,Д.Амарбаясгалан,Mongolian People’s Party,District 2,"Standing Committee on Environment, Food and Agriculture",Scheduled-start on-time rate,70.2,percent
m13,Д.Амарбаясгалан,Mongolian People’s Party,District 2,"Standing Committee on Environment, Food and Agriculture",Median minutes late after actual start,46,minutes
m13,Д.Амарбаясгалан,Mongolian People’s Party,District 2,"Standing Committee on Environment, Food and Agriculture",Average minutes late after actual start,63.2,minutes
m13,Д.Амарбаясгалан,Mongolian People’s Party,District 2,"Standing Committee on Environment, Food and Agriculture",Unexplained absences,18,count
m13,Д.Амарбаясгалан,Mongolian People’s Party,District 2,"Standing Committee on Environment, Food and Agriculture",Unexplained absence rate,12.3,percent
m13,Д.Амарбаясгалан,Mongolian People’s Party,District 2,"Standing Committee on Environment, Food and Agriculture",General leave,27,count
m13,Д.Амарбаясгалан,Mongolian People’s Party,District 2,"Standing Committee on Environment, Food and Agriculture",Medical leave,0,count
m13,Д.Амарбаясгалан,Mongolian People’s Party,District 2,"Standing Committee on Environment, Food and Agriculture",Domestic official assignments,1,count
m13,Д.Амарбаясгалан,Mongolian People’s Party,District 2,"Standing Committee on Environment, Food and Agriculture",Foreign official assignments,4,count
m14,Б.Чойжилсүрэн,Mongolian People’s Party,District 2,Standing Committee on Budget,Sittings,146,count
m14,Б.Чойжилсүрэн,Mongolian People’s Party,District 2,Standing Committee on Budget,Physically attended,116,count
m14,Б.Чойжилсүрэн,Mongolian People’s Party,District 2,Standing Committee on Budget,Physical attendance rate,79.5,percent
m14,Б.Чойжилсүрэн,Mongolian People’s Party,District 2,Standing Committee on Budget,Officially on time,55,count
m14,Б.Чойжилсүрэн,Mongolian People’s Party,District 2,Standing Committee on Budget,Officially late,61,count
m14,Б.Чойжилсүрэн,Mongolian People’s Party,District 2,Standing Committee on Budget,Official on-time rate among appearances,47.4,percent
m14,Б.Чойжилсүрэн,Mongolian People’s Party,District 2,Standing Committee on Budget,Arrivals with a published scheduled start,76,count
m14,Б.Чойжилсүрэн,Mongolian People’s Party,District 2,Standing Committee on Budget,Arrived by scheduled start,28,count
m14,Б.Чойжилсүрэн,Mongolian People’s Party,District 2,Standing Committee on Budget,Arrived after scheduled start,48,count
m14,Б.Чойжилсүрэн,Mongolian People’s Party,District 2,Standing Committee on Budget,Scheduled-start on-time rate,36.8,percent
m14,Б.Чойжилсүрэн,Mongolian People’s Party,District 2,Standing Committee on Budget,Median minutes late after actual start,10.0,minutes
