бүс,он,тариалсан_талбай
Төв,2004,29.41
Улаанбаатар,2004,1.09
Өмнөговь,2004,0.23
Увс,2004,7.24
Өвөрхангай,2004,4.03
Завхан,2004,0.62
Архангай,2005,1.87
Баян-Өлгий,2005,0.75
Баянхонгор,2005,0.31
Булган,2005,21.17
Дархан-Уул,2005,8.98
Дорнод,2005,3.66
Дорноговь,2005,0.03
Дундговь,2005,0.04
Говь-Алтай,2005,1.38
Говьсүмбэр,2005,0.02
Хэнтий,2005,13.26
Ховд,2005,2.26
Хөвсгөл,2005,9.01
Орхон,2005,3.19
Сэлэнгэ,2005,87.35
Сүхбаатар,2005,0.05
Төв,2005,27.62
Улаанбаатар,2005,1.11
Өмнөговь,2005,0.23
Увс,2005,3.58
Өвөрхангай,2005,3.0
Завхан,2005,0.67
Архангай,2006,1.42
Баян-Өлгий,2006,0.62
Баянхонгор,2006,0.38
Булган,2006,19.25
Дархан-Уул,2006,5.75
Дорнод,2006,2.95
Дорноговь,2006,0.04
Дундговь,2006,0.04
Говь-Алтай,2006,1.03
Говьсүмбэр,2006,0.03
Хэнтий,2006,10.75
Ховд,2006,2.51
Хөвсгөл,2006,6.05
Орхон,2006,2.57
Сэлэнгэ,2006,74.12
Сүхбаатар,2006,0.05
Төв,2006,28.16
Улаанбаатар,2006,1.27
Өмнөговь,2006,0.22
Увс,2006,2.03
Өвөрхангай,2006,2.2
Завхан,2006,0.61
Архангай,2007,1.63
Баян-Өлгий,2007,0.68
Баянхонгор,2007,0.41
Булган,2007,17.64
Дархан-Уул,2007,10.78
Дорнод,2007,2.7
Дорноговь,2007,0.03
Дундговь,2007,0.04
Говь-Алтай,2007,1.31
Говьсүмбэр,2007,0.03
Хэнтий,2007,7.76
Ховд,2007,2.65
Хөвсгөл,2007,9.2
Орхон,2007,3.28
Сэлэнгэ,2007,101.32
Сүхбаатар,2007,0.06
Төв,2007,35.43
Улаанбаатар,2007,1.19
Өмнөговь,2007,0.23
Увс,2007,3.39
Өвөрхангай,2007,2.35
Завхан,2007,0.61
Архангай,2008,2.29
Баян-Өлгий,2008,0.71
Баянхонгор,2008,0.44
Булган,2008,17.64
Дархан-Уул,2008,8.23
Дорнод,2008,3.44
Дорноговь,2008,0.05
Дундговь,2008,0.06
Говь-Алтай,2008,1.51
Говьсүмбэр,2008,0.02
Хэнтий,2008,3.48
Ховд,2008,2.78
Хөвсгөл,2008,8.41
Орхон,2008,2.49
Сэлэнгэ,2008,105.8
Сүхбаатар,2008,0.07
Төв,2008,28.93
Улаанбаатар,2008,1.15
Өмнөговь,2008,0.2
Увс,2008,2.97
Өвөрхангай,2008,1.22
Завхан,2008,0.6
Архангай,2009,4.81
Баян-Өлгий,2009,0.74
Баянхонгор,2009,0.48
Булган,2009,28.51
Дархан-Уул,2009,12.06
Дорнод,2009,2.95
Дорноговь,2009,0.12
Дундговь,2009,0.1
Говь-Алтай,2009,1.93
Говьсүмбэр,2009,0.05
Хэнтий,2009,8.22
Ховд,2009,2.3
Хөвсгөл,2009,14.08
Орхон,2009,2.79
Сэлэнгэ,2009,145.02
Сүхбаатар,2009,0.19
Төв,2009,50.44
Улаанбаатар,2009,1.13
Өмнөговь,2009,0.18
Увс,2009,3.55
Өвөрхангай,2009,1.64
Завхан,2009,0.87
Архангай,2010,5.31
Баян-Өлгий,2010,1.14
Баянхонгор,2010,0.53
Булган,2010,33.19
Дархан-Уул,2010,13.73
Дорнод,2010,4.58
Дорноговь,2010,0.1
Дундговь,2010,0.13
Говь-Алтай,2010,1.71
Говьсүмбэр,2010,0.04
Хэнтий,2010,10.31
Ховд,2010,2.66
Хөвсгөл,2010,14.77
Орхон,2010,3.63
Сэлэнгэ,2010,147.49
Сүхбаатар,2010,0.28
Төв,2010,64.91
Улаанбаатар,2010,1.16
Өмнөговь,2010,0.16
Увс,2010,5.97
Өвөрхангай,2010,3.05
Завхан,2010,1.52
Архангай,2011,4.94
Баян-Өлгий,2011,1.22
Баянхонгор,2011,0.76
Булган,2011,32.64
Дархан-Уул,2011,14.39
Дорнод,2011,9.84
Дорноговь,2011,0.09
Дундговь,2011,0.13
Говь-Алтай,2011,1.97
Говьсүмбэр,2011,0.05
Хэнтий,2011,8.8
Ховд,2011,3.66
Хөвсгөл,2011,14.25
Орхон,2011,3.41
Сэлэнгэ,2011,164.56
Сүхбаатар,2011,0.15
Төв,2011,70.94
Улаанбаатар,2011,0.99
Өмнөговь,2011,0.17
Увс,2011,8.37
Өвөрхангай,2011,3.58
Завхан,2011,2.52
Архангай,2012,5.08
Баян-Өлгий,2012,1.27
Баянхонгор,2012,0.77
Булган,2012,36.03
Дархан-Уул,2012,15.61
Дорнод,2012,18.42
Дорноговь,2012,0.12
Дундговь,2012,0.11
Говь-Алтай,2012,2.23
Говьсүмбэр,2012,0.02
Хэнтий,2012,15.09
Ховд,2012,2.93
Хөвсгөл,2012,15.73
Орхон,2012,3.85
Сэлэнгэ,2012,159.21
Сүхбаатар,2012,0.15
Төв,2012,82.98
Улаанбаатар,2012,1.51
Өмнөговь,2012,0.22
Увс,2012,10.79
Өвөрхангай,2012,5.48
Завхан,2012,4.11
Архангай,2013,3.61
Баян-Өлгий,2013,1.3
Баянхонгор,2013,0.6
Булган,2013,33.87
Дархан-Уул,2013,18.56
Дорнод,2013,32.51
Дорноговь,2013,0.08
Дундговь,2013,0.12
Говь-Алтай,2013,1.15
Говьсүмбэр,2013,0.02
Хэнтий,2013,13.65
Ховд,2013,2.86
Хөвсгөл,2013,16.71
Орхон,2013,2.55
Сэлэнгэ,2013,173.73
Сүхбаатар,2013,0.45
Төв,2013,95.17
Улаанбаатар,2013,1.36
Өмнөговь,2013,0.16
Увс,2013,11.88
Өвөрхангай,2013,4.34
Завхан,2013,3.31
Архангай,2014,4.64
Баян-Өлгий,2014,1.12
Баянхонгор,2014,1.02
Булган,2014,37.42
Дархан-Уул,2014,19.08
Дорнод,2014,32.19
Дорноговь,2014,0.09
Дундговь,2014,0.08
Говь-Алтай,2014,1.27
Говьсүмбэр,2014,0.03
Хэнтий,2014,24.2
Ховд,2014,2.61
Хөвсгөл,2014,15.93
Орхон,2014,3.79
Сэлэнгэ,2014,183.3
Сүхбаатар,2014,5.85
Төв,2014,92.45
Улаанбаатар,2014,1.4
Өмнөговь,2014,0.2
Увс,2014,10.31
Өвөрхангай,2014,4.53
Завхан,2014,2.87
Архангай,2015,7.59
Баян-Өлгий,2015,0.95
Баянхонгор,2015,1.06
Булган,2015,41.24
Дархан-Уул,2015,21.05
Дорнод,2015,49.91
Дорноговь,2015,0.09
Дундговь,2015,0.08
Говь-Алтай,2015,1.06
Говьсүмбэр,2015,0.03
Хэнтий,2015,30.34
Ховд,2015,2.26
Хөвсгөл,2015,17.98
Орхон,2015,2.46
Сэлэнгэ,2015,203.23
Сүхбаатар,2015,14.39
Төв,2015,113.82
Улаанбаатар,2015,1.51
Өмнөговь,2015,0.2
Увс,2015,8.67
Өвөрхангай,2015,7.28
Завхан,2015,2.47
Архангай,2016,7.94
Баян-Өлгий,2016,0.95
Баянхонгор,2016,1.08
Булган,2016,42.3
Дархан-Уул,2016,19.07
Дорнод,2016,45.34
Дорноговь,2016,0.09
Дундговь,2016,0.1
Говь-Алтай,2016,1.29
Говьсүмбэр,2016,0.05
Хэнтий,2016,33.62
Ховд,2016,2.17
Хөвсгөл,2016,18.02
Орхон,2016,3.4
Сэлэнгэ,2016,182.85
Сүхбаатар,2016,17.58
Төв,2016,109.3
Улаанбаатар,2016,1.03
Өмнөговь,2016,0.25
Увс,2016,8.11
Өвөрхангай,2016,11.52
Завхан,2016,2.04
Архангай,2017,11.52
Баян-Өлгий,2017,1.27
Баянхонгор,2017,0.78
Булган,2017,48.8
Дархан-Уул,2017,22.58
Дорнод,2017,34.25
Дорноговь,2017,0.12
Дундговь,2017,0.11
Говь-Алтай,2017,1.37
Говьсүмбэр,2017,0.04
Хэнтий,2017,28.14
Ховд,2017,2.35
Хөвсгөл,2017,18.71
Орхон,2017,2.62
Сэлэнгэ,2017,209.26
Сүхбаатар,2017,9.23
Төв,2017,109.37
Улаанбаатар,2017,1.08
Өмнөговь,2017,0.2
Увс,2017,12.28
Өвөрхангай,2017,10.97
Завхан,2017,1.95
Архангай,2018,10.62
Баян-Өлгий,2018,2.39
Баянхонгор,2018,0.57
Булган,2018,48.54
Дархан-Уул,2018,20.56
Дорнод,2018,29.87
Дорноговь,2018,0.1
Дундговь,2018,0.07
Говь-Алтай,2018,1.28
Говьсүмбэр,2018,0.04
Хэнтий,2018,23.55
Ховд,2018,2.31
Хөвсгөл,2018,18.85
Орхон,2018,3.91
Сэлэнгэ,2018,200.03
Сүхбаатар,2018,6.99
Төв,2018,109.88
Улаанбаатар,2018,1.05
Өмнөговь,2018,0.28
Увс,2018,18.11
Өвөрхангай,2018,9.99
Завхан,2018,2.83
Архангай,2019,11.3
Баян-Өлгий,2019,1.22
Баянхонгор,2019,0.62
Булган,2019,50.79
Дархан-Уул,2019,21.09
Дорнод,2019,33.93
Дорноговь,2019,0.08
Дундговь,2019,0.08
Говь-Алтай,2019,1.35
Говьсүмбэр,2019,0.05
Хэнтий,2019,18.48
Ховд,2019,2.41
Хөвсгөл,2019,21.62
Орхон,2019,2.97
Сэлэнгэ,2019,207.38
Сүхбаатар,2019,5.53
Төв,2019,110.45
Улаанбаатар,2019,1.14
Өмнөговь,2019,0.28
Увс,2019,20.92
Өвөрхангай,2019,10.91
Завхан,2019,3.44
Архангай,2020,14.39
Баян-Өлгий,2020,1.24
Баянхонгор,2020,0.59
Булган,2020,49.61
Дархан-Уул,2020,20.1
Дорнод,2020,35.85
Дорноговь,2020,0.07
Дундговь,2020,0.05
Говь-Алтай,2020,1.49
Говьсүмбэр,2020,0.05
Хэнтий,2020,22.28
Ховд,2020,3.66
Хөвсгөл,2020,18.78
Орхон,2020,3.7
Сэлэнгэ,2020,221.86
Сүхбаатар,2020,6.02
Төв,2020,142.29
Улаанбаатар,2020,1.87
Өмнөговь,2020,0.28
Увс,2020,30.18
Өвөрхангай,2020,11.38
Завхан,2020,5.48
Архангай,2021,15.69
Баян-Өлгий,2021,1.3
Баянхонгор,2021,0.72
Булган,2021,57.98
Дархан-Уул,2021,25.29
Дорнод,2021,37.87
Дорноговь,2021,0.11
Дундговь,2021,0.06
Говь-Алтай,2021,1.34
Говьсүмбэр,2021,0.06
Хэнтий,2021,36.59
Ховд,2021,4.12
Хөвсгөл,2021,21.98
Орхон,2021,5.35
Сэлэнгэ,2021,225.21
Сүхбаатар,2021,10.1
Төв,2021,165.55
Улаанбаатар,2021,1.71
Өмнөговь,2021,0.23
Увс,2021,42.14
Өвөрхангай,2021,16.81
Завхан,2021,8.11
Архангай,2022,16.92
Баян-Өлгий,2022,1.4
Баянхонгор,2022,0.61
Булган,2022,54.33
Дархан-Уул,2022,22.31
Дорнод,2022,37.0
Дорноговь,2022,0.15
Дундговь,2022,0.08
Говь-Алтай,2022,1.35
Говьсүмбэр,2022,0.1
Хэнтий,2022,31.75
Ховд,2022,6.12
Хөвсгөл,2022,21.6
Орхон,2022,7.0
Сэлэнгэ,2022,212.48
Сүхбаатар,2022,7.1
Төв,2022,136.42
Улаанбаатар,2022,2.15
Өмнөговь,2022,0.19
Увс,2022,36.29
Өвөрхангай,2022,18.45
Завхан,2022,7.86
Архангай,2023,17.49
Баян-Өлгий,2023,1.4
Баянхонгор,2023,0.52
Булган,2023,55.83
Дархан-Уул,2023,23.0
Дорнод,2023,30.92
Дорноговь,2023,0.22
Дундговь,2023,0.08
Говь-Алтай,2023,1.09
Говьсүмбэр,2023,0.07
Хэнтий,2023,43.03
Ховд,2023,8.95
Хөвсгөл,2023,21.84
Орхон,2023,5.62
Сэлэнгэ,2023,212.33
Сүхбаатар,2023,7.46
Төв,2023,155.3
Улаанбаатар,2023,2.36
Өмнөговь,2023,0.19
Увс,2023,32.12
Өвөрхангай,2023,15.11
Завхан,2023,10.83
Архангай,2024,15.15
Баян-Өлгий,2024,1.32
Баянхонгор,2024,0.54
Булган,2024,52.54
Дархан-Уул,2024,21.29
Дорнод,2024,27.93
Дорноговь,2024,0.21
Дундговь,2024,0.13
Говь-Алтай,2024,1.22
Говьсүмбэр,2024,0.14
Хэнтий,2024,47.24
Ховд,2024,8.83
Хөвсгөл,2024,24.2
Орхон,2024,5.59
Сэлэнгэ,2024,213.5
Сүхбаатар,2024,9.44
Төв,2024,155.54
Улаанбаатар,2024,1.42
Өмнөговь,2024,0.18
Увс,2024,21.58
Өвөрхангай,2024,19.68
Завхан,2024,8.2
Архангай,2025,12.35
Баян-Өлгий,2025,1.56
Баянхонгор,2025,0.47
Булган,2025,51.55
Дархан-Уул,2025,17.81
Дорнод,2025,34.17
Дорноговь,2025,0.19
Дундговь,2025,0.12
Говь-Алтай,2025,1.13
Говьсүмбэр,2025,0.17
Хэнтий,2025,44.15
Ховд,2025,5.35
Хөвсгөл,2025,20.28
Орхон,2025,5.76
Сэлэнгэ,2025,210.22
Сүхбаатар,2025,13.7
Төв,2025,130.17
Улаанбаатар,2025,1.3
Өмнөговь,2025,0.19
Увс,2025,23.01
Өвөрхангай,2025,18.22
Завхан,2025,9.84
