он,үзүүлэлт,квтц
2019,Станцын дотоод хэрэглээ,860.9
2020,Үйлдвэрлэсэн,7069.7
2020,Импорт,1684.9
2020,Экспорт,41.5
2020,Хэрэглэсэн,6816.8
2020,Дамжуулалтын алдагдал,962.6
2020,Станцын дотоод хэрэглээ,933.7
2021,Үйлдвэрлэсэн,7825.3
2021,Импорт,1823.1
2021,Экспорт,23.9
2021,Хэрэглэсэн,7718.9
2021,Дамжуулалтын алдагдал,1018.5
2021,Станцын дотоод хэрэглээ,887.1
2022,Үйлдвэрлэсэн,8035.0
2022,Импорт,2107.4
2022,Экспорт,25.3
2022,Хэрэглэсэн,8095.4
2022,Дамжуулалтын алдагдал,1091.2
2022,Станцын дотоод хэрэглээ,930.4
2023,Үйлдвэрлэсэн,8487.4
2023,Импорт,2426.9
2023,Экспорт,37.0
2023,Хэрэглэсэн,8639.3
2023,Дамжуулалтын алдагдал,1178.6
2023,Станцын дотоод хэрэглээ,1059.4
2024,Үйлдвэрлэсэн,8692.8
2024,Импорт,2753.0
2024,Экспорт,12.0
2024,Хэрэглэсэн,9131.9
2024,Дамжуулалтын алдагдал,1163.6
2024,Станцын дотоод хэрэглээ,1138.3
