code,khoroo,district_code,district,area_km2,lon,lat
1403,3-r khoroo,14,Sukhbaatar,0.368,106.903307,47.911046
1404,4-r khoroo,14,Sukhbaatar,0.215,106.903759,47.914695
1405,5-r khoroo,14,Sukhbaatar,0.21,106.896719,47.911982
1406,6-r khoroo,14,Sukhbaatar,0.459,106.917861,47.923713
1407,7-r khoroo,14,Sukhbaatar,0.396,106.928138,47.926519
1408,8-r khoroo,14,Sukhbaatar,0.719,106.92416,47.922321
1409,9-r khoroo,14,Sukhbaatar,0.661,106.910813,47.932337
1410,10-r khoroo,14,Sukhbaatar,0.302,106.922232,47.931249
1411,11-r khoroo,14,Sukhbaatar,0.901,106.921886,47.935331
1412,12-r khoroo,14,Sukhbaatar,0.757,106.92157,47.941554
1413,13-r khoroo,14,Sukhbaatar,1.426,106.921044,47.952154
1414,14-r khoroo,14,Sukhbaatar,1.05,106.921573,47.965747
1415,15-r khoroo,14,Sukhbaatar,7.409,106.934357,48.013098
1416,16-r khoroo,14,Sukhbaatar,7.387,106.957262,47.979044
1417,17-r khoroo,14,Sukhbaatar,1.913,106.936941,47.988851
1418,18-r khoroo,14,Sukhbaatar,8.707,106.973093,47.996423
1419,19-r khoroo,14,Sukhbaatar,121.677,106.933693,48.121333
1420,20-r khoroo,14,Sukhbaatar,57.756,106.995894,48.053286
1501,1-r khoroo,15,Chingeltei,0.28,106.91129,47.918419
1502,2-r khoroo,15,Chingeltei,0.187,106.899234,47.917986
1503,3-r khoroo,15,Chingeltei,0.199,106.903934,47.917979
1504,4-r khoroo,15,Chingeltei,0.404,106.910921,47.922845
1505,5-r khoroo,15,Chingeltei,0.359,106.902261,47.923874
1506,6-r khoroo,15,Chingeltei,0.25,106.909444,47.926922
1507,7-r khoroo,15,Chingeltei,0.809,106.888535,47.93768
1508,8-r khoroo,15,Chingeltei,0.387,106.893925,47.929656
1509,9-r khoroo,15,Chingeltei,0.619,106.901128,47.93167
1510,10-r khoroo,15,Chingeltei,0.869,106.898954,47.939137
1511,11-r khoroo,15,Chingeltei,0.548,106.907829,47.942
1512,12-r khoroo,15,Chingeltei,0.966,106.902251,47.947302
1513,13-r khoroo,15,Chingeltei,0.916,106.905285,47.95349
1514,14-r khoroo,15,Chingeltei,0.781,106.912458,47.958836
1515,15-r khoroo,15,Chingeltei,1.054,106.899905,47.96185
1516,16-r khoroo,15,Chingeltei,2.828,106.875925,47.974279
1517,17-r khoroo,15,Chingeltei,2.922,106.891809,47.978789
1518,18-r khoroo,15,Chingeltei,1.349,106.910017,47.970256
