id,сургууль,хаяг,дүүргийн_код,дүүрэг,хорооны_код,хороо,lon,lat
5071,Амгалан ЦC,"БЗД 8-р хороо, Ботаникийн эцэст",13,Баянзүрх,1308,8-р хороо,107.00191,47.913574
5074,Улаанбаатар-Эмпати сургуууль,"БЗД 8-р хороо, Усны гуд, 15-р байр, Ботаникийн эцсийн буудал",13,Баянзүрх,1308,8-р хороо,107.001889,47.914733
5283,92-р сургууль,"БЗД 8-р хороо, Хилчний гудамж С92",13,Баянзүрх,1308,8-р хороо,106.996308,47.920179
5284,Амгалан ЦС,"БЗД 8-р хороо, Цагдаагийн академийн өргөн чөлөө С27/1",13,Баянзүрх,1308,8-р хороо,107.002643,47.913707
5287,ХСИС-ийн харьяа ахлах сургууль,"БЗД 8-р хороо, Хилчний гудамж ХСИС байр",13,Баянзүрх,1308,8-р хороо,106.995622,47.914423
5281,79-р сургууль /1-р байр/,"БЗД 17-р хороо, Шархадны гудамж С79",13,Баянзүрх,1309,9-р хороо,107.004938,47.932546
5136,88-р сургууль,"БЗД 11-р хороо, “Хонхор” тосгон 64-р байрны урд",13,Баянзүрх,1311,11-р хороо,107.163066,47.810617
5144,110-р сургууль,"ХУД 11-р хороо, Хүүхдийн хорих 411-р анги",13,Баянзүрх,1311,11-р хороо,107.166939,47.815728
5066,55-р сургууль,БЗД 13-р хороо БЗДүүргийн урд,13,Баянзүрх,1313,13-р хороо,106.966093,47.915331
5233,Итгэл сургууль,"БЗД 13-р хороо, ""Эм Ай Ю"" дээд сургуулийн хашаанд",13,Баянзүрх,1313,13-р хороо,106.974906,47.913869
5306,14-р сургууль,"БЗД 13-р хороо, Энхтайваны өргөн чөлөө С14",13,Баянзүрх,1313,13-р хороо,106.970177,47.915365
5307,14-р сургууль,"БЗД 13-р хороо, Энхтайваны өргөн чөлөө С14",13,Баянзүрх,1313,13-р хороо,106.969407,47.915099
5234,Г.В.Плехановын нэрэмжит сургууль,БЗД 14-р хороо,13,Баянзүрх,1314,14-р хороо,106.948346,47.916928
5230,Оюунлаг сургууль,БЗД 15-р хороо,13,Баянзүрх,1315,15-р хороо,106.938277,47.91656
5231,Оюуны оньс сургууль,"БЗД 15-р хороо, 6/3-р байр, Оюун ухааны музей",13,Баянзүрх,1315,15-р хороо,106.941752,47.917446
5237,Номч нахиа сургууль,БЗД 15-р хороо 13-р хороолол 7Б байр,13,Баянзүрх,1315,15-р хороо,106.941179,47.917015
5032,44-р сургууль,"БЗД 16-р хороо, Улаанхуаранд",13,Баянзүрх,1316,16-р хороо,106.980779,47.920674
5033,53-р сургууль,БЗД 16-р хороо Улаанхуаран,13,Баянзүрх,1316,16-р хороо,106.980553,47.919209
5279,44-р сургууль,"БЗД 16-р хороо, Улаанхуаран гудамж С44/2",13,Баянзүрх,1316,16-р хороо,106.980388,47.920988
5005,84-р сургууль,БЗД 18-р хороо 13-р хороололд,13,Баянзүрх,1318,18-р хороо,106.939381,47.915962
5285,84-р сургууль,"БЗД 18-р хороо, Сангийн хорооны гудамж С84",13,Баянзүрх,1318,18-р хороо,106.938888,47.916271
5291,Гёте сургууль,"БЗД 18-р хороо, Намъянжугийн гудамж 40",13,Баянзүрх,1318,18-р хороо,106.943471,47.913512
5163,136-р бага сургууль,"БЗД 19-р хороо, Цайзын 53-р гудамж",13,Баянзүрх,1319,19-р хороо,106.982441,47.943876
5135,85-р сургууль,"БЗД 20-р хороо, Гачууртын зам, замын урд 84-р байрны урд",13,Баянзүрх,1320,20-р хороо,107.156159,47.926745
5227,127-р сургууль,БЗД 21-р хороо,13,Баянзүрх,1321,21-р хороо,106.945408,47.952302
5064,87-р сургууль,БЗД 23-р хороо Улиастайн шинэ эцэст.,13,Баянзүрх,1323,23-р хороо,107.036422,47.918467
5286,87-р сургууль,"БЗД 23-р хороо, Гачууртын зам С87",13,Баянзүрх,1323,23-р хороо,107.036041,47.918071
5065,111-р сургууль,"БЗД 18-р хороо, Шинэ монгол сургуулийн хажууд",13,Баянзүрх,1325,25-р хороо,106.939588,47.910897
5090,Улаанбаатар сургууль,"БЗД 25 хороо, (Нарантуул захын баруун талд)",13,Баянзүрх,1325,25-р хороо,106.941924,47.910524
5091,Шинэ Монгол сургууль,"БЗД 25 хороо, Mанлайбаатар дамдинсүрэнгийн гудамж-43",13,Баянзүрх,1325,25-р хороо,106.93881,47.910989
5155,Улаанбаатар бага сургууль,"БЗД 25-р хороо, нарантуул захын баруун талд",13,Баянзүрх,1325,25-р хороо,106.942455,47.910445
5235,Шинэ Монгол технологийн коллеж,"БЗД 25-р хороо, 13-р хороолол, Шинэ Монгол технологийн дээд сургууль",13,Баянзүрх,1325,25-р хороо,106.938607,47.911383
5238,Гёте сургууль,"БЗД 25-р хороо, 16-р байр",13,Баянзүрх,1325,25-р хороо,106.942999,47.909409
5228,133-р сургууль,"БЗД 26-р хороо, Дүнжингарав худалдааны төвийн зүүн урд",13,Баянзүрх,1326,26-р хороо,106.950863,47.904529
5229,Монгол тэмүүлэл,"БЗД 26-р хороо, Дүнжингарав худалдааны төвийн зүүн урд",13,Баянзүрх,1326,26-р хороо,106.950651,47.90439
5236,Глобал ОУ сургууль,"БЗД 26-р хороо, Нийслэл хүрээ өргөн чөлөө, 204 байр",13,Баянзүрх,1326,26-р хороо,106.944333,47.904157
5292,Сингапур скүүл оф монголиа сургууль,"БЗД 26-р хороо, Нийслэл хүрээ өргөн чөлөө",13,Баянзүрх,1326,26-р хороо,106.943083,47.903365
5293,Олонлог академи сургууль,"БЗД 26-р хороо, Нийслэл хүрээ өргөн чөлөө 363",13,Баянзүрх,1326,26-р хороо,106.937823,47.902156
5162,132-р бага сургууль,БЗД 27-р хороо,13,Баянзүрх,1327,27-р хороо,106.941248,47.94672
5138,120-р сургууль,"БЗД 28-р хороо, Хужирбуланд төв замын хойно, цэргийн ангийн урд",13,Баянзүрх,1328,28-р хороо,107.070489,47.919213
5142,Нан-шен хөвгүүд дунд сургууль,"БЗД 28-р хороо, Хужирбуланд 120-р сургуулийн хажууд 1 давхар 14-792/1",13,Баянзүрх,1328,28-р хороо,107.077542,47.917555
5140,102-р ахлах сургууль,"БЗД 27-р хороо, Дарь-эхийн гудамж",13,Баянзүрх,1329,29-р хороо,106.930787,47.938439
5141,Их засаг дунд сургууль,"БЗД 4-р хороо, Их засаг их сургуултйн хашаан дотор",13,Баянзүрх,1330,30-р хороо,106.952545,47.924613
5164,137-р бага сургууль,БЗД 22-р хороо,13,Баянзүрх,1332,32-р хороо,106.969677,47.94217
5290,137-р бага сургууль,"БЗД 22-р хороо, Баруун Алтан-Өлгийн гудамж С137",13,Баянзүрх,1332,32-р хороо,106.969986,47.942006
5036,79-р сургууль /3-р байр/,БЗД 17-р хороо Шархадны эцсийн буудал,13,Баянзүрх,1334,34-р хороо,107.008328,47.93388
5282,79-р сургууль /2-р байр/,"БЗД 9-р хороо, Шархадны гудамж С79",13,Баянзүрх,1334,34-р хороо,107.008143,47.934276
5034,Баянзүрх ЦС,БЗД 8-р хороо Цэргийн 310 дугаар ангийн дэргэд,13,Баянзүрх,1338,38-р хороо,106.98606,47.915835
5280,Баянзүрх ЦС,"БЗД 8-р хороо, Цагдаагийн академийн өргөн чөлөө С68/2",13,Баянзүрх,1338,38-р хороо,106.986449,47.915603
5072,Хишиг сургууль,"БЗД 8-р хороо, 22-р баазын зүүн талд, НИК ШТС-ын чанх хойно",13,Баянзүрх,1339,39-р хороо,106.983247,47.913698
5157,Тэмүүжин өрлөг дунд сургууль,"БЗД 16-р хороо, БХДС-ийн дэргэд",13,Баянзүрх,1340,40-р хороо,106.989272,47.921775
5007,Шавь цогцолбор сургууль /30-р сургууль/,"БЗД 5-р хороо, Отгонтэнгэр их сургуулийн хойд талд",13,Баянзүрх,1341,41-р хороо,106.956634,47.918759
5156,Төгсдэлгэрэх сургууль,"БЗД 25-р хороо, 47-р байр",13,Баянзүрх,1343,43-р хороо,106.937645,47.911146
4993,1-р сургууль,"СБД 1-р хороо, Сөүлийн гудамж",14,Сүхбаатар,1401,1-р хороо,106.911856,47.915409
5120,Шинэ үе сургууль,"СБД 1-р хороо, ЮНЕСКО-ийн гудамж,",14,Сүхбаатар,1401,1-р хороо,106.926275,47.912708
5149,Искра дунд сургууль,"СБД 1-р хороо, 1-р төрөхийн урд",14,Сүхбаатар,1401,1-р хороо,106.928004,47.915996
5150,Болор дунд сургууль,"СБД 1-р хороо,1-р төрөхийн урд",14,Сүхбаатар,1401,1-р хороо,106.92741,47.916067
5246,АШУҮИС харьяа ЕБсургууль,"СБД 1-р хороо, Элчингийн гудамж",14,Сүхбаатар,1401,1-р хороо,106.92293,47.915537
5310,1-р сургууль,"СБД 1-р хороо, Сөүлийн гудамж С1",14,Сүхбаатар,1401,1-р хороо,106.911288,47.915243
5048,31-р сургууль,"СБД 2-р хороо, усны гудамж",14,Сүхбаатар,1402,2-р хороо,106.908652,47.909853
