он,сар,province_mn,бензин_а80_төг,бензин_аи92_төг,бензин_аи95_төг,дизель_төг
2021,10,Увс,2400.0,2430.0,,2590.0
2021,10,Өвөрхангай,2070.0,2100.0,2690.0,2500.0
2021,10,Завхан,2490.0,2520.0,,2550.0
2021,11,Архангай,2200.0,2230.0,2790.0,2800.0
2021,11,Баян-Өлгий,2580.0,2600.0,,2600.0
2021,11,Булган,2220.0,2250.0,2830.0,2790.0
2021,11,Дархан,2200.0,2230.0,2770.0,2790.0
2021,11,Дорноговь,2250.0,2310.0,2770.0,2870.0
2021,11,Говь-Aлтай,2500.0,2530.0,,2790.0
2021,11,Говьсүмбэр,2180.0,2210.0,2770.0,2790.0
2021,11,Хэнтий,2220.0,2250.0,2750.0,2700.0
2021,11,Ховд,2600.0,2620.0,,2700.0
2021,11,Хөвсгөл,2290.0,2320.0,2830.0,2830.0
2021,11,Орхон,2220.0,2250.0,2790.0,2790.0
2021,11,Сэлэнгэ,2240.0,2270.0,2790.0,2790.0
2021,11,Төв,2140.0,2170.0,2710.0,2740.0
2021,11,Улаанбаатар,2550.0,2790.0,,
2021,11,Увс,2600.0,2630.0,,2790.0
2021,11,Өвөрхангай,2170.0,2200.0,2790.0,2790.0
2021,11,Завхан,2590.0,2620.0,,2790.0
2021,12,Архангай,2300.0,2330.0,2890.0,2900.0
2021,12,Баян-Өлгий,2680.0,2700.0,,2700.0
2021,12,Баянхонгор,2330.0,2360.0,,2890.0
2021,12,Булган,2320.0,2350.0,2930.0,2890.0
2021,12,Дархан,2270.0,2300.0,2870.0,2890.0
2021,12,Дорнод,2350.0,2360.0,2890.0,2800.0
2021,12,Дорноговь,2350.0,2410.0,2890.0,2970.0
2021,12,Дундговь,2330.0,2360.0,2870.0,2930.0
2021,12,Говь-Aлтай,2600.0,2630.0,,2890.0
2021,12,Говьсүмбэр,2270.0,2310.0,2870.0,2920.0
2021,12,Хэнтий,2320.0,2350.0,2850.0,2890.0
2021,12,Ховд,2700.0,2720.0,,2800.0
2021,12,Хөвсгөл,2390.0,2420.0,2930.0,2930.0
2021,12,Орхон,2320.0,2350.0,2890.0,2890.0
2021,12,Сэлэнгэ,2340.0,2370.0,2890.0,2890.0
2021,12,Сүхбаатар,2370.0,2400.0,2930.0,2990.0
2021,12,Улаанбаатар,2150.0,2690.0,2790.0,
2021,12,Өмнөговь,2350.0,2380.0,2890.0,2900.0
2021,12,Увс,2700.0,2730.0,,2850.0
2021,12,Завхан,2690.0,2720.0,,2890.0
2022,1,Архангай,2300.0,2370.0,2890.0,2850.0
2022,1,Баян-Өлгий,2680.0,2720.0,,2650.0
2022,1,Баянхонгор,2330.0,2375.0,,2840.0
2022,1,Булган,2320.0,2370.0,2930.0,2840.0
2022,1,Дархан-Уул,2270.0,2320.0,2870.0,2840.0
2022,1,Дорнод,2350.0,2380.0,2890.0,2800.0
2022,1,Дорноговь,2350.0,2430.0,2840.0,2920.0
2022,1,Дундговь,2330.0,2380.0,2870.0,2880.0
2022,1,Говь-Алтай,2600.0,2650.0,,2840.0
2022,1,Говьсүмбэр,2270.0,2330.0,2870.0,2870.0
2022,1,Хэнтий,2320.0,2370.0,2850.0,2840.0
2022,1,Ховд,2700.0,2740.0,,2750.0
2022,1,Хөвсгөл,2390.0,2440.0,2930.0,2880.0
2022,1,Орхон,2320.0,2340.0,2890.0,2840.0
2022,1,Сэлэнгэ,2340.0,2390.0,2880.0,2840.0
2022,1,Сүхбаатар,2370.0,2420.0,2930.0,2940.0
2022,1,Төв,2240.0,2290.0,2810.0,2790.0
2022,1,Улаанбаатар,2200.0,2240.0,2770.0,2840.0
2022,1,Өмнөговь,2350.0,2400.0,2840.0,2850.0
2022,1,Увс,2700.0,2750.0,,2800.0
2022,1,Өвөрхангай,2270.0,2320.0,2890.0,2840.0
2022,1,Завхан,2690.0,2740.0,,2840.0
2022,2,Архангай,2350.0,2400.0,2980.0,2940.0
2022,2,Баян-Өлгий,2710.0,2750.0,,2740.0
2022,2,Баянхонгор,2380.0,2430.0,,2935.0
2022,2,Булган,2370.0,2420.0,3030.0,2935.0
2022,2,Дархан-Уул,2320.0,2370.0,2970.0,2935.0
2022,2,Дорнод,2400.0,2430.0,2990.0,2845.0
2022,2,Дорноговь,2380.0,2480.0,2940.0,2995.0
2022,2,Дундговь,2380.0,2430.0,2970.0,2975.0
2022,2,Говь-Алтай,2650.0,2700.0,,2935.0
2022,2,Говьсүмбэр,2330.0,2380.0,2960.0,2960.0
2022,2,Хэнтий,2370.0,2420.0,2950.0,2935.0
2022,2,Ховд,2750.0,2790.0,,2845.0
2022,2,Хөвсгөл,2440.0,2490.0,3020.0,2970.0
2022,2,Орхон,2370.0,2390.0,2990.0,2935.0
2022,2,Сэлэнгэ,2350.0,2400.0,2980.0,2935.0
2022,2,Сүхбаатар,2420.0,2470.0,3030.0,3035.0
2022,2,Төв,2330.0,2340.0,2910.0,2835.0
2022,2,Улаанбаатар,2250.0,2290.0,2870.0,2935.0
2022,2,Өмнөговь,2400.0,2450.0,,2850.0
2022,2,Увс,2750.0,2800.0,,2890.0
2022,2,Өвөрхангай,2320.0,2370.0,2980.0,2930.0
2022,2,Завхан,2740.0,2790.0,,2935.0
2022,3,Архангай,2450.0,2500.0,3180.0,3140.0
2022,3,Баян-Өлгий,2710.0,2750.0,,2840.0
2022,3,Баянхонгор,2480.0,2530.0,,3130.0
2022,3,Булган,2470.0,2520.0,3030.0,3130.0
2022,3,Дархан-Уул,2420.0,2470.0,3170.0,3130.0
2022,3,Дорнод,2500.0,2530.0,3190.0,3040.0
2022,3,Дорноговь,2480.0,2580.0,3140.0,3195.0
2022,3,Дундговь,2480.0,2530.0,3170.0,3175.0
2022,3,Говь-Алтай,2750.0,2800.0,,3130.0
2022,3,Говьсүмбэр,2430.0,2480.0,3160.0,3160.0
2022,3,Хэнтий,2470.0,2520.0,3150.0,3135.0
2022,3,Ховд,2850.0,2890.0,,3045.0
2022,3,Хөвсгөл,2540.0,2590.0,3220.0,3170.0
2022,3,Орхон,2470.0,2490.0,3190.0,3135.0
2022,3,Сэлэнгэ,2490.0,2520.0,3180.0,3135.0
2022,3,Сүхбаатар,2520.0,2570.0,3230.0,3230.0
2022,3,Төв,2425.0,2440.0,3110.0,3035.0
2022,3,Улаанбаатар,2350.0,2390.0,3070.0,3135.0
2022,3,Өмнөговь,2495.0,2545.0,,3140.0
2022,3,Увс,2850.0,2900.0,,3090.0
2022,3,Өвөрхангай,2420.0,2470.0,3180.0,3130.0
2022,3,Завхан,2840.0,2890.0,,3090.0
2022,4,Архангай,2450.0,2500.0,3380.0,3390.0
2022,4,Баян-Өлгий,2680.0,2700.0,,3050.0
2022,4,Баянхонгор,2480.0,2530.0,,3380.0
2022,4,Булган,2470.0,2520.0,3430.0,3380.0
2022,4,Дархан-Уул,2420.0,2470.0,3370.0,3380.0
2022,4,Дорнод,2500.0,2530.0,3390.0,3290.0
2022,4,Дорноговь,2480.0,2580.0,3340.0,3445.0
2022,4,Дундговь,2480.0,2530.0,3360.0,3420.0
2022,4,Говь-Алтай,2750.0,2800.0,,3380.0
2022,4,Говьсүмбэр,2430.0,2480.0,3410.0,3410.0
2022,4,Хэнтий,2500.0,2550.0,3350.0,3385.0
2022,4,Ховд,2870.0,2910.0,,3350.0
2022,4,Хөвсгөл,2540.0,2590.0,3420.0,3420.0
2022,4,Орхон,2470.0,2490.0,3390.0,3380.0
2022,4,Сэлэнгэ,2490.0,2520.0,3390.0,3380.0
2022,4,Сүхбаатар,2520.0,2570.0,3430.0,3480.0
2022,4,Төв,2425.0,2440.0,3310.0,3330.0
2022,4,Улаанбаатар,2350.0,2390.0,3260.0,3380.0
2022,4,Өмнөговь,2495.0,2545.0,,3390.0
2022,4,Увс,2850.0,2900.0,,3340.0
2022,4,Өвөрхангай,2420.0,2470.0,3370.0,3380.0
