region,year,kindergartens
Bayan-Ulgii,2005,24
Bayankhongor,2005,27
Bulgan,2005,25
Darkhan-Uul,2005,17
Dornod,2005,26
Dornogovi,2005,20
Dundgovi,2005,20
Govi-Altai,2005,26
Govisumber,2005,7
Khentii,2005,28
Khovd,2005,28
Khuvsgul,2005,32
Orkhon,2005,18
Selenge,2005,29
Sukhbaatar,2005,16
Tuv,2005,37
Ulaanbaatar,2005,191
Umnugovi,2005,18
Uvs,2005,24
Uvurkhangai,2005,28
Zavkhan,2005,32
Arkhangai,2006,30
Bayan-Ulgii,2006,25
Bayankhongor,2006,28
Bulgan,2006,24
Darkhan-Uul,2006,17
Dornod,2006,23
Dornogovi,2006,22
Dundgovi,2006,20
Govi-Altai,2006,26
Govisumber,2006,6
Khentii,2006,28
Khovd,2006,27
Khuvsgul,2006,32
Orkhon,2006,20
Selenge,2006,29
Sukhbaatar,2006,16
Tuv,2006,36
Ulaanbaatar,2006,202
Umnugovi,2006,18
Uvs,2006,24
Uvurkhangai,2006,29
Zavkhan,2006,33
Arkhangai,2007,30
Bayan-Ulgii,2007,27
Bayankhongor,2007,28
Bulgan,2007,24
Darkhan-Uul,2007,17
Dornod,2007,23
Dornogovi,2007,22
Dundgovi,2007,20
Govi-Altai,2007,27
Govisumber,2007,6
Khentii,2007,28
Khovd,2007,27
Khuvsgul,2007,33
Orkhon,2007,20
Selenge,2007,30
Sukhbaatar,2007,16
Tuv,2007,37
Ulaanbaatar,2007,219
Umnugovi,2007,18
Uvs,2007,26
Uvurkhangai,2007,30
Zavkhan,2007,33
Arkhangai,2008,29
Bayan-Ulgii,2008,26
Bayankhongor,2008,28
Bulgan,2008,23
Darkhan-Uul,2008,17
Dornod,2008,23
Dornogovi,2008,22
Dundgovi,2008,20
Govi-Altai,2008,28
Govisumber,2008,6
Khentii,2008,28
Khovd,2008,27
Khuvsgul,2008,33
Orkhon,2008,21
Selenge,2008,33
Sukhbaatar,2008,19
Tuv,2008,38
Ulaanbaatar,2008,228
Umnugovi,2008,18
Uvs,2008,25
Uvurkhangai,2008,30
Zavkhan,2008,34
Arkhangai,2009,29
Bayan-Ulgii,2009,29
Bayankhongor,2009,28
Bulgan,2009,24
Darkhan-Uul,2009,18
Dornod,2009,23
Dornogovi,2009,22
Dundgovi,2009,20
Govi-Altai,2009,28
Govisumber,2009,7
Khentii,2009,28
Khovd,2009,27
Khuvsgul,2009,37
Orkhon,2009,21
Selenge,2009,34
Sukhbaatar,2009,18
Tuv,2009,40
Ulaanbaatar,2009,247
Umnugovi,2009,18
Uvs,2009,25
Uvurkhangai,2009,31
Zavkhan,2009,34
Arkhangai,2010,29
Bayan-Ulgii,2010,29
Bayankhongor,2010,28
Bulgan,2010,24
Darkhan-Uul,2010,18
Dornod,2010,23
Dornogovi,2010,24
Dundgovi,2010,20
Govi-Altai,2010,28
Govisumber,2010,7
Khentii,2010,28
Khovd,2010,27
Khuvsgul,2010,37
Orkhon,2010,23
Selenge,2010,33
Sukhbaatar,2010,20
Tuv,2010,40
Ulaanbaatar,2010,292
Umnugovi,2010,18
Uvs,2010,26
Uvurkhangai,2010,31
Zavkhan,2010,34
Arkhangai,2011,29
Bayan-Ulgii,2011,30
Bayankhongor,2011,30
Bulgan,2011,24
Darkhan-Uul,2011,19
Dornod,2011,24
Dornogovi,2011,24
Dundgovi,2011,20
Govi-Altai,2011,27
Govisumber,2011,6
Khentii,2011,29
Khovd,2011,27
Khuvsgul,2011,37
Orkhon,2011,23
Selenge,2011,34
Sukhbaatar,2011,20
Tuv,2011,41
Ulaanbaatar,2011,326
Umnugovi,2011,19
Uvs,2011,26
Uvurkhangai,2011,31
Zavkhan,2011,33
Arkhangai,2012,29
Bayan-Ulgii,2012,31
Bayankhongor,2012,31
Bulgan,2012,24
Darkhan-Uul,2012,22
Dornod,2012,26
Dornogovi,2012,24
Dundgovi,2012,20
Govi-Altai,2012,27
Govisumber,2012,7
Khentii,2012,32
Khovd,2012,28
Khuvsgul,2012,37
Orkhon,2012,28
Selenge,2012,33
Sukhbaatar,2012,21
Tuv,2012,41
Ulaanbaatar,2012,368
Umnugovi,2012,24
Uvs,2012,26
Uvurkhangai,2012,33
Zavkhan,2012,33
Arkhangai,2013,29
Bayan-Ulgii,2013,31
Bayankhongor,2013,32
Bulgan,2013,24
Darkhan-Uul,2013,36
Dornod,2013,27
Dornogovi,2013,26
Dundgovi,2013,20
Govi-Altai,2013,27
Govisumber,2013,9
Khentii,2013,33
Khovd,2013,30
Khuvsgul,2013,38
Orkhon,2013,33
Selenge,2013,34
Sukhbaatar,2013,21
Tuv,2013,41
Ulaanbaatar,2013,454
Umnugovi,2013,25
Uvs,2013,28
Uvurkhangai,2013,33
Zavkhan,2013,36
Arkhangai,2014,31
Bayan-Ulgii,2014,32
Bayankhongor,2014,35
Bulgan,2014,25
Darkhan-Uul,2014,37
Dornod,2014,28
Dornogovi,2014,28
Dundgovi,2014,22
Govi-Altai,2014,28
Govisumber,2014,10
Khentii,2014,34
Khovd,2014,36
Khuvsgul,2014,37
Orkhon,2014,37
Selenge,2014,35
Sukhbaatar,2014,22
Tuv,2014,46
Ulaanbaatar,2014,520
Umnugovi,2014,25
Uvs,2014,31
Uvurkhangai,2014,36
Zavkhan,2014,36
Arkhangai,2015,35
Bayan-Ulgii,2015,38
Bayankhongor,2015,36
Bulgan,2015,23
Darkhan-Uul,2015,41
Dornod,2015,30
Dornogovi,2015,33
Dundgovi,2015,22
Govi-Altai,2015,28
Govisumber,2015,9
Khentii,2015,34
Khovd,2015,44
Khuvsgul,2015,40
Orkhon,2015,37
Selenge,2015,38
Sukhbaatar,2015,24
Tuv,2015,49
Ulaanbaatar,2015,591
Umnugovi,2015,27
Uvs,2015,31
Uvurkhangai,2015,40
Zavkhan,2015,38
Arkhangai,2016,36
Bayan-Ulgii,2016,43
Bayankhongor,2016,37
Bulgan,2016,23
Darkhan-Uul,2016,43
Dornod,2016,32
Dornogovi,2016,32
Dundgovi,2016,21
Govi-Altai,2016,29
Govisumber,2016,9
Khentii,2016,34
Khovd,2016,41
Khuvsgul,2016,43
Orkhon,2016,35
Selenge,2016,38
Sukhbaatar,2016,23
Tuv,2016,48
Ulaanbaatar,2016,650
Umnugovi,2016,27
Uvs,2016,31
Uvurkhangai,2016,40
Zavkhan,2016,39
Arkhangai,2017,36
Bayan-Ulgii,2017,44
Bayankhongor,2017,42
Bulgan,2017,22
Darkhan-Uul,2017,43
Dornod,2017,37
Dornogovi,2017,33
Dundgovi,2017,21
Govi-Altai,2017,29
Govisumber,2017,10
Khentii,2017,34
Khovd,2017,44
Khuvsgul,2017,44
Orkhon,2017,35
Selenge,2017,40
Sukhbaatar,2017,24
Tuv,2017,49
Ulaanbaatar,2017,688
Umnugovi,2017,28
Uvs,2017,33
Uvurkhangai,2017,41
Zavkhan,2017,39
Arkhangai,2018,35
Bayan-Ulgii,2018,44
Bayankhongor,2018,42
Bulgan,2018,22
Darkhan-Uul,2018,45
Dornod,2018,37
Dornogovi,2018,33
Dundgovi,2018,21
Govi-Altai,2018,29
Govisumber,2018,11
Khentii,2018,34
Khovd,2018,46
Khuvsgul,2018,45
Orkhon,2018,37
Selenge,2018,39
Sukhbaatar,2018,24
Tuv,2018,49
Ulaanbaatar,2018,672
Umnugovi,2018,28
Uvs,2018,33
Uvurkhangai,2018,42
Zavkhan,2018,40
Arkhangai,2019,35
Bayan-Ulgii,2019,45
Bayankhongor,2019,43
Bulgan,2019,22
Darkhan-Uul,2019,45
Dornod,2019,35
Dornogovi,2019,35
Dundgovi,2019,22
Govi-Altai,2019,29
Govisumber,2019,10
Khentii,2019,34
Khovd,2019,43
Khuvsgul,2019,45
Orkhon,2019,37
Selenge,2019,39
Sukhbaatar,2019,24
Tuv,2019,49
Ulaanbaatar,2019,675
Umnugovi,2019,29
Uvs,2019,34
Uvurkhangai,2019,42
Zavkhan,2019,40
Arkhangai,2020,36
Bayan-Ulgii,2020,50
Bayankhongor,2020,43
Bulgan,2020,22
Darkhan-Uul,2020,38
Dornod,2020,36
Dornogovi,2020,36
Dundgovi,2020,22
Govi-Altai,2020,30
Govisumber,2020,10
Khentii,2020,36
Khovd,2020,43
Khuvsgul,2020,50
Orkhon,2020,38
Selenge,2020,41
Sukhbaatar,2020,24
Tuv,2020,47
Ulaanbaatar,2020,674
Umnugovi,2020,29
Uvs,2020,34
Uvurkhangai,2020,47
Zavkhan,2020,41
Arkhangai,2021,36
Bayan-Ulgii,2021,53
Bayankhongor,2021,43
Bulgan,2021,23
Darkhan-Uul,2021,38
Dornod,2021,36
Dornogovi,2021,36
Dundgovi,2021,22
Govi-Altai,2021,31
Govisumber,2021,10
Khentii,2021,36
Khovd,2021,43
Khuvsgul,2021,50
Orkhon,2021,39
Selenge,2021,41
Sukhbaatar,2021,24
Tuv,2021,45
Ulaanbaatar,2021,667
Umnugovi,2021,30
Uvs,2021,33
Uvurkhangai,2021,49
Zavkhan,2021,41
Arkhangai,2022,35
Bayan-Ulgii,2022,53
Bayankhongor,2022,43
Bulgan,2022,22
Darkhan-Uul,2022,40
Dornod,2022,36
Dornogovi,2022,36
Dundgovi,2022,22
Govi-Altai,2022,31
Govisumber,2022,6
Khentii,2022,36
Khovd,2022,41
Khuvsgul,2022,47
Orkhon,2022,39
Selenge,2022,40
Sukhbaatar,2022,24
Tuv,2022,41
Ulaanbaatar,2022,639
Umnugovi,2022,31
Uvs,2022,33
Uvurkhangai,2022,49
Zavkhan,2022,42
Arkhangai,2023,35
Bayan-Ulgii,2023,57
Bayankhongor,2023,42
Bulgan,2023,22
Darkhan-Uul,2023,38
Dornod,2023,33
Dornogovi,2023,34
Dundgovi,2023,22
Govi-Altai,2023,31
Govisumber,2023,6
Khentii,2023,35
Khovd,2023,38
Khuvsgul,2023,47
Orkhon,2023,37
Selenge,2023,40
Sukhbaatar,2023,24
Tuv,2023,41
Ulaanbaatar,2023,649
Umnugovi,2023,31
Uvs,2023,32
Uvurkhangai,2023,49
Zavkhan,2023,40
Arkhangai,2024,35
Bayan-Ulgii,2024,62
Bayankhongor,2024,41
Bulgan,2024,22
Darkhan-Uul,2024,38
Dornod,2024,32
Dornogovi,2024,34
Dundgovi,2024,22
Govi-Altai,2024,31
Govisumber,2024,6
Khentii,2024,34
Khovd,2024,37
Khuvsgul,2024,46
Orkhon,2024,38
Selenge,2024,40
Sukhbaatar,2024,24
Tuv,2024,41
Ulaanbaatar,2024,645
Umnugovi,2024,32
Uvs,2024,32
Uvurkhangai,2024,49
Zavkhan,2024,39
Arkhangai,2025,35
Bayan-Ulgii,2025,68
Bayankhongor,2025,40
Bulgan,2025,22
Darkhan-Uul,2025,37
Dornod,2025,32
Dornogovi,2025,34
Dundgovi,2025,23
Govi-Altai,2025,31
Govisumber,2025,6
Khentii,2025,35
Khovd,2025,38
Khuvsgul,2025,46
Orkhon,2025,38
Selenge,2025,40
Sukhbaatar,2025,24
Tuv,2025,41
Ulaanbaatar,2025,629
Umnugovi,2025,33
Uvs,2025,32
Uvurkhangai,2025,50
Zavkhan,2025,39
