subdivision,date,value
Mining of coal and lignite,2017-11,216789.8
Mining of metal ores,2017-11,469713.7
Mining support service activities,2017-11,0.0
Other manufacturing,2017-11,11244.0
Other mining and quarrying,2017-11,11319.0
Printing and reproduction of recorded media,2017-11,1074.8
Processing and preserving of fruit and vegetables,2017-11,562.2
Processing and preserving of meat,2017-11,23612.5
Remediation activities and other waste management services,2017-11,384.7
Total,2017-11,1127627.3
"Waste collection, treatment and disposal activities; materials recovery",2017-11,39851.3
"Water collection, treatment and supply",2017-11,7006.9
"Water supply; sewerage, waste management and remediation activities",2017-11,47242.8
"Electricity, gas, steam and air conditioning supply",2017-12,93394.8
"Electricity, gas, steam and air conditioning supply",2017-12,93394.8
Extraction of crude petroleum and natural gas,2017-12,84536.9
Manufacture of basic metals,2017-12,12155.8
Manufacture of beverages,2017-12,54180.2
Manufacture of chemicals and chemical products,2017-12,13904.9
Manufacture of coke and refined petroleum products,2017-12,30.0
Manufacture of dairy products,2017-12,8011.6
"Manufacture of fabricated metal products, except machinery and equipment",2017-12,168.3
Manufacture of food products,2017-12,68878.6
Manufacture of furniture,2017-12,1918.9
"Manufacture of grain mill products, starches and starch products",2017-12,26086.3
Manufacture of leather and related products,2017-12,2688.6
Manufacture of other food products,2017-12,16043.5
Manufacture of other non-metallic mineral products,2017-12,5555.2
Manufacture of other transport equipment,2017-12,291.0
Manufacture of paper and paper products,2017-12,1357.4
"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2017-12,2207.8
Manufacture of rubber and plastics products,2017-12,1468.8
Manufacture of textiles,2017-12,24125.9
Manufacture of tobacco products,2017-12,3171.4
Manufacture of wearing apparel,2017-12,33492.0
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2017-12,628.9
Manufacturing,2017-12,231709.5
Mining and quarrying,2017-12,771552.4
Mining of coal and lignite,2017-12,220657.7
Mining of metal ores,2017-12,454823.1
Mining support service activities,2017-12,0.0
Other manufacturing,2017-12,1511.0
Other mining and quarrying,2017-12,11534.7
Printing and reproduction of recorded media,2017-12,3975.0
Processing and preserving of fruit and vegetables,2017-12,1258.0
Processing and preserving of meat,2017-12,17479.1
Remediation activities and other waste management services,2017-12,370.3
Total,2017-12,1104169.7
"Waste collection, treatment and disposal activities; materials recovery",2017-12,1002.2
"Water collection, treatment and supply",2017-12,6140.5
"Water supply; sewerage, waste management and remediation activities",2017-12,7513.0
"Electricity, gas, steam and air conditioning supply",2018-01,100101.1
"Electricity, gas, steam and air conditioning supply",2018-01,100101.1
Extraction of crude petroleum and natural gas,2018-01,93693.2
Manufacture of basic metals,2018-01,13846.7
Manufacture of beverages,2018-01,49233.7
Manufacture of chemicals and chemical products,2018-01,2494.1
Manufacture of coke and refined petroleum products,2018-01,36.5
Manufacture of dairy products,2018-01,12454.3
"Manufacture of fabricated metal products, except machinery and equipment",2018-01,185.3
Manufacture of food products,2018-01,71620.1
Manufacture of furniture,2018-01,1690.3
"Manufacture of grain mill products, starches and starch products",2018-01,21645.1
Manufacture of leather and related products,2018-01,1695.2
Manufacture of other food products,2018-01,13757.0
Manufacture of other non-metallic mineral products,2018-01,3549.0
Manufacture of other transport equipment,2018-01,223.8
Manufacture of paper and paper products,2018-01,1611.2
"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2018-01,2376.5
Manufacture of rubber and plastics products,2018-01,503.4
Manufacture of textiles,2018-01,6830.7
Manufacture of tobacco products,2018-01,4538.8
Manufacture of wearing apparel,2018-01,25348.4
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2018-01,639.5
Manufacturing,2018-01,189947.5
Mining and quarrying,2018-01,815052.2
Mining of coal and lignite,2018-01,297378.4
Mining of metal ores,2018-01,418860.5
Mining support service activities,2018-01,0.0
Other manufacturing,2018-01,1039.2
Other mining and quarrying,2018-01,5120.0
Printing and reproduction of recorded media,2018-01,2485.1
Processing and preserving of fruit and vegetables,2018-01,1423.0
Processing and preserving of meat,2018-01,22340.7
Remediation activities and other waste management services,2018-01,211.9
Total,2018-01,1151617.4
"Waste collection, treatment and disposal activities; materials recovery",2018-01,40512.7
"Water collection, treatment and supply",2018-01,5792.1
"Water supply; sewerage, waste management and remediation activities",2018-01,46516.6
"Electricity, gas, steam and air conditioning supply",2018-02,97563.5
"Electricity, gas, steam and air conditioning supply",2018-02,97563.5
Extraction of crude petroleum and natural gas,2018-02,82650.6
Manufacture of basic metals,2018-02,11567.7
Manufacture of beverages,2018-02,57868.2
Manufacture of chemicals and chemical products,2018-02,4549.2
Manufacture of coke and refined petroleum products,2018-02,36.0
Manufacture of dairy products,2018-02,11596.4
"Manufacture of fabricated metal products, except machinery and equipment",2018-02,163.5
Manufacture of food products,2018-02,45315.5
Manufacture of furniture,2018-02,1531.1
"Manufacture of grain mill products, starches and starch products",2018-02,12118.8
Manufacture of leather and related products,2018-02,1654.4
Manufacture of other food products,2018-02,10605.4
Manufacture of other non-metallic mineral products,2018-02,5979.0
Manufacture of other transport equipment,2018-02,261.0
Manufacture of paper and paper products,2018-02,1663.9
"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2018-02,2772.8
Manufacture of rubber and plastics products,2018-02,636.4
Manufacture of textiles,2018-02,3571.2
Manufacture of tobacco products,2018-02,642.2
Manufacture of wearing apparel,2018-02,22068.1
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2018-02,670.5
Manufacturing,2018-02,163552.3
Mining and quarrying,2018-02,687976.9
Mining of coal and lignite,2018-02,205201.3
Mining of metal ores,2018-02,393767.8
Mining support service activities,2018-02,0.0
Other manufacturing,2018-02,753.9
Other mining and quarrying,2018-02,6357.2
Printing and reproduction of recorded media,2018-02,1847.6
Processing and preserving of fruit and vegetables,2018-02,1153.5
Processing and preserving of meat,2018-02,9841.4
Remediation activities and other waste management services,2018-02,305.8
Total,2018-02,996946.1
"Waste collection, treatment and disposal activities; materials recovery",2018-02,41849.4
"Water collection, treatment and supply",2018-02,5698.2
"Water supply; sewerage, waste management and remediation activities",2018-02,47853.4
"Electricity, gas, steam and air conditioning supply",2018-03,91096.5
"Electricity, gas, steam and air conditioning supply",2018-03,91096.5
Extraction of crude petroleum and natural gas,2018-03,84201.0
Manufacture of basic metals,2018-03,15639.1
Manufacture of beverages,2018-03,52568.2
Manufacture of chemicals and chemical products,2018-03,5151.5
Manufacture of coke and refined petroleum products,2018-03,42.3
Manufacture of dairy products,2018-03,13502.4
"Manufacture of fabricated metal products, except machinery and equipment",2018-03,192.0
Manufacture of food products,2018-03,52013.3
Manufacture of furniture,2018-03,657.5
"Manufacture of grain mill products, starches and starch products",2018-03,16472.8
Manufacture of leather and related products,2018-03,1554.3
Manufacture of other food products,2018-03,12129.2
Manufacture of other non-metallic mineral products,2018-03,11617.6
Manufacture of other transport equipment,2018-03,453.2
Manufacture of paper and paper products,2018-03,1385.1
"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2018-03,2297.0
Manufacture of rubber and plastics products,2018-03,702.5
Manufacture of textiles,2018-03,2221.6
Manufacture of tobacco products,2018-03,258.5
Manufacture of wearing apparel,2018-03,23871.7
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2018-03,725.9
Manufacturing,2018-03,175615.5
Mining and quarrying,2018-03,902456.6
Mining of coal and lignite,2018-03,349327.0
Mining of metal ores,2018-03,455770.4
Mining support service activities,2018-03,0.0
Other manufacturing,2018-03,1121.8
Other mining and quarrying,2018-03,13158.1
Printing and reproduction of recorded media,2018-03,3142.4
Processing and preserving of fruit and vegetables,2018-03,1290.0
Processing and preserving of meat,2018-03,8619.1
Remediation activities and other waste management services,2018-03,371.2
Total,2018-03,1217192.5
"Waste collection, treatment and disposal activities; materials recovery",2018-03,41584.6
"Water collection, treatment and supply",2018-03,6068.1
"Water supply; sewerage, waste management and remediation activities",2018-03,48023.8
"Electricity, gas, steam and air conditioning supply",2018-04,86773.2
"Electricity, gas, steam and air conditioning supply",2018-04,86773.2
Extraction of crude petroleum and natural gas,2018-04,84489.9
Manufacture of basic metals,2018-04,16449.8
Manufacture of beverages,2018-04,59209.1
Manufacture of chemicals and chemical products,2018-04,7335.9
Manufacture of coke and refined petroleum products,2018-04,0.0
Manufacture of dairy products,2018-04,16492.3
"Manufacture of fabricated metal products, except machinery and equipment",2018-04,255.8
Manufacture of food products,2018-04,53490.4
Manufacture of furniture,2018-04,730.4
"Manufacture of grain mill products, starches and starch products",2018-04,14723.3
Manufacture of leather and related products,2018-04,1644.9
Manufacture of other food products,2018-04,13141.9
Manufacture of other non-metallic mineral products,2018-04,20096.2
Manufacture of other transport equipment,2018-04,388.5
Manufacture of paper and paper products,2018-04,1217.9
"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2018-04,3516.6
Manufacture of rubber and plastics products,2018-04,902.2
Manufacture of textiles,2018-04,21292.0
Manufacture of tobacco products,2018-04,540.4
Manufacture of wearing apparel,2018-04,29847.9
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2018-04,904.9
Manufacturing,2018-04,221456.5
Mining and quarrying,2018-04,911159.8
Mining of coal and lignite,2018-04,371274.9
Mining of metal ores,2018-04,441230.7
Mining support service activities,2018-04,0.0
Other manufacturing,2018-04,1526.6
Other mining and quarrying,2018-04,14164.4
Printing and reproduction of recorded media,2018-04,2106.8
Processing and preserving of fruit and vegetables,2018-04,1466.7
Processing and preserving of meat,2018-04,7666.2
Remediation activities and other waste management services,2018-04,378.4
Total,2018-04,1270383.2
"Waste collection, treatment and disposal activities; materials recovery",2018-04,44663.5
"Water collection, treatment and supply",2018-04,5951.7
"Water supply; sewerage, waste management and remediation activities",2018-04,50993.6
"Electricity, gas, steam and air conditioning supply",2018-05,72177.3
"Electricity, gas, steam and air conditioning supply",2018-05,72177.3
Extraction of crude petroleum and natural gas,2018-05,92629.4
Manufacture of basic metals,2018-05,11959.7
Manufacture of beverages,2018-05,61927.6
Manufacture of chemicals and chemical products,2018-05,7908.5
Manufacture of coke and refined petroleum products,2018-05,0.2
Manufacture of dairy products,2018-05,17919.4
"Manufacture of fabricated metal products, except machinery and equipment",2018-05,3109.1
Manufacture of food products,2018-05,70935.7
Manufacture of furniture,2018-05,1090.4
"Manufacture of grain mill products, starches and starch products",2018-05,19555.5
Manufacture of leather and related products,2018-05,2188.8
Manufacture of other food products,2018-05,14981.4
Manufacture of other non-metallic mineral products,2018-05,27743.9
Manufacture of other transport equipment,2018-05,373.6
Manufacture of paper and paper products,2018-05,1434.5
"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2018-05,2772.6
Manufacture of rubber and plastics products,2018-05,904.3
Manufacture of textiles,2018-05,51518.8
Manufacture of tobacco products,2018-05,2468.5
Manufacture of wearing apparel,2018-05,29104.3
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2018-05,714.5
Manufacturing,2018-05,280439.3
Mining and quarrying,2018-05,1100975.2
Mining of coal and lignite,2018-05,470545.6
Mining of metal ores,2018-05,529164.9
Mining support service activities,2018-05,0.0
Other manufacturing,2018-05,1275.5
Other mining and quarrying,2018-05,8635.3
Printing and reproduction of recorded media,2018-05,3008.7
Processing and preserving of fruit and vegetables,2018-05,1472.8
Processing and preserving of meat,2018-05,17006.6
Remediation activities and other waste management services,2018-05,399.1
Total,2018-05,1507600.5
"Waste collection, treatment and disposal activities; materials recovery",2018-05,47149.4
"Water collection, treatment and supply",2018-05,6460.2
"Water supply; sewerage, waste management and remediation activities",2018-05,54008.7
"Electricity, gas, steam and air conditioning supply",2018-06,61243.2
"Electricity, gas, steam and air conditioning supply",2018-06,61243.2
Extraction of crude petroleum and natural gas,2018-06,86716.3
Manufacture of basic metals,2018-06,17972.9
Manufacture of beverages,2018-06,63141.4
Manufacture of chemicals and chemical products,2018-06,6366.0
Manufacture of coke and refined petroleum products,2018-06,0.0
Manufacture of dairy products,2018-06,16142.0
"Manufacture of fabricated metal products, except machinery and equipment",2018-06,2032.1
Manufacture of food products,2018-06,62631.4
Manufacture of furniture,2018-06,1237.7
"Manufacture of grain mill products, starches and starch products",2018-06,16708.7
Manufacture of leather and related products,2018-06,1217.2
Manufacture of other food products,2018-06,13727.7
Manufacture of other non-metallic mineral products,2018-06,31975.9
Manufacture of other transport equipment,2018-06,363.4
Manufacture of paper and paper products,2018-06,1432.4
"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2018-06,2418.0
Manufacture of rubber and plastics products,2018-06,1198.5
Manufacture of textiles,2018-06,74747.3
Manufacture of tobacco products,2018-06,2227.2
Manufacture of wearing apparel,2018-06,30097.4
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2018-06,630.0
Manufacturing,2018-06,304069.3
Mining and quarrying,2018-06,1069429.6
Mining of coal and lignite,2018-06,412053.9
Mining of metal ores,2018-06,553779.5
Mining support service activities,2018-06,0.0
Other manufacturing,2018-06,1303.5
Other mining and quarrying,2018-06,16879.8
Printing and reproduction of recorded media,2018-06,3077.0
Processing and preserving of fruit and vegetables,2018-06,1477.5
Processing and preserving of meat,2018-06,14575.5
Remediation activities and other waste management services,2018-06,332.1
Total,2018-06,1498993.7
"Waste collection, treatment and disposal activities; materials recovery",2018-06,57304.5
"Water collection, treatment and supply",2018-06,6615.0
"Water supply; sewerage, waste management and remediation activities",2018-06,64251.5
"Electricity, gas, steam and air conditioning supply",2018-07,58282.6
"Electricity, gas, steam and air conditioning supply",2018-07,58282.6
Extraction of crude petroleum and natural gas,2018-07,96954.7
Manufacture of basic metals,2018-07,34653.5
Manufacture of beverages,2018-07,70095.2
Manufacture of chemicals and chemical products,2018-07,6954.6
Manufacture of coke and refined petroleum products,2018-07,0.0
Manufacture of dairy products,2018-07,12081.0
"Manufacture of fabricated metal products, except machinery and equipment",2018-07,388.1
Manufacture of food products,2018-07,63332.5
Manufacture of furniture,2018-07,1183.2
"Manufacture of grain mill products, starches and starch products",2018-07,13146.1
Manufacture of leather and related products,2018-07,565.3
Manufacture of other food products,2018-07,13538.5
Manufacture of other non-metallic mineral products,2018-07,22810.6
Manufacture of other transport equipment,2018-07,311.1
Manufacture of paper and paper products,2018-07,1604.2
"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2018-07,3564.4
Manufacture of rubber and plastics products,2018-07,970.2
Manufacture of textiles,2018-07,16374.2
Manufacture of tobacco products,2018-07,62.5
Manufacture of wearing apparel,2018-07,26733.4
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2018-07,458.3
Manufacturing,2018-07,254935.7
Mining and quarrying,2018-07,892616.1
Mining of coal and lignite,2018-07,238038.5
Mining of metal ores,2018-07,545529.9
Mining support service activities,2018-07,0.0
Other manufacturing,2018-07,1802.9
Other mining and quarrying,2018-07,12092.9
Printing and reproduction of recorded media,2018-07,3071.4
Processing and preserving of fruit and vegetables,2018-07,889.7
Processing and preserving of meat,2018-07,23677.2
Remediation activities and other waste management services,2018-07,403.8
Total,2018-07,1248500.0
"Waste collection, treatment and disposal activities; materials recovery",2018-07,36664.6
"Water collection, treatment and supply",2018-07,5597.3
"Water supply; sewerage, waste management and remediation activities",2018-07,42665.6
"Electricity, gas, steam and air conditioning supply",2018-08,60178.4
"Electricity, gas, steam and air conditioning supply",2018-08,60178.4
Extraction of crude petroleum and natural gas,2018-08,91213.7
Manufacture of basic metals,2018-08,17083.7
Manufacture of beverages,2018-08,55922.4
Manufacture of chemicals and chemical products,2018-08,5352.9
Manufacture of coke and refined petroleum products,2018-08,0.0
Manufacture of dairy products,2018-08,13842.3
"Manufacture of fabricated metal products, except machinery and equipment",2018-08,281.5
Manufacture of food products,2018-08,65471.4
Manufacture of furniture,2018-08,1592.4
"Manufacture of grain mill products, starches and starch products",2018-08,18785.3
Manufacture of leather and related products,2018-08,1468.4
Manufacture of other food products,2018-08,14425.0
Manufacture of other non-metallic mineral products,2018-08,22566.7
Manufacture of other transport equipment,2018-08,300.2
Manufacture of paper and paper products,2018-08,1682.8
"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2018-08,3030.6
Manufacture of rubber and plastics products,2018-08,975.2
Manufacture of textiles,2018-08,31438.0
Manufacture of tobacco products,2018-08,1755.8
Manufacture of wearing apparel,2018-08,36014.8
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2018-08,777.2
Manufacturing,2018-08,256018.8
Mining and quarrying,2018-08,933677.5
Mining of coal and lignite,2018-08,271262.5
Mining of metal ores,2018-08,562466.3
Mining support service activities,2018-08,0.0
Other manufacturing,2018-08,1473.3
Other mining and quarrying,2018-08,8735.0
Printing and reproduction of recorded media,2018-08,8831.3
Processing and preserving of fruit and vegetables,2018-08,1267.1
Processing and preserving of meat,2018-08,17151.5
Remediation activities and other waste management services,2018-08,491.8
Total,2018-08,1298162.0
"Waste collection, treatment and disposal activities; materials recovery",2018-08,41948.5
"Water collection, treatment and supply",2018-08,5846.9
"Water supply; sewerage, waste management and remediation activities",2018-08,48287.2
"Electricity, gas, steam and air conditioning supply",2018-09,65033.5
"Electricity, gas, steam and air conditioning supply",2018-09,65033.5
Extraction of crude petroleum and natural gas,2018-09,88739.4
Manufacture of basic metals,2018-09,20833.4
Manufacture of beverages,2018-09,51609.5
Manufacture of chemicals and chemical products,2018-09,6362.1
Manufacture of coke and refined petroleum products,2018-09,12.9
Manufacture of dairy products,2018-09,10928.9
"Manufacture of fabricated metal products, except machinery and equipment",2018-09,199.7
Manufacture of food products,2018-09,68677.2
Manufacture of furniture,2018-09,1610.1
"Manufacture of grain mill products, starches and starch products",2018-09,16650.8
Manufacture of leather and related products,2018-09,2053.6
Manufacture of other food products,2018-09,15040.2
Manufacture of other non-metallic mineral products,2018-09,25260.0
Manufacture of other transport equipment,2018-09,338.6
Manufacture of paper and paper products,2018-09,1582.2
"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2018-09,2213.1
Manufacture of rubber and plastics products,2018-09,1207.8
Manufacture of textiles,2018-09,31196.4
Manufacture of tobacco products,2018-09,2708.9
Manufacture of wearing apparel,2018-09,30965.8
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2018-09,538.6
Manufacturing,2018-09,251120.8
Mining and quarrying,2018-09,1067574.3
Mining of coal and lignite,2018-09,398826.2
Mining of metal ores,2018-09,564577.6
Mining support service activities,2018-09,0.0
Other manufacturing,2018-09,1176.3
Other mining and quarrying,2018-09,15431.0
Printing and reproduction of recorded media,2018-09,2574.6
Processing and preserving of fruit and vegetables,2018-09,1017.5
Processing and preserving of meat,2018-09,25039.7
Remediation activities and other waste management services,2018-09,394.3
Total,2018-09,1433043.2
"Waste collection, treatment and disposal activities; materials recovery",2018-09,42351.4
"Water collection, treatment and supply",2018-09,6568.8
"Water supply; sewerage, waste management and remediation activities",2018-09,49314.6
"Electricity, gas, steam and air conditioning supply",2018-10,81492.6
"Electricity, gas, steam and air conditioning supply",2018-10,81492.6
Extraction of crude petroleum and natural gas,2018-10,34166.3
Manufacture of basic metals,2018-10,19269.2
Manufacture of beverages,2018-10,53963.3
Manufacture of chemicals and chemical products,2018-10,9619.5
Manufacture of coke and refined petroleum products,2018-10,40.5
Manufacture of dairy products,2018-10,15768.0
"Manufacture of fabricated metal products, except machinery and equipment",2018-10,3097.3
Manufacture of food products,2018-10,96529.8
Manufacture of furniture,2018-10,1691.4
"Manufacture of grain mill products, starches and starch products",2018-10,18535.8
Manufacture of leather and related products,2018-10,1973.5
Manufacture of other food products,2018-10,16306.8
Manufacture of other non-metallic mineral products,2018-10,26038.4
Manufacture of other transport equipment,2018-10,300.1
Manufacture of paper and paper products,2018-10,1838.3
"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2018-10,2395.9
Manufacture of rubber and plastics products,2018-10,1687.2
Manufacture of textiles,2018-10,42149.5
Manufacture of tobacco products,2018-10,2567.9
Manufacture of wearing apparel,2018-10,33885.3
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2018-10,530.9
Manufacturing,2018-10,302720.5
Mining and quarrying,2018-10,1166623.1
Mining of coal and lignite,2018-10,496851.5
Mining of metal ores,2018-10,628152.5
Mining support service activities,2018-10,0.0
Other manufacturing,2018-10,1399.3
Other mining and quarrying,2018-10,7452.7
Printing and reproduction of recorded media,2018-10,3743.2
Processing and preserving of fruit and vegetables,2018-10,1312.3
Processing and preserving of meat,2018-10,44606.9
Remediation activities and other waste management services,2018-10,473.7
Total,2018-10,1606281.1
"Waste collection, treatment and disposal activities; materials recovery",2018-10,48372.9
"Water collection, treatment and supply",2018-10,6598.3
"Water supply; sewerage, waste management and remediation activities",2018-10,55444.9
"Electricity, gas, steam and air conditioning supply",2018-11,93271.9
"Electricity, gas, steam and air conditioning supply",2018-11,93271.9
Extraction of crude petroleum and natural gas,2018-11,84156.1
Manufacture of basic metals,2018-11,18541.4
Manufacture of beverages,2018-11,54097.9
Manufacture of chemicals and chemical products,2018-11,8954.5
Manufacture of coke and refined petroleum products,2018-11,25.5
Manufacture of dairy products,2018-11,15724.1
"Manufacture of fabricated metal products, except machinery and equipment",2018-11,590.9
Manufacture of food products,2018-11,91900.9
Manufacture of furniture,2018-11,1454.0
"Manufacture of grain mill products, starches and starch products",2018-11,23628.9
Manufacture of leather and related products,2018-11,1697.7
Manufacture of other food products,2018-11,16751.2
Manufacture of other non-metallic mineral products,2018-11,10785.0
Manufacture of other transport equipment,2018-11,286.0
Manufacture of paper and paper products,2018-11,2466.9
"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2018-11,2114.2
Manufacture of rubber and plastics products,2018-11,3128.2
Manufacture of textiles,2018-11,20120.2
Manufacture of tobacco products,2018-11,2394.8
Manufacture of wearing apparel,2018-11,34445.5
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2018-11,788.5
Manufacturing,2018-11,257663.0
Mining and quarrying,2018-11,1018086.0
Mining of coal and lignite,2018-11,376847.1
Mining of metal ores,2018-11,548047.4
Mining support service activities,2018-11,0.0
Other manufacturing,2018-11,1187.2
Other mining and quarrying,2018-11,9035.3
Printing and reproduction of recorded media,2018-11,2683.5
Processing and preserving of fruit and vegetables,2018-11,1300.0
Processing and preserving of meat,2018-11,34496.7
Remediation activities and other waste management services,2018-11,403.1
Total,2018-11,1417741.3
"Waste collection, treatment and disposal activities; materials recovery",2018-11,41705.9
"Water collection, treatment and supply",2018-11,6611.4
"Water supply; sewerage, waste management and remediation activities",2018-11,48720.4
"Electricity, gas, steam and air conditioning supply",2018-12,103816.5
"Electricity, gas, steam and air conditioning supply",2018-12,103816.5
Extraction of crude petroleum and natural gas,2018-12,78256.5
Manufacture of basic metals,2018-12,17513.8
Manufacture of beverages,2018-12,53854.7
